,ds,dv,dt,method,acc
0,MNIST,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0
1,MNIST,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
2,MNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
3,MNIST,CIFAR10,NormalNoise,NeuronActivationPatterns/VGG,0
4,MNIST,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0
5,MNIST,STL10,NormalNoise,NeuronActivationPatterns/VGG,0
6,MNIST,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0
7,FashionMNIST,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0
8,FashionMNIST,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0
9,FashionMNIST,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0
10,FashionMNIST,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0
11,FashionMNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
12,FashionMNIST,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0
13,FashionMNIST,CIFAR10,NormalNoise,NeuronActivationPatterns/VGG,0
14,FashionMNIST,CIFAR10,MNIST,NeuronActivationPatterns/VGG,0
15,FashionMNIST,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0
16,FashionMNIST,CIFAR100,MNIST,NeuronActivationPatterns/VGG,0
17,FashionMNIST,STL10,NormalNoise,NeuronActivationPatterns/VGG,0
18,FashionMNIST,STL10,MNIST,NeuronActivationPatterns/VGG,0
19,FashionMNIST,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0
20,FashionMNIST,TinyImagenet,MNIST,NeuronActivationPatterns/VGG,0
21,CIFAR10,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0
22,CIFAR10,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0
23,CIFAR10,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0
24,CIFAR10,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0
25,CIFAR10,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
26,CIFAR10,FashionMNIST,MNIST,NeuronActivationPatterns/VGG,0
27,CIFAR10,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
28,CIFAR10,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0
29,CIFAR10,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0
30,CIFAR10,CIFAR100,MNIST,NeuronActivationPatterns/VGG,0
31,CIFAR10,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0
32,CIFAR10,TinyImagenet,MNIST,NeuronActivationPatterns/VGG,0
33,CIFAR100,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0
34,CIFAR100,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0
35,CIFAR100,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0
36,CIFAR100,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0
37,CIFAR100,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
38,CIFAR100,FashionMNIST,MNIST,NeuronActivationPatterns/VGG,0
39,CIFAR100,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
40,CIFAR100,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0
41,CIFAR100,CIFAR10,NormalNoise,NeuronActivationPatterns/VGG,0
42,CIFAR100,CIFAR10,MNIST,NeuronActivationPatterns/VGG,0
43,CIFAR100,STL10,NormalNoise,NeuronActivationPatterns/VGG,0
44,CIFAR100,STL10,MNIST,NeuronActivationPatterns/VGG,0
45,CIFAR100,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0
46,CIFAR100,TinyImagenet,MNIST,NeuronActivationPatterns/VGG,0
47,STL10,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0
48,STL10,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0
49,STL10,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0
50,STL10,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0
51,STL10,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
52,STL10,FashionMNIST,MNIST,NeuronActivationPatterns/VGG,0
53,STL10,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
54,STL10,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0
55,STL10,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0
56,STL10,CIFAR100,MNIST,NeuronActivationPatterns/VGG,0
57,STL10,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0
58,STL10,TinyImagenet,MNIST,NeuronActivationPatterns/VGG,0
59,TinyImagenet,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0
60,TinyImagenet,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0
61,TinyImagenet,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0
62,TinyImagenet,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0
63,TinyImagenet,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
64,TinyImagenet,FashionMNIST,MNIST,NeuronActivationPatterns/VGG,0
65,TinyImagenet,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0
66,TinyImagenet,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0
67,TinyImagenet,CIFAR10,NormalNoise,NeuronActivationPatterns/VGG,0
68,TinyImagenet,CIFAR10,MNIST,NeuronActivationPatterns/VGG,0
69,TinyImagenet,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0
70,TinyImagenet,CIFAR100,MNIST,NeuronActivationPatterns/VGG,0
71,TinyImagenet,STL10,NormalNoise,NeuronActivationPatterns/VGG,0
72,TinyImagenet,STL10,MNIST,NeuronActivationPatterns/VGG,0
