,ds,dv,dt,method,acc
0,MNIST,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,0.99995
1,MNIST,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.87455
2,MNIST,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.933828
3,MNIST,UniformNoise,CIFAR10,NeuronActivationPatterns/Resnet,0.99855
4,MNIST,UniformNoise,CIFAR100,NeuronActivationPatterns/Resnet,0.9986
5,MNIST,UniformNoise,STL10,NeuronActivationPatterns/Resnet,0.998438
6,MNIST,UniformNoise,TinyImagenet,NeuronActivationPatterns/Resnet,0.9984
7,MNIST,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,0.99995
8,MNIST,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.8718
9,MNIST,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.932493
10,MNIST,NormalNoise,CIFAR10,NeuronActivationPatterns/Resnet,0.99855
11,MNIST,NormalNoise,CIFAR100,NeuronActivationPatterns/Resnet,0.9986
12,MNIST,NormalNoise,STL10,NeuronActivationPatterns/Resnet,0.99825
13,MNIST,NormalNoise,TinyImagenet,NeuronActivationPatterns/Resnet,0.9984
14,MNIST,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.99265
15,MNIST,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.99265
16,MNIST,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,0.991668
17,MNIST,FashionMNIST,CIFAR10,NeuronActivationPatterns/Resnet,0.99185
18,MNIST,FashionMNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.99185
19,MNIST,FashionMNIST,STL10,NeuronActivationPatterns/Resnet,0.988438
20,MNIST,FashionMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.99185
21,MNIST,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.9964
22,MNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.9964
23,MNIST,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,0.9914
