,ds,dv,dt,method,acc
0,CIFAR100,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,83.565
1,CIFAR100,UniformNoise,MNIST,NeuronActivationPatterns/Resnet,82.03
2,CIFAR100,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,77.655
3,CIFAR100,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,79.6999
4,CIFAR100,UniformNoise,CIFAR10,NeuronActivationPatterns/Resnet,49.94
5,CIFAR100,UniformNoise,STL10,NeuronActivationPatterns/Resnet,51.9813
6,CIFAR100,UniformNoise,TinyImagenet,NeuronActivationPatterns/Resnet,54.9162
7,CIFAR100,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,79.645
8,CIFAR100,NormalNoise,MNIST,NeuronActivationPatterns/Resnet,83.17
9,CIFAR100,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,78.995
10,CIFAR100,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,81.1151
11,CIFAR100,NormalNoise,CIFAR10,NeuronActivationPatterns/Resnet,49.79
12,CIFAR100,NormalNoise,STL10,NeuronActivationPatterns/Resnet,51.475
13,CIFAR100,NormalNoise,TinyImagenet,NeuronActivationPatterns/Resnet,54.5183
14,CIFAR100,MNIST,UniformNoise,NeuronActivationPatterns/Resnet,76.73
15,CIFAR100,MNIST,NormalNoise,NeuronActivationPatterns/Resnet,83.315
16,CIFAR100,MNIST,FashionMNIST,NeuronActivationPatterns/Resnet,79.41
17,CIFAR100,MNIST,NotMNIST,NeuronActivationPatterns/Resnet,81.5638
18,CIFAR100,MNIST,CIFAR10,NeuronActivationPatterns/Resnet,49.635
19,CIFAR100,MNIST,STL10,NeuronActivationPatterns/Resnet,51.3438
20,CIFAR100,MNIST,TinyImagenet,NeuronActivationPatterns/Resnet,54.3194
21,CIFAR100,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,63.23
22,CIFAR100,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,74.2
23,CIFAR100,FashionMNIST,MNIST,NeuronActivationPatterns/Resnet,81.6
24,CIFAR100,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,82.3916
25,CIFAR100,FashionMNIST,CIFAR10,NeuronActivationPatterns/Resnet,49.86
26,CIFAR100,FashionMNIST,STL10,NeuronActivationPatterns/Resnet,51.3438
27,CIFAR100,FashionMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,53.7277
28,CIFAR100,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,60.585
29,CIFAR100,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,71.575
30,CIFAR100,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,81.18
31,CIFAR100,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,79.695
32,CIFAR100,NotMNIST,CIFAR10,NeuronActivationPatterns/Resnet,49.775
33,CIFAR100,NotMNIST,STL10,NeuronActivationPatterns/Resnet,51.2937
34,CIFAR100,NotMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,53.6073
35,CIFAR100,CIFAR10,UniformNoise,NeuronActivationPatterns/Resnet,64.28
36,CIFAR100,CIFAR10,NormalNoise,NeuronActivationPatterns/Resnet,64.28
37,CIFAR100,CIFAR10,MNIST,NeuronActivationPatterns/Resnet,64.255
38,CIFAR100,CIFAR10,FashionMNIST,NeuronActivationPatterns/Resnet,63.31
39,CIFAR100,CIFAR10,NotMNIST,NeuronActivationPatterns/Resnet,63.0848
40,CIFAR100,CIFAR10,STL10,NeuronActivationPatterns/Resnet,54.0563
41,CIFAR100,CIFAR10,TinyImagenet,NeuronActivationPatterns/Resnet,55.445
42,CIFAR100,STL10,UniformNoise,NeuronActivationPatterns/Resnet,62.61
43,CIFAR100,STL10,NormalNoise,NeuronActivationPatterns/Resnet,62.61
44,CIFAR100,STL10,MNIST,NeuronActivationPatterns/Resnet,62.585
45,CIFAR100,STL10,FashionMNIST,NeuronActivationPatterns/Resnet,61.8
46,CIFAR100,STL10,NotMNIST,NeuronActivationPatterns/Resnet,61.552
47,CIFAR100,STL10,CIFAR10,NeuronActivationPatterns/Resnet,52.815
48,CIFAR100,STL10,TinyImagenet,NeuronActivationPatterns/Resnet,55.3351
49,CIFAR100,TinyImagenet,UniformNoise,NeuronActivationPatterns/Resnet,65.485
50,CIFAR100,TinyImagenet,NormalNoise,NeuronActivationPatterns/Resnet,65.485
51,CIFAR100,TinyImagenet,MNIST,NeuronActivationPatterns/Resnet,65.45
52,CIFAR100,TinyImagenet,FashionMNIST,NeuronActivationPatterns/Resnet,64.365
53,CIFAR100,TinyImagenet,NotMNIST,NeuronActivationPatterns/Resnet,64.2544
54,CIFAR100,TinyImagenet,CIFAR10,NeuronActivationPatterns/Resnet,52.41
55,CIFAR100,TinyImagenet,STL10,NeuronActivationPatterns/Resnet,54.0313
