,hamming_distance
0,1
1,13
2,11
3,8
4,4
5,8
6,8
7,12
8,16
9,7
10,2
11,3
12,9
13,1
14,2
15,8
16,8
17,9
18,5
19,11
20,5
21,19
22,6
23,15
24,11
25,4
26,12
27,3
28,3
29,11
30,14
31,7
32,11
33,10
34,18
35,19
36,14
37,13
38,12
39,17
40,10
41,10
42,20
43,6
44,11
45,4
46,3
47,10
48,8
49,47
50,5
51,12
52,14
53,4
54,4
55,10
56,40
57,15
58,10
59,7
60,9
61,5
62,24
63,7
64,5
65,21
66,54
67,12
68,7
69,3
70,12
71,9
72,16
73,7
74,6
75,4
76,10
77,9
78,4
79,8
80,31
81,9
82,19
83,5
84,8
85,5
86,2
87,4
88,4
89,6
90,7
91,22
92,11
93,15
94,5
95,6
96,15
97,13
98,9
99,5
100,14
101,10
102,24
103,346
104,10
105,5
106,8
107,21
108,11
109,8
110,23
111,19
112,9
113,16
114,8
115,19
116,8
117,10
118,4
119,15
120,4
121,10
122,5
123,7
124,7
125,9
126,1
127,7
128,9
129,20
130,7
131,9
132,6
133,4
134,8
135,29
136,13
137,22
138,1
139,13
140,26
141,3
142,19
143,5
144,8
145,1
146,13
147,16
148,11
149,14
150,10
151,4
152,9
153,3
154,19
155,8
156,20
157,6
158,8
159,7
160,5
161,32
162,14
163,35
164,11
165,9
166,4
167,6
168,1
169,8
170,1
171,53
172,6
173,4
174,5
175,16
176,10
177,14
178,30
179,19
180,9
181,8
182,19
183,6
184,2
185,6
186,19
187,3
188,3
189,20
190,21
191,13
192,15
193,5
194,19
195,9
196,39
197,18
198,9
199,1
200,10
201,11
202,11
203,7
204,10
205,16
206,12
207,9
208,3
209,13
210,8
211,8
212,3
213,13
214,8
215,27
216,17
217,6
218,13
219,6
220,10
221,9
222,11
223,33
224,3
225,5
226,5
227,8
228,4
229,5
230,4
231,5
232,24
233,10
234,5
235,14
236,14
237,6
238,7
239,18
240,11
241,12
242,30
243,9
244,9
245,28
246,5
247,10
248,10
249,6
250,13
251,8
252,4
253,13
254,11
255,10
256,7
257,32
258,8
259,3
260,2
261,32
262,6
263,37
264,1
265,8
266,12
267,12
268,3
269,5
270,5
271,29
272,9
273,10
274,8
275,15
276,3
277,14
278,8
279,12
280,5
281,16
282,9
283,1
284,5
285,14
286,16
287,2
288,2
289,3
290,3
291,11
292,31
293,11
294,14
295,19
296,13
297,10
298,25
299,6
300,6
301,7
302,14
303,2
304,9
305,1
306,8
307,6
308,8
309,25
310,14
311,8
312,1
313,12
314,5
315,23
316,8
317,3
318,15
319,14
320,1
321,7
322,4
323,10
324,9
325,14
326,7
327,13
328,11
329,9
330,7
331,12
332,5
333,6
334,6
335,9
336,10
337,2
338,4
339,7
340,12
341,11
342,18
343,21
344,6
345,7
346,17
347,10
348,2
349,1
350,27
351,9
352,4
353,5
354,5
355,16
356,19
357,15
358,18
359,8
360,35
361,8
362,1
363,6
364,6
365,6
366,8
367,3
368,16
369,8
370,6
371,10
372,20
373,7
374,21
375,9
376,3
377,15
378,7
379,12
380,4
381,5
382,21
383,7
384,6
