,hamming_distance
0,40
1,47
2,54
3,28
4,61
5,50
6,104
7,62
8,44
9,56
10,44
11,44
12,18
13,66
14,55
15,43
16,29
17,68
18,30
19,48
20,38
21,50
22,35
23,72
24,33
25,84
26,46
27,33
28,76
29,75
30,64
31,41
32,71
33,100
34,51
35,55
36,6
37,47
38,28
39,43
40,61
41,35
42,67
43,75
44,59
45,72
46,70
47,80
48,57
49,73
50,46
51,68
52,34
53,40
54,61
55,40
56,41
57,49
58,46
59,24
60,68
61,16
62,75
63,56
64,51
65,47
66,109
67,64
68,48
69,36
70,66
71,30
72,97
73,24
74,73
75,29
76,54
77,66
78,83
79,83
80,58
81,40
82,71
83,49
84,33
85,72
86,113
87,67
88,51
89,68
90,35
91,71
92,49
93,112
94,33
95,39
96,43
97,46
98,87
99,43
100,80
101,29
102,53
103,52
104,61
105,30
106,42
107,40
108,38
109,44
110,53
111,28
112,86
113,60
114,71
115,37
116,72
117,42
118,51
119,33
120,35
121,33
122,62
123,69
124,64
125,46
126,44
127,58
128,55
129,54
130,26
131,53
132,59
133,58
134,48
135,62
136,39
137,37
138,38
139,75
140,48
141,25
142,30
143,58
144,31
145,50
146,28
147,51
148,39
149,47
150,73
151,72
152,33
153,65
154,32
155,80
156,74
157,66
158,30
159,49
160,114
161,58
162,49
163,20
164,56
165,47
166,75
167,93
168,26
169,28
170,41
171,71
172,39
173,37
174,34
175,80
176,49
177,71
178,55
179,68
180,50
181,48
182,28
183,54
184,64
185,21
186,40
187,66
188,111
189,34
190,32
191,48
192,28
193,36
194,111
195,55
196,110
197,73
198,40
199,46
200,47
201,80
202,46
203,42
204,72
205,26
206,69
207,82
208,63
209,47
210,40
211,37
212,45
213,62
214,65
215,31
216,59
217,16
218,61
219,43
220,33
221,25
222,61
223,40
224,26
225,104
226,31
227,47
228,44
229,45
230,64
231,40
232,22
233,46
234,27
235,43
236,55
237,43
238,41
239,68
240,70
241,96
242,72
243,57
244,28
245,27
246,99
247,81
248,39
249,85
250,60
251,18
252,62
253,51
254,34
255,50
256,62
257,35
258,78
259,38
260,43
261,35
262,48
263,38
264,37
265,99
266,48
267,25
268,81
269,30
270,38
271,19
272,91
273,39
274,34
275,40
276,64
277,65
278,73
279,58
280,26
281,44
282,39
283,77
284,37
285,44
286,94
287,59
288,33
289,57
290,126
291,52
292,37
293,26
294,41
295,72
296,38
297,89
298,44
299,40
300,38
301,51
302,37
303,25
304,54
305,36
306,37
307,75
308,61
309,28
310,48
311,52
312,28
313,32
314,83
315,33
316,67
317,31
318,39
319,54
320,67
321,45
322,40
323,26
324,33
325,48
326,40
327,3
328,43
329,33
330,69
331,33
332,68
333,41
334,74
335,46
336,39
337,57
338,74
339,32
340,77
341,77
342,70
343,50
344,38
345,57
346,73
347,49
348,28
349,95
350,60
351,30
352,42
353,34
354,60
355,51
356,53
357,31
358,125
359,26
360,49
361,60
362,36
363,54
364,51
365,50
366,75
367,61
368,45
369,51
370,38
371,49
372,40
373,42
374,38
375,81
376,50
377,36
378,68
379,39
380,30
381,63
382,66
383,39
384,86
385,69
386,47
387,40
388,14
389,11
390,42
391,63
392,63
393,47
394,47
395,72
396,43
397,67
398,64
399,51
400,45
401,100
402,38
403,64
404,43
405,40
406,39
407,19
408,81
409,29
410,42
411,31
412,20
413,46
414,36
415,67
416,78
417,99
418,50
419,46
420,40
421,27
422,68
423,62
424,72
425,48
426,27
427,49
428,48
429,51
430,77
431,88
432,42
433,63
434,63
435,53
436,63
437,22
438,29
439,60
440,72
441,69
442,39
443,54
444,59
445,49
446,49
447,60
448,38
449,38
450,32
451,37
452,50
453,65
454,34
455,46
456,38
457,40
458,36
459,53
460,42
461,33
462,67
463,68
464,45
465,45
466,52
467,40
468,77
469,45
470,72
471,44
472,47
473,17
474,42
475,32
476,49
477,72
478,39
479,70
480,53
481,54
482,31
483,53
484,25
485,51
486,60
487,26
488,61
489,67
490,42
491,46
492,49
493,34
494,30
495,38
496,62
497,36
498,26
499,66
500,35
501,39
502,52
503,33
504,57
505,37
506,108
507,67
508,45
509,55
510,48
511,44
512,28
513,53
514,40
515,37
516,32
517,46
518,28
519,57
520,31
521,55
522,37
523,73
524,35
525,89
526,40
527,26
528,74
529,61
530,70
531,43
532,54
533,86
534,48
535,57
536,4
537,48
538,31
539,50
540,62
541,27
542,45
543,67
544,67
545,73
546,54
547,64
548,62
549,67
550,57
551,69
552,31
553,68
554,54
555,29
556,41
557,52
558,39
559,33
560,63
