,hamming_distance
0,14
1,12
2,12
3,12
4,19
5,20
6,16
7,17
8,16
9,18
10,18
11,23
12,23
13,15
14,13
15,18
16,12
17,7
18,6
19,21
20,13
21,21
22,7
23,18
24,28
25,16
26,11
27,24
28,13
29,14
30,19
31,22
32,15
33,19
34,22
35,18
36,21
37,11
38,13
39,10
40,19
41,20
42,20
43,17
44,13
45,19
46,12
47,13
48,12
49,16
50,22
51,11
52,12
53,20
54,16
55,24
56,17
57,16
58,13
59,8
60,16
61,16
62,15
63,13
64,17
65,16
66,18
67,17
68,20
69,26
70,20
71,17
72,22
73,11
74,18
75,27
76,16
77,12
78,17
79,20
80,28
81,19
82,13
83,14
84,25
85,19
86,15
87,15
88,20
89,18
90,12
91,15
92,21
93,28
94,15
95,19
96,11
97,13
98,12
99,18
100,19
101,13
102,19
103,20
104,14
105,9
106,12
107,13
108,16
109,19
110,14
111,17
112,15
113,13
114,22
115,16
116,25
117,15
118,18
119,13
120,15
121,21
122,12
123,11
124,10
125,10
126,15
127,12
128,24
129,14
130,19
131,19
132,19
133,16
134,27
135,21
136,15
137,17
138,15
139,21
140,20
141,15
142,18
143,17
144,14
145,13
146,15
147,15
148,15
149,16
150,11
151,14
152,20
153,16
154,9
155,18
156,22
157,25
158,14
159,16
160,26
161,11
162,23
163,15
164,18
165,14
166,16
167,21
168,22
169,15
170,11
171,17
172,14
173,19
174,16
175,14
176,25
177,15
178,21
179,21
180,21
181,12
182,20
183,16
184,15
185,13
186,15
187,21
188,22
189,15
190,20
191,21
192,11
193,17
194,16
195,16
196,15
197,18
198,17
199,14
200,15
201,6
202,9
203,12
204,13
205,10
206,15
207,25
208,20
209,14
210,22
211,15
212,10
213,14
214,9
215,17
216,23
217,11
218,18
219,15
220,14
221,24
222,26
223,13
224,12
225,14
226,12
227,21
228,13
229,16
230,15
231,19
232,9
233,9
234,16
235,17
236,13
237,17
238,8
239,12
240,12
241,23
242,16
243,25
244,15
245,19
246,15
247,14
248,11
249,17
250,10
251,24
252,11
253,25
254,11
255,7
256,13
257,10
258,16
259,10
260,16
261,15
262,10
263,18
264,10
265,13
266,13
267,15
268,17
269,20
270,10
271,18
272,17
273,13
274,25
275,15
276,21
277,21
278,10
279,18
280,19
281,13
282,28
283,12
284,17
285,15
286,16
287,18
288,8
289,19
290,13
291,12
292,19
293,12
294,20
295,11
296,18
297,23
298,14
299,24
300,12
301,10
302,16
303,9
304,18
305,23
306,14
307,17
308,20
309,15
310,12
311,15
312,15
313,23
314,17
315,16
316,20
317,19
318,22
319,11
320,16
321,22
322,11
323,16
324,11
325,15
326,22
327,19
328,16
329,18
330,21
331,12
332,14
333,27
334,14
335,19
336,15
337,18
338,23
339,13
340,24
341,16
342,17
343,15
344,18
345,13
346,11
347,16
348,20
349,20
350,16
351,15
352,27
353,16
354,27
355,15
356,16
357,12
358,16
359,14
360,14
361,15
362,14
363,19
364,12
365,14
366,24
367,21
368,15
369,14
370,13
371,23
372,22
373,16
374,18
375,16
376,10
377,10
378,18
379,22
380,9
381,11
382,23
383,19
384,20
385,19
386,16
387,21
388,19
389,13
390,12
391,18
392,13
393,12
394,16
395,14
396,13
397,25
398,15
399,15
400,14
401,13
402,9
403,8
404,12
405,18
406,21
407,26
408,10
409,19
410,22
411,19
412,18
413,15
414,16
415,22
416,20
417,19
418,16
419,13
420,19
421,14
422,18
423,23
424,16
425,20
426,21
427,22
428,19
429,14
430,9
431,20
432,12
433,15
434,13
435,17
436,23
437,17
438,18
439,11
440,15
441,17
442,35
443,24
444,27
445,14
446,14
447,17
448,11
449,16
450,13
451,8
452,21
453,10
454,26
455,14
456,19
457,10
458,20
459,9
460,13
461,16
462,22
463,21
464,12
465,20
466,13
467,20
468,15
469,12
470,9
471,27
472,12
473,17
474,16
475,20
476,16
477,22
478,21
479,29
480,9
481,26
482,19
483,17
484,28
485,13
486,13
487,17
488,13
489,17
490,20
491,15
492,23
493,18
494,12
495,11
496,19
497,18
498,11
499,11
500,19
501,16
502,15
503,13
504,17
505,16
506,15
507,16
508,17
509,18
510,22
511,17
512,17
513,21
514,15
515,22
516,15
517,7
518,12
519,22
520,11
521,17
522,8
523,19
524,26
525,14
526,11
527,23
528,19
529,17
530,16
531,20
532,18
533,19
534,16
535,16
536,15
537,11
538,12
539,14
540,19
541,15
542,20
543,19
544,14
545,15
546,14
547,10
548,11
549,19
550,21
551,16
552,13
553,25
554,21
555,19
556,23
557,10
558,12
559,8
560,14
561,17
562,13
563,10
564,13
565,19
566,15
567,12
568,20
569,20
570,24
571,15
572,17
573,9
574,11
575,15
576,14
577,14
578,14
579,19
580,21
581,16
582,13
583,13
584,15
585,22
586,14
587,10
588,19
589,13
590,12
591,20
592,16
593,28
594,19
595,14
596,12
597,12
598,15
599,18
600,18
601,13
602,16
603,18
604,12
605,9
606,10
607,12
608,20
609,19
610,15
611,18
612,17
613,11
614,17
615,19
616,16
617,13
618,24
619,14
620,15
621,22
622,12
623,11
624,12
625,10
626,16
627,17
628,13
629,17
630,26
631,23
632,24
633,16
634,22
635,18
636,19
637,18
638,10
639,18
640,16
641,14
642,16
643,18
644,15
645,22
646,19
647,16
648,14
649,20
650,19
651,16
652,13
653,20
654,12
655,20
656,17
657,26
658,15
659,17
660,20
661,11
662,16
663,13
664,18
665,15
666,14
667,25
668,22
669,24
670,14
671,15
672,14
673,21
674,15
675,9
676,26
677,17
678,16
679,22
680,17
681,13
682,21
683,17
684,12
685,17
686,19
687,20
688,16
689,14
690,22
691,21
692,12
693,14
694,15
695,20
696,15
697,21
698,18
699,12
700,17
701,7
702,9
703,14
704,8
705,8
706,14
707,26
708,20
709,14
710,23
711,24
712,11
713,17
714,8
715,25
716,19
717,16
718,14
719,26
720,18
721,20
722,26
723,17
724,14
725,16
726,18
727,20
728,16
729,16
730,14
731,15
732,11
733,11
734,17
735,22
736,12
737,18
738,10
739,14
740,16
741,21
742,13
743,22
744,12
745,19
746,17
747,11
748,10
749,20
750,10
751,28
752,13
753,22
754,12
755,13
756,14
757,9
758,12
759,15
760,15
761,17
762,14
763,19
764,8
765,11
766,19
767,17
768,20
769,19
770,12
771,18
772,21
773,17
774,24
775,11
776,18
777,27
778,10
779,22
780,18
781,16
782,20
783,12
784,16
785,15
786,19
787,26
788,12
789,20
790,18
791,13
792,17
793,9
794,21
795,11
796,17
797,26
798,14
799,21
800,15
801,6
802,11
803,13
804,22
805,23
806,15
807,18
808,26
809,14
810,9
811,17
812,9
813,17
814,19
815,14
816,22
817,18
818,13
819,12
820,14
821,19
822,8
823,14
824,15
825,20
826,20
827,17
828,19
829,18
830,19
831,13
832,15
833,27
834,18
835,16
836,18
837,19
838,26
839,16
840,25
841,16
842,18
843,12
844,20
845,17
846,9
847,21
848,23
849,19
850,21
851,14
852,26
853,14
854,27
855,18
856,19
857,12
858,23
859,14
860,16
861,14
862,11
863,17
864,10
865,12
866,18
867,22
868,13
869,14
870,14
871,23
872,18
873,22
874,15
875,18
876,13
877,10
878,17
879,21
880,4
881,9
882,20
883,17
884,16
885,18
886,17
887,19
888,23
889,18
890,11
891,14
892,14
893,15
894,15
895,15
896,10
897,23
898,11
899,16
900,12
901,12
902,10
903,10
904,13
905,16
906,24
907,25
908,15
909,19
910,25
911,23
912,17
913,17
914,12
915,21
916,19
917,13
918,13
919,14
920,21
921,17
922,22
923,29
924,14
925,25
926,18
927,17
928,20
929,12
930,11
931,17
932,10
933,17
934,16
935,20
936,17
937,20
938,17
939,14
940,15
941,18
942,23
943,20
944,21
945,13
946,16
947,17
948,17
949,20
950,15
951,5
952,25
953,16
954,25
955,14
956,19
957,9
958,18
959,14
960,9
961,14
962,14
963,15
964,16
965,20
966,15
967,20
968,18
969,15
970,8
971,29
972,20
973,28
974,24
975,16
976,13
977,22
978,20
979,20
980,7
981,23
982,20
983,14
984,24
985,11
986,20
987,13
988,23
989,17
990,21
991,12
992,19
993,13
994,14
995,14
996,20
997,16
998,14
999,11
