,hamming_distance
0,368
1,395
2,313
3,334
4,257
5,191
6,369
7,417
8,404
9,215
10,456
11,388
12,441
13,446
14,403
15,370
16,243
17,302
18,373
19,373
20,362
21,423
22,270
23,327
24,277
25,244
26,277
27,338
28,303
29,352
30,426
31,399
32,354
33,354
34,419
35,278
36,465
37,192
38,483
39,425
40,362
41,310
42,406
43,294
44,465
45,450
46,389
47,413
48,334
49,388
50,193
51,373
52,439
53,418
54,330
55,373
56,389
57,337
58,412
59,431
60,304
61,488
62,316
63,388
64,433
65,431
66,349
67,221
68,422
69,287
70,289
71,369
72,280
73,448
74,423
75,231
76,442
77,419
78,481
79,286
80,178
81,309
82,339
83,361
84,455
85,380
86,345
87,417
88,362
89,407
90,290
91,373
92,258
93,285
94,275
95,370
96,419
97,441
98,367
99,363
100,426
101,430
102,271
103,419
104,181
105,429
106,231
107,371
108,385
109,369
110,362
111,418
112,342
113,442
114,452
115,254
116,434
117,310
118,533
119,260
120,404
121,232
122,284
123,240
124,457
125,429
126,297
127,405
128,355
129,303
130,287
131,377
132,338
133,372
134,360
135,423
136,401
137,273
138,351
139,480
140,349
141,392
142,359
143,391
144,366
145,354
146,339
147,321
148,402
149,417
150,253
151,263
152,412
153,275
154,297
155,438
156,368
157,509
158,336
159,381
160,257
161,457
162,334
163,463
164,327
165,338
166,250
167,406
168,386
169,365
170,447
171,267
172,532
173,302
174,262
175,397
176,406
177,349
178,264
179,403
180,239
181,280
182,313
183,274
184,236
185,349
186,407
187,410
188,458
189,331
190,350
191,402
192,342
193,409
194,364
195,312
196,417
197,405
198,379
199,314
200,366
201,314
202,346
203,426
204,364
205,237
206,311
207,205
208,371
209,435
210,408
211,372
212,444
213,388
214,316
215,369
216,403
217,386
218,417
219,429
220,408
221,374
222,282
223,397
224,323
225,191
226,321
227,255
228,441
229,414
230,387
231,452
232,388
233,370
234,183
235,324
236,278
237,285
238,400
239,316
240,434
241,423
242,399
243,367
244,412
245,238
246,276
247,346
248,195
249,314
250,360
251,342
252,418
253,437
254,292
255,233
256,364
257,321
258,441
259,381
260,422
261,388
262,399
263,277
264,448
265,341
266,378
267,410
268,343
269,420
270,296
271,346
272,405
273,109
274,227
275,383
276,337
277,348
278,375
279,320
280,394
281,245
282,293
283,380
284,370
285,404
286,230
287,274
288,428
289,385
290,423
291,426
292,382
293,379
294,471
295,433
296,373
297,387
298,160
299,369
300,388
301,421
302,331
303,332
304,395
305,437
306,400
307,326
308,339
309,358
310,406
311,407
312,240
313,428
314,206
315,391
316,393
317,430
318,337
319,380
320,333
321,323
322,407
323,391
324,294
325,248
326,446
327,450
328,200
329,377
330,331
331,166
332,465
333,336
334,454
335,396
336,338
337,283
338,462
339,394
340,403
341,434
342,311
343,405
344,265
345,172
346,292
347,394
348,349
349,411
350,397
351,381
352,432
353,409
354,320
355,378
356,283
357,403
358,471
359,368
360,404
361,391
362,304
363,251
364,374
365,334
366,480
367,428
368,280
369,433
370,447
371,316
372,367
373,270
374,448
375,461
376,371
377,403
378,339
379,386
380,415
381,349
382,412
383,182
384,443
385,337
386,439
387,383
388,400
389,244
390,344
391,380
392,286
393,364
394,368
395,372
396,313
397,334
398,257
399,191
400,369
401,417
402,399
403,215
404,471
405,389
406,463
407,446
408,391
409,361
410,243
411,302
412,424
413,368
414,362
415,444
416,270
417,327
418,277
419,244
420,277
421,351
422,303
423,352
424,413
425,396
426,359
427,359
428,400
429,278
430,434
431,192
432,458
433,442
434,362
435,321
436,406
437,301
438,454
439,436
440,409
441,431
442,334
443,375
444,193
445,373
446,425
447,448
448,330
449,373
450,389
451,337
452,418
453,411
454,304
455,474
456,316
457,415
458,438
459,396
460,349
461,221
462,427
463,287
464,289
465,354
466,280
467,448
468,406
469,231
470,442
471,420
472,474
473,286
474,178
475,309
476,339
477,361
478,429
479,398
480,345
481,415
482,381
483,407
484,290
485,373
486,258
487,285
488,275
489,370
490,403
491,432
492,368
493,356
494,413
495,430
496,271
497,428
498,181
499,427
500,231
501,371
502,381
503,369
504,365
505,427
506,342
507,441
508,440
509,254
510,458
511,310
512,566
513,260
514,408
515,232
516,284
517,240
518,468
519,414
520,297
521,405
522,355
523,303
524,295
525,377
526,314
527,364
528,360
529,396
530,401
531,273
532,351
533,487
534,349
535,408
536,380
537,391
538,366
539,354
540,339
541,321
542,422
543,442
544,253
545,263
546,427
547,275
548,297
549,433
550,364
551,501
552,336
553,361
554,257
555,447
556,334
557,421
558,327
559,338
560,250
561,404
562,388
563,365
564,457
565,267
566,497
567,302
568,262
569,430
570,404
571,349
572,264
573,381
574,239
575,280
576,313
577,274
578,236
579,349
580,441
581,410
582,452
583,331
584,350
585,402
586,342
587,403
588,354
589,312
590,428
591,428
592,409
593,314
594,366
595,314
596,346
597,424
