,hamming_distance
0,183
1,147
2,185
3,173
4,203
5,208
6,250
7,214
8,171
9,169
10,213
11,179
12,142
13,167
14,232
15,177
16,222
17,181
18,178
19,172
20,163
21,182
22,150
23,142
24,162
25,201
26,191
27,169
28,106
29,168
30,190
31,192
32,167
33,184
34,172
35,158
36,235
37,142
38,201
39,274
40,139
41,177
42,169
43,158
44,164
45,176
46,167
47,190
48,159
49,174
50,160
51,177
52,200
53,141
54,224
55,169
56,208
57,171
58,210
59,197
60,162
61,169
62,160
63,212
64,160
65,183
66,171
67,332
68,135
69,160
70,187
71,160
72,170
73,149
74,156
75,178
76,155
77,170
78,152
79,230
80,160
81,144
82,216
83,170
84,166
85,180
86,171
87,169
88,159
89,195
90,172
91,164
92,142
93,170
94,153
95,191
96,185
97,174
98,162
99,203
100,167
101,181
102,231
103,197
104,168
105,158
106,194
107,199
108,193
109,176
110,164
111,182
112,167
113,177
114,165
115,139
116,178
117,156
118,209
119,159
120,167
121,173
122,176
123,187
124,182
125,216
126,211
127,165
128,189
129,211
130,186
131,209
132,156
133,167
134,218
135,180
136,259
137,153
138,180
139,129
140,141
141,184
142,222
143,268
144,166
145,170
146,138
147,179
148,206
149,157
150,217
151,181
152,156
153,209
154,162
155,157
156,233
157,174
158,134
159,159
160,169
161,194
162,233
163,162
164,172
165,163
166,181
167,196
168,158
169,125
170,181
171,178
172,197
173,187
174,186
175,185
176,213
177,190
178,235
179,160
180,158
181,159
182,202
183,155
184,160
185,176
186,166
187,213
188,194
189,178
190,151
191,163
192,158
193,186
194,281
195,186
196,191
197,223
198,182
199,152
200,178
201,176
202,169
203,171
204,170
205,160
206,154
207,199
208,166
209,163
210,180
211,187
212,191
213,158
214,175
215,192
216,152
217,191
218,156
219,174
220,215
221,151
222,169
223,182
224,152
225,219
226,171
227,157
228,272
229,162
230,173
231,156
232,162
233,171
234,150
235,172
236,195
237,173
238,154
239,167
240,207
241,187
242,221
243,148
244,144
245,145
246,180
247,168
248,150
249,190
250,195
251,181
252,348
253,189
254,165
255,129
256,157
257,166
258,187
259,142
260,178
261,206
262,300
263,179
264,179
265,189
266,190
267,201
268,178
269,160
270,184
271,263
272,218
273,166
274,169
275,149
276,171
277,183
278,237
279,156
280,192
281,164
282,183
283,159
284,205
285,193
286,228
287,197
288,181
289,161
290,179
291,239
292,152
293,156
294,189
295,214
296,180
297,203
298,152
299,158
300,179
301,164
302,167
303,200
304,232
305,140
306,171
307,172
308,153
309,158
310,197
311,178
312,218
313,156
314,154
315,180
316,245
317,175
318,167
319,162
320,192
321,181
322,170
323,174
324,226
325,144
326,201
327,192
328,147
329,205
330,149
331,175
332,171
333,223
334,161
335,154
336,174
337,147
338,205
339,161
340,195
341,225
342,208
343,173
344,203
345,200
346,172
347,150
348,166
349,176
350,139
351,158
352,259
353,187
354,298
355,175
356,219
357,155
358,180
359,173
360,175
361,177
362,215
363,126
364,164
365,127
366,157
367,142
368,181
369,178
370,187
371,249
372,154
373,153
374,161
375,143
376,167
377,196
378,175
379,251
380,178
381,140
382,141
383,155
384,166
385,179
386,150
387,157
388,182
389,173
390,187
391,213
392,185
393,189
394,184
395,232
396,212
397,148
398,204
399,174
400,155
401,197
402,179
403,193
404,182
405,149
406,155
407,166
408,201
409,162
410,188
411,164
412,147
413,181
414,278
415,167
416,163
417,191
418,160
419,196
420,190
421,196
422,156
423,195
424,168
425,191
426,157
427,290
428,135
