,hamming_distance
0,258
1,352
2,312
3,337
4,347
5,306
6,384
7,320
8,346
9,319
10,383
11,369
12,309
13,311
14,354
15,490
16,347
17,383
18,337
19,437
20,235
21,364
22,259
23,353
24,291
25,393
26,447
27,251
28,275
29,213
30,351
31,234
32,173
33,174
34,343
35,259
36,173
37,271
38,232
39,200
40,316
41,248
42,387
43,408
44,332
45,363
46,286
47,243
48,418
49,327
50,305
51,337
52,253
53,375
54,252
55,289
56,243
57,360
58,336
59,449
60,302
61,481
62,480
63,324
64,268
65,302
66,485
67,341
68,340
69,451
70,281
71,431
72,311
73,317
74,319
75,384
76,235
77,335
78,317
79,367
80,231
81,379
82,306
83,324
84,280
85,331
86,246
87,509
88,373
89,411
90,385
91,227
92,322
93,271
94,216
95,265
96,318
97,292
98,254
99,286
100,221
101,308
102,293
103,489
104,259
105,325
106,409
107,419
108,326
109,277
110,331
111,284
112,436
113,478
114,452
115,354
116,275
117,327
118,318
119,381
120,364
121,260
122,260
123,377
124,279
125,376
126,351
127,296
128,346
129,367
130,410
131,355
132,385
133,370
134,327
135,318
136,361
137,267
138,232
139,287
140,370
141,282
142,242
143,384
144,352
145,436
146,224
147,304
148,274
149,384
150,307
151,276
152,376
153,375
154,246
155,287
156,348
157,305
158,515
159,263
160,377
161,335
162,341
163,338
164,318
165,221
166,361
167,483
168,265
169,250
170,388
171,367
172,297
173,317
174,312
175,340
176,260
177,309
178,312
179,301
180,455
181,351
182,374
183,384
184,358
185,301
186,292
187,282
188,365
189,359
190,200
191,343
192,323
193,350
194,314
195,372
196,398
197,356
198,386
199,358
200,355
201,291
202,348
203,236
204,380
205,370
206,354
207,497
208,326
209,309
210,272
211,373
212,240
213,325
214,289
215,345
216,272
217,393
218,229
219,297
220,413
221,275
222,318
223,326
224,325
225,266
226,266
227,218
228,431
229,368
230,221
231,366
232,367
233,318
234,227
235,219
236,291
237,267
238,458
239,257
240,366
241,313
242,260
243,235
244,375
245,336
246,258
247,280
248,308
249,253
250,219
251,275
252,412
253,427
254,265
255,279
256,353
257,275
258,332
259,257
260,388
261,351
262,268
263,315
264,361
265,397
266,278
267,426
268,285
269,361
270,381
271,271
272,246
273,388
274,272
275,380
276,448
277,423
278,375
279,251
280,417
281,339
282,429
283,398
284,397
285,429
286,355
287,292
288,439
289,405
290,319
291,334
292,376
293,299
294,370
295,285
296,231
297,388
298,245
299,264
300,305
301,256
302,307
303,303
304,297
305,200
306,264
307,415
308,273
309,342
310,200
311,348
312,298
313,217
314,309
315,282
316,275
317,423
318,311
319,289
320,294
321,393
322,331
323,362
324,321
325,225
326,331
327,351
328,365
329,223
330,243
331,467
332,326
333,301
334,243
335,358
336,293
337,334
338,289
339,301
340,363
341,326
342,250
343,334
344,345
345,265
346,363
347,344
348,341
349,220
350,393
351,280
352,354
353,378
354,270
355,322
356,364
357,263
358,411
359,248
360,275
361,233
362,332
363,462
364,270
365,352
366,420
367,391
368,371
369,351
370,267
371,419
372,357
373,347
374,283
375,290
376,333
377,364
378,322
379,330
380,303
381,297
382,313
383,371
384,360
385,346
386,390
387,346
388,365
389,337
390,399
391,394
392,296
393,380
394,241
395,306
396,361
397,339
398,300
399,360
400,285
401,283
402,215
403,398
404,314
405,327
406,440
407,400
408,440
409,318
410,483
411,420
412,396
413,411
414,233
415,367
416,314
417,380
418,409
419,233
420,371
421,324
422,278
423,321
424,307
425,383
426,294
427,362
428,254
429,269
430,428
431,220
432,374
433,220
434,315
435,384
436,309
437,329
438,435
439,260
440,562
441,319
442,366
443,331
444,373
445,390
446,318
447,372
448,280
449,340
450,205
451,238
452,380
453,442
454,412
455,434
456,395
457,395
458,318
459,375
460,393
461,455
462,327
463,450
464,356
465,418
466,489
467,339
468,444
469,344
470,287
471,306
472,306
473,306
474,306
475,344
476,410
477,386
478,386
479,337
480,323
481,315
482,292
483,260
484,326
485,452
486,345
487,356
488,322
489,276
490,275
491,288
492,378
493,226
494,326
495,374
496,507
497,326
498,282
499,280
500,233
501,379
502,349
503,279
504,259
505,247
506,401
507,232
508,363
509,298
510,263
511,317
512,408
513,281
514,249
515,240
516,254
517,428
518,455
519,470
520,332
521,251
522,313
523,235
524,418
525,256
526,448
527,385
528,314
529,347
530,347
531,387
532,299
533,408
534,286
535,403
536,252
537,328
538,289
539,326
540,414
541,402
542,501
543,463
544,258
545,389
546,367
547,251
548,382
549,424
550,251
551,270
552,467
553,360
554,273
555,327
556,286
557,365
558,344
559,465
560,232
561,402
562,262
563,274
564,227
565,271
566,232
567,216
568,285
569,216
570,372
571,406
572,296
573,416
574,218
575,419
576,352
577,346
578,327
579,341
580,322
581,362
582,308
583,288
584,360
585,425
586,333
587,330
588,422
589,314
590,361
591,458
592,367
593,371
594,368
595,411
596,348
597,298
598,383
599,334
600,330
601,267
602,341
603,390
604,279
605,282
606,355
607,416
608,317
609,236
610,236
611,383
612,311
613,240
614,312
615,312
616,364
617,327
618,490
