,hamming_distance
0,2285
1,4694
2,2015
3,1014
4,5401
5,2527
6,2926
7,4408
8,2555
9,935
10,3207
11,2252
12,2489
13,3611
14,3224
15,5745
16,2333
17,4316
18,2236
19,2341
20,3644
21,2424
22,4647
23,4234
24,3156
25,3176
26,2656
27,3702
28,2799
29,3490
30,3003
31,3426
32,3345
33,3499
34,3529
35,2551
36,3664
37,4070
38,2626
39,4780
40,4406
41,3004
42,5563
43,2348
44,3392
45,4200
46,2141
47,3715
48,2392
49,3154
50,1859
51,3655
52,2598
53,3224
54,3189
55,2570
56,1153
57,3112
58,3061
59,3529
60,2347
61,4115
62,1925
63,4618
64,2855
65,1517
66,3890
67,3060
68,3621
69,1807
70,3191
71,3269
72,2475
73,3114
74,3244
75,2558
76,4291
77,3351
78,3100
79,2949
80,3689
81,4718
82,2734
83,1573
84,2841
85,2002
86,2936
87,1987
88,1753
89,2669
90,3298
91,1999
92,4321
93,1167
94,2169
95,2320
96,3708
97,2919
98,2200
99,2039
100,3397
101,2942
102,3045
103,2452
104,2511
105,3560
106,2402
107,2844
108,2158
109,2082
110,2259
111,2229
112,3364
113,3002
114,3979
115,3104
116,4024
117,2431
118,2888
119,2988
120,935
121,1939
122,3568
123,2742
124,3166
125,4248
126,3337
127,3942
128,2742
129,4301
130,2457
131,2915
132,1683
133,1604
134,5116
135,4578
136,3869
137,2597
138,2973
139,2287
140,3093
141,1106
142,3450
143,3071
144,2486
145,3146
146,3598
147,3058
148,1733
149,2561
150,3913
151,2605
152,3274
153,2445
154,2105
155,2993
156,3477
157,2581
158,2966
159,2041
160,3722
161,3616
162,2726
163,2098
164,1755
165,3527
166,2797
167,2264
168,4478
169,3296
170,2107
171,1631
172,3262
173,3765
174,2586
175,2815
176,2008
177,2683
178,2830
179,4437
180,4680
181,3628
182,2361
183,2841
184,2878
185,3090
186,4192
187,3815
188,1517
189,3433
190,2768
191,3040
192,2914
193,1560
194,3019
195,4415
196,1534
197,3517
198,2405
199,4063
200,2971
201,2365
202,2050
203,2189
204,2323
205,3584
206,1629
207,3106
208,1704
209,3293
210,1579
211,2305
212,3182
213,2550
214,2173
215,3065
216,3054
217,3792
218,2720
219,2171
220,3801
221,2648
222,2950
223,3852
224,3034
225,2083
226,3141
227,4961
228,1754
229,3690
230,2974
231,2329
232,2155
233,1696
234,2266
235,3206
236,5317
237,2781
238,1344
239,3522
240,3668
241,2637
242,3079
243,4419
244,2662
245,3242
246,3770
247,2823
248,2095
249,2982
250,2107
251,3209
252,2356
253,2543
254,3583
255,2708
256,2811
257,3341
258,2166
259,3119
260,2920
261,2296
262,2563
263,4147
264,3547
265,4501
266,2075
267,2586
268,1841
269,2088
270,2833
271,3479
272,2565
273,2961
274,2953
275,3624
276,4675
277,2851
278,3196
279,4121
280,1883
281,2965
282,4802
283,3984
284,3017
285,2887
286,3495
287,3006
288,2326
289,2192
290,1724
291,3018
292,2819
293,3174
294,3535
295,2432
296,5123
297,5372
298,2747
299,2457
300,3887
301,2984
302,4023
303,2348
304,2131
305,3337
306,3775
307,3597
308,2402
309,2633
310,4468
311,2622
312,1893
313,4616
314,1801
315,2995
316,2390
317,4917
318,2160
319,4353
320,2763
321,2944
322,3551
323,3018
324,3760
325,2444
326,2782
327,2656
328,3997
329,1901
330,3100
331,1659
332,4610
333,3030
334,2090
335,2489
336,5003
337,1973
338,4705
339,3871
340,1880
341,4306
342,2008
343,2263
344,3587
345,4405
346,2909
347,2609
348,2544
349,2951
350,2806
351,2505
352,3970
353,1622
354,2950
355,4282
356,3138
357,4291
358,2215
359,2838
360,2645
361,4079
362,3378
363,3313
364,2949
365,4267
366,2353
367,2466
368,2350
369,2443
370,1815
371,3706
372,1154
373,4248
374,2036
375,2417
376,2954
377,1999
378,3130
379,2922
380,2927
381,3059
382,2329
383,1809
384,3021
385,4265
386,3770
387,4073
388,3616
389,3482
390,3300
391,2988
392,3858
393,5209
394,4066
395,2696
396,2307
397,4049
398,907
399,1831
400,4528
401,2838
402,3820
403,3211
404,2302
405,3707
406,1893
407,2515
408,2199
409,2193
410,3025
411,3510
412,2592
413,3508
414,3804
415,3626
416,1754
417,2608
418,2461
419,2361
420,4012
421,3612
422,2563
423,2042
424,2527
425,3472
426,4386
427,2593
428,3000
429,3302
430,2488
431,3092
432,3267
433,2887
434,1728
435,1921
436,3179
437,2196
438,2888
439,3603
440,2663
441,3627
442,2620
443,1859
444,1835
445,1866
446,2404
447,3533
448,2249
449,4801
450,3720
451,3371
452,2614
453,1658
454,5020
455,2960
456,1604
457,3379
458,2709
459,2720
460,2101
461,1807
462,1925
463,2841
464,2716
465,2838
466,1907
467,2026
468,2304
469,4638
470,4875
471,1683
472,3390
473,2993
474,2110
475,2287
476,3907
477,2358
478,3221
479,1891
480,3271
481,3482
482,2695
483,3068
484,2006
485,2701
486,2701
487,3572
488,3087
489,3814
490,2738
491,3748
492,1762
493,2545
494,3884
495,2839
496,2926
497,984
498,2543
499,2132
500,2285
501,4694
502,2015
503,1014
504,5206
505,2485
506,3084
507,4352
508,2555
509,1094
510,3381
511,2252
512,2489
513,3361
514,3272
515,5703
516,2333
517,4031
518,1955
519,2325
520,3405
521,2501
522,4942
523,4234
524,3103
525,3176
526,2656
527,4118
528,2799
529,3472
530,2993
531,3708
532,3542
533,3499
534,3661
535,2551
536,3417
537,3456
538,2626
539,4780
540,4406
541,3004
542,5412
543,2341
544,3392
545,4200
546,2057
547,3841
548,2340
549,3049
550,2021
551,3655
552,2598
553,3224
554,3189
555,2607
556,1153
557,3112
558,3210
559,3809
560,2347
561,4484
562,1925
563,4618
564,2855
565,1378
566,4398
567,2937
568,3700
569,1914
570,3460
571,3387
572,2475
573,3114
574,3244
575,2558
576,4291
577,3386
578,3228
579,3835
580,3689
581,4955
582,2659
583,1573
584,2488
585,2002
586,3532
587,1987
588,1753
589,2669
590,3279
591,1748
592,3857
593,1167
