,hamming_distance
0,34
1,28
2,30
3,18
4,19
5,13
6,25
7,7
8,30
9,30
10,22
11,23
12,8
13,22
14,29
15,44
16,22
17,44
18,27
19,19
20,17
21,26
22,22
23,24
24,35
25,29
26,37
27,46
28,24
29,19
30,28
31,28
32,44
33,7
34,15
35,18
36,21
37,20
38,29
39,39
40,6
41,18
42,23
43,34
44,20
45,28
46,20
47,52
48,14
49,21
50,53
51,16
52,21
53,14
54,18
55,26
56,15
57,7
58,23
59,72
60,18
61,22
62,50
63,31
64,37
65,22
66,23
67,28
68,10
69,17
70,13
71,15
72,18
73,18
74,18
75,23
76,29
77,27
78,36
79,3
80,47
81,39
82,28
83,30
84,28
85,35
86,22
87,28
88,53
89,24
90,58
91,23
92,23
93,28
94,17
95,42
96,40
97,54
98,20
99,31
100,14
101,23
102,7
103,13
104,54
105,26
106,16
107,33
108,14
109,6
110,14
111,23
112,42
113,15
114,24
115,36
116,32
117,19
118,24
119,7
120,22
121,29
122,35
123,24
124,49
125,21
126,20
127,30
128,24
129,16
130,2
131,62
132,10
133,20
134,53
135,31
136,9
137,5
138,17
139,19
140,58
141,9
142,25
143,7
144,9
145,23
146,25
147,6
148,12
149,15
150,41
151,28
152,40
153,38
154,10
155,43
156,24
157,46
158,8
159,36
160,28
161,11
162,25
163,29
164,13
165,42
166,28
167,25
168,45
169,13
170,28
171,57
172,33
173,10
174,36
175,31
176,38
177,26
178,31
179,33
180,10
181,18
182,12
183,14
184,29
185,7
186,22
187,21
188,6
189,46
190,37
191,33
192,13
193,65
194,25
195,8
196,14
197,28
198,15
199,40
200,23
201,42
202,8
203,19
204,44
205,20
206,17
207,12
208,28
209,15
210,5
211,12
212,11
213,39
214,14
215,41
216,32
217,32
218,19
219,12
220,27
221,50
222,50
223,20
224,26
225,34
226,61
227,26
228,23
229,10
230,12
231,19
232,31
233,19
234,40
235,7
236,16
237,10
238,54
239,22
240,29
241,19
242,14
243,48
244,8
245,9
246,39
247,28
248,17
249,15
250,67
251,15
252,28
253,20
254,18
255,26
256,16
257,19
258,19
259,40
260,44
261,16
262,43
263,30
264,55
265,11
266,20
267,38
268,34
269,36
270,13
271,28
272,37
273,16
274,43
275,14
276,12
277,6
278,20
279,10
280,27
281,24
282,32
283,36
284,13
285,28
286,44
287,22
288,1
289,21
290,56
291,7
292,34
293,3
294,21
295,44
296,12
297,27
298,23
299,15
300,19
301,26
302,33
303,23
304,23
305,6
306,32
307,31
308,33
309,15
310,24
311,39
312,17
313,37
314,47
315,33
316,24
317,28
318,21
319,23
320,15
321,28
322,24
323,24
324,30
325,24
326,19
327,36
328,18
329,33
330,23
331,11
332,20
333,17
334,8
335,10
336,55
337,12
338,15
339,45
340,8
341,26
342,24
343,22
344,27
345,15
346,14
347,6
348,25
349,14
350,23
351,22
352,11
353,12
354,23
355,14
356,11
357,15
358,60
359,12
360,15
361,22
362,21
363,23
364,10
365,23
366,28
367,23
368,10
369,45
370,50
371,15
372,12
373,18
374,9
375,19
376,28
377,7
378,27
379,17
380,15
381,26
382,22
383,22
384,64
385,39
386,31
387,15
388,41
389,16
390,18
391,47
392,16
393,24
394,44
395,26
396,9
397,45
398,18
399,21
400,17
401,40
402,46
403,23
404,8
405,11
406,34
407,12
408,11
409,21
410,35
411,34
412,15
413,18
414,24
415,14
416,11
417,5
418,20
419,30
420,10
421,34
422,16
423,42
424,41
425,22
426,10
427,18
428,37
429,6
430,13
431,19
432,16
433,38
434,39
435,46
436,13
437,14
438,29
439,13
440,46
441,16
442,19
443,38
444,53
445,32
446,24
447,31
448,6
449,27
450,22
451,42
452,43
453,27
454,28
455,45
456,30
457,12
458,32
459,21
460,6
461,10
462,21
463,31
464,24
465,17
466,35
467,23
468,1
469,33
470,60
471,32
472,9
473,24
474,20
475,14
476,26
477,23
478,16
479,37
480,37
481,60
482,28
483,29
484,10
485,31
486,20
487,39
488,7
489,25
490,23
491,13
492,16
493,19
494,18
495,42
496,28
497,17
498,37
499,30
500,34
501,28
502,30
503,18
504,19
505,13
506,25
507,7
508,30
509,30
510,22
511,23
512,8
513,22
514,29
515,44
516,22
517,44
518,27
519,19
520,17
521,26
522,22
523,24
524,35
525,29
526,37
527,54
528,24
529,19
530,28
531,28
532,44
533,7
534,15
535,18
536,21
537,20
538,29
539,39
540,6
541,18
542,23
543,34
544,20
545,28
546,20
547,52
548,14
549,21
550,53
551,16
552,21
553,14
554,18
555,26
556,15
557,7
558,23
559,72
560,18
561,22
562,50
563,31
564,37
565,22
566,23
567,28
568,10
569,17
570,13
571,15
572,18
573,18
574,18
575,23
576,29
577,27
578,36
579,3
580,47
581,39
582,28
583,30
584,28
585,35
586,22
587,28
588,53
589,24
590,58
591,23
592,23
593,28
594,17
595,42
596,40
597,54
598,20
599,31
600,14
601,23
602,7
603,13
604,54
605,26
606,16
607,33
608,14
609,6
610,14
611,23
612,42
613,15
614,24
615,36
616,32
617,19
618,24
619,7
620,22
621,29
622,35
623,24
624,49
625,21
626,20
627,30
628,24
629,16
630,2
631,62
632,10
633,20
634,53
635,31
636,9
637,5
638,17
639,19
640,58
641,9
642,25
643,7
644,9
645,23
646,25
647,6
648,12
649,15
650,41
