,hamming_distance
0,47
1,44
2,49
3,48
4,25
5,42
6,64
7,51
8,43
9,39
10,77
11,41
12,50
13,63
14,51
15,41
16,32
17,65
18,40
19,37
20,53
21,64
22,49
23,52
24,48
25,43
26,54
27,45
28,59
29,43
30,59
31,52
32,40
33,55
34,65
35,63
36,55
37,49
38,47
39,46
40,75
41,69
42,66
43,48
44,54
45,67
46,49
47,53
48,51
49,37
50,45
51,56
52,58
53,63
54,52
55,80
56,58
57,54
58,57
59,72
60,52
61,40
62,34
63,47
64,58
65,48
66,75
67,34
68,61
69,41
70,49
71,75
72,45
73,26
74,46
75,64
76,62
77,44
78,51
79,52
80,49
81,65
82,60
83,41
84,36
85,52
86,47
87,33
88,44
89,69
90,42
91,69
92,39
93,75
94,59
95,51
96,85
97,51
98,57
99,62
100,46
101,46
102,39
103,36
104,38
105,53
106,67
107,72
108,39
109,53
110,54
111,49
112,45
113,85
114,38
115,85
116,49
117,39
118,73
119,65
120,36
121,49
122,30
123,61
124,63
125,61
126,55
127,48
128,42
129,48
130,60
131,33
132,28
133,58
134,54
135,42
136,52
137,52
138,48
139,59
140,26
141,78
142,47
143,38
144,74
145,43
146,38
147,28
148,39
149,53
150,39
151,59
152,39
153,51
154,45
155,29
156,60
157,30
158,38
159,39
160,54
161,64
162,35
163,69
164,35
165,30
166,45
167,53
168,51
169,43
170,53
171,56
172,52
173,37
174,57
175,62
176,59
177,55
178,41
179,90
180,26
181,50
182,39
183,66
184,35
185,14
186,47
187,61
188,62
189,43
190,69
191,55
192,63
193,59
194,38
195,54
196,48
197,45
198,39
199,39
200,64
201,37
202,43
203,58
204,66
205,45
206,49
207,90
208,46
209,51
210,69
211,46
212,51
213,55
214,42
215,72
216,46
217,50
218,41
219,75
220,58
221,47
222,38
223,68
224,59
225,72
226,61
227,40
228,86
229,45
230,51
231,46
232,53
233,46
234,39
235,42
236,65
237,57
238,65
239,64
240,61
241,31
242,100
243,48
244,33
245,72
246,91
247,51
248,25
249,53
250,70
251,66
252,49
253,79
254,37
255,54
256,41
257,47
258,62
259,45
260,70
261,52
262,47
263,58
264,93
265,69
266,48
267,43
268,40
269,64
270,55
271,61
272,49
273,65
274,45
275,42
276,25
277,58
278,56
279,60
280,61
281,46
282,44
283,41
284,56
285,42
286,42
287,40
288,59
289,50
290,47
291,34
292,25
293,38
294,64
295,44
296,39
297,36
298,55
299,56
300,52
301,51
302,64
303,57
304,47
305,38
306,43
307,40
308,56
309,43
310,63
311,43
312,62
313,35
314,60
315,57
316,38
317,47
318,19
319,57
320,51
321,48
322,49
323,50
324,47
325,68
326,40
327,40
328,53
329,49
330,42
331,54
332,53
333,35
334,64
335,51
336,58
337,43
338,110
339,40
340,46
341,54
342,56
343,27
344,53
345,50
346,64
347,57
348,77
349,48
350,71
351,59
352,48
353,42
354,53
355,63
356,85
357,40
358,76
359,47
360,55
361,61
362,54
363,36
364,71
365,80
366,54
367,35
368,45
369,79
370,60
371,51
372,58
373,60
374,60
375,74
376,78
377,56
378,29
379,62
380,38
381,61
382,81
383,44
384,66
385,73
386,51
387,32
388,59
389,71
390,47
391,55
392,52
393,45
394,85
395,45
396,56
397,64
398,48
399,76
400,21
401,47
402,61
403,30
404,65
405,38
406,39
407,45
408,57
409,47
410,67
411,52
412,59
413,58
414,39
415,54
416,49
417,59
418,51
419,42
420,39
421,55
422,41
423,38
424,64
425,79
426,52
427,30
428,50
429,40
430,37
431,64
432,47
433,49
434,58
435,38
436,65
437,75
438,45
439,54
440,29
441,59
442,42
443,31
444,38
445,62
446,49
447,65
448,49
449,62
450,42
451,75
452,69
453,49
454,48
455,64
456,65
457,50
458,57
459,59
460,50
461,45
462,49
463,53
464,80
465,47
466,81
467,66
468,66
469,57
470,56
471,52
472,40
473,56
474,59
475,33
476,66
477,68
478,35
479,49
480,49
481,58
482,75
483,45
484,26
485,43
486,68
487,65
488,39
489,51
490,60
491,64
492,55
493,58
494,41
495,30
496,49
497,47
498,33
499,44
500,37
501,67
502,75
503,33
504,75
505,80
506,50
507,86
508,54
509,70
510,63
511,49
512,55
513,51
514,35
515,38
516,58
517,67
518,51
519,39
520,67
521,74
522,54
523,41
524,88
525,43
526,83
527,43
528,35
529,73
530,65
531,36
532,48
533,30
534,64
535,66
536,64
537,55
538,48
539,39
540,51
541,68
542,33
543,28
544,56
545,54
546,42
547,61
548,50
549,48
550,95
551,26
552,66
553,55
554,54
555,73
556,48
557,39
558,28
559,39
560,56
561,33
562,69
563,48
564,51
565,45
566,29
567,48
568,41
569,39
570,49
571,54
572,54
573,44
574,51
575,35
576,30
577,56
578,53
579,57
580,43
581,55
582,47
583,63
584,37
585,63
586,50
587,38
588,51
589,41
590,77
591,26
592,50
593,37
594,66
595,35
596,14
597,47
598,53
599,76
600,43
601,69
602,55
603,63
604,65
605,45
606,61
607,51
608,37
609,51
610,40
611,62
612,37
613,44
614,56
615,68
616,55
617,68
618,54
619,54
620,34
621,67
622,44
623,40
624,40
625,42
626,55
627,46
628,63
629,41
630,56
631,54
632,47
633,29
634,54
635,66
636,64
637,50
638,40
639,86
640,47
641,48
642,52
643,53
644,48
645,72
646,53
647,80
648,65
649,53
650,54
651,51
652,31
653,74
654,40
655,33
656,48
657,54
658,48
659,25
660,68
661,91
662,65
663,48
664,92
665,37
666,67
667,41
668,39
669,56
670,45
671,74
672,66
673,53
674,49
675,93
676,85
677,64
678,42
679,53
680,64
681,49
682,51
683,57
684,77
685,51
686,55
687,25
688,46
689,61
690,65
691,61
692,51
693,39
694,41
695,54
696,53
697,43
698,52
699,63
700,50
701,48
702,36
703,45
704,35
705,48
706,49
707,54
708,36
709,69
710,59
711,50
712,51
713,68
714,63
715,48
716,38
717,43
718,40
719,42
720,43
721,58
722,51
723,62
724,32
725,57
726,57
727,43
728,51
729,19
730,54
731,31
732,54
733,56
734,53
735,47
736,68
737,40
738,62
739,45
740,46
741,55
742,54
743,41
744,35
745,97
746,55
747,52
748,40
749,110
750,44
751,46
752,54
753,51
754,27
755,44
756,45
757,57
758,57
759,77
760,37
761,50
762,55
763,55
764,42
765,64
766,55
767,85
768,40
769,76
770,54
771,55
772,51
773,33
774,35
775,62
776,73
777,51
778,35
779,43
780,65
781,85
782,54
783,55
784,58
785,69
786,84
787,67
788,48
789,29
790,62
791,40
792,54
793,62
794,44
795,54
796,70
797,56
798,32
799,69
800,67
801,38
802,63
803,70
804,45
805,47
806,41
807,56
808,52
809,48
810,67
811,21
812,50
813,46
814,68
815,65
816,48
817,39
818,57
819,57
820,47
821,66
