,hamming_distance
0,15
1,89
2,106
3,72
4,86
5,43
6,1
7,47
8,80
9,27
10,5
11,9
12,99
13,68
14,55
15,56
16,78
17,75
18,79
19,12
20,107
21,82
22,11
23,65
24,26
25,3
26,32
27,112
28,12
29,85
30,49
31,2
32,139
33,86
34,12
35,89
36,18
37,28
38,32
39,4
40,34
41,14
42,11
43,76
44,62
45,58
46,23
47,11
48,60
49,72
50,73
51,68
52,37
53,76
54,100
55,20
56,1
57,61
58,16
59,42
60,80
61,84
62,42
63,103
64,11
65,93
66,48
67,82
68,48
69,31
70,108
71,83
72,20
73,64
74,65
75,27
76,8
77,26
78,72
79,79
80,86
81,108
82,89
83,9
84,84
85,9
86,7
87,54
88,78
89,1
90,6
91,69
92,66
93,88
94,83
95,24
96,24
97,93
98,46
99,39
100,91
101,31
102,55
103,20
104,58
105,51
106,11
107,5
108,89
109,66
110,11
111,65
112,91
113,54
114,28
115,41
116,13
117,33
118,89
119,98
120,5
121,43
122,56
123,37
124,48
125,14
126,80
127,22
128,88
129,40
130,2
131,101
132,54
133,68
134,75
135,107
136,82
137,42
138,90
139,88
140,11
141,26
142,122
143,17
144,47
145,12
146,37
147,109
148,72
149,23
150,15
151,66
152,66
153,12
154,46
155,48
156,4
157,100
158,43
159,13
160,86
161,1
162,32
163,6
164,16
165,94
166,65
167,5
168,82
169,20
170,77
171,27
172,13
173,19
174,107
175,63
176,91
177,61
178,98
179,86
180,69
181,4
182,42
183,91
184,75
185,65
186,12
187,11
188,91
189,81
190,2
191,76
192,59
193,64
194,15
195,24
196,12
197,66
198,113
199,3
200,3
201,75
202,44
203,23
204,96
205,99
206,71
207,58
208,56
209,106
210,60
211,14
212,69
213,88
214,78
215,85
216,91
217,21
218,10
219,31
220,21
221,33
222,108
223,25
224,27
225,77
226,22
227,36
228,10
229,2
230,48
231,16
232,16
233,51
234,72
235,92
236,73
237,111
238,18
239,21
240,38
241,88
242,79
243,68
244,105
245,69
246,41
247,35
248,46
249,6
250,51
251,73
252,21
253,85
254,64
255,41
256,83
257,87
258,49
259,4
260,72
261,51
262,119
263,32
