,hamming_distance
0,7
1,5
2,7
3,6
4,1
5,3
6,2
7,5
8,4
9,5
10,3
11,4
12,4
13,5
14,6
15,2
16,7
17,5
18,4
19,2
20,5
21,3
22,5
23,5
24,5
25,5
26,3
27,4
28,7
29,2
30,4
31,5
32,5
33,5
34,4
35,6
36,7
37,2
38,5
39,6
40,4
41,4
42,4
43,3
44,6
45,5
46,7
47,5
48,6
49,6
50,4
51,6
52,6
53,5
54,4
55,5
56,4
57,4
58,10
59,5
60,4
61,4
62,7
63,7
64,5
65,3
66,6
67,4
68,3
69,5
70,8
71,4
72,3
73,5
74,9
75,5
76,3
77,4
78,3
79,7
80,5
81,2
82,5
83,7
84,8
85,4
86,6
87,9
88,2
89,4
90,3
91,6
92,6
93,6
94,4
95,7
96,6
97,4
98,4
99,7
100,7
101,6
102,2
103,5
104,6
105,3
106,6
107,4
108,4
109,5
110,8
111,3
112,2
113,3
114,7
115,6
116,8
117,5
118,8
119,7
120,6
121,4
122,5
123,8
124,3
125,4
126,5
127,5
128,6
129,6
130,7
131,3
132,4
133,7
134,2
135,6
136,5
137,5
138,3
139,6
140,4
141,6
142,3
143,7
144,4
145,4
146,5
147,3
148,4
149,5
150,5
151,2
152,4
153,5
154,5
155,3
156,4
157,3
158,4
159,6
160,4
161,4
162,6
163,5
164,2
165,2
166,6
167,5
168,6
169,5
170,5
171,2
172,4
173,4
174,5
175,5
176,4
177,3
178,2
179,2
180,4
181,2
182,2
183,5
184,3
185,3
186,3
187,4
188,7
189,5
190,6
191,4
192,5
193,8
194,4
195,3
196,4
197,5
198,6
199,7
200,3
201,9
202,7
203,7
204,7
205,3
206,6
207,3
208,4
209,5
210,2
211,6
212,5
213,4
214,4
215,2
216,4
217,7
218,3
219,4
220,7
221,4
222,3
223,6
224,6
225,4
226,3
227,5
228,4
229,4
230,3
231,4
232,6
233,6
234,6
235,6
236,4
237,7
238,3
239,9
240,4
241,6
242,3
243,5
244,5
245,4
246,3
247,6
248,4
249,5
250,3
251,4
252,4
253,8
254,4
255,3
256,5
257,5
258,6
259,4
260,6
261,8
262,4
263,4
264,4
265,8
266,5
267,4
268,3
269,5
270,3
271,4
272,2
273,4
274,6
275,5
276,6
277,3
278,6
279,10
280,4
281,6
282,2
283,4
284,3
285,1
286,3
287,3
288,8
289,7
290,8
291,5
292,5
293,6
294,6
295,4
296,5
297,5
298,4
299,6
300,6
301,4
302,7
303,3
304,4
305,4
306,6
307,4
308,4
309,5
310,7
311,4
312,5
313,5
314,6
315,5
316,5
317,5
318,5
319,5
320,7
321,11
322,6
323,7
324,4
325,5
326,6
327,9
328,7
329,5
330,4
331,5
332,2
333,10
334,5
335,6
336,5
337,7
338,4
339,4
340,8
341,5
342,5
343,4
344,2
345,3
346,6
347,5
348,2
349,3
350,3
351,6
352,6
353,4
354,8
355,4
356,6
357,4
358,4
359,6
360,6
361,3
362,5
363,5
364,3
365,7
366,3
367,4
368,5
369,7
370,4
371,7
372,7
373,5
374,3
375,4
376,3
377,4
378,9
379,4
380,5
381,7
382,5
383,4
384,6
385,4
386,7
387,3
388,2
389,3
390,6
391,6
392,3
393,4
394,3
395,4
396,5
397,2
398,7
399,3
400,4
401,4
402,6
403,6
404,6
405,2
406,6
407,5
408,4
409,6
410,5
411,3
412,5
413,1
414,5
415,6
416,3
417,6
418,3
419,6
420,7
421,7
422,7
423,4
424,8
425,11
426,6
427,4
428,7
429,5
430,4
431,2
432,4
433,6
434,6
435,3
436,6
437,4
438,5
439,3
440,8
441,4
442,9
443,6
444,2
445,1
446,4
447,2
448,4
449,5
450,9
451,6
452,4
453,7
454,6
455,6
456,3
457,3
458,5
459,4
460,5
461,6
462,5
463,5
464,4
465,8
466,5
467,2
468,5
469,4
470,8
471,5
472,5
473,3
474,6
475,4
476,6
477,7
478,5
479,5
480,6
481,4
482,4
483,7
484,3
485,6
486,6
487,5
488,8
489,2
490,8
491,6
492,5
493,5
494,5
495,5
496,4
497,5
498,6
499,6
500,5
501,5
502,4
503,8
504,7
505,10
506,6
507,7
508,3
509,6
510,8
511,6
512,5
513,5
514,6
515,6
516,6
517,5
518,6
519,7
520,4
521,5
522,8
523,3
524,5
525,5
526,6
527,6
528,7
529,5
530,6
531,4
532,4
533,5
534,3
535,5
536,4
537,2
538,5
539,3
540,5
541,8
542,5
543,7
544,5
545,4
546,2
547,2
548,2
549,8
550,7
551,6
552,3
553,4
554,6
555,4
556,5
557,6
558,4
559,4
560,4
561,7
562,3
563,5
564,6
565,4
566,6
567,4
568,5
569,5
570,6
571,7
572,10
573,6
574,1
575,4
576,2
577,4
578,6
579,3
580,6
581,4
582,6
583,7
584,5
585,4
586,9
587,1
588,4
589,8
590,5
591,4
592,3
593,9
594,8
595,6
596,7
597,4
598,6
599,7
600,1
601,5
602,6
603,8
604,8
605,5
606,7
607,4
608,4
609,5
610,5
611,2
612,4
613,5
614,2
615,5
616,7
617,7
618,4
619,9
620,6
621,5
622,4
623,5
624,2
625,8
626,4
627,7
628,5
629,8
630,7
631,4
632,7
633,6
634,6
635,5
636,7
637,8
638,6
639,5
640,5
641,6
642,6
643,7
644,7
645,6
646,4
647,7
648,8
649,4
650,4
651,5
652,4
653,6
654,4
655,6
656,6
657,6
658,7
659,5
660,6
661,4
662,4
663,6
664,5
665,5
666,3
667,4
668,7
669,5
670,4
671,3
672,8
673,6
674,7
675,6
676,5
677,5
678,3
679,5
680,3
681,4
682,5
683,7
684,8
685,3
686,8
687,5
688,8
689,4
690,6
691,7
692,7
693,3
694,5
695,7
696,6
697,4
698,6
699,1
700,7
701,5
702,7
703,4
704,6
705,7
706,5
707,5
708,6
709,9
710,4
711,6
712,6
713,3
714,3
715,5
716,3
717,5
718,5
719,6
720,3
721,3
722,6
723,4
724,2
725,7
726,5
727,5
728,4
729,3
730,5
731,4
732,5
733,6
734,6
735,4
736,6
737,12
738,5
739,7
740,4
741,10
742,3
743,5
744,4
745,5
746,8
747,4
748,6
749,5
750,5
751,8
752,5
753,12
754,5
755,4
756,3
757,5
758,6
759,4
760,5
761,6
762,4
763,5
764,7
765,7
766,3
767,3
768,6
769,4
770,7
771,4
772,4
773,3
774,6
775,4
776,3
777,5
778,6
779,4
780,3
781,3
782,6
783,5
784,5
785,6
786,3
787,6
788,5
789,5
790,5
791,5
792,3
793,5
794,3
795,4
796,4
797,3
798,7
799,6
800,4
801,7
802,4
803,2
804,5
805,5
806,5
807,4
808,7
809,7
810,4
811,4
812,6
813,4
814,3
815,4
816,5
817,6
818,4
819,6
820,6
821,2
822,4
823,5
824,4
825,6
826,4
827,4
828,5
829,5
830,3
831,4
832,3
833,2
834,8
835,5
836,4
837,6
838,5
839,7
840,6
841,8
842,5
843,6
844,5
845,4
846,3
847,6
848,4
849,11
850,5
851,6
852,5
853,3
854,4
855,3
856,3
857,5
858,3
859,5
860,5
861,3
862,5
863,6
864,5
865,4
866,6
867,5
868,5
869,6
870,5
871,4
872,5
873,4
874,9
875,3
876,4
877,2
878,5
879,5
880,7
881,5
882,6
883,6
884,8
885,7
886,3
887,2
888,4
889,3
890,4
891,4
892,8
893,6
894,9
895,8
896,4
897,4
898,6
899,3
900,8
901,6
902,5
903,6
904,5
905,7
906,6
907,9
908,3
909,3
910,4
911,3
912,6
913,6
914,6
915,6
916,6
917,3
918,7
919,2
920,1
921,3
922,6
923,5
924,4
925,6
926,6
927,5
928,5
929,4
930,3
931,6
932,6
933,4
934,11
935,5
936,2
937,5
938,5
939,7
940,7
941,4
942,4
943,5
944,5
945,4
946,8
947,3
948,6
949,5
950,3
951,6
952,4
953,4
954,5
955,6
956,3
957,5
958,5
959,6
960,6
961,5
962,3
963,6
964,5
965,7
966,4
967,5
968,3
969,7
970,3
971,4
972,5
973,5
974,7
975,4
976,4
977,7
978,6
979,6
980,10
981,5
982,6
983,5
984,1
985,5
986,7
987,3
988,4
989,9
990,6
991,2
992,4
993,8
994,5
995,7
996,8
997,8
998,3
999,4
1000,6
1001,4
1002,7
1003,8
1004,5
1005,7
1006,4
1007,7
1008,4
1009,5
1010,7
1011,5
1012,8
1013,3
1014,4
1015,6
1016,4
1017,7
1018,6
1019,3
1020,8
1021,7
1022,7
1023,7
1024,5
1025,4
1026,9
1027,5
1028,6
1029,6
1030,4
1031,5
1032,3
1033,4
1034,4
1035,5
1036,7
1037,8
1038,6
1039,6
1040,4
1041,5
1042,5
1043,5
1044,4
1045,4
1046,6
1047,5
1048,7
1049,4
1050,5
1051,8
1052,1
1053,6
1054,9
1055,5
1056,5
1057,2
1058,4
1059,6
1060,6
1061,10
1062,7
1063,3
1064,9
1065,4
1066,5
1067,6
1068,2
1069,5
1070,4
1071,6
1072,9
1073,4
1074,4
1075,4
1076,5
1077,6
1078,6
1079,6
1080,7
1081,3
1082,5
1083,5
1084,6
1085,5
1086,5
1087,5
1088,4
1089,6
1090,6
1091,7
1092,8
1093,7
1094,6
1095,4
1096,6
1097,6
1098,3
1099,8
1100,5
1101,3
1102,8
1103,5
1104,5
1105,8
1106,5
1107,6
1108,7
1109,7
1110,9
1111,4
1112,4
1113,2
