,hamming_distance
0,113
1,107
2,155
3,128
4,121
5,90
6,139
7,112
8,114
9,144
10,119
11,98
12,100
13,55
14,113
15,116
16,113
17,141
18,128
19,131
20,112
21,126
22,134
23,176
24,152
25,154
26,113
27,156
28,145
29,151
30,157
31,134
32,105
33,141
34,116
35,148
36,155
37,155
38,107
39,110
40,167
41,154
42,121
43,149
44,102
45,153
46,82
47,184
48,82
49,101
50,73
51,132
52,122
53,116
54,80
55,148
56,65
57,177
58,174
59,155
60,218
61,72
62,151
63,158
64,165
65,187
66,94
67,70
68,144
69,151
70,112
71,164
72,104
73,120
74,119
75,68
76,22
77,81
78,150
79,193
80,138
81,132
82,79
83,119
84,129
85,132
86,160
87,192
88,163
89,148
90,165
91,150
92,164
93,96
94,158
95,157
96,134
97,135
98,90
99,135
100,141
101,143
102,157
103,115
104,139
105,127
106,72
107,136
108,159
109,138
110,116
111,37
112,152
113,168
114,122
115,115
116,128
117,104
118,62
119,129
120,140
121,155
122,121
123,111
124,107
125,83
126,138
127,90
128,108
129,42
130,69
131,146
132,107
133,166
134,150
135,135
136,154
137,144
138,65
139,120
140,107
141,131
142,91
143,124
144,86
145,75
146,107
147,122
148,113
149,123
150,80
151,124
152,162
153,115
154,162
155,116
156,142
157,66
158,126
159,135
160,44
161,137
162,117
163,146
164,162
165,165
166,77
167,119
168,130
169,50
170,205
171,117
172,145
173,128
174,118
175,146
176,145
177,172
178,111
179,123
180,127
181,128
182,125
183,161
184,120
185,133
186,119
187,130
188,111
189,136
190,102
191,108
192,108
193,172
194,130
195,136
196,151
197,127
198,64
199,63
200,51
201,128
202,74
203,68
204,125
205,137
206,117
207,153
208,126
209,193
210,102
211,99
212,103
213,127
214,150
215,145
216,71
217,174
218,116
219,123
220,109
221,161
222,182
223,156
224,115
225,66
226,152
227,155
228,140
229,100
230,144
231,122
232,125
233,176
234,144
235,80
236,143
237,141
238,184
239,158
240,136
241,138
242,134
243,187
244,136
245,157
246,129
247,145
248,135
249,121
250,68
251,126
252,139
253,151
254,132
255,134
256,83
257,128
258,163
259,118
260,109
261,196
262,132
263,118
264,109
265,142
266,101
267,89
268,147
269,128
270,122
271,110
272,131
273,133
274,85
275,109
276,129
277,166
278,139
279,192
280,145
281,116
282,153
283,249
284,162
285,181
286,149
287,82
288,130
289,136
290,127
291,140
292,147
293,75
294,134
295,150
296,109
297,111
298,148
299,115
300,150
301,57
302,138
303,77
304,138
305,180
306,129
307,157
308,159
309,119
310,137
311,133
312,134
313,91
314,130
315,144
316,102
317,82
318,119
319,110
320,22
321,105
322,113
323,114
324,146
325,112
326,106
327,168
328,145
329,158
330,178
331,122
332,111
333,151
334,170
335,126
336,154
337,151
338,120
339,120
340,142
341,132
342,124
343,113
344,192
345,105
346,56
347,114
348,166
349,169
350,124
351,158
352,172
353,96
354,173
355,117
356,199
357,114
358,120
359,72
360,162
