,hamming_distance
0,61
1,37
2,62
3,71
4,78
5,50
6,54
7,79
8,60
9,60
10,42
11,48
12,55
13,61
14,63
15,59
16,56
17,45
18,23
19,33
20,87
21,70
22,74
23,61
24,58
25,63
26,42
27,74
28,76
29,54
30,50
31,61
32,47
33,55
34,44
35,45
36,70
37,52
38,67
39,61
40,46
41,62
42,59
43,55
44,56
45,38
46,56
47,57
48,53
49,36
50,57
51,50
52,44
53,61
54,45
55,67
56,81
57,47
58,47
59,49
60,67
61,47
62,85
63,39
64,45
65,67
66,64
67,48
68,57
69,62
70,51
71,60
72,58
73,77
74,70
75,57
76,57
77,66
78,43
79,79
80,50
81,77
82,39
83,62
84,64
85,65
86,83
87,23
88,54
89,30
90,73
91,48
92,44
93,80
94,73
95,57
96,69
97,63
98,52
99,50
100,44
101,31
102,60
103,71
104,52
105,68
106,50
107,70
108,49
109,57
110,67
111,81
112,60
113,45
114,55
115,52
116,66
117,53
118,71
119,63
120,52
121,68
122,41
123,65
124,59
125,75
126,34
127,60
128,74
129,56
130,52
131,49
132,65
133,79
134,73
135,59
136,36
137,62
138,68
139,56
140,59
141,54
142,64
143,52
144,26
145,44
146,31
147,43
148,68
149,41
150,61
151,44
152,64
153,58
154,55
155,89
156,55
157,46
158,76
159,60
160,62
161,53
162,57
163,70
164,65
165,37
166,66
167,53
168,68
169,73
170,38
171,52
172,72
173,55
174,56
175,52
176,64
177,37
178,72
179,44
180,56
181,56
182,53
183,50
184,57
185,59
186,69
187,58
188,53
189,72
190,57
191,52
192,40
193,62
194,32
195,56
196,79
197,47
198,79
199,55
200,66
201,80
202,48
203,42
204,59
205,57
206,50
207,51
208,79
209,66
210,61
211,46
212,57
213,48
214,48
215,56
216,39
217,41
218,45
219,68
220,57
221,62
222,43
223,72
224,49
225,63
226,56
227,68
228,63
229,62
230,54
231,64
232,49
233,72
234,62
235,56
236,63
237,73
238,31
239,74
240,66
241,49
242,20
243,37
244,34
245,79
246,61
247,67
248,60
249,57
250,68
251,46
252,71
253,49
254,39
255,65
256,63
257,48
258,61
259,64
260,43
261,29
262,47
263,55
264,61
265,51
266,50
267,51
268,53
269,66
270,54
271,54
272,59
273,92
274,60
275,43
276,80
277,38
278,73
279,58
280,59
281,53
282,55
283,61
284,42
285,69
286,63
287,50
288,55
289,50
290,77
291,42
292,46
293,53
294,57
295,54
296,73
297,64
298,50
299,62
300,42
301,66
302,68
303,60
304,54
305,66
306,62
307,58
308,61
309,63
310,50
311,38
312,49
313,50
314,60
315,45
316,67
317,38
318,58
319,69
320,47
321,71
322,55
323,61
324,74
325,70
326,54
327,39
328,66
329,68
330,36
331,55
332,59
333,48
334,56
335,55
336,40
337,62
338,56
339,43
340,54
341,49
342,34
343,51
344,46
345,46
346,55
347,64
348,56
349,69
350,55
351,75
352,65
353,57
354,57
355,23
356,73
357,64
358,62
359,59
360,82
361,49
362,71
363,62
364,46
365,34
366,63
367,61
368,65
369,62
370,60
371,70
372,60
373,70
374,58
375,35
376,68
377,56
378,57
379,47
380,62
381,45
382,51
383,59
384,63
385,39
386,61
387,55
388,56
389,54
390,71
391,60
392,61
393,71
394,55
395,41
396,61
397,50
398,71
399,57
400,46
401,49
402,63
403,62
404,39
405,56
406,68
407,56
408,39
409,48
410,93
411,44
412,75
413,54
414,76
415,61
416,69
417,76
418,42
419,44
420,65
421,73
422,84
423,62
424,36
425,53
426,68
427,63
428,49
429,65
430,58
431,29
432,53
433,67
434,51
435,61
436,52
437,51
438,59
439,50
440,64
441,44
442,57
443,62
444,67
445,65
446,57
447,57
448,80
449,72
450,39
451,41
452,52
453,54
454,56
455,62
456,75
457,56
458,80
459,76
460,36
461,58
462,47
463,72
464,58
465,68
466,62
467,40
468,74
469,76
470,30
471,50
472,65
473,57
474,53
475,58
476,72
477,71
478,60
479,36
480,67
481,50
482,38
483,36
484,34
485,58
486,76
487,64
488,51
489,56
490,59
491,42
492,23
493,82
494,63
495,54
496,54
497,55
498,48
499,74
500,61
501,37
502,74
503,71
504,78
505,50
506,54
507,79
508,64
509,60
510,42
511,48
512,55
513,61
514,63
515,59
516,56
517,45
518,23
519,33
520,88
521,70
522,74
523,61
524,58
525,63
526,42
527,74
528,76
529,54
530,50
531,61
532,47
533,55
534,44
535,45
536,69
537,52
538,67
539,61
540,46
541,62
542,59
543,55
544,56
545,38
546,56
547,57
548,53
549,36
550,57
551,50
552,44
553,61
554,45
555,67
556,81
557,47
558,47
559,49
560,67
561,47
562,84
563,39
564,45
565,67
566,64
567,48
568,57
569,62
570,51
571,60
572,58
573,77
574,70
575,57
576,57
577,66
578,43
579,73
580,50
581,77
582,39
583,62
584,64
585,65
586,83
587,23
588,54
589,30
590,73
591,48
592,44
593,80
594,74
595,57
596,69
597,63
598,52
599,50
600,44
601,31
602,60
603,71
604,52
605,68
606,50
607,70
608,49
609,57
610,76
611,75
612,60
613,45
614,55
615,52
616,66
617,53
618,71
619,63
620,52
621,68
622,41
623,65
624,59
625,72
626,34
627,60
628,74
629,56
630,52
631,49
632,65
633,79
634,73
635,59
636,36
637,62
638,68
639,56
640,59
641,54
642,64
643,52
644,26
645,44
646,31
647,43
648,69
649,41
650,61
651,44
652,64
653,58
654,55
655,89
656,55
657,46
658,76
659,60
660,62
661,53
662,57
663,70
664,65
665,37
666,66
667,53
668,68
669,67
670,38
671,52
672,72
673,55
674,56
675,52
676,64
677,37
678,67
679,44
680,56
681,56
682,53
683,50
684,57
685,59
686,69
687,58
688,53
689,72
690,57
691,52
692,40
693,62
694,32
695,56
696,73
697,47
698,79
699,55
700,66
701,80
702,48
703,42
704,59
705,57
706,50
707,51
708,79
709,66
710,61
