,hamming_distance
0,36
1,41
2,20
3,52
4,51
5,90
6,42
7,26
8,39
9,60
10,48
11,28
12,40
13,35
14,33
15,43
16,35
17,65
18,26
19,83
20,15
21,42
22,29
23,63
24,91
25,28
26,68
27,70
28,33
29,66
30,73
31,86
32,74
33,33
34,65
35,28
36,32
37,29
38,19
39,55
40,43
41,76
42,33
43,49
44,77
45,28
46,72
47,43
48,47
49,71
50,81
51,41
52,26
53,38
54,55
55,59
56,27
57,33
58,30
59,36
60,37
61,92
62,12
63,49
64,52
65,52
66,25
67,32
68,52
69,31
70,52
71,80
72,52
73,40
74,41
75,37
76,64
77,56
78,46
79,78
80,63
81,34
82,47
83,42
84,57
85,33
86,30
87,35
88,49
89,33
90,68
91,49
92,26
93,29
94,66
95,26
96,118
97,39
98,63
99,49
100,49
101,38
102,30
103,45
104,29
105,36
106,41
107,37
108,43
109,122
110,36
111,26
112,45
113,46
114,59
115,34
116,72
117,34
118,57
119,59
120,26
121,56
122,45
123,74
124,38
125,72
126,62
127,39
128,43
129,59
130,51
131,52
132,24
133,37
134,52
135,20
136,31
137,14
138,46
139,25
140,81
141,47
142,51
143,21
144,42
145,54
146,72
147,46
148,27
149,47
150,23
151,52
152,29
153,46
154,44
155,42
156,51
157,56
158,32
159,35
160,52
161,38
162,45
163,75
164,27
165,38
166,42
167,80
168,19
169,37
170,44
171,48
172,41
173,49
174,23
175,31
176,72
177,70
178,64
179,64
180,33
181,81
182,48
183,37
184,50
185,35
186,57
187,58
188,35
189,54
190,26
191,33
192,28
193,42
194,71
195,53
196,38
197,110
198,56
199,24
200,54
201,27
202,21
203,77
204,43
205,71
206,50
207,47
208,62
209,85
210,55
211,59
212,52
213,63
214,96
215,50
216,62
217,21
218,40
219,49
220,30
221,39
222,49
223,26
224,79
225,53
226,75
227,64
228,28
229,41
230,31
231,47
232,29
233,65
234,38
235,18
236,33
237,66
238,37
239,47
240,26
241,57
242,38
243,36
244,60
245,43
246,39
247,37
248,27
249,38
250,59
251,47
252,39
253,40
254,53
255,53
256,52
257,72
258,37
259,34
260,68
261,25
262,61
263,19
264,46
265,34
266,42
267,36
268,65
269,76
270,70
271,36
272,52
273,59
274,48
275,42
276,23
277,12
278,76
279,58
280,31
281,63
282,41
283,29
284,30
285,40
286,72
287,26
288,35
289,31
290,36
291,39
292,51
293,39
294,32
295,60
296,47
297,26
298,29
299,72
300,87
301,49
302,31
303,42
304,80
305,44
306,38
307,21
308,49
309,87
310,61
311,40
312,34
313,45
314,32
315,37
316,64
317,69
318,29
319,83
320,70
321,42
322,72
323,51
324,54
325,32
326,63
327,37
328,52
329,70
330,29
331,90
332,54
333,41
334,58
335,24
336,26
337,51
338,45
339,29
340,62
341,94
342,52
343,63
344,59
345,51
346,18
347,44
348,46
349,88
350,35
351,31
352,16
353,57
354,42
355,62
356,43
357,74
358,24
359,43
360,47
361,52
362,53
363,18
364,22
365,55
366,43
367,22
368,53
369,24
370,56
371,79
372,38
373,107
374,41
375,39
376,41
377,22
378,22
379,84
380,39
381,23
382,39
383,29
384,24
385,61
386,73
387,59
388,34
389,43
390,66
391,50
392,20
393,40
394,48
395,77
396,42
397,92
398,31
399,48
400,38
401,77
402,34
403,35
404,77
405,20
406,54
407,55
408,52
409,52
410,74
411,52
412,128
413,62
414,40
415,45
416,63
417,68
418,52
419,62
420,79
421,40
422,58
423,46
424,56
425,44
426,49
427,38
428,33
429,29
430,56
431,64
432,68
433,36
434,70
435,52
436,34
437,38
438,42
439,27
440,29
441,85
442,18
443,25
444,57
445,38
446,30
447,57
448,53
449,45
450,41
451,67
452,83
453,49
454,15
455,31
456,72
457,78
458,54
459,52
460,26
461,66
462,25
463,37
464,58
465,111
466,48
467,80
468,25
469,111
470,66
471,54
472,73
473,24
474,15
475,21
476,55
477,34
478,58
479,48
480,24
481,87
482,23
483,36
484,46
485,44
486,30
487,42
488,52
489,34
490,51
491,35
492,24
493,43
494,68
495,37
496,54
497,51
498,48
499,21
500,74
501,51
502,70
503,34
504,27
505,79
506,59
507,69
508,30
509,44
510,35
511,65
512,84
513,28
514,39
515,25
516,71
517,29
518,80
519,31
520,48
521,67
522,54
523,36
524,35
525,68
526,61
527,27
528,15
529,47
530,29
531,57
532,38
533,30
534,76
535,36
536,39
537,32
538,65
539,62
540,43
541,96
542,47
543,71
544,36
545,52
546,43
547,43
548,42
549,70
550,29
551,76
552,50
553,68
554,33
555,40
556,75
557,53
558,42
559,52
560,46
561,57
562,63
563,31
564,43
565,47
566,23
567,48
568,45
569,75
570,34
571,35
572,69
573,65
574,72
575,60
576,43
577,31
578,65
579,40
580,72
581,33
582,17
583,52
584,35
585,59
586,25
587,11
588,62
589,23
590,41
591,53
592,70
593,64
594,68
595,34
596,89
597,33
598,43
599,38
600,51
601,65
602,35
603,48
604,26
605,39
606,35
607,23
608,50
609,29
610,32
611,42
612,20
613,67
614,62
615,10
616,50
617,83
618,73
619,43
620,54
621,25
622,27
623,24
624,81
625,42
626,56
627,43
628,68
629,60
630,102
631,38
632,113
633,50
634,34
635,88
636,52
637,50
638,20
639,42
640,39
641,51
642,70
643,48
644,27
645,37
646,25
647,33
648,73
649,24
650,29
651,39
652,43
653,47
654,27
655,19
656,40
657,31
658,50
659,72
660,14
661,28
662,83
663,87
664,60
665,33
666,47
667,31
668,30
669,35
670,82
671,49
672,41
673,25
674,44
675,46
676,75
677,40
678,49
679,45
680,47
681,32
682,34
683,63
684,45
685,55
686,45
687,45
688,41
689,43
690,69
691,40
692,55
693,53
694,28
695,55
696,34
697,48
698,20
699,75
700,40
701,40
702,44
703,33
704,53
705,45
706,44
707,44
708,31
709,22
710,49
711,56
712,34
713,63
714,62
715,39
716,48
717,33
718,34
719,98
720,57
721,35
722,38
723,49
724,38
725,46
726,48
727,45
728,53
729,64
730,39
731,69
732,13
733,39
734,70
735,87
736,19
737,56
738,60
739,20
740,22
741,55
742,30
743,68
744,27
745,45
746,58
747,65
748,32
749,46
750,34
751,46
752,35
753,47
754,21
755,43
756,36
757,49
758,54
759,23
760,50
761,61
762,82
763,29
764,42
765,43
766,45
767,23
768,45
769,45
770,34
771,37
772,62
773,87
774,65
775,70
776,16
777,78
778,56
779,55
780,70
781,77
782,40
783,79
784,56
785,29
786,50
787,23
788,57
789,39
790,60
791,62
792,78
793,49
794,41
795,64
796,66
797,45
798,48
799,28
800,65
801,35
802,64
803,37
804,54
805,54
806,32
807,44
808,35
809,50
810,45
811,35
812,60
813,62
814,27
815,21
816,29
817,24
818,43
819,23
820,61
821,65
822,51
823,36
824,74
825,41
826,44
827,49
828,51
829,83
830,91
831,56
832,49
833,35
834,43
835,74
836,18
837,33
838,64
839,60
840,32
841,42
842,99
843,63
844,32
845,21
846,45
847,41
848,67
849,90
850,38
851,70
852,62
853,34
854,11
855,32
856,66
857,53
858,65
859,45
860,35
861,45
862,38
863,35
864,27
865,43
866,37
867,46
868,59
869,66
870,59
871,33
872,12
873,33
874,38
875,53
876,32
877,46
878,82
879,39
880,40
881,79
882,51
883,60
884,31
885,18
886,73
887,41
888,26
889,63
890,56
891,65
892,33
893,66
894,23
895,47
896,62
897,31
898,23
899,35
900,63
901,53
902,35
903,76
904,56
905,65
906,67
907,53
908,48
909,90
910,42
911,38
912,74
913,42
914,21
915,49
916,45
917,53
918,21
919,47
920,44
921,63
922,43
923,72
924,53
925,60
926,46
927,32
928,44
929,28
930,58
931,30
932,73
933,51
934,75
935,42
936,32
937,54
938,46
939,51
940,37
941,44
942,25
943,50
944,41
945,78
946,58
947,28
948,47
949,69
950,63
951,61
952,41
953,35
954,85
955,62
956,70
957,59
958,26
959,38
960,53
961,55
962,42
963,84
964,37
965,20
966,27
967,35
968,21
969,36
970,36
971,44
972,40
973,92
974,41
975,83
976,41
977,41
978,28
979,32
980,64
981,46
982,35
983,48
984,49
985,75
986,22
987,42
988,55
989,34
990,28
991,43
992,35
993,24
994,40
995,51
996,64
997,36
998,65
999,67
1000,60
1001,37
1002,58
1003,67
1004,21
1005,31
1006,50
1007,33
1008,49
1009,101
1010,38
1011,23
1012,29
1013,40
1014,27
1015,49
1016,78
1017,45
1018,43
1019,31
