,hamming_distance
0,72
1,60
2,39
3,62
4,65
5,68
6,56
7,36
8,65
9,67
10,7
11,48
12,50
13,52
14,56
15,39
16,30
17,74
18,90
19,52
20,82
21,55
22,37
23,56
24,32
25,41
26,87
27,47
28,76
29,40
30,109
31,60
32,36
33,43
34,76
35,55
36,34
37,33
38,35
39,75
40,37
41,42
42,24
43,27
44,37
45,51
46,52
47,58
48,48
49,47
50,62
51,52
52,77
53,20
54,49
55,68
56,62
57,44
58,97
59,63
60,41
61,46
62,74
63,82
64,36
65,74
66,31
67,36
68,66
69,91
70,27
71,61
72,50
73,61
74,65
75,52
76,46
77,116
78,76
79,13
80,67
81,20
82,64
83,59
84,67
85,39
86,42
87,64
88,49
89,56
90,48
91,55
92,62
93,53
94,58
95,88
96,45
97,20
98,81
99,30
100,34
101,62
102,53
103,83
104,50
105,16
106,46
107,47
108,31
109,29
110,77
111,29
112,40
113,45
114,68
115,82
116,40
117,61
118,31
119,35
120,92
121,37
122,34
123,28
124,58
125,49
126,39
127,36
128,69
129,58
130,46
131,53
132,75
133,36
134,40
135,26
136,56
137,39
138,22
139,34
140,53
141,89
142,42
143,39
144,35
145,25
146,40
147,57
148,106
149,75
150,47
151,36
152,47
153,102
154,40
155,131
156,51
157,38
158,23
159,61
160,31
161,33
162,41
163,44
164,33
165,37
166,62
167,47
168,45
169,59
170,53
171,63
172,72
173,17
174,66
175,94
176,91
177,43
178,32
179,51
180,47
181,43
182,59
183,67
184,39
185,93
186,61
187,32
188,62
189,40
190,63
191,83
192,36
193,28
194,99
195,54
196,84
197,82
198,63
199,69
200,25
201,35
202,62
203,49
204,76
205,34
206,74
207,61
208,43
209,46
210,49
211,41
212,33
213,27
214,55
215,53
216,60
217,74
218,30
219,106
220,45
221,25
222,23
223,80
224,45
225,29
226,63
227,42
228,24
229,38
230,39
231,144
232,35
233,55
234,60
235,61
236,54
237,50
238,53
239,49
240,44
241,54
242,54
243,57
244,54
245,51
246,42
247,43
248,30
249,28
250,28
251,40
252,16
253,32
254,47
255,69
256,51
257,41
258,47
259,37
260,35
261,52
262,40
263,101
264,33
265,95
266,67
267,59
268,30
269,45
270,40
271,88
272,48
273,45
274,65
275,24
276,43
277,30
278,44
279,56
280,53
281,58
282,63
283,26
284,41
285,61
286,33
287,44
288,38
289,38
290,59
291,50
292,57
293,35
294,34
295,43
296,30
297,52
298,36
299,64
300,55
301,25
302,68
303,85
304,70
305,33
306,63
307,50
308,53
309,75
310,48
311,56
312,29
313,42
314,14
315,39
316,55
317,65
318,58
319,69
320,62
321,79
322,20
323,34
324,30
325,61
326,59
327,74
328,30
329,55
330,37
331,49
332,69
333,24
334,48
335,85
336,46
337,22
338,64
339,38
340,43
341,21
342,54
343,72
344,65
345,55
346,41
347,61
348,62
349,88
350,32
351,38
352,26
353,40
354,35
355,39
356,55
357,16
358,93
359,59
360,29
361,42
362,87
363,68
364,38
365,34
366,41
367,55
368,36
369,42
370,68
371,57
372,49
373,52
374,41
375,50
376,58
377,97
378,27
379,85
380,40
381,16
382,104
383,50
384,53
385,42
386,42
387,99
388,48
389,50
390,82
391,31
392,53
393,54
394,75
395,57
396,89
397,69
398,74
399,71
400,31
401,60
402,58
403,33
404,81
405,74
406,63
407,85
408,52
409,59
410,21
411,93
412,21
413,35
414,13
415,72
416,58
417,82
418,30
419,51
420,43
421,57
422,59
423,86
424,54
425,54
426,43
427,17
428,50
429,72
430,47
431,50
432,55
433,53
434,52
435,41
436,47
437,65
438,24
439,57
440,21
441,50
442,89
443,54
444,54
445,48
446,74
447,47
448,34
449,64
450,92
451,35
452,32
453,61
454,70
455,53
456,56
457,44
458,43
459,34
460,55
461,28
462,107
463,51
464,42
465,60
466,40
467,107
468,34
469,55
470,53
471,46
472,27
473,46
474,55
475,31
476,50
477,24
478,37
479,28
480,50
481,44
482,54
483,23
484,52
485,66
486,76
487,57
488,30
489,22
490,66
491,42
492,80
493,42
494,48
495,39
496,52
497,102
498,27
499,36
500,41
501,10
502,65
503,40
504,56
505,210
506,26
507,98
508,69
509,40
510,49
511,27
512,59
513,20
514,24
515,54
516,58
517,21
518,24
519,49
520,33
521,94
522,95
523,100
524,35
525,76
526,40
527,86
528,94
529,57
530,24
531,69
532,33
533,72
534,57
535,56
536,34
537,17
538,38
539,92
540,40
541,76
542,53
543,40
544,45
545,49
546,42
547,78
548,59
549,41
550,49
551,48
552,46
553,24
554,25
555,39
556,36
557,56
558,22
559,49
560,53
561,75
562,44
563,49
564,74
565,65
566,65
567,31
568,65
569,71
570,69
571,81
572,56
573,42
574,27
575,71
576,83
577,56
578,49
579,58
580,34
581,40
582,24
583,66
584,64
585,43
586,25
587,34
588,37
589,42
590,47
591,42
592,62
593,64
594,41
595,60
596,24
597,51
598,95
599,42
600,89
601,63
602,38
603,33
604,43
605,30
606,58
607,36
608,45
609,71
610,46
611,49
612,74
613,65
614,89
615,36
616,28
617,102
618,57
619,27
620,82
621,78
622,10
623,73
624,76
625,22
626,61
627,92
628,56
629,77
630,23
631,59
632,52
633,40
634,46
635,33
636,44
637,32
638,21
639,22
640,28
641,57
642,45
643,49
644,77
645,48
646,19
647,34
648,41
649,40
650,15
651,50
652,48
653,37
654,60
655,60
656,43
657,25
658,86
659,23
660,84
661,82
662,33
663,67
664,41
665,54
666,55
667,70
668,57
669,83
670,86
671,37
672,28
673,42
674,102
675,30
676,48
677,76
678,67
679,70
680,61
681,46
682,41
683,58
684,39
685,40
686,43
687,40
688,53
689,35
690,69
691,35
692,44
693,48
694,40
695,54
696,52
697,74
698,43
699,23
700,48
701,49
702,46
703,61
704,57
705,52
706,20
707,28
708,38
709,29
710,37
711,85
712,36
713,43
714,97
715,72
716,48
717,47
718,44
719,265
720,55
721,49
722,27
723,78
724,67
