,hamming_distance
0,53
1,13
2,35
3,52
4,72
5,44
6,46
7,35
8,65
9,25
10,32
11,55
12,50
13,45
14,25
15,51
16,50
17,53
18,20
19,52
20,35
21,47
22,48
23,71
24,50
25,29
26,52
27,62
28,55
29,33
30,37
31,36
32,30
33,65
34,48
35,68
36,34
37,34
38,31
39,27
40,42
41,47
42,62
43,53
44,35
45,58
46,38
47,76
48,55
49,57
50,56
51,69
52,82
53,61
54,70
55,36
56,54
57,34
58,43
59,59
60,47
61,38
62,24
63,42
64,51
65,49
66,67
67,54
68,52
69,80
70,45
71,46
72,59
73,11
74,45
75,28
76,45
77,54
78,38
79,38
80,50
81,51
82,30
83,49
84,62
85,69
86,42
87,33
88,40
89,22
90,52
91,40
92,52
93,59
94,36
95,40
96,38
97,22
98,57
99,57
100,63
101,63
102,33
103,73
104,38
105,59
106,52
107,25
108,47
109,63
110,54
111,33
112,48
113,52
114,58
115,38
116,59
117,70
118,52
119,25
120,86
121,26
122,56
123,56
124,37
125,46
126,66
127,54
128,23
129,78
130,28
131,43
132,75
133,68
134,75
135,38
136,31
137,13
138,62
139,29
140,63
141,42
142,28
143,29
144,40
145,26
146,40
147,39
148,35
149,52
150,47
151,37
152,50
153,60
154,24
155,68
156,52
157,35
158,52
159,50
160,33
161,79
162,87
163,50
164,65
165,88
166,69
167,54
168,25
169,51
170,57
171,40
172,88
173,44
174,14
175,35
176,28
177,47
178,26
179,37
180,32
181,67
182,48
183,46
184,28
185,62
186,44
187,27
188,59
189,18
190,27
191,24
192,46
193,54
194,21
195,72
196,26
197,44
198,48
199,53
200,39
201,52
202,21
203,35
204,30
205,43
206,41
207,53
208,31
209,50
210,48
211,87
212,48
213,51
214,33
215,40
216,52
217,49
218,57
219,93
220,29
221,37
222,43
223,50
224,27
225,24
226,27
227,51
228,39
229,56
230,31
231,70
232,41
233,24
234,53
235,55
236,27
237,49
238,61
239,18
240,57
241,56
242,28
243,51
244,43
245,71
246,66
247,45
248,47
