,hamming_distance
0,22
1,24
2,43
3,31
4,31
5,18
6,38
7,55
8,15
9,24
10,26
11,37
12,18
13,39
14,33
15,29
16,30
17,18
18,14
19,59
20,10
21,76
22,10
23,56
24,45
25,12
26,29
27,12
28,79
29,10
30,25
31,10
32,50
33,101
34,13
35,28
36,31
37,24
38,23
39,46
40,32
41,52
42,44
43,70
44,49
45,56
46,41
47,27
48,42
49,20
50,29
51,36
52,31
53,24
54,26
55,21
56,83
57,19
58,34
59,18
60,36
61,19
62,18
63,32
64,19
65,54
66,46
67,20
68,29
69,79
70,30
71,21
72,30
73,16
74,24
75,30
76,29
77,51
78,38
79,48
80,46
81,21
82,20
83,32
84,54
85,46
86,9
87,38
88,24
89,21
90,20
91,20
92,21
93,24
94,51
95,39
96,45
97,37
98,58
99,43
100,31
101,47
102,40
103,35
104,34
105,26
106,41
107,38
108,52
109,52
110,91
111,51
112,73
113,98
114,26
115,71
116,16
117,46
118,11
119,30
120,62
121,48
122,21
123,49
124,78
125,26
126,23
127,17
128,27
129,26
130,13
131,37
132,47
133,40
134,12
135,25
136,26
137,47
138,25
139,17
140,34
141,24
142,15
143,16
144,35
145,28
146,23
147,5
148,25
149,13
150,6
151,36
152,16
153,31
154,25
155,22
156,57
157,22
158,26
159,9
160,31
161,39
162,9
163,23
164,16
165,58
166,12
167,27
168,46
169,29
170,8
171,37
172,36
173,36
174,16
175,21
176,18
177,25
178,16
179,23
180,35
181,47
182,13
183,38
184,37
185,44
186,17
187,8
188,55
189,70
190,35
191,9
192,12
193,23
194,41
195,40
196,36
197,27
198,33
199,30
200,46
201,11
202,26
203,15
204,9
205,20
206,34
207,9
208,32
209,35
210,29
211,64
212,13
213,27
214,19
215,33
216,21
217,18
218,37
219,33
220,31
221,6
222,21
223,46
224,20
225,20
226,12
227,7
228,24
229,20
230,62
231,15
232,55
233,48
234,36
235,46
236,27
237,19
238,68
239,37
240,8
241,34
242,26
243,27
244,26
245,30
246,22
247,59
248,42
249,16
250,53
251,36
252,17
253,49
254,14
255,33
256,34
257,37
258,37
259,47
260,35
261,15
262,10
263,67
264,31
265,40
266,76
267,51
268,10
269,19
270,38
271,83
272,25
273,64
274,39
275,10
276,29
277,52
278,61
279,19
280,19
281,53
282,18
283,23
284,5
285,35
286,54
287,32
288,36
289,7
290,70
291,27
292,27
293,20
294,32
295,43
296,39
297,43
298,8
299,54
300,37
301,53
302,52
303,32
304,46
305,50
306,21
307,35
308,70
309,41
310,39
311,35
312,58
313,69
314,34
315,53
316,36
317,30
318,24
319,25
320,33
321,29
322,35
323,47
324,19
325,35
326,33
327,43
328,19
329,11
330,8
331,41
332,41
333,63
334,40
335,46
336,23
337,33
338,20
339,47
340,44
341,22
342,61
343,34
344,22
345,65
346,26
347,30
348,32
349,41
350,11
351,14
352,19
353,46
354,48
355,22
356,26
357,33
358,12
359,37
360,40
361,31
362,30
363,44
364,49
365,74
366,21
367,14
368,29
369,28
370,62
371,26
372,8
373,40
374,44
375,30
376,97
377,20
378,59
379,45
380,61
381,27
382,67
383,32
384,46
385,33
386,22
387,45
388,28
389,17
390,53
391,18
392,45
393,32
394,35
395,18
396,29
397,64
398,26
399,10
400,82
401,9
402,36
403,21
404,37
405,76
406,14
407,119
408,23
409,27
410,11
411,80
412,27
413,57
414,37
415,45
416,27
417,53
418,437
419,24
420,43
421,41
422,37
423,10
424,32
425,39
426,34
427,43
428,13
429,38
430,46
431,35
432,26
433,62
434,71
435,49
436,46
437,38
438,30
439,67
440,71
441,37
442,51
443,20
444,39
445,24
446,38
447,49
448,43
449,41
450,35
451,35
452,12
453,40
454,58
455,24
456,52
457,42
458,38
459,36
460,37
461,31
462,39
463,66
464,28
465,28
466,49
467,27
468,43
469,33
470,21
471,37
472,48
473,79
474,9
475,37
476,26
477,29
478,34
479,34
480,19
481,35
482,39
483,19
484,22
485,23
486,57
487,22
488,9
489,51
490,36
491,53
492,16
493,38
494,68
495,35
496,72
497,46
498,34
499,31
500,48
501,50
502,35
503,33
504,24
505,17
506,19
507,35
508,30
509,78
510,9
511,36
512,34
513,39
514,40
515,34
516,20
517,28
518,27
519,49
520,53
521,52
522,11
523,40
524,30
525,29
526,28
527,33
528,49
529,31
530,26
531,38
532,39
533,42
534,15
535,31
536,27
537,24
538,53
539,4
540,22
541,13
542,44
543,37
544,40
545,19
546,30
547,20
548,31
549,32
550,23
551,37
552,24
553,40
554,37
555,18
556,9
557,45
558,30
559,26
560,35
561,25
562,22
563,36
564,17
565,35
566,30
567,11
568,41
569,38
570,41
571,43
572,9
573,42
574,28
575,32
576,43
577,57
578,16
579,51
580,11
581,52
582,131
583,49
584,53
585,46
586,28
587,142
588,30
589,29
590,66
591,53
592,29
593,49
594,46
595,39
596,41
597,15
598,33
599,57
600,52
601,79
602,44
603,18
604,40
605,84
606,18
607,140
608,15
609,36
610,39
611,31
612,40
613,26
614,26
615,52
616,25
617,51
618,36
619,64
620,54
621,34
622,66
623,50
624,37
625,15
626,43
627,26
628,24
629,34
630,12
631,18
632,18
633,36
634,36
635,30
636,34
637,35
638,25
639,53
640,47
641,67
642,47
643,30
644,93
645,31
646,15
647,7
648,46
649,39
650,27
651,41
652,24
653,29
654,39
655,32
656,17
657,6
658,21
659,32
660,19
661,33
662,11
663,36
664,40
665,33
666,39
667,32
668,23
669,27
670,18
671,23
672,23
673,12
674,62
675,21
676,45
677,31
678,52
679,47
680,38
681,17
682,27
683,15
684,18
685,34
686,21
687,20
688,24
689,21
690,39
691,28
692,33
693,16
694,9
695,32
696,20
697,27
698,28
699,27
700,36
701,44
702,31
703,40
704,12
705,24
706,39
707,30
708,44
709,30
710,11
711,41
712,30
713,85
714,56
715,46
716,12
717,27
718,15
719,30
720,12
721,57
722,20
723,37
724,47
725,30
726,22
727,16
728,14
729,25
730,27
731,36
732,16
733,16
734,9
735,28
736,39
737,7
738,38
739,10
740,32
741,59
742,29
743,27
744,27
745,18
746,19
747,10
748,34
749,31
750,42
751,27
752,19
753,28
754,15
755,21
756,8
757,8
758,10
759,22
760,26
761,36
762,23
763,93
764,23
765,29
766,40
767,38
768,52
769,45
770,36
771,26
772,42
773,18
774,48
775,91
776,20
777,27
778,33
779,20
780,21
781,40
782,46
783,14
784,27
785,12
786,19
787,63
788,48
789,37
790,15
791,58
792,23
793,27
794,35
795,28
796,47
797,40
798,24
799,11
800,98
801,142
802,92
803,28
804,16
805,17
806,33
807,70
808,50
809,39
810,21
811,14
812,42
813,70
814,17
815,29
816,17
817,24
818,24
819,51
820,21
821,10
822,30
823,46
824,43
825,14
826,37
827,35
828,45
829,17
830,13
831,18
832,36
833,9
834,14
835,36
836,33
837,27
838,35
839,53
840,29
841,12
842,22
843,67
844,65
845,27
846,55
847,36
848,24
849,20
850,37
851,28
852,6
853,51
854,30
855,31
856,37
857,36
858,19
859,25
860,51
861,38
862,11
863,33
864,29
865,52
866,51
867,13
868,27
869,43
870,36
871,43
872,33
873,97
874,46
875,35
876,21
877,41
878,43
879,42
880,28
881,14
882,40
883,32
884,20
885,60
886,25
887,32
888,65
889,20
890,39
891,55
892,47
893,18
894,24
895,10
896,19
897,17
898,75
899,33
900,26
901,16
902,9
903,32
904,31
905,22
906,62
907,21
908,24
909,14
910,27
911,82
912,24
913,33
914,49
915,38
916,34
917,55
918,28
919,77
920,38
921,73
922,42
923,21
924,13
925,30
926,31
927,36
928,47
929,35
930,68
931,45
932,61
933,17
934,58
935,32
936,35
937,44
938,54
939,26
940,88
941,21
942,72
943,39
944,41
945,40
946,60
947,48
948,26
949,29
950,53
951,49
952,31
953,53
954,25
955,57
956,24
957,28
958,52
959,30
960,15
961,53
962,31
963,26
964,36
965,45
966,40
967,29
968,59
969,58
970,28
971,42
972,32
973,82
974,25
975,52
976,29
977,37
978,32
979,64
980,45
981,45
982,53
983,34
984,14
985,52
986,35
987,62
988,40
989,23
990,17
991,42
992,33
993,39
994,68
995,39
996,37
997,51
998,33
999,29
1000,52
1001,22
1002,47
1003,20
1004,41
1005,22
1006,52
1007,37
1008,26
1009,27
1010,37
1011,40
1012,108
1013,34
1014,31
1015,45
1016,38
1017,48
1018,17
1019,25
1020,38
1021,9
1022,37
1023,59
1024,39
1025,25
1026,91
1027,30
1028,57
1029,49
1030,20
1031,37
1032,53
1033,22
1034,21
1035,15
1036,66
1037,83
1038,12
1039,48
1040,22
1041,31
1042,31
1043,84
1044,34
1045,17
1046,39
1047,42
1048,64
1049,53
1050,35
1051,89
1052,16
1053,55
1054,43
1055,40
1056,41
1057,37
1058,39
1059,17
1060,21
1061,41
1062,135
1063,28
1064,49
1065,24
1066,54
1067,43
1068,50
1069,64
1070,40
1071,43
1072,42
1073,93
1074,23
1075,34
1076,74
1077,42
1078,40
1079,18
1080,23
1081,28
1082,35
1083,25
1084,29
1085,30
1086,89
1087,11
1088,40
1089,30
1090,63
1091,37
1092,26
1093,49
1094,41
1095,21
1096,50
1097,33
1098,81
1099,45
1100,29
1101,28
1102,53
1103,36
1104,42
1105,39
1106,31
1107,34
1108,25
1109,49
1110,22
1111,59
1112,35
1113,75
1114,52
1115,31
1116,34
1117,33
1118,16
1119,64
1120,58
1121,42
1122,68
1123,36
1124,51
1125,78
1126,33
1127,39
1128,55
1129,52
1130,20
1131,74
1132,22
1133,55
1134,40
1135,23
1136,20
1137,14
1138,36
1139,12
1140,30
1141,78
1142,58
1143,40
1144,28
1145,34
1146,30
1147,32
1148,59
1149,15
1150,50
1151,58
1152,39
1153,43
1154,52
1155,23
1156,22
1157,46
1158,65
1159,41
1160,12
1161,45
1162,54
1163,51
1164,22
1165,41
1166,25
1167,21
1168,43
1169,57
1170,44
1171,33
1172,40
1173,51
1174,19
1175,35
1176,11
1177,38
1178,37
1179,26
1180,83
1181,55
1182,51
1183,33
1184,26
1185,31
1186,31
1187,60
1188,54
1189,44
1190,58
1191,14
1192,34
1193,48
1194,63
1195,32
1196,37
1197,20
1198,41
1199,41
1200,49
1201,55
1202,58
1203,25
1204,5
1205,37
1206,30
1207,23
1208,15
1209,33
1210,33
1211,35
1212,62
1213,24
1214,29
1215,22
1216,42
1217,12
1218,41
1219,15
1220,73
1221,22
1222,8
1223,34
1224,27
1225,57
1226,57
1227,45
1228,19
1229,71
1230,51
1231,27
1232,30
1233,47
1234,34
1235,38
1236,38
1237,52
1238,24
1239,35
1240,50
1241,19
1242,25
1243,61
1244,30
1245,89
1246,21
1247,24
1248,50
1249,32
1250,29
1251,20
1252,86
1253,72
1254,46
1255,28
1256,42
1257,14
1258,30
1259,27
1260,14
1261,36
1262,17
1263,41
1264,44
1265,29
1266,31
1267,59
1268,37
1269,53
1270,46
1271,15
1272,47
1273,46
1274,50
1275,33
1276,20
1277,29
1278,23
1279,28
1280,34
1281,25
1282,54
1283,23
1284,50
1285,38
1286,63
1287,43
1288,33
1289,53
1290,21
1291,47
1292,14
1293,88
1294,66
1295,42
1296,42
1297,104
1298,97
1299,25
1300,53
1301,27
1302,16
1303,40
1304,30
1305,31
1306,60
1307,64
1308,34
1309,9
1310,9
1311,45
1312,18
1313,47
1314,9
1315,45
1316,51
1317,56
1318,14
1319,31
1320,39
1321,21
1322,28
1323,15
1324,15
1325,45
1326,50
1327,55
1328,30
1329,38
1330,26
1331,25
1332,34
1333,17
1334,31
1335,13
1336,31
1337,28
1338,41
1339,60
1340,18
1341,18
1342,31
1343,34
1344,20
1345,50
1346,26
1347,38
1348,7
1349,42
1350,175
1351,95
1352,23
1353,20
1354,26
1355,51
1356,31
1357,50
1358,40
1359,15
1360,41
1361,19
1362,28
1363,31
1364,48
1365,31
1366,66
1367,17
1368,70
1369,25
1370,16
1371,18
1372,23
1373,30
1374,48
1375,27
1376,33
1377,44
1378,43
1379,29
1380,45
1381,44
1382,42
1383,22
1384,96
1385,25
1386,26
1387,37
1388,36
1389,55
1390,63
1391,19
1392,31
1393,45
1394,53
1395,13
1396,86
1397,35
1398,34
1399,49
1400,53
1401,42
1402,30
1403,35
1404,30
1405,47
1406,43
1407,64
1408,44
1409,24
1410,28
1411,17
1412,16
1413,20
1414,18
1415,69
1416,45
1417,18
1418,23
1419,32
1420,29
1421,38
1422,42
1423,38
1424,27
1425,33
1426,94
1427,31
1428,31
1429,52
1430,46
1431,48
1432,55
1433,16
1434,41
1435,40
1436,30
1437,40
1438,12
1439,83
1440,27
1441,12
1442,21
1443,52
1444,44
1445,22
1446,61
1447,17
1448,50
1449,23
1450,24
1451,48
1452,75
1453,44
1454,41
1455,16
1456,27
1457,37
1458,35
1459,46
1460,17
1461,14
1462,50
1463,12
1464,52
1465,52
1466,97
1467,38
1468,30
1469,33
1470,15
1471,53
1472,52
1473,56
1474,49
1475,15
1476,49
1477,37
1478,28
1479,14
1480,35
1481,13
1482,16
1483,30
1484,52
1485,54
1486,26
1487,35
1488,40
1489,30
1490,31
1491,64
1492,60
