,hamming_distance
0,61
1,101
2,38
3,37
4,51
5,32
6,20
7,72
8,42
9,49
10,45
11,35
12,50
13,45
14,54
15,39
16,96
17,49
18,38
19,52
20,56
21,43
22,88
23,53
24,45
25,68
26,34
27,90
28,42
29,35
30,39
31,27
32,73
33,31
34,53
35,86
36,50
37,29
38,43
39,46
40,92
41,31
42,77
43,55
44,66
45,46
46,38
47,32
48,47
49,36
50,57
51,86
52,41
53,48
54,50
55,46
56,29
57,50
58,106
59,38
60,73
61,56
62,43
63,60
64,27
65,61
66,44
67,89
68,31
69,61
70,54
71,31
72,22
73,52
74,41
75,71
76,40
77,25
78,56
79,35
80,46
81,86
82,51
83,71
84,82
85,44
86,61
87,37
88,54
89,51
90,65
91,71
92,74
93,45
94,49
95,55
96,45
97,30
98,39
99,80
100,28
101,76
102,32
103,46
104,38
105,105
106,20
107,66
108,50
109,77
110,49
111,48
112,34
113,52
114,26
115,97
116,32
117,110
118,167
119,28
120,45
121,31
122,89
123,38
124,72
125,61
126,47
127,49
128,84
129,54
130,35
131,81
132,69
133,43
134,62
135,111
136,29
137,79
138,27
139,62
140,43
141,65
142,57
143,49
144,85
145,58
146,70
147,57
148,42
149,44
150,23
151,53
152,54
153,67
154,29
155,58
156,66
157,68
158,34
159,65
160,87
161,57
162,78
163,43
164,46
165,50
166,87
167,70
168,45
169,46
170,48
171,37
172,48
173,50
174,51
175,93
176,57
177,96
178,59
179,34
180,25
181,52
182,32
183,58
184,73
185,65
186,75
187,36
188,39
189,37
190,48
191,32
192,36
193,39
194,29
195,60
196,19
197,109
198,39
199,15
200,35
201,56
202,44
203,62
204,89
205,61
206,53
207,74
208,47
209,44
210,62
211,59
212,63
213,58
214,75
215,42
216,31
217,87
218,55
219,23
220,62
221,61
222,41
223,24
224,78
225,57
226,75
227,84
228,29
229,39
230,88
231,24
232,33
233,85
234,57
235,59
236,76
237,66
238,27
239,45
240,29
241,37
242,43
243,26
244,80
245,42
246,39
247,15
248,53
249,73
250,62
251,30
252,23
253,78
254,42
255,57
256,89
257,38
258,66
259,30
260,71
261,48
262,61
263,57
264,56
265,36
266,43
267,67
268,30
269,17
270,69
271,34
272,34
273,40
274,36
275,68
276,47
277,55
278,58
279,61
280,57
281,59
282,42
283,41
284,40
285,61
286,67
287,83
288,31
289,41
290,35
291,65
292,52
293,42
294,102
295,50
296,45
297,60
298,32
299,32
300,72
301,30
302,60
303,68
304,44
305,42
306,31
307,50
308,58
309,38
310,60
311,73
312,33
313,42
314,74
315,23
316,40
317,53
318,20
319,61
320,33
321,70
322,38
323,50
324,28
325,86
326,22
327,41
328,49
329,25
330,36
331,74
332,83
333,52
334,37
335,65
336,76
337,30
338,40
339,35
340,32
341,52
342,39
343,98
344,93
345,74
346,28
347,36
348,41
349,50
350,49
351,86
352,78
353,56
354,44
355,70
356,53
357,61
358,24
359,21
360,43
361,66
362,54
363,60
364,54
365,42
366,32
367,72
368,48
369,42
370,55
371,45
372,47
373,49
374,55
375,56
376,31
377,61
378,65
379,56
380,64
381,57
382,81
383,91
384,103
385,94
386,88
387,52
388,62
389,81
390,63
391,79
392,59
393,61
394,86
