,hamming_distance
0,24
1,46
2,33
3,57
4,95
5,20
6,21
7,20
8,28
9,54
10,44
11,23
12,24
13,21
14,21
15,21
16,43
17,23
18,19
19,23
20,19
21,20
22,59
23,20
24,52
25,121
26,26
27,100
28,94
29,69
30,17
31,25
32,50
33,22
34,21
35,25
36,24
37,34
38,26
39,26
40,21
41,25
42,20
43,23
44,26
45,20
46,21
47,36
48,29
49,21
50,30
51,19
52,23
53,34
54,22
55,44
56,25
57,45
58,60
59,30
60,42
61,21
62,21
63,27
64,20
65,43
66,114
67,23
68,27
69,20
70,25
71,52
72,61
73,117
74,19
75,61
76,20
77,24
78,116
79,122
80,29
81,18
82,39
83,109
84,30
85,125
86,35
87,24
88,30
89,40
90,23
91,16
92,24
93,21
94,37
95,163
96,20
97,120
98,21
99,39
100,20
101,30
102,21
103,19
104,25
105,36
106,33
107,104
108,21
109,25
110,152
111,42
112,98
113,36
114,21
115,75
116,38
117,99
118,144
119,37
120,22
121,30
122,31
123,143
124,21
125,19
126,21
127,24
128,40
129,24
130,22
131,20
132,21
133,20
134,23
135,25
136,29
137,25
138,32
139,48
140,22
141,19
142,36
143,26
144,21
145,21
146,25
147,31
148,20
149,24
150,52
151,17
152,19
153,119
154,20
155,20
156,25
157,21
158,39
159,25
160,19
161,19
162,115
163,20
164,20
165,35
166,27
167,19
168,20
169,55
170,23
171,27
172,19
173,143
174,52
175,24
176,20
177,87
178,21
179,18
180,23
181,23
182,28
183,22
184,37
185,20
186,30
187,21
188,38
189,31
190,24
191,24
192,67
193,47
194,23
195,20
196,44
197,27
198,22
199,19
200,29
201,165
202,23
203,65
204,18
205,32
206,64
207,35
208,19
209,94
210,27
211,34
212,69
213,28
214,27
215,23
216,21
217,21
218,49
219,23
220,27
221,29
222,16
223,32
224,19
225,114
226,64
227,26
228,32
229,21
230,20
231,20
232,22
233,62
234,22
235,104
236,19
237,31
238,20
239,27
240,47
241,21
242,139
243,21
244,20
245,73
246,18
247,106
248,20
249,34
250,20
251,38
252,19
253,24
254,156
255,25
256,28
257,24
258,38
259,97
260,134
261,21
262,66
263,23
264,96
265,154
266,28
267,50
268,99
269,25
270,25
271,61
272,21
273,74
274,21
275,18
276,35
277,25
278,43
279,21
280,21
281,33
282,25
283,21
284,25
285,103
286,40
287,23
288,38
289,27
290,26
291,109
292,24
293,128
294,124
295,24
296,26
297,21
298,76
299,157
300,29
301,21
302,20
303,107
304,32
305,45
306,26
307,21
308,24
309,22
310,22
311,23
312,87
313,22
314,21
315,23
316,22
317,25
318,26
319,25
320,26
321,26
322,20
323,27
324,24
325,25
326,24
327,19
328,113
329,34
330,37
331,22
332,34
333,20
334,27
335,40
336,26
337,31
338,42
339,25
340,32
341,55
342,20
343,31
344,111
345,33
346,21
347,20
348,20
349,45
350,112
351,21
352,92
353,49
354,66
355,32
356,20
357,27
358,78
359,87
360,73
361,21
362,19
363,31
364,21
365,118
366,21
367,43
368,50
369,49
370,24
371,25
372,20
373,24
374,22
375,24
376,19
377,35
378,51
379,82
380,41
381,27
382,20
383,21
384,25
385,169
386,20
387,24
388,25
389,24
390,19
391,22
392,117
393,22
394,20
395,20
396,25
397,156
398,26
399,57
400,32
401,33
402,69
403,27
404,23
405,17
406,24
407,20
408,32
409,22
410,20
411,92
412,128
413,90
414,20
415,19
416,47
417,23
418,25
419,27
420,46
421,54
422,21
423,52
424,152
425,20
426,20
427,109
428,105
429,19
430,19
431,85
432,21
433,25
434,20
435,20
436,46
437,22
438,104
439,20
440,27
441,36
442,27
443,110
444,21
445,21
446,26
447,21
448,22
449,115
450,37
451,26
452,41
453,100
454,125
455,23
456,22
457,31
458,19
459,25
460,20
461,36
462,133
463,19
464,28
465,58
466,24
467,20
468,62
469,110
470,23
471,20
472,20
473,24
474,35
475,120
476,26
477,22
478,19
479,27
480,26
481,87
482,20
483,26
484,26
485,19
486,20
487,25
488,25
489,62
490,30
491,23
492,27
493,131
494,88
495,23
496,103
497,27
498,107
499,23
500,22
501,26
502,22
503,19
504,37
505,51
506,20
507,20
508,30
509,23
510,20
511,27
512,19
513,27
514,19
515,152
516,62
517,20
518,30
519,20
520,76
521,56
522,29
523,23
524,26
525,23
526,34
527,85
528,24
529,22
530,48
531,19
532,28
533,30
534,19
535,79
536,27
537,18
538,25
539,20
540,20
541,20
542,116
543,21
544,21
545,55
546,38
547,55
548,19
549,25
550,18
551,27
552,25
553,23
554,51
555,28
556,31
557,20
558,39
559,23
560,20
561,21
562,20
563,31
564,19
565,19
566,23
567,37
568,94
569,115
570,22
571,22
572,38
573,34
574,21
575,38
576,19
577,22
578,43
579,19
580,23
581,21
582,131
583,24
584,19
585,37
586,18
587,23
588,102
589,21
590,21
591,19
592,22
593,71
594,105
595,21
596,19
597,123
598,19
599,48
600,20
601,19
602,26
603,32
604,25
605,25
606,26
607,127
608,26
609,46
610,27
611,28
612,35
613,20
614,22
615,43
616,24
617,27
618,20
619,29
620,30
621,26
622,21
623,21
624,56
625,19
626,20
627,21
628,19
629,30
630,118
631,44
632,20
633,20
634,19
635,55
636,24
637,21
638,19
639,34
640,77
641,24
642,21
643,25
644,62
645,20
646,17
647,136
648,26
649,37
650,34
651,25
652,161
653,20
654,25
655,61
656,19
657,25
658,20
659,105
660,20
661,19
662,33
663,20
664,51
665,110
666,37
667,24
668,57
669,27
670,153
671,65
672,27
673,66
674,23
675,22
676,22
677,28
678,88
679,71
680,20
681,19
682,60
683,25
684,19
685,76
686,25
687,23
688,21
689,20
690,19
691,131
692,40
693,131
694,20
695,55
696,22
697,23
698,21
699,20
700,23
701,59
702,44
703,21
704,88
705,21
706,33
707,184
708,88
709,70
710,114
711,23
712,153
713,50
714,25
715,22
716,20
717,21
718,42
719,24
720,30
721,24
722,25
723,25
724,22
725,27
726,66
727,86
728,22
729,27
730,52
731,38
732,28
733,20
734,20
735,20
736,22
737,103
738,19
739,24
740,21
741,21
742,20
743,99
744,104
745,20
746,159
747,100
748,23
749,102
750,36
751,22
752,25
753,63
754,22
755,22
756,22
757,18
758,22
759,20
760,53
761,86
762,92
763,85
764,136
765,38
766,89
767,54
768,20
769,19
770,72
771,29
772,109
773,19
774,75
775,58
776,39
777,19
778,40
779,60
780,41
781,21
782,25
783,50
784,53
785,21
786,22
787,24
788,24
789,21
790,55
791,136
792,42
793,19
794,79
795,22
796,25
797,19
798,27
799,40
800,78
801,21
802,20
803,66
804,38
805,24
806,20
807,27
808,21
809,22
810,19
811,19
812,20
813,20
814,30
815,20
816,47
817,19
818,35
819,24
820,19
821,23
822,40
823,36
824,20
825,25
826,23
827,23
828,27
829,34
830,80
831,75
832,19
833,19
834,115
835,53
836,25
837,24
838,22
839,21
840,20
841,23
842,71
843,23
844,19
845,24
846,21
847,45
848,62
849,23
850,25
851,24
852,20
853,25
854,30
855,26
856,26
857,17
858,165
859,24
860,78
861,76
862,24
863,25
864,24
865,145
866,19
867,23
868,45
869,32
870,20
871,40
872,20
873,49
874,21
875,119
876,26
877,20
878,19
879,50
880,25
881,24
882,21
883,19
884,21
885,20
886,113
887,26
888,61
889,61
890,20
891,21
892,25
893,20
894,24
895,57
896,32
897,24
898,80
899,23
900,21
901,43
902,23
903,79
904,22
905,76
906,24
907,29
908,50
909,22
910,142
911,87
912,36
913,20
914,34
915,35
916,24
917,21
918,20
919,23
920,25
921,26
922,42
923,21
924,39
925,20
926,38
927,33
928,87
929,21
930,71
931,19
932,20
933,37
934,28
935,33
936,24
937,17
938,52
939,107
940,22
941,56
942,22
943,22
944,22
945,24
946,22
947,58
948,106
949,58
950,28
951,91
952,99
953,30
954,67
955,25
956,20
957,79
958,31
959,21
960,39
961,21
962,155
963,24
964,67
965,22
966,58
967,57
968,20
