,hamming_distance
0,38
1,113
2,95
3,76
4,69
5,29
6,56
7,48
8,35
9,102
10,64
11,88
12,58
13,34
14,43
15,106
16,29
17,128
18,29
19,118
20,70
21,111
22,100
23,42
24,93
25,164
26,80
27,75
28,86
29,9
30,25
31,133
32,52
33,57
34,200
35,106
36,109
37,57
38,34
39,16
40,128
41,91
42,29
43,156
44,88
45,95
46,36
47,36
48,82
49,28
50,105
51,103
52,90
53,71
54,70
55,90
56,62
57,87
58,124
59,12
60,17
61,108
62,9
63,20
64,16
65,35
66,37
67,63
68,43
69,49
70,24
71,131
72,93
73,26
74,23
75,12
76,108
77,79
78,84
79,41
80,29
81,51
82,25
83,30
84,90
85,22
86,62
87,23
88,89
89,69
90,9
91,56
92,31
93,11
94,78
95,92
96,85
97,92
98,127
99,22
100,94
101,84
102,94
103,203
104,116
105,60
106,52
107,116
108,110
109,110
110,22
111,73
112,66
113,107
114,115
115,83
116,46
117,91
118,84
119,44
120,35
121,147
122,87
123,57
124,96
125,15
126,20
127,21
128,106
129,106
130,13
131,78
132,132
133,62
134,72
135,82
136,16
137,116
138,41
139,38
140,92
141,79
142,54
143,77
144,31
145,63
146,10
147,149
148,35
149,16
150,61
151,101
152,145
153,16
154,169
155,35
156,26
157,17
158,27
159,59
160,101
161,85
162,92
163,60
164,22
165,24
166,32
167,97
168,128
169,96
170,35
171,82
172,22
173,47
174,101
175,150
176,130
177,118
178,48
179,111
180,78
181,16
182,12
183,104
184,96
185,40
186,98
187,61
188,53
189,21
190,35
191,54
192,100
193,12
194,49
195,34
196,126
197,47
198,98
199,29
200,24
201,150
202,91
203,56
204,47
205,33
206,106
207,85
208,45
209,50
210,56
211,114
212,61
213,91
214,121
215,113
216,36
217,27
218,114
219,47
220,22
221,12
222,16
223,72
224,22
225,12
226,13
227,81
228,97
229,29
230,80
231,11
232,128
233,154
234,88
235,30
236,100
237,142
238,83
239,83
240,51
241,145
242,11
243,17
244,72
245,34
246,94
247,23
248,74
249,102
250,16
251,108
252,23
253,85
254,33
255,35
256,35
257,15
258,54
259,65
260,83
261,91
262,54
263,86
264,27
265,113
266,64
267,34
268,47
269,36
270,74
271,33
272,109
273,86
274,68
275,83
276,81
277,27
278,71
279,100
280,25
281,38
282,91
283,43
284,41
285,80
286,32
287,49
288,34
289,10
290,87
291,27
292,72
293,43
294,22
295,63
296,14
297,40
298,31
299,48
300,12
301,29
302,63
303,20
304,14
305,11
306,80
307,38
308,25
309,49
310,153
311,22
312,70
313,162
314,130
315,81
316,79
317,193
318,93
319,126
320,120
321,9
322,25
323,72
324,121
325,63
326,9
327,50
328,23
329,86
330,27
331,20
332,22
333,65
334,110
335,18
336,19
337,9
338,47
339,70
340,93
341,21
342,85
343,10
344,84
345,9
346,64
347,99
348,90
349,32
350,70
351,107
352,41
353,35
354,77
355,36
356,10
357,9
358,83
359,21
360,13
361,29
362,12
363,171
364,77
365,104
366,140
367,23
368,54
369,15
370,34
371,81
372,63
373,86
374,73
375,26
376,48
377,52
378,49
379,14
380,150
381,82
382,20
383,25
384,52
385,120
386,39
387,89
388,88
389,107
390,48
391,68
392,72
393,47
394,86
395,24
396,91
397,35
398,56
399,29
400,28
401,16
402,40
403,75
404,85
405,79
406,76
407,11
408,53
409,77
410,75
411,21
412,28
413,21
414,56
415,23
416,32
417,23
418,42
419,60
420,28
421,110
422,122
423,47
424,63
425,37
426,30
427,169
428,124
429,174
430,84
431,129
432,109
433,13
434,76
435,75
436,91
437,31
438,30
439,29
440,21
441,69
442,119
443,39
444,15
445,85
446,114
447,108
448,75
449,65
450,48
451,17
452,110
453,94
454,17
455,81
456,11
457,116
458,85
459,16
460,47
461,42
462,51
463,90
464,24
465,35
466,92
467,24
468,105
469,18
470,119
471,81
472,35
473,41
474,98
475,29
476,81
477,98
478,44
479,37
480,59
481,83
482,130
483,20
484,84
485,56
486,43
487,189
488,64
489,103
490,86
491,10
492,9
493,26
494,132
495,15
496,141
497,14
498,24
499,23
500,84
501,129
502,10
503,78
504,200
505,69
506,91
507,102
508,130
509,178
510,128
511,91
512,34
513,111
514,50
515,75
516,55
517,80
518,97
519,18
520,85
521,97
522,21
523,93
524,24
525,17
526,208
527,77
528,146
529,90
530,88
531,137
532,28
533,22
534,143
535,148
536,83
537,90
538,55
539,32
540,9
541,9
542,76
543,15
544,53
545,49
546,36
547,82
548,127
549,16
550,89
551,20
552,39
553,27
554,19
555,21
556,84
557,70
558,108
559,73
560,44
561,13
562,82
563,13
564,26
565,184
566,117
567,90
568,23
569,52
570,28
571,89
572,53
573,14
574,118
575,143
576,112
577,110
578,31
579,87
580,168
581,42
582,68
583,132
584,26
585,28
586,82
587,36
588,146
589,114
590,73
591,86
592,118
593,94
594,181
595,15
596,44
597,90
598,14
599,24
600,89
601,41
602,143
603,93
604,115
605,30
606,19
607,45
608,108
609,94
610,29
611,94
612,68
613,71
614,12
615,44
616,90
617,102
618,126
619,73
620,29
621,77
622,20
623,30
624,65
625,153
626,89
627,103
628,70
629,20
630,67
631,19
632,71
633,42
634,99
635,115
636,25
637,37
638,29
639,13
640,26
641,68
642,83
643,23
644,66
645,41
646,65
647,22
648,114
649,18
650,109
651,68
652,59
653,36
654,22
655,28
656,99
657,129
658,97
659,82
660,12
661,31
662,80
663,14
664,99
665,24
666,69
667,57
668,23
669,70
670,129
671,27
672,27
673,107
674,53
675,22
676,10
677,78
678,163
679,112
680,60
681,105
682,74
683,73
684,88
685,64
686,81
687,20
688,63
689,9
690,11
691,49
692,22
693,132
694,67
695,19
696,45
697,73
698,39
699,124
700,73
701,21
702,29
703,20
704,85
705,42
706,98
707,30
708,74
709,35
710,32
711,18
712,79
713,61
714,105
715,20
716,93
717,52
718,71
719,58
720,51
721,80
722,42
723,88
724,31
725,100
726,35
727,121
728,56
729,65
730,79
731,80
732,17
733,37
734,22
735,46
736,24
737,25
738,148
739,82
740,69
741,32
742,16
743,13
744,38
745,21
746,28
747,81
748,99
749,49
750,33
751,54
752,25
753,63
754,46
755,24
756,74
757,42
758,20
759,64
760,79
761,32
762,21
763,71
764,18
765,11
766,40
767,17
768,30
769,17
770,103
771,60
772,39
773,79
774,125
775,83
776,35
777,96
778,64
779,136
780,83
781,21
782,91
783,134
784,88
785,104
786,71
787,25
788,30
789,121
790,159
791,11
792,26
793,23
794,75
795,11
796,81
797,39
798,138
799,50
800,38
801,65
802,110
803,115
804,30
805,152
806,21
807,76
808,16
809,55
810,80
811,102
812,87
813,48
814,101
815,28
816,19
817,71
818,94
819,18
820,92
821,95
822,45
823,30
824,21
825,71
826,92
827,114
828,92
829,74
830,26
831,72
832,27
833,102
834,135
835,45
836,104
837,100
838,79
839,102
840,33
841,32
842,99
843,29
844,67
845,75
846,33
847,21
848,99
849,107
850,46
851,48
852,105
853,11
854,14
855,27
856,96
857,162
858,35
859,125
860,103
861,140
862,81
863,87
864,197
865,73
866,101
867,51
868,48
869,80
870,81
871,34
872,98
873,49
874,15
875,103
876,96
877,14
878,32
879,88
880,102
881,50
882,21
883,26
884,38
885,49
886,28
887,73
888,52
889,13
890,105
891,33
892,19
893,89
894,65
895,101
896,74
897,44
898,29
899,30
900,177
901,120
902,89
903,97
904,69
905,113
906,77
907,46
908,17
909,23
910,81
911,138
912,46
913,62
914,44
915,13
916,79
917,38
918,25
919,72
920,16
921,48
922,103
923,105
924,92
925,21
926,133
927,17
928,71
929,72
930,124
931,87
932,86
933,54
934,93
935,56
936,49
937,52
938,27
939,29
940,46
941,94
942,82
943,15
944,10
945,78
946,22
947,20
948,141
949,46
950,29
951,32
952,76
953,14
954,106
955,26
956,19
957,17
958,73
959,70
960,13
961,64
962,17
963,111
964,56
965,19
966,27
967,55
968,60
969,17
970,102
971,57
972,94
973,48
974,62
975,68
976,9
977,12
978,146
979,19
980,93
981,40
982,51
983,53
984,53
985,48
986,44
987,51
988,25
989,116
990,127
991,37
992,89
993,128
994,13
995,50
996,49
997,142
998,13
999,54
1000,50
1001,39
1002,87
1003,62
1004,31
1005,37
1006,36
1007,52
1008,12
1009,43
1010,57
1011,101
1012,30
1013,30
1014,94
1015,76
1016,53
1017,9
1018,43
1019,50
1020,15
1021,9
1022,130
1023,94
1024,11
1025,66
1026,51
1027,16
1028,70
1029,24
1030,83
1031,73
1032,38
1033,109
1034,15
1035,78
1036,67
1037,85
1038,39
1039,90
1040,57
1041,66
1042,11
1043,15
1044,16
1045,92
1046,81
1047,125
1048,54
1049,137
1050,131
1051,22
1052,20
1053,74
1054,111
1055,37
1056,41
1057,23
1058,116
1059,31
1060,23
1061,125
1062,65
1063,84
1064,40
1065,36
1066,87
1067,159
1068,41
1069,80
1070,24
1071,32
1072,76
1073,56
1074,100
1075,30
1076,111
1077,14
1078,84
1079,81
1080,25
1081,132
1082,51
1083,79
1084,24
1085,134
1086,52
1087,57
1088,10
1089,63
1090,65
1091,67
1092,34
1093,98
1094,83
1095,66
1096,14
1097,27
1098,112
1099,37
1100,89
1101,127
1102,34
1103,24
1104,68
1105,128
1106,98
1107,29
1108,110
1109,76
1110,114
1111,23
1112,38
1113,31
1114,87
1115,140
1116,111
1117,167
1118,76
1119,34
1120,50
1121,124
1122,189
1123,124
1124,138
1125,39
1126,96
1127,41
1128,12
1129,122
1130,48
1131,67
1132,63
1133,79
1134,57
1135,29
1136,71
1137,61
1138,83
1139,48
1140,33
1141,56
1142,18
1143,111
1144,168
1145,34
1146,103
1147,18
1148,22
1149,41
1150,120
1151,85
1152,10
1153,84
1154,99
1155,90
1156,130
1157,71
1158,106
1159,44
1160,74
1161,103
1162,89
1163,76
1164,92
1165,41
1166,78
1167,88
1168,60
1169,33
1170,32
1171,104
1172,23
1173,23
1174,43
1175,65
1176,38
1177,109
1178,84
1179,110
1180,82
1181,13
1182,56
1183,30
1184,85
1185,115
1186,33
1187,114
1188,50
1189,31
1190,33
1191,91
1192,11
1193,21
1194,58
1195,26
1196,115
1197,57
1198,59
1199,129
1200,84
1201,25
1202,22
1203,118
1204,37
1205,55
1206,128
1207,55
1208,154
1209,37
1210,18
1211,119
1212,128
1213,145
1214,23
1215,13
1216,97
1217,65
1218,13
1219,24
1220,192
1221,96
1222,63
1223,12
1224,55
1225,96
1226,37
1227,30
1228,53
1229,21
1230,76
1231,82
1232,165
1233,85
1234,32
1235,93
1236,34
1237,18
1238,121
1239,62
1240,30
1241,32
1242,132
1243,87
1244,58
1245,18
1246,36
1247,9
1248,76
1249,35
1250,103
1251,24
1252,43
1253,9
1254,75
1255,39
1256,101
1257,93
1258,83
1259,95
1260,112
1261,29
1262,34
1263,119
1264,61
1265,10
1266,134
1267,91
1268,47
1269,27
1270,71
1271,134
1272,30
1273,49
1274,50
1275,60
1276,11
1277,26
1278,21
1279,36
1280,24
1281,31
1282,85
1283,87
1284,196
1285,22
1286,49
1287,32
1288,85
1289,83
1290,124
1291,99
1292,117
1293,102
1294,45
1295,97
1296,65
1297,89
1298,34
1299,50
1300,157
1301,111
1302,56
1303,35
1304,221
1305,115
1306,92
1307,84
1308,45
1309,42
1310,123
1311,12
1312,78
1313,33
1314,102
1315,107
1316,25
1317,48
1318,39
1319,12
1320,15
1321,9
1322,140
1323,14
1324,105
1325,98
1326,19
1327,90
1328,79
1329,74
1330,41
1331,68
1332,42
1333,45
1334,90
1335,41
1336,53
1337,69
1338,117
1339,136
1340,123
1341,34
1342,61
1343,36
1344,95
1345,78
1346,109
1347,124
