,hamming_distance
0,99
1,25
2,130
3,26
4,76
5,24
6,25
7,19
8,48
9,114
10,31
11,53
12,20
13,20
14,20
15,37
16,96
17,23
18,21
19,22
20,134
21,136
22,41
23,75
24,37
25,22
26,43
27,19
28,93
29,21
30,20
31,57
32,22
33,22
34,19
35,82
36,21
37,32
38,27
39,27
40,25
41,27
42,20
43,21
44,110
45,29
46,30
47,32
48,64
49,25
50,23
51,38
52,25
53,162
54,67
55,32
56,51
57,24
58,33
59,115
60,23
61,94
62,80
63,21
64,46
65,21
66,31
67,25
68,42
69,21
70,26
71,25
72,35
73,48
74,51
75,20
76,41
77,25
78,21
79,25
80,28
81,20
82,24
83,25
84,24
85,25
86,43
87,21
88,61
89,26
90,22
91,78
92,19
93,25
94,38
95,30
96,21
97,28
98,128
99,26
100,26
101,19
102,21
103,27
104,122
105,65
106,35
107,29
108,32
109,93
110,27
111,38
112,21
113,22
114,24
115,53
116,74
117,61
118,23
119,21
120,31
121,23
122,124
123,27
124,27
125,24
126,154
127,146
128,33
129,22
130,26
131,28
132,66
133,20
134,21
135,26
136,110
137,40
138,55
139,39
140,31
141,24
142,19
143,28
144,28
145,20
146,22
147,58
148,23
149,33
150,20
151,27
152,21
153,22
154,45
155,24
156,35
157,25
158,25
159,28
160,54
161,28
162,24
163,90
164,74
165,120
166,22
167,23
168,140
169,85
170,26
171,26
172,131
173,101
174,25
175,129
176,22
177,26
178,25
179,62
180,21
181,30
182,76
183,35
184,22
185,61
186,22
187,39
188,31
189,20
190,38
191,23
192,20
193,60
194,22
195,24
196,25
197,130
198,21
199,99
200,21
201,23
202,20
203,87
204,68
205,31
206,23
207,23
208,32
209,39
210,45
211,52
212,23
213,138
214,25
215,24
216,22
217,21
218,101
219,43
220,39
221,34
222,27
223,37
224,18
225,35
226,35
227,110
228,23
229,27
230,34
231,96
232,152
233,22
234,21
235,20
236,20
237,83
238,20
239,28
240,21
241,26
242,27
243,20
244,72
245,19
246,19
247,29
248,35
249,32
250,22
251,67
252,25
253,39
254,107
255,22
256,20
257,91
258,21
259,34
260,23
261,21
262,21
263,23
264,104
265,156
266,36
267,47
268,49
269,21
270,176
271,25
272,32
273,38
274,30
275,21
276,20
277,24
278,69
279,26
280,27
281,92
282,20
283,22
284,23
285,27
286,23
287,21
288,22
289,23
290,44
291,29
292,36
293,40
294,28
295,22
296,23
297,43
298,55
299,20
300,23
301,23
302,20
303,55
304,160
305,59
306,39
307,27
308,28
309,143
310,37
311,27
312,29
313,25
314,21
315,31
316,54
317,89
318,23
319,165
320,60
321,21
322,62
323,23
324,27
325,18
326,104
327,31
328,42
329,23
330,26
331,24
332,27
333,25
334,152
335,145
336,22
337,22
338,111
339,120
340,126
341,86
342,89
343,21
344,22
345,106
346,95
347,20
348,118
349,150
350,92
351,32
352,30
353,40
354,21
355,81
356,57
357,46
358,147
359,63
360,23
361,65
362,87
363,38
364,25
365,54
366,104
367,96
368,27
369,24
370,27
371,114
372,25
373,51
374,26
375,23
376,66
377,79
378,71
379,21
380,23
381,26
382,105
383,30
384,25
385,24
386,28
387,21
388,31
389,141
390,135
391,39
392,19
393,33
394,26
395,22
396,23
397,26
398,27
399,22
400,24
401,20
402,23
403,64
404,26
405,58
406,28
407,84
408,20
409,37
410,20
411,56
412,25
413,112
414,23
415,29
416,43
417,128
