,hamming_distance
0,59
1,6
2,5
3,4
4,14
5,9
6,2
7,8
8,44
9,21
10,16
11,23
12,19
13,5
14,9
15,9
16,4
17,4
18,5
19,4
20,4
21,23
22,84
23,11
24,6
25,6
26,24
27,8
28,10
29,8
30,41
31,6
32,46
33,8
34,5
35,6
36,53
37,9
38,26
39,15
40,7
41,32
42,10
43,9
44,13
45,8
46,19
47,13
48,12
49,92
50,7
51,8
52,15
53,7
54,5
55,5
56,12
57,6
58,7
59,4
60,12
61,12
62,4
63,4
64,8
65,7
66,6
67,20
68,7
69,53
70,9
71,14
72,5
73,4
74,8
75,54
76,4
77,20
78,35
79,8
80,20
81,63
82,13
83,6
84,20
85,9
86,67
87,13
88,20
89,6
90,7
91,29
92,7
93,9
94,12
95,27
96,7
97,9
98,22
99,36
100,6
101,6
102,10
103,29
104,29
105,5
106,37
107,33
108,11
109,40
110,47
111,27
112,6
113,14
114,15
115,24
116,14
117,7
118,5
119,29
120,84
121,7
122,4
123,6
124,6
125,10
126,30
127,5
128,4
129,5
130,4
131,89
132,8
133,4
134,8
135,72
136,52
137,10
138,14
139,7
140,19
141,12
142,8
143,11
144,11
145,5
146,4
147,4
148,4
149,17
150,27
151,6
152,4
153,4
154,19
155,4
156,13
157,41
158,61
159,5
160,3
161,19
162,4
163,5
164,4
165,10
166,28
167,5
168,4
169,21
170,22
171,5
172,10
173,14
174,11
175,4
176,12
177,15
178,11
179,27
180,5
181,21
182,101
183,4
184,7
185,5
186,3
187,5
188,4
189,6
190,31
191,19
192,5
193,7
194,5
195,30
196,23
197,15
198,4
199,5
200,56
201,11
202,8
203,24
204,7
205,7
206,43
207,37
208,63
209,11
210,5
211,9
212,42
213,9
214,9
215,6
216,43
217,8
218,13
219,5
220,9
221,4
222,22
223,5
224,16
225,9
226,9
227,19
228,6
229,11
230,41
231,19
232,44
233,22
234,10
235,4
236,4
237,12
238,4
239,8
240,4
241,20
242,6
243,17
244,24
245,16
246,2
247,4
248,4
249,27
250,6
251,11
252,4
253,7
254,19
255,4
256,2
257,12
258,4
259,4
260,5
261,16
262,10
263,15
264,7
265,18
266,7
267,4
268,19
269,25
270,42
271,6
272,44
273,5
274,5
275,7
276,11
277,4
278,17
279,13
280,9
281,14
282,4
283,32
284,4
285,42
286,3
287,8
288,5
289,8
290,6
291,13
292,21
293,16
294,11
295,17
296,15
297,8
298,6
299,10
300,13
301,45
302,5
303,11
304,39
305,5
306,23
307,42
308,6
