,hamming_distance
0,12
1,11
2,4
3,8
4,4
5,4
6,7
7,3
8,6
9,5
10,18
11,14
12,12
13,35
14,1
15,19
16,18
17,11
18,4
19,4
20,4
21,8
22,15
23,7
24,6
25,8
26,44
27,2
28,37
29,1
30,7
31,4
32,9
33,4
34,30
35,37
36,7
37,0
38,22
39,0
40,1
41,44
42,4
43,4
44,5
45,24
46,1
47,20
48,7
49,22
50,8
51,5
52,5
53,33
54,25
55,24
56,7
57,4
58,18
59,9
60,3
61,4
62,4
63,11
64,3
65,1
66,35
67,3
68,8
69,32
70,7
71,16
72,39
73,6
74,0
75,7
76,8
77,24
78,1
79,6
80,3
81,10
82,19
83,5
84,12
85,13
86,16
87,6
88,23
89,0
90,14
91,12
92,6
93,7
94,1
95,5
96,3
97,3
98,21
99,6
100,10
101,12
102,4
103,1
104,23
105,12
106,23
107,5
108,22
109,6
110,4
111,4
112,12
113,13
114,4
115,3
116,3
117,4
118,2
119,19
120,5
121,5
122,5
123,3
124,5
125,3
126,4
127,4
128,77
129,6
130,17
131,17
132,9
133,7
134,6
135,1
136,19
137,2
138,3
139,8
140,9
141,11
142,60
143,2
144,3
145,0
146,74
147,59
148,17
149,9
150,12
151,13
152,4
153,3
154,0
155,8
156,5
157,31
158,4
159,4
160,17
161,12
162,5
163,2
164,3
165,8
166,8
167,11
168,0
169,10
170,5
171,6
172,6
173,11
174,19
175,12
176,0
177,7
178,0
179,10
180,0
181,9
182,9
183,27
184,15
185,7
186,7
187,8
188,4
189,1
190,4
191,11
192,20
193,5
194,27
195,3
196,0
197,6
198,4
199,28
200,8
201,18
202,7
203,0
204,4
205,11
206,8
207,7
208,8
209,0
210,4
211,4
212,6
213,7
214,38
215,15
216,9
217,5
218,2
219,24
220,4
221,11
222,6
223,14
224,5
225,9
226,11
227,6
228,4
229,2
230,8
231,3
232,22
233,19
234,8
235,13
236,4
237,3
238,3
239,0
240,7
241,47
242,4
243,9
244,6
245,4
246,16
247,4
248,3
249,7
250,4
251,3
252,25
253,14
254,55
255,19
256,44
257,3
258,6
259,5
260,16
261,7
262,9
263,2
264,3
265,4
266,3
267,0
268,11
269,18
270,7
271,42
272,0
273,17
274,13
275,4
276,2
277,15
278,31
279,1
280,6
281,5
282,43
283,7
284,76
285,27
286,8
287,4
288,3
289,8
290,3
291,8
292,14
293,20
294,22
295,3
296,29
297,13
298,18
299,7
300,4
301,7
302,1
303,19
304,6
305,29
306,9
307,5
308,21
309,19
310,13
311,28
312,22
313,11
314,3
315,53
316,8
317,4
318,21
319,18
320,2
321,52
322,5
323,8
324,2
325,7
326,3
327,61
328,3
329,0
330,0
331,5
332,0
333,68
334,25
335,17
336,13
337,24
338,7
339,9
340,3
341,5
342,0
343,13
344,12
345,0
346,11
347,8
348,0
349,35
350,0
351,13
352,5
353,6
354,12
355,7
356,6
357,0
358,4
359,17
360,5
361,14
362,40
363,9
364,5
365,22
366,8
367,7
368,4
369,22
370,8
371,6
372,8
373,57
374,17
375,3
376,4
377,0
378,0
379,6
380,44
381,16
382,7
383,6
384,18
385,0
386,3
387,20
388,9
389,4
390,18
391,19
392,10
393,1
394,5
395,8
396,9
397,20
398,6
399,4
400,19
401,6
402,10
403,7
404,10
405,3
406,11
407,67
408,19
409,2
410,20
411,2
412,2
413,6
414,3
415,7
416,0
417,13
418,6
419,0
420,7
421,11
422,12
423,26
424,22
425,5
426,19
427,0
428,8
429,15
430,0
431,14
432,4
433,2
434,9
435,23
436,36
437,4
438,34
439,7
440,7
441,28
442,11
443,3
444,16
445,4
446,18
447,4
448,4
449,5
450,3
451,9
452,8
453,18
454,11
455,2
456,3
457,14
458,10
459,25
460,3
461,9
462,4
463,20
464,5
465,7
466,6
467,45
468,2
469,31
470,8
471,6
472,9
473,0
474,6
475,2
476,4
477,17
478,9
479,13
480,4
481,16
482,8
483,3
484,3
485,38
486,14
487,5
488,7
489,1
490,8
491,12
492,19
493,13
494,8
495,10
496,15
497,13
498,10
499,3
500,7
501,29
502,3
503,40
504,0
505,64
506,4
507,10
508,17
509,6
510,11
511,6
512,6
513,9
514,4
515,10
516,4
517,4
518,4
519,7
520,5
521,1
522,9
523,16
524,28
525,33
526,4
527,3
528,10
529,0
530,4
531,7
532,4
533,16
534,7
535,3
536,4
537,1
538,9
539,7
540,3
541,4
542,6
543,5
544,0
545,27
546,31
547,20
548,11
549,7
550,5
551,5
552,28
553,5
554,8
555,2
556,4
557,22
558,23
559,13
560,6
561,37
562,4
563,6
564,46
565,4
566,4
567,22
568,2
569,8
570,4
571,5
572,16
573,31
574,24
575,1
576,13
577,11
578,9
579,5
580,24
581,10
582,4
583,9
584,0
585,3
586,44
587,4
588,9
589,4
590,15
591,3
592,30
593,4
594,3
595,12
596,20
597,24
598,23
599,6
600,16
601,3
602,66
603,6
604,3
605,6
606,5
607,8
608,18
609,4
610,3
611,13
612,5
613,17
614,4
615,25
616,19
617,9
618,27
619,10
620,16
621,6
622,2
623,8
624,5
625,4
626,21
627,11
628,10
629,13
630,14
631,2
632,19
633,6
634,16
635,4
636,5
637,3
638,4
639,5
640,0
641,29
642,12
643,11
644,28
645,13
646,4
647,0
648,14
649,15
650,7
651,11
652,0
653,7
654,4
655,4
656,18
657,4
658,12
659,0
660,5
661,12
662,14
663,0
664,9
665,6
666,26
667,17
668,4
669,6
670,4
671,76
672,1
673,13
674,8
675,0
676,13
677,7
678,10
679,11
680,4
681,8
682,1
683,8
684,10
685,8
686,25
687,28
688,8
689,4
690,23
691,9
692,3
693,39
694,10
695,3
696,3
697,3
698,6
699,4
700,4
701,32
702,8
703,13
704,26
705,2
706,5
707,4
708,4
709,6
710,4
711,9
712,3
713,39
714,6
715,20
716,3
717,5
718,29
719,4
720,10
721,31
722,2
723,10
724,14
725,0
726,4
727,33
728,44
729,12
730,6
731,29
732,14
733,37
734,8
735,4
736,12
737,10
738,29
739,18
740,4
741,7
742,9
743,4
744,22
745,3
746,3
747,14
748,9
749,1
750,42
751,6
752,4
753,6
754,1
755,0
756,16
757,3
758,8
759,11
760,4
761,3
762,4
763,21
764,11
765,10
766,5
767,4
768,0
769,14
770,3
771,18
772,0
773,15
774,4
775,7
776,4
777,0
778,27
779,3
780,26
781,3
782,3
783,0
784,2
785,5
786,4
787,76
788,5
789,6
790,0
791,3
792,5
793,19
794,30
795,5
796,20
797,9
798,4
799,6
800,5
801,9
802,4
803,2
804,13
805,26
806,19
807,61
808,10
809,0
810,5
811,11
812,6
813,21
814,6
815,20
816,4
817,10
818,1
819,9
820,16
821,42
822,13
823,8
824,1
825,19
826,0
827,4
828,18
829,4
830,12
831,3
832,3
833,3
834,3
835,2
836,4
837,15
838,3
839,4
840,3
841,4
842,9
843,3
844,5
845,33
846,9
847,19
848,6
849,26
850,5
851,16
852,18
853,6
854,46
855,27
856,6
857,3
858,16
859,2
860,24
861,21
862,21
863,11
864,17
865,18
866,64
867,21
868,6
869,2
870,5
871,16
872,53
873,92
874,3
875,10
876,8
877,64
878,15
879,5
880,13
881,4
882,4
883,4
884,18
885,3
886,4
887,5
888,14
889,0
890,12
891,4
892,48
893,11
894,5
895,4
896,36
897,14
898,33
899,5
900,5
901,5
902,9
903,24
904,22
905,29
906,11
907,4
908,4
909,4
910,4
911,10
912,23
913,15
914,9
915,6
916,3
917,3
918,4
919,4
920,1
921,15
922,36
923,26
924,57
925,17
926,5
927,12
928,14
929,4
930,7
931,4
932,13
933,4
934,17
935,15
936,4
937,11
938,9
939,65
940,29
941,17
942,12
943,7
944,7
945,27
946,34
947,19
948,1
949,0
950,64
951,6
952,20
953,8
954,6
955,19
956,8
957,6
958,6
959,4
960,5
961,13
962,8
963,4
964,3
965,13
966,9
967,2
968,3
969,6
970,20
971,4
972,52
973,10
974,33
975,22
976,29
977,6
978,21
979,4
980,31
981,18
982,33
983,12
984,0
985,39
986,29
987,14
988,1
989,19
990,17
991,80
992,15
993,11
994,5
995,16
996,12
997,9
998,4
999,18
1000,4
1001,24
1002,10
1003,4
1004,2
1005,6
1006,12
1007,31
1008,1
1009,48
1010,14
1011,4
1012,13
1013,6
1014,11
1015,3
1016,19
1017,23
1018,50
1019,8
1020,11
1021,9
1022,4
1023,14
1024,16
1025,4
1026,14
1027,4
1028,10
1029,7
1030,3
1031,17
1032,40
1033,2
1034,35
1035,24
1036,18
1037,4
1038,2
1039,8
1040,0
1041,8
1042,21
1043,2
1044,5
1045,6
1046,14
1047,41
1048,41
1049,4
1050,32
1051,18
1052,29
1053,30
1054,0
1055,20
1056,6
1057,4
1058,13
1059,20
1060,5
1061,10
1062,7
1063,5
1064,28
1065,13
1066,31
1067,13
1068,3
1069,4
1070,5
1071,7
1072,4
1073,6
1074,23
1075,1
1076,18
1077,5
1078,5
1079,9
1080,3
1081,10
1082,4
1083,0
1084,23
1085,11
1086,15
1087,3
1088,5
1089,25
1090,50
1091,11
1092,5
1093,8
1094,19
1095,21
1096,18
1097,0
1098,31
1099,26
1100,7
1101,5
1102,10
1103,16
1104,8
1105,6
1106,12
1107,23
1108,10
1109,15
1110,9
1111,3
1112,4
1113,14
1114,19
1115,7
1116,7
1117,17
1118,22
1119,5
1120,3
1121,13
1122,4
1123,30
1124,7
1125,12
1126,32
1127,61
1128,16
1129,4
1130,12
1131,4
