,hamming_distance
0,0
1,74
2,1
3,0
4,3
5,1
6,0
7,1
8,1
9,5
10,7
11,1
12,0
13,4
14,6
15,7
16,2
17,2
18,1
19,0
20,1
21,3
22,1
23,1
24,1
25,2
26,2
27,1
28,0
29,0
30,11
31,0
32,0
33,0
34,0
35,38
36,5
37,3
38,3
39,3
40,0
41,0
42,2
43,9
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,2
52,1
53,3
54,55
55,0
56,0
57,0
58,3
59,2
60,5
61,32
62,1
63,25
64,1
65,0
66,12
67,2
68,0
69,2
70,0
71,0
72,1
73,4
74,1
75,0
76,1
77,5
78,2
79,0
80,0
81,0
82,0
83,15
84,1
85,1
86,2
87,0
88,0
89,0
90,20
91,1
92,10
93,2
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,9
102,0
103,35
104,8
105,0
106,1
107,0
108,4
109,3
110,0
111,0
112,0
113,2
114,1
115,0
116,7
117,5
118,0
119,1
120,3
121,0
122,0
123,0
124,2
125,1
126,0
127,0
128,1
129,3
130,6
131,3
132,0
133,1
134,1
135,2
136,1
137,1
138,0
139,18
140,1
141,0
142,6
143,6
144,2
145,2
146,2
147,2
148,3
149,1
150,1
151,6
152,1
153,0
154,2
155,3
156,1
157,0
158,3
159,0
160,0
161,64
162,60
163,1
164,1
165,8
166,5
167,21
168,6
169,3
170,3
171,0
172,3
173,3
174,1
175,0
176,1
177,6
178,38
179,2
180,0
181,0
182,1
183,1
184,5
185,1
186,27
187,1
188,8
189,3
190,1
191,6
192,0
193,1
194,2
195,2
196,4
197,1
198,3
199,1
200,4
201,2
202,5
203,0
204,3
205,0
206,1
207,0
208,1
209,3
210,1
211,2
212,1
213,3
214,3
215,1
216,0
217,0
218,0
219,28
220,1
221,5
222,1
223,1
224,8
225,3
226,0
227,8
228,26
229,1
230,5
231,0
232,5
233,3
234,0
235,44
236,0
237,0
238,1
239,0
240,0
241,1
242,1
243,5
244,2
245,33
246,3
247,2
248,1
249,3
250,95
251,1
252,4
253,2
254,47
255,20
256,4
257,1
258,1
259,2
260,2
261,2
262,1
263,3
264,1
265,0
266,2
267,1
268,1
269,1
270,5
271,23
272,2
273,0
274,1
275,37
276,38
277,0
278,4
279,1
280,1
281,0
282,1
283,1
284,1
285,0
286,2
287,2
288,2
289,0
290,1
291,2
292,3
293,2
294,1
295,1
296,0
297,0
298,1
299,34
300,2
301,3
302,0
303,0
304,3
305,0
306,1
307,1
308,3
309,0
310,2
311,0
312,2
313,0
314,5
315,1
316,4
317,1
318,1
319,1
320,1
321,41
322,1
323,4
324,2
325,2
326,1
327,0
328,1
329,1
330,6
331,3
332,0
333,0
334,3
335,1
336,8
337,2
338,1
339,0
340,30
341,1
342,0
