,hamming_distance
0,9
1,4
2,5
3,27
4,20
5,42
6,31
7,4
8,4
9,3
10,3
11,10
12,9
13,2
14,7
15,21
16,6
17,1
18,18
19,9
20,8
21,22
22,8
23,114
24,13
25,19
26,6
27,4
28,4
29,6
30,26
31,5
32,10
33,1
34,21
35,9
36,18
37,26
38,3
39,2
40,8
41,14
42,31
43,9
44,62
45,14
46,3
47,20
48,4
49,6
50,22
51,5
52,7
53,2
54,7
55,13
56,5
57,25
58,4
59,9
60,7
61,11
62,42
63,21
64,9
65,3
66,25
67,3
68,2
69,8
70,4
71,18
72,22
73,18
74,6
75,11
76,4
77,8
78,3
79,58
80,14
81,8
82,8
83,5
84,14
85,48
86,20
87,30
88,2
89,11
90,7
91,3
92,9
93,2
94,2
95,6
96,9
97,14
98,150
99,4
100,15
101,24
102,10
103,4
104,18
105,35
106,5
107,2
108,12
109,11
110,5
111,5
112,12
113,45
114,10
115,5
116,4
117,5
118,1
119,36
120,369
121,15
122,15
123,5
124,5
125,3
126,1
127,6
128,15
129,2
130,4
131,17
132,4
133,9
134,20
135,9
136,31
137,133
138,15
139,7
140,9
141,17
142,21
143,4
144,5
145,9
146,5
147,3
148,10
149,11
150,4
151,5
152,4
153,8
154,6
155,45
156,11
157,3
158,14
159,17
160,19
161,10
162,11
163,26
164,10
165,8
166,6
167,4
168,21
169,7
170,8
171,4
172,16
173,3
174,9
175,37
176,28
177,10
178,3
179,30
180,14
181,108
182,77
183,4
184,3
185,15
186,0
187,7
188,49
189,17
190,4
191,10
192,4
193,2
194,0
195,6
196,51
197,5
198,8
199,6
200,59
201,42
202,15
203,18
204,4
205,20
206,8
207,5
208,6
209,4
210,23
211,4
212,8
213,18
214,24
215,55
216,13
217,10
218,1
219,8
220,7
221,15
222,36
223,7
224,13
225,16
226,24
227,3
228,4
229,40
230,19
231,10
232,13
233,11
234,21
235,32
236,5
237,0
238,6
239,35
240,14
241,4
242,48
243,4
244,16
245,15
246,24
247,15
248,9
249,2
250,6
251,3
252,7
253,9
254,1
255,6
256,22
257,12
258,25
259,4
260,20
261,5
262,8
263,3
264,15
265,9
266,16
267,9
268,27
269,8
270,11
271,9
272,61
273,5
274,38
275,14
276,5
277,1
278,5
279,8
280,8
281,3
282,4
283,5
284,11
285,14
286,6
287,14
288,10
289,5
290,16
291,24
292,9
293,10
294,6
295,8
296,1
297,3
298,8
299,34
300,6
301,4
302,4
303,19
304,1
305,2
306,4
307,14
308,27
309,9
310,4
311,14
312,20
313,9
314,7
315,6
316,34
317,11
318,21
319,13
320,25
321,5
322,7
323,5
324,8
325,13
326,17
327,6
328,8
329,10
330,17
331,23
332,20
333,82
334,2
335,10
336,7
337,8
338,13
339,5
340,9
341,4
342,12
343,10
344,15
345,24
346,4
347,3
348,29
349,6
350,14
351,5
352,3
353,3
354,15
355,2
356,246
357,5
358,2
359,6
360,31
361,7
362,5
363,4
364,8
365,63
366,26
367,6
368,3
369,3
370,12
371,1
372,5
373,20
374,5
375,14
376,11
377,16
378,86
379,9
380,20
381,22
382,23
383,9
384,14
385,19
386,5
387,41
388,23
389,7
390,12
391,10
392,5
393,14
394,24
395,9
396,18
397,26
398,8
399,64
400,12
401,10
402,9
403,9
404,4
405,171
406,6
407,45
408,4
409,58
410,26
411,4
412,13
413,20
414,5
415,27
416,5
417,18
418,4
419,23
420,13
421,15
422,15
423,5
424,13
425,8
426,20
427,21
428,6
429,6
430,7
431,18
432,9
433,7
434,2
435,15
436,9
437,2
438,5
439,11
440,6
441,9
442,3
443,2
444,7
445,4
446,6
447,8
448,5
449,11
450,7
451,36
452,6
453,13
454,44
455,11
456,16
457,8
458,3
459,24
460,3
461,27
462,5
463,2
464,3
465,4
466,9
467,6
468,7
469,13
470,45
471,3
472,81
473,5
474,3
475,4
476,10
477,3
478,12
479,8
480,5
481,54
482,23
483,8
484,12
485,22
486,11
487,6
488,12
489,4
490,11
491,14
492,140
493,7
494,19
495,21
496,15
497,2
498,9
499,3
500,30
501,30
502,4
503,21
504,3
505,17
506,9
507,29
508,26
509,3
510,4
511,9
512,4
513,1
514,12
515,12
516,4
517,20
518,3
519,7
520,76
521,16
522,7
523,14
524,4
525,8
526,23
527,5
528,12
529,3
530,3
531,5
532,10
533,4
534,4
535,0
536,2
537,10
538,4
539,23
540,32
541,11
542,9
543,6
544,17
545,8
546,11
547,12
548,17
549,3
550,13
551,7
552,6
553,7
554,4
555,2
556,8
557,33
558,7
559,10
560,16
561,3
562,13
563,12
564,40
565,16
566,3
567,7
568,29
569,22
570,3
571,12
572,17
573,3
574,24
575,4
576,11
577,14
578,4
579,14
580,7
581,58
582,47
583,84
584,3
585,25
586,11
587,28
588,7
589,6
590,10
591,1
592,2
593,5
594,34
595,8
596,9
597,13
598,2
599,9
600,0
601,4
602,2
603,11
604,62
605,29
606,7
607,3
608,9
609,9
610,75
611,1
612,57
613,10
614,6
615,27
616,43
617,7
618,6
619,6
620,4
621,2
622,12
623,3
624,12
625,10
626,11
627,9
628,5
629,7
630,4
631,17
632,0
633,3
634,7
635,7
636,5
637,4
638,7
639,11
640,28
641,8
642,4
643,14
644,4
645,25
646,4
647,24
648,14
649,6
650,16
651,5
652,5
653,4
654,4
655,4
656,2
657,1
658,19
659,8
660,23
661,7
662,12
663,9
664,8
665,5
666,27
667,6
668,15
669,8
670,9
671,19
672,6
673,5
674,18
675,26
676,19
677,6
678,6
679,5
680,12
681,18
682,7
683,4
684,5
685,33
686,14
687,4
688,6
689,3
690,2
691,5
692,7
693,5
694,13
695,263
696,5
697,28
698,37
699,18
700,8
701,3
702,21
703,24
704,20
705,20
706,23
707,3
708,4
709,12
710,6
711,37
712,6
713,2
714,13
715,12
716,26
717,17
718,6
719,50
720,25
721,3
722,22
723,11
724,25
725,8
726,4
727,20
728,17
729,4
730,10
731,24
732,6
733,4
734,18
735,249
736,10
737,8
738,84
739,3
740,14
741,9
742,12
743,7
744,9
745,11
746,3
747,5
748,8
749,5
750,23
751,10
752,32
753,16
754,1
755,15
756,9
757,9
758,12
759,20
760,4
761,12
762,5
763,4
764,21
765,8
766,2
767,4
768,13
769,5
770,2
771,12
772,15
773,3
774,20
775,12
776,5
777,8
778,13
779,8
780,69
781,12
782,2
783,21
784,7
785,6
786,4
787,19
788,8
789,6
790,6
791,4
792,2
793,16
794,3
795,2
796,81
797,15
798,10
799,10
800,68
801,10
802,2
803,17
804,4
805,13
806,31
807,18
808,8
809,4
810,11
811,6
812,160
813,19
814,9
815,5
816,24
817,32
818,3
819,23
820,8
821,10
822,8
823,8
824,16
825,7
826,9
827,4
828,16
829,9
830,6
831,8
832,31
833,3
834,8
835,5
836,5
837,4
838,3
839,7
840,20
841,3
842,11
843,6
844,15
845,14
846,2
847,5
848,24
849,18
850,18
851,22
852,3
853,5
854,14
855,7
856,11
857,3
858,16
859,14
860,19
861,6
862,12
863,7
864,6
865,18
866,10
867,17
868,17
869,1
870,8
871,14
872,10
873,16
874,28
875,9
876,3
877,26
878,11
879,3
880,18
881,29
882,18
883,15
884,13
885,4
886,12
887,35
888,67
889,4
890,3
891,5
892,59
893,22
894,34
895,21
896,4
897,8
898,44
899,10
900,12
901,3
902,20
903,10
904,4
905,12
906,17
907,32
908,14
909,7
910,7
911,2
912,8
913,7
914,8
915,5
916,21
917,23
918,6
919,8
920,12
921,5
922,9
923,6
924,8
925,6
926,6
927,29
928,5
929,30
930,35
931,14
932,7
933,4
934,31
935,16
936,17
937,14
938,11
939,4
940,12
941,12
942,36
943,30
944,7
945,11
946,10
947,17
948,3
949,23
950,38
951,6
952,29
953,13
954,16
955,7
956,2
957,30
958,6
959,9
960,7
961,8
962,51
963,1
964,7
965,15
966,16
967,4
968,9
969,28
970,14
971,5
972,13
973,18
974,8
975,8
976,13
977,15
978,15
979,9
980,4
981,12
982,105
983,37
984,3
985,32
986,7
987,3
988,7
989,23
990,12
991,28
992,48
993,19
994,2
995,4
996,18
997,6
998,3
999,33
1000,8
1001,34
1002,3
1003,8
1004,24
1005,4
1006,8
1007,5
1008,4
1009,10
1010,9
1011,5
1012,27
1013,4
1014,6
1015,13
1016,55
1017,5
1018,9
1019,6
1020,3
1021,11
1022,13
1023,0
1024,14
1025,4
1026,18
1027,14
1028,11
1029,9
1030,12
1031,14
1032,11
1033,5
1034,19
1035,4
1036,6
1037,22
1038,10
1039,32
1040,4
1041,9
1042,8
1043,15
1044,1
1045,21
1046,10
1047,9
1048,15
1049,21
1050,2
1051,11
1052,4
1053,14
1054,24
1055,3
1056,9
1057,148
1058,35
1059,0
1060,3
1061,7
1062,1
1063,25
1064,26
1065,12
1066,27
1067,6
1068,6
1069,9
1070,8
1071,45
1072,11
1073,3
1074,10
1075,3
1076,33
1077,17
1078,12
1079,14
1080,3
1081,6
1082,12
1083,17
1084,6
1085,20
1086,3
1087,2
1088,30
1089,9
1090,6
1091,18
1092,9
1093,50
1094,7
1095,10
1096,57
1097,19
1098,6
1099,5
1100,6
1101,29
1102,27
1103,10
1104,17
1105,3
1106,26
1107,6
1108,4
1109,11
1110,18
1111,8
1112,3
1113,13
1114,3
1115,22
1116,34
1117,22
1118,33
1119,3
1120,9
1121,19
1122,7
1123,26
1124,8
1125,20
1126,17
1127,5
1128,10
1129,30
1130,41
1131,2
1132,46
1133,10
1134,8
1135,10
1136,7
1137,4
1138,18
1139,4
1140,7
1141,1
1142,2
1143,4
1144,31
1145,25
1146,29
1147,9
1148,15
1149,2
1150,2
1151,53
1152,11
1153,10
1154,8
1155,3
1156,10
1157,3
1158,1
1159,35
1160,27
1161,6
1162,11
1163,17
1164,4
1165,3
1166,5
1167,11
1168,7
1169,9
1170,10
1171,8
1172,14
1173,26
1174,4
1175,24
1176,6
1177,14
1178,12
1179,12
1180,56
1181,10
1182,12
1183,71
1184,13
1185,6
1186,12
1187,56
1188,15
1189,7
1190,8
1191,15
1192,2
1193,5
1194,1
1195,9
1196,9
1197,52
1198,45
1199,10
1200,8
1201,19
1202,13
1203,9
1204,4
1205,10
1206,29
1207,16
1208,18
1209,10
1210,1
1211,5
1212,10
1213,33
1214,42
1215,7
1216,4
1217,5
1218,13
1219,34
1220,3
1221,7
1222,2
1223,4
1224,25
1225,33
1226,14
1227,5
1228,3
1229,4
1230,3
1231,2
1232,20
1233,1
1234,8
1235,8
1236,12
1237,15
1238,5
1239,27
1240,13
1241,9
1242,3
1243,3
1244,19
1245,12
1246,4
1247,83
1248,3
1249,10
1250,44
1251,92
1252,7
1253,4
1254,10
1255,14
1256,15
1257,4
1258,10
1259,3
