,hamming_distance
0,32
1,14
2,48
3,4
4,11
5,10
6,19
7,7
8,26
9,5
10,8
11,13
12,20
13,14
14,8
15,4
16,50
17,5
18,8
19,34
20,6
21,6
22,7
23,14
24,5
25,10
26,14
27,9
28,28
29,5
30,5
31,4
32,4
33,5
34,13
35,31
36,4
37,3
38,5
39,9
40,11
41,9
42,19
43,19
44,28
45,4
46,3
47,7
48,25
49,15
50,4
51,3
52,7
53,14
54,10
55,76
56,31
57,11
58,10
59,15
60,53
61,4
62,8
63,19
64,12
65,8
66,15
67,45
68,13
69,36
70,7
71,15
72,5
73,7
74,16
75,4
76,10
77,9
78,17
79,8
80,7
81,43
82,5
83,7
84,8
85,7
86,6
87,51
88,21
89,24
90,8
91,11
92,17
93,48
94,5
95,11
96,4
97,31
98,44
99,7
100,84
101,7
102,29
103,10
104,31
105,8
106,5
107,5
108,9
109,5
110,17
111,4
112,7
113,13
114,9
115,10
116,22
117,4
118,42
119,5
120,4
121,6
122,24
123,9
124,7
125,10
126,11
127,15
128,12
129,5
130,16
131,9
132,12
133,18
134,7
135,27
136,12
137,10
138,17
139,8
140,5
141,11
142,10
143,10
144,5
145,7
146,6
147,6
148,23
149,15
150,22
151,20
152,11
153,9
154,11
155,7
156,4
157,18
158,18
159,11
160,27
161,21
162,12
163,19
164,24
165,6
166,8
167,4
168,12
169,26
170,14
171,18
172,26
173,17
174,8
175,17
176,4
177,11
178,9
179,32
180,10
181,11
182,67
183,11
184,18
185,13
186,6
187,9
188,25
189,17
190,31
191,18
192,17
193,47
194,24
195,11
196,19
197,77
198,6
199,4
200,53
201,9
202,62
203,13
204,4
205,24
206,7
207,14
208,18
209,8
210,99
211,14
212,10
213,15
214,6
215,15
216,27
217,6
218,15
219,22
220,28
221,20
222,9
223,19
224,48
225,8
226,16
227,8
228,12
229,10
230,27
231,9
232,16
233,10
234,25
235,38
236,4
237,23
238,35
239,13
240,15
241,93
242,6
243,9
244,19
245,5
246,7
247,31
248,12
249,8
250,19
251,23
252,18
253,11
254,8
255,18
256,4
257,22
258,8
259,4
260,4
261,26
262,29
263,7
264,15
265,35
266,6
267,9
268,4
269,6
270,4
271,4
272,9
273,48
274,2
275,25
276,8
277,30
278,11
279,6
280,5
281,14
282,52
283,10
284,16
285,4
286,6
287,18
288,39
289,6
290,13
291,5
292,13
293,4
294,11
295,10
296,22
297,9
298,79
299,5
300,57
301,13
302,8
303,15
304,7
305,12
306,63
307,37
308,9
309,42
310,7
311,8
312,14
313,27
314,9
315,6
316,4
317,5
318,8
319,2
320,18
321,23
322,12
323,4
324,12
325,5
326,4
327,3
328,71
329,8
330,7
331,4
332,17
333,9
334,55
335,9
336,7
337,20
338,25
339,11
340,8
341,25
342,9
343,89
344,5
345,25
346,40
347,31
348,43
349,8
350,28
351,8
352,4
353,26
354,26
355,12
356,95
357,10
358,4
359,19
360,8
361,7
362,40
363,5
364,12
365,5
366,9
367,16
368,7
369,34
370,18
371,9
372,10
373,16
374,83
375,25
376,7
377,6
378,18
379,8
380,15
381,6
382,7
383,58
384,48
385,4
386,61
387,8
388,7
389,35
390,12
391,11
392,12
393,16
394,14
395,12
396,27
397,18
398,7
399,10
400,24
401,15
402,14
403,13
404,23
405,23
406,7
407,10
408,16
409,11
410,21
411,6
412,11
413,22
414,20
415,20
416,22
417,12
418,34
419,8
420,4
421,5
422,4
423,14
424,69
425,22
426,23
427,32
428,42
429,21
430,21
431,12
432,10
433,9
434,5
435,24
436,6
437,26
438,52
439,10
440,47
441,33
442,38
443,9
444,30
445,18
446,23
447,21
448,13
449,29
450,5
451,5
452,9
453,35
454,8
455,41
456,17
457,14
458,24
459,21
460,12
461,7
462,10
463,21
464,16
465,11
466,13
467,4
468,7
469,4
470,9
471,11
472,197
473,6
474,16
475,66
476,5
477,31
478,5
479,7
480,24
481,23
482,25
483,5
484,12
485,5
486,13
487,16
488,12
489,6
490,9
491,15
492,52
493,7
494,16
495,12
496,11
497,36
498,8
499,4
500,16
501,9
502,26
503,9
504,8
505,10
506,7
507,8
508,5
509,5
510,6
511,5
512,11
513,16
514,5
515,8
516,14
517,23
518,17
519,5
520,18
521,8
522,8
523,30
524,7
525,6
526,22
527,38
528,11
529,16
530,13
531,34
532,24
533,24
534,17
535,29
536,6
537,4
538,18
539,14
540,10
541,7
542,9
543,5
544,38
545,15
546,20
547,12
548,65
549,12
550,5
551,12
552,17
553,42
554,15
555,16
556,13
557,21
558,4
559,14
560,8
561,4
562,49
563,11
564,16
565,8
566,27
567,4
568,73
569,4
570,28
571,10
572,10
573,19
574,15
575,8
576,11
577,26
578,32
579,10
580,6
581,9
582,89
583,5
584,10
585,22
586,45
587,10
588,12
589,9
590,5
591,6
592,17
593,16
594,9
595,41
596,14
597,8
598,17
599,78
600,12
601,9
602,28
603,16
604,11
605,21
606,9
607,5
608,4
609,21
610,34
611,16
612,8
613,5
614,21
615,11
616,17
617,12
618,8
619,5
620,8
621,4
622,13
623,30
624,8
625,5
626,14
627,16
628,27
629,38
630,8
631,19
632,6
633,14
634,12
635,14
636,10
637,5
638,24
639,7
640,13
641,12
642,5
643,22
644,4
