,hamming_distance
0,11
1,6
2,15
3,5
4,21
5,12
6,10
7,6
8,46
9,13
10,33
11,17
12,15
13,45
14,13
15,43
16,5
17,12
18,10
19,15
20,20
21,10
22,50
23,18
24,50
25,30
26,18
27,9
28,6
29,20
30,24
31,6
32,21
33,33
34,33
35,12
36,19
37,4
38,7
39,9
40,9
41,4
42,27
43,11
44,24
45,16
46,7
47,13
48,32
49,39
50,58
51,9
52,17
53,5
54,13
55,8
56,15
57,25
58,41
59,17
60,65
61,21
62,9
63,16
64,9
65,11
66,9
67,10
68,6
69,13
70,30
71,35
72,11
73,24
74,10
75,16
76,5
77,9
78,11
79,5
80,5
81,13
82,17
83,5
84,4
85,7
86,45
87,14
88,15
89,16
90,23
91,17
92,12
93,18
94,6
95,6
96,48
97,20
98,20
99,27
100,12
101,33
102,11
103,31
104,6
105,4
106,49
107,22
108,15
109,44
110,23
111,4
112,21
113,9
114,9
115,7
116,5
117,13
118,69
119,51
120,24
121,25
122,29
123,22
124,5
125,11
126,3
127,41
128,8
129,8
130,10
131,10
132,9
133,2
134,7
135,14
136,23
137,17
138,14
139,31
140,25
141,8
142,9
143,8
144,10
145,9
146,60
147,33
148,11
149,11
150,25
151,10
152,45
153,26
154,62
155,23
156,5
157,15
158,13
159,19
160,14
161,14
162,51
163,7
164,42
165,34
166,7
167,9
168,39
169,11
170,103
171,12
172,5
173,8
174,8
175,6
176,20
177,51
178,42
179,16
180,45
181,36
182,39
183,19
184,37
185,18
186,21
187,15
188,20
189,13
190,11
191,14
192,17
193,46
194,12
195,13
196,23
197,17
198,41
199,26
200,50
201,13
202,6
203,9
204,8
205,9
206,16
207,6
208,24
209,11
210,2
211,4
212,79
213,41
214,25
215,34
216,51
217,11
218,14
219,20
220,12
221,72
222,16
223,29
224,10
225,16
226,69
227,61
228,20
229,44
230,8
231,29
232,24
233,6
234,37
235,32
236,22
237,16
238,26
239,5
240,9
241,4
242,24
243,13
244,4
245,12
246,24
247,20
248,18
249,33
250,24
251,18
252,20
253,11
254,43
255,14
256,26
257,23
258,9
259,15
260,56
261,11
262,64
263,20
264,7
265,11
266,22
267,7
268,26
269,31
270,16
271,14
272,42
273,10
274,32
275,5
276,22
277,41
278,15
279,9
280,70
281,21
282,7
283,43
284,21
285,131
286,19
287,20
288,78
289,11
290,12
291,66
292,15
293,11
294,21
295,5
296,8
297,6
298,8
299,23
300,29
301,17
302,9
303,7
304,16
305,32
306,93
307,19
308,25
309,65
310,8
311,23
312,16
313,10
314,19
315,7
316,7
317,5
318,20
319,53
320,78
321,22
322,47
323,19
324,9
325,33
326,35
327,16
328,26
329,39
330,34
331,9
332,6
333,8
334,14
335,8
336,50
337,11
338,32
339,13
340,21
341,22
342,18
343,20
344,10
345,14
346,19
347,5
348,18
349,10
350,36
351,6
352,24
353,45
354,30
355,7
356,7
357,13
358,14
359,7
360,17
361,52
362,11
363,235
364,10
365,14
366,28
367,10
368,13
369,8
370,30
371,17
372,17
373,52
374,26
375,21
376,22
377,17
378,10
379,69
380,18
381,52
382,90
383,87
384,10
385,5
386,25
387,11
388,15
389,9
390,9
391,31
392,16
393,7
394,30
395,9
396,100
397,23
398,13
399,4
400,44
401,13
402,10
403,5
404,5
405,5
406,13
407,28
408,8
409,16
410,53
411,5
412,31
413,33
414,29
415,9
416,30
417,11
418,8
419,4
420,10
421,9
422,6
423,4
424,34
425,19
426,7
427,7
428,6
429,35
430,9
431,11
432,13
433,14
434,13
435,28
436,29
437,11
438,4
439,4
440,10
441,22
442,10
443,19
444,35
445,6
446,49
447,38
448,9
449,24
450,6
451,7
452,9
453,34
454,6
455,5
456,2
457,14
458,11
459,56
460,15
461,18
462,44
463,6
464,42
465,1
466,19
467,14
468,8
469,12
470,16
471,8
472,6
473,12
474,12
475,5
476,40
477,34
478,6
479,8
