,hamming_distance
0,0
1,25
2,0
3,0
4,1
5,1
6,4
7,1
8,1
9,2
10,32
11,4
12,0
13,16
14,26
15,1
16,0
17,0
18,2
19,1
20,0
21,2
22,1
23,2
24,2
25,1
26,3
27,2
28,1
29,2
30,6
31,0
32,1
33,1
34,1
35,16
36,2
37,1
38,1
39,2
40,1
41,31
42,2
43,0
44,2
45,1
46,4
47,1
48,3
49,0
50,0
51,2
52,1
53,1
54,6
55,3
56,32
57,2
58,4
59,0
60,1
61,0
62,1
63,1
64,3
65,5
66,2
67,3
68,1
69,3
70,3
71,0
72,0
73,29
74,3
75,1
76,1
77,2
78,2
79,0
80,1
81,1
82,14
83,2
84,2
85,0
86,18
87,1
88,0
89,0
90,0
91,0
92,1
93,1
94,1
95,2
96,1
97,1
98,1
99,22
100,1
101,5
102,1
103,0
104,2
105,4
106,0
107,0
108,0
109,0
110,6
111,3
112,2
113,6
114,1
115,2
116,0
117,3
118,3
119,11
120,1
121,2
122,0
123,0
124,1
125,1
126,2
127,0
128,3
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,2
137,3
138,3
139,1
140,0
141,0
142,1
143,1
144,0
145,0
146,5
147,1
148,0
149,2
150,0
151,26
152,0
153,0
154,1
155,0
156,2
157,1
158,0
159,0
160,1
161,6
162,4
163,0
164,1
165,0
166,1
167,0
168,0
169,3
170,1
171,1
172,1
173,12
174,3
175,5
176,0
177,1
178,0
179,14
180,1
181,1
182,0
183,0
184,0
185,0
186,1
187,2
188,4
189,2
190,1
191,17
192,1
193,8
194,2
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,2
204,1
205,28
206,1
207,2
208,1
209,2
210,1
211,2
212,21
213,2
214,1
215,23
216,4
217,3
218,0
219,2
220,16
221,1
222,3
223,2
224,3
225,1
226,30
227,0
228,4
229,21
230,3
231,0
232,26
233,3
234,0
235,2
236,3
237,2
238,21
239,1
240,1
241,1
242,3
243,0
244,2
245,1
246,2
247,42
248,1
249,1
250,0
251,0
252,45
253,2
254,0
255,1
256,2
257,1
258,0
259,3
260,2
261,0
262,1
263,3
264,0
265,1
266,1
267,1
268,1
269,2
270,3
271,0
272,3
273,17
274,0
275,0
276,1
277,3
278,2
279,0
280,0
281,5
282,0
283,1
284,2
285,74
286,10
287,0
288,47
289,3
290,1
291,0
292,2
293,34
294,4
295,7
296,2
297,1
298,60
299,1
300,0
301,0
302,0
303,0
304,1
305,3
306,0
307,2
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,3
316,0
317,1
318,0
319,13
320,0
321,1
322,1
323,26
324,2
325,22
326,1
327,2
328,0
329,0
330,0
331,6
332,4
333,0
334,56
335,1
336,3
337,0
338,2
339,0
340,22
341,1
342,0
343,1
344,1
345,1
346,3
347,0
348,1
349,2
350,5
351,1
352,1
353,10
354,0
355,1
356,1
357,0
358,2
359,9
360,0
361,4
362,0
363,1
364,15
365,3
366,4
367,2
368,0
369,0
370,0
371,1
372,2
373,0
374,1
375,13
376,1
377,0
378,2
379,1
380,2
381,0
382,3
383,2
384,0
385,1
386,61
387,0
388,3
389,0
390,1
391,2
392,0
393,2
394,2
395,1
396,0
397,0
398,0
399,1
400,5
401,0
402,0
403,1
404,3
405,2
406,1
407,0
408,4
409,0
410,1
411,2
412,0
413,1
414,10
415,0
416,0
417,1
418,0
419,0
420,2
421,51
422,0
423,0
424,1
425,3
426,4
427,1
428,1
429,1
430,1
431,36
432,1
433,4
434,0
435,4
436,1
437,3
438,5
439,4
440,2
441,1
442,5
443,1
444,0
445,3
446,1
447,1
448,0
449,0
450,1
451,1
452,4
453,0
454,37
455,2
456,1
457,0
458,2
459,2
460,2
461,3
462,0
463,1
464,2
465,4
466,1
467,1
468,33
469,0
470,2
471,3
472,1
473,1
474,1
475,0
476,3
477,1
478,1
479,1
480,2
481,0
482,0
483,0
484,0
485,0
486,4
487,3
488,0
489,0
490,2
491,3
492,1
493,1
494,3
495,4
496,2
497,12
498,1
499,4
500,6
501,1
502,4
503,23
504,2
505,0
506,0
507,6
508,3
509,0
510,0
511,2
512,2
513,1
514,0
515,2
516,0
517,0
518,2
519,0
520,1
521,2
522,1
523,1
524,3
525,2
526,7
527,0
528,3
529,5
530,0
531,1
532,2
533,0
534,36
535,0
536,0
537,0
538,3
539,3
540,1
541,0
542,2
543,2
544,2
545,0
546,0
547,3
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,4
558,0
559,0
560,0
561,1
562,1
563,0
564,1
565,1
566,1
567,3
568,2
569,0
570,0
571,15
572,1
573,2
574,1
575,0
576,1
577,0
578,0
579,1
580,0
581,0
582,2
583,2
584,0
585,2
586,1
587,5
588,1
589,3
590,1
591,2
592,3
593,1
594,1
595,0
596,0
597,1
598,0
599,1
600,1
601,1
602,0
603,1
604,0
605,2
606,1
607,1
608,1
609,0
610,4
611,2
612,1
613,0
614,0
615,0
616,2
617,6
618,3
619,67
620,3
621,3
622,1
623,44
624,0
625,0
626,4
627,0
628,4
629,0
630,1
631,2
632,10
633,1
634,1
635,15
636,23
637,14
638,0
639,2
640,74
641,63
642,33
643,0
644,12
645,1
646,1
647,6
648,0
649,0
650,0
651,1
652,27
653,2
654,6
655,0
656,4
657,2
658,1
659,0
660,44
661,1
662,2
663,2
664,4
665,0
666,2
667,1
668,42
669,1
670,0
671,1
672,10
673,3
674,1
675,4
676,1
677,1
678,0
679,11
680,4
681,4
682,0
683,0
684,3
685,2
686,31
687,1
688,0
689,5
690,0
691,0
692,2
693,4
694,2
695,0
696,1
697,1
698,7
699,1
700,1
701,1
702,19
703,1
704,3
705,2
706,2
707,1
708,3
709,3
710,1
711,0
712,0
713,1
714,1
715,67
716,1
717,11
718,1
719,1
720,1
721,1
722,0
723,1
724,23
725,1
726,0
727,19
728,6
729,2
730,3
731,0
732,18
733,1
734,7
735,0
736,0
737,0
738,0
739,1
740,2
741,0
742,0
743,1
744,8
745,0
746,0
747,3
748,0
749,3
750,1
751,59
752,1
753,1
754,4
755,2
756,0
757,8
758,29
759,0
760,0
761,1
762,6
763,2
764,18
765,0
766,0
767,1
768,0
769,1
770,4
771,1
772,1
773,0
774,1
775,1
776,0
777,0
778,0
779,3
780,31
781,1
782,1
783,1
784,0
785,1
786,0
787,2
788,0
789,0
790,0
791,45
792,1
793,3
794,0
795,24
796,0
797,0
798,1
799,0
800,3
801,1
802,1
803,0
804,1
805,0
806,12
807,12
808,2
809,33
810,0
811,3
812,3
813,2
814,24
815,1
816,1
817,1
818,33
819,2
820,8
821,5
822,0
823,5
824,26
825,0
826,0
827,0
828,0
829,1
830,1
831,1
832,1
833,0
834,2
835,1
836,0
837,1
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,67
846,1
847,1
848,1
849,0
850,2
851,1
852,1
853,4
854,2
855,0
856,0
857,19
858,0
859,0
860,0
861,1
862,3
863,0
864,0
865,2
866,1
867,1
868,1
869,2
870,3
871,0
872,0
873,0
874,3
875,3
876,12
877,2
878,0
879,5
880,1
881,1
882,0
883,1
884,1
885,0
886,0
887,0
888,1
889,1
890,1
891,2
892,4
893,2
894,0
895,1
896,1
897,2
898,2
899,2
900,1
901,1
902,7
903,2
904,0
905,3
906,0
907,0
908,3
909,1
910,23
911,2
912,0
913,2
914,0
915,1
916,1
917,12
918,0
919,0
920,1
921,0
922,0
923,2
924,1
925,0
926,1
927,0
928,3
929,0
930,3
931,1
932,0
933,5
934,20
935,1
936,0
937,0
938,1
939,0
940,0
941,2
942,0
943,6
944,0
945,0
946,0
947,0
948,39
949,3
950,0
951,1
952,4
953,0
954,0
955,0
956,44
957,5
958,2
959,4
960,3
961,0
962,2
963,50
964,0
965,0
966,2
967,62
968,1
969,1
970,0
971,0
972,0
973,0
974,0
975,0
976,2
977,0
978,1
979,1
980,0
981,0
982,2
983,0
984,1
985,3
986,1
987,1
988,1
989,0
990,0
991,3
992,4
993,3
994,4
995,16
996,1
997,2
998,1
999,2
1000,0
1001,4
1002,0
1003,0
1004,2
1005,0
1006,3
1007,2
1008,26
1009,1
1010,0
1011,2
1012,1
1013,3
1014,7
1015,0
1016,0
1017,0
1018,1
1019,0
1020,1
1021,1
1022,6
1023,0
1024,0
1025,0
1026,1
1027,5
1028,0
1029,1
1030,38
1031,4
1032,1
1033,1
1034,1
1035,1
1036,0
1037,2
1038,0
1039,1
1040,0
1041,2
1042,2
1043,34
1044,38
1045,1
1046,2
1047,10
1048,1
1049,0
1050,0
1051,0
1052,1
1053,0
1054,0
1055,1
1056,1
1057,3
1058,6
1059,4
1060,1
1061,0
1062,2
1063,1
1064,0
1065,41
1066,0
1067,0
1068,0
1069,3
1070,0
1071,3
1072,2
1073,1
1074,1
1075,1
1076,1
1077,2
1078,0
1079,5
1080,20
1081,0
1082,2
1083,2
1084,3
1085,1
1086,8
1087,3
1088,0
1089,0
1090,0
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,1
1098,0
1099,1
1100,0
1101,1
1102,3
1103,5
1104,3
1105,0
1106,0
1107,3
1108,1
1109,35
1110,6
1111,2
1112,0
1113,0
1114,33
1115,0
1116,0
1117,2
1118,1
1119,3
1120,2
1121,1
1122,0
1123,0
1124,1
1125,1
1126,6
1127,2
1128,6
1129,45
1130,1
1131,1
1132,0
1133,7
1134,1
1135,2
1136,76
1137,1
1138,2
1139,0
1140,3
1141,2
1142,1
1143,0
1144,1
1145,0
1146,0
1147,2
1148,0
1149,33
1150,1
1151,0
1152,0
1153,0
1154,5
1155,1
1156,1
1157,2
1158,0
1159,0
1160,1
1161,2
1162,7
1163,0
1164,2
1165,0
1166,5
1167,3
1168,18
1169,0
1170,0
1171,0
1172,0
1173,2
1174,2
1175,1
1176,1
1177,0
1178,2
1179,1
1180,7
1181,1
1182,1
1183,1
1184,4
1185,1
1186,1
1187,0
1188,3
1189,1
1190,0
1191,1
1192,2
1193,21
1194,3
1195,1
1196,0
1197,1
1198,1
1199,8
1200,0
1201,1
1202,1
1203,23
1204,0
1205,8
1206,1
1207,1
1208,0
1209,1
1210,2
1211,0
1212,8
1213,0
1214,0
1215,1
1216,3
1217,0
1218,2
1219,24
1220,0
1221,4
1222,0
1223,1
1224,0
1225,1
1226,0
1227,0
1228,3
1229,0
1230,2
1231,0
1232,1
1233,3
1234,4
1235,0
1236,0
1237,3
1238,1
1239,2
1240,0
1241,4
1242,0
1243,1
1244,0
1245,1
1246,0
1247,4
1248,0
1249,1
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,1
1258,1
1259,47
1260,1
1261,1
1262,0
1263,0
1264,0
1265,2
1266,0
1267,1
1268,3
1269,4
1270,4
1271,14
1272,2
1273,0
1274,1
1275,1
1276,1
1277,7
1278,0
1279,18
1280,1
1281,2
1282,0
1283,0
1284,1
1285,2
1286,3
1287,0
1288,7
1289,1
1290,3
1291,2
1292,0
1293,0
1294,2
1295,3
1296,1
1297,7
1298,0
1299,3
1300,0
1301,1
1302,0
1303,0
1304,1
1305,0
1306,1
1307,28
1308,0
1309,76
1310,2
1311,3
1312,1
1313,1
1314,3
1315,5
1316,3
1317,4
1318,5
1319,0
1320,0
1321,1
1322,4
1323,2
1324,1
1325,0
1326,0
1327,2
1328,17
1329,4
1330,7
1331,1
1332,6
1333,4
1334,4
1335,1
1336,1
1337,1
1338,2
1339,1
1340,1
1341,2
1342,0
1343,0
1344,1
1345,0
1346,0
1347,0
1348,0
1349,1
1350,1
1351,5
1352,2
1353,4
1354,1
1355,1
1356,19
1357,1
1358,0
1359,1
1360,2
1361,0
1362,0
1363,0
1364,2
1365,0
1366,1
1367,1
1368,0
1369,1
1370,0
1371,2
1372,4
1373,19
1374,0
1375,0
1376,7
1377,4
1378,1
1379,3
1380,1
1381,1
1382,2
1383,0
1384,1
1385,0
1386,1
1387,1
1388,2
1389,1
1390,1
1391,1
1392,0
1393,1
1394,0
1395,1
1396,2
1397,3
1398,4
1399,3
1400,3
1401,1
1402,3
1403,1
1404,0
1405,1
1406,1
1407,3
1408,6
1409,0
1410,1
1411,1
1412,1
1413,23
1414,0
1415,21
1416,0
1417,1
1418,0
1419,1
1420,0
1421,1
1422,1
1423,29
1424,1
1425,1
1426,1
1427,0
1428,2
1429,4
1430,0
1431,25
1432,1
1433,3
1434,4
1435,0
1436,4
1437,1
1438,1
1439,1
1440,0
1441,30
1442,0
1443,5
1444,0
1445,3
1446,2
1447,1
1448,0
1449,1
1450,2
1451,0
1452,0
1453,2
1454,2
1455,0
1456,0
1457,2
1458,1
1459,1
1460,64
1461,3
1462,3
1463,63
1464,2
1465,5
1466,1
1467,0
1468,4
1469,1
1470,35
1471,2
1472,0
1473,2
1474,0
1475,0
1476,2
1477,3
1478,2
1479,0
1480,1
1481,1
1482,0
1483,25
1484,1
1485,2
1486,4
1487,0
1488,0
1489,0
1490,0
1491,2
1492,0
1493,2
1494,2
1495,0
1496,3
1497,0
1498,1
1499,1
1500,1
1501,1
1502,1
1503,3
1504,3
1505,0
1506,0
1507,1
1508,0
1509,2
1510,0
1511,1
1512,1
1513,0
1514,0
1515,3
1516,2
1517,8
1518,0
1519,6
1520,3
1521,1
1522,0
1523,0
1524,11
1525,2
1526,3
1527,1
1528,0
1529,1
1530,2
1531,0
1532,0
1533,3
1534,1
1535,0
1536,0
1537,1
1538,1
1539,1
1540,0
1541,0
1542,0
1543,0
1544,2
1545,24
1546,3
1547,0
1548,0
1549,0
1550,1
1551,20
1552,4
1553,0
1554,1
1555,1
1556,1
1557,0
1558,0
1559,1
1560,0
1561,1
1562,1
1563,0
1564,0
1565,1
1566,0
1567,2
1568,1
1569,2
1570,1
1571,2
1572,2
1573,1
1574,2
1575,0
1576,2
1577,0
1578,1
1579,0
1580,1
1581,0
1582,6
1583,0
1584,1
1585,0
1586,3
1587,0
1588,0
1589,1
1590,0
1591,9
1592,2
1593,0
1594,0
1595,0
1596,49
1597,6
1598,0
1599,1
1600,0
1601,4
1602,1
1603,0
1604,0
