,hamming_distance
0,6
1,11
2,20
3,15
4,10
5,18
6,17
7,11
8,4
9,4
10,7
11,5
12,6
13,8
14,2
15,9
16,4
17,11
18,6
19,3
20,9
21,5
22,4
23,9
24,14
25,10
26,4
27,10
28,2
29,10
30,10
31,4
32,4
33,2
34,8
35,6
36,5
37,4
38,9
39,4
40,2
41,16
42,9
43,3
44,5
45,5
46,6
47,6
48,4
49,9
50,6
51,19
52,5
53,7
54,12
55,6
56,2
57,6
58,10
59,3
60,6
61,4
62,7
63,6
64,20
65,9
66,9
67,2
68,5
69,8
70,8
71,5
72,4
73,12
74,4
75,13
76,14
77,6
78,4
79,4
80,12
81,1
82,5
83,1
84,6
85,2
86,9
87,6
88,10
89,6
90,5
91,11
92,3
93,4
94,13
95,3
96,6
97,10
98,5
99,4
100,4
101,8
102,5
103,8
104,4
105,1
106,5
107,11
108,10
109,3
110,10
111,4
112,5
113,9
114,3
115,8
116,6
117,6
118,4
119,7
120,4
121,6
122,5
123,3
124,2
125,2
126,4
127,5
128,16
129,8
130,6
131,13
132,1
133,10
134,2
135,14
136,8
137,17
138,6
139,6
140,17
141,13
142,8
143,1
144,18
145,9
146,11
147,5
148,11
149,5
150,10
151,8
152,13
153,9
154,4
155,9
156,10
157,6
158,5
159,10
160,6
161,5
162,10
163,6
164,6
165,3
166,4
167,6
168,4
169,7
170,0
171,4
172,4
173,13
174,6
175,20
176,8
177,1
178,4
179,13
180,10
181,2
182,4
183,6
184,2
185,7
186,8
187,3
188,2
189,6
190,9
191,9
192,8
193,11
194,5
195,4
196,9
197,11
198,8
199,14
200,11
201,3
202,6
203,8
204,8
205,3
206,6
207,4
208,2
209,5
210,4
211,14
212,2
213,4
214,13
215,3
216,10
217,14
218,5
219,3
220,5
221,6
222,17
223,10
224,4
225,4
226,1
227,6
228,5
229,2
230,5
231,4
232,4
233,5
234,3
235,3
236,9
237,11
238,11
239,5
240,5
241,6
242,3
243,8
244,6
245,7
246,15
247,4
248,12
249,6
250,1
251,8
252,11
253,4
254,6
255,6
256,12
257,11
258,4
259,11
260,11
261,8
262,5
263,8
264,7
265,11
266,3
267,2
268,5
269,6
270,16
271,9
272,2
273,8
274,8
275,3
276,4
277,4
278,4
279,3
280,2
281,10
282,9
283,13
284,2
285,9
286,8
287,9
288,7
289,10
290,8
291,5
292,7
293,4
294,5
295,8
296,4
297,5
298,6
299,11
300,3
301,12
302,7
303,3
304,2
305,1
306,4
307,3
308,3
309,3
310,7
311,4
312,5
313,11
314,17
315,3
316,10
317,9
318,9
319,5
320,4
321,7
322,2
323,8
324,19
325,6
326,5
327,5
328,4
329,5
330,9
331,5
332,6
333,6
334,11
335,3
336,5
337,8
338,6
339,5
340,4
341,5
342,6
343,12
344,9
345,11
346,6
347,4
348,3
349,8
350,6
351,5
352,7
353,7
354,4
355,2
356,6
357,6
358,10
359,10
360,13
361,9
362,6
363,7
364,3
365,5
366,9
367,7
368,3
369,12
370,9
371,4
372,2
373,2
374,5
375,2
376,9
377,4
378,3
379,10
380,6
381,2
382,7
383,9
384,3
385,3
386,16
387,5
388,8
389,10
390,9
391,3
392,4
393,5
394,12
395,9
396,12
397,10
398,14
399,8
400,5
401,4
402,5
403,9
404,3
405,3
406,6
407,10
408,15
409,13
410,9
411,4
412,5
413,9
414,7
415,4
416,7
417,12
418,6
419,5
420,3
421,7
422,3
423,3
424,6
425,6
426,6
427,15
428,2
429,9
430,12
431,13
432,6
433,3
434,10
435,4
436,9
437,8
438,18
439,9
440,10
441,4
442,6
443,5
444,10
445,7
446,2
447,20
448,9
449,5
450,14
451,9
452,10
453,8
454,7
455,14
456,5
457,3
458,8
459,6
460,3
461,5
462,6
463,4
464,10
465,10
466,9
467,11
468,8
469,7
470,6
471,4
472,8
473,5
474,6
475,6
476,6
477,8
478,13
479,5
480,5
481,3
482,11
483,4
484,3
485,3
486,5
487,10
488,3
489,6
490,2
491,9
492,12
493,7
494,6
495,10
496,16
497,7
498,4
499,11
500,6
501,10
502,3
503,7
504,14
505,7
506,10
507,6
508,6
509,6
510,14
511,3
512,7
513,12
514,3
515,8
516,8
517,9
518,8
519,15
520,3
521,2
522,10
523,5
524,3
525,8
526,8
527,7
528,6
529,10
530,19
531,7
532,5
533,7
534,4
535,7
536,5
537,6
538,4
539,3
540,8
541,4
542,4
543,15
544,6
545,14
546,4
547,6
548,11
549,7
550,8
551,9
552,4
553,13
554,8
555,15
556,4
557,14
558,13
559,4
560,9
561,10
562,15
563,11
564,4
565,4
566,3
567,4
568,9
569,11
570,11
571,4
572,8
573,4
574,3
575,3
576,2
577,12
578,9
579,5
580,6
581,3
582,1
583,6
584,8
585,4
586,4
587,12
588,7
589,3
590,13
591,6
592,5
593,8
594,2
595,8
596,6
597,4
598,10
599,10
600,7
601,7
602,8
603,3
604,18
605,4
606,3
607,4
608,5
609,2
610,9
611,4
612,3
613,4
614,8
615,7
616,6
617,7
618,4
619,2
620,5
621,2
622,4
623,3
624,3
625,2
626,4
627,5
628,3
629,6
630,4
631,5
632,4
633,1
634,3
635,9
636,2
637,9
638,12
639,5
640,4
641,5
642,11
643,11
644,1
645,14
646,9
647,7
648,2
649,2
650,2
651,10
652,7
653,4
654,7
655,13
656,2
657,5
658,4
659,9
660,10
661,13
662,15
663,8
664,12
665,8
666,11
667,5
668,11
669,10
670,11
671,4
672,3
673,3
674,14
675,6
676,4
677,3
678,8
679,7
680,3
681,3
682,1
683,3
684,4
685,11
686,3
687,10
688,12
689,9
690,16
691,2
692,1
693,10
694,12
695,4
696,10
697,5
698,8
699,15
700,10
701,10
702,5
703,7
704,7
705,6
706,3
707,2
708,13
709,3
710,17
711,9
712,4
713,5
714,2
715,7
716,12
717,3
718,12
719,4
720,9
721,6
722,5
723,4
724,10
725,11
726,11
727,3
728,16
729,6
730,4
731,10
732,4
733,10
734,6
735,9
736,2
737,7
738,10
739,6
740,4
741,5
742,13
743,14
744,4
745,4
746,5
747,4
748,10
749,5
750,7
751,8
752,6
753,1
754,3
755,2
756,9
757,6
758,5
759,19
760,6
761,11
762,3
763,2
764,6
765,10
766,3
767,11
768,10
769,4
770,7
771,3
772,8
773,8
774,10
775,3
776,1
777,7
778,4
779,2
780,2
781,5
782,10
783,3
784,5
785,12
786,5
787,10
788,3
789,6
790,9
791,19
792,16
793,9
794,2
795,5
796,6
797,6
798,2
799,6
800,3
801,6
802,2
803,9
804,9
805,10
806,8
807,4
808,12
809,11
810,2
811,2
812,4
813,10
814,5
815,2
816,5
817,6
818,5
819,5
820,1
821,15
822,12
823,6
824,4
825,19
826,4
827,2
828,5
829,3
830,8
831,8
832,3
833,6
834,4
835,8
836,6
837,2
838,12
839,6
840,8
841,10
842,4
843,14
844,11
845,4
846,3
847,4
848,2
849,6
850,4
851,4
852,5
853,4
854,10
855,4
856,8
857,12
858,6
859,10
860,6
861,12
862,4
863,11
864,14
865,4
866,3
867,16
868,4
869,2
870,6
871,5
872,6
873,14
874,13
875,3
876,1
877,3
878,6
879,10
880,6
881,11
882,3
883,3
