,hamming_distance
0,10
1,10
2,10
3,9
4,10
5,10
6,10
7,10
8,9
9,10
10,10
11,10
12,9
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,8
22,10
23,9
24,10
25,10
26,10
27,10
28,10
29,9
30,10
31,10
32,9
33,9
34,10
35,10
36,10
37,10
38,10
39,9
40,10
41,10
42,10
43,10
44,10
45,9
46,9
47,10
48,10
49,10
50,9
51,10
52,10
53,9
54,10
55,10
56,9
57,9
58,9
59,9
60,10
61,10
62,10
63,9
64,10
65,10
66,10
67,10
68,8
69,10
70,10
71,9
72,10
73,10
74,9
75,10
76,10
77,10
78,9
79,8
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,9
89,10
90,10
91,9
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,9
101,10
102,10
103,10
104,10
105,9
106,10
107,10
108,10
109,10
110,10
111,9
112,10
113,10
114,10
115,10
116,10
117,10
118,9
119,10
120,9
121,10
122,10
123,10
124,10
125,10
126,10
127,10
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,9
136,10
137,10
138,10
139,9
140,10
141,10
142,10
143,10
144,10
145,9
146,9
147,10
148,10
149,10
150,9
151,10
152,10
153,9
154,10
155,10
156,10
157,9
158,8
159,10
160,10
161,10
162,8
163,10
164,8
165,9
166,10
167,10
168,10
169,9
170,10
171,9
172,10
173,9
174,10
175,9
176,10
177,9
178,9
179,10
180,10
181,10
182,10
183,8
184,10
185,10
186,10
187,10
188,9
189,10
190,10
191,9
192,10
193,10
194,10
195,10
196,9
197,10
198,10
199,10
200,10
201,10
202,10
203,10
204,10
205,10
206,10
207,10
208,9
209,10
210,10
211,10
212,10
213,10
214,10
215,10
216,10
217,10
218,10
219,10
220,10
221,10
222,10
223,10
224,10
225,10
226,10
227,10
228,10
229,10
230,10
231,10
232,9
233,10
234,10
235,10
236,10
237,10
238,10
239,10
240,10
241,10
242,9
243,10
244,10
245,9
246,9
247,10
248,10
249,10
250,10
251,10
252,9
253,10
254,10
255,10
256,10
257,10
258,10
259,10
260,10
261,10
262,10
263,10
264,10
265,10
266,10
267,10
268,9
269,10
270,10
271,9
272,10
273,10
274,10
275,10
276,9
277,10
278,10
279,10
280,10
281,10
282,9
283,10
284,10
285,10
286,9
287,10
288,10
289,10
290,10
291,10
292,9
293,10
294,10
295,10
296,10
297,9
298,10
299,10
300,10
301,9
302,10
303,10
304,9
305,9
306,10
307,10
308,10
309,9
310,10
311,10
312,10
