,hamming_distance
0,3
1,12
2,16
3,8
4,2
5,7
6,6
7,2
8,14
9,8
10,9
11,16
12,9
13,3
14,7
15,9
16,8
17,9
18,8
19,10
20,7
21,7
22,7
23,9
24,12
25,5
26,8
27,9
28,11
29,14
30,5
31,8
32,14
33,6
34,9
35,14
36,6
37,7
38,3
39,6
40,14
41,10
42,8
43,12
44,8
45,9
46,11
47,5
48,5
49,12
50,3
51,9
52,14
53,5
54,13
55,12
56,8
57,6
58,5
59,8
60,7
61,9
62,6
63,12
64,16
65,6
66,5
67,5
68,16
69,7
70,8
71,6
72,9
73,6
74,3
75,4
76,6
77,14
78,13
79,4
80,7
81,10
82,11
83,10
84,3
85,8
86,4
87,11
88,13
89,10
90,8
91,11
92,14
93,4
94,6
95,8
96,5
97,6
98,8
99,6
100,12
101,8
102,6
103,6
104,7
105,6
106,16
107,8
108,5
109,8
110,16
111,17
112,16
113,6
114,3
115,10
116,4
117,15
118,13
119,8
120,15
121,7
122,7
123,7
124,10
125,5
126,5
127,7
128,9
129,8
130,6
131,3
132,12
133,9
134,7
135,6
136,9
137,6
138,4
139,14
140,6
141,12
142,9
143,7
144,8
145,5
146,11
147,7
148,4
149,6
150,3
151,12
152,13
153,6
154,7
155,9
156,12
157,13
158,5
159,8
160,5
161,3
162,9
163,5
164,11
165,7
166,6
167,9
168,8
169,17
170,6
171,10
172,10
173,6
174,7
175,3
176,1
177,6
178,12
179,6
180,6
181,8
182,8
183,7
184,7
185,6
186,13
187,17
188,10
189,9
190,5
191,7
192,13
193,9
194,10
195,6
196,6
197,5
198,10
199,6
200,5
201,4
202,8
203,13
204,14
205,8
206,12
207,4
208,4
209,9
210,10
211,7
212,16
213,10
214,12
215,6
216,7
217,10
218,7
219,4
220,10
221,11
222,8
223,4
224,2
225,10
226,4
227,15
228,11
229,9
230,9
231,6
232,12
233,14
234,8
235,5
236,3
237,8
238,4
239,6
240,7
241,14
242,9
243,8
244,17
245,6
246,6
247,6
248,13
249,7
250,8
251,8
252,6
253,15
254,5
255,6
256,6
257,12
258,7
259,8
260,2
261,20
262,14
263,5
264,18
265,9
266,6
267,6
268,16
269,7
270,4
271,4
272,13
273,10
274,8
275,8
276,15
277,5
278,8
279,7
280,7
281,5
282,17
283,3
284,13
285,9
286,11
287,5
288,9
289,16
290,11
291,7
292,5
293,4
294,8
295,12
296,4
297,12
298,19
299,11
300,4
301,12
302,11
303,8
304,12
305,8
306,13
307,6
308,7
309,9
310,6
311,8
312,20
313,12
314,8
315,6
316,10
317,6
318,7
319,10
320,10
321,8
322,16
323,13
324,7
325,8
326,10
327,9
328,7
329,12
330,12
331,11
332,6
333,6
334,5
335,4
336,7
337,4
338,12
339,10
340,9
341,8
342,17
343,7
344,15
345,10
346,8
347,12
348,7
349,10
350,17
351,15
352,7
353,3
354,2
355,8
356,7
357,10
358,15
359,12
360,4
361,4
362,5
363,7
364,9
365,6
366,20
367,8
368,8
369,11
370,6
371,6
372,8
373,11
374,12
375,6
376,7
377,14
378,10
379,14
380,0
381,7
382,4
383,7
384,12
385,7
386,8
387,5
388,8
389,11
390,14
391,10
392,13
393,10
394,9
395,7
396,7
397,6
398,7
399,8
400,12
401,16
402,6
403,9
404,8
405,13
406,15
407,12
408,9
409,3
410,4
411,12
412,9
413,3
414,14
415,5
416,7
417,7
418,5
419,9
420,3
421,14
422,7
423,19
424,5
425,8
426,6
427,5
428,5
429,9
430,7
431,6
432,13
433,7
434,6
435,7
436,5
437,14
438,10
439,8
440,6
441,7
442,16
443,14
444,5
445,4
446,11
447,7
448,4
449,15
450,6
451,4
452,10
453,8
454,5
455,11
456,10
457,16
458,7
459,5
460,7
461,9
462,12
463,9
464,15
465,7
466,15
467,7
468,6
469,8
470,12
471,2
472,6
473,6
474,15
475,4
476,2
477,2
478,7
479,11
480,16
481,8
482,3
483,6
484,3
485,14
486,3
487,3
488,14
489,5
490,4
491,4
492,16
493,7
494,8
495,6
496,5
497,6
498,6
499,10
500,4
501,11
502,5
503,7
504,7
505,8
506,7
507,6
508,8
509,7
510,9
511,9
512,11
513,6
514,8
515,13
516,11
517,11
518,6
519,4
520,7
521,16
522,7
523,11
524,16
525,8
526,6
527,11
528,5
529,11
530,8
531,6
532,11
533,13
534,18
535,6
536,7
537,6
538,7
539,4
540,2
541,4
542,12
543,12
544,12
545,11
546,17
547,8
548,2
549,5
550,13
551,6
552,7
553,6
554,9
555,7
556,4
557,8
558,12
559,20
560,6
561,5
562,12
563,7
564,11
565,5
566,13
567,7
568,11
569,7
570,7
571,9
572,7
573,14
574,3
575,9
576,8
577,9
578,7
579,10
580,7
581,5
582,4
583,5
584,6
585,9
586,4
587,6
588,11
589,7
590,14
591,4
592,14
593,11
594,9
595,10
596,6
597,10
598,13
599,6
600,19
601,6
602,12
603,6
604,5
605,17
606,12
607,7
608,6
609,6
610,14
611,10
612,6
613,9
614,12
615,6
616,5
617,9
618,11
619,7
620,8
621,13
622,15
623,9
624,4
625,19
626,10
627,5
628,5
629,7
630,18
631,14
632,10
633,7
634,5
635,5
636,15
637,5
638,9
639,3
640,8
641,17
642,17
643,4
644,3
645,7
646,9
647,10
648,13
649,14
650,7
651,10
652,14
653,14
654,4
655,11
656,9
657,7
658,8
659,8
660,7
661,5
662,7
663,7
664,10
665,9
666,6
667,3
668,9
669,10
670,11
671,8
672,6
673,14
