,hamming_distance
0,11
1,13
2,12
3,6
4,10
5,10
6,10
7,10
8,10
9,3
10,6
11,8
12,14
13,11
14,10
15,8
16,11
17,13
18,7
19,10
20,9
21,11
22,16
23,10
24,13
25,11
26,10
27,10
28,14
29,8
30,12
31,11
32,14
33,12
34,12
35,10
36,11
37,13
38,16
39,16
40,12
41,10
42,8
43,12
44,13
45,11
46,7
47,8
48,15
49,11
50,14
51,11
52,10
53,12
54,12
55,14
56,25
57,11
58,14
59,8
60,10
61,19
62,19
63,9
64,10
65,12
66,15
67,10
68,11
69,19
70,15
71,14
72,10
73,10
74,10
75,10
76,11
77,9
78,7
79,4
80,15
81,6
82,11
83,16
84,7
85,10
86,9
87,8
88,10
89,12
90,8
91,11
92,10
93,10
94,10
95,12
96,11
97,10
98,9
99,8
100,8
101,11
102,5
103,9
104,8
105,17
106,12
107,13
108,11
109,3
110,13
111,17
112,14
113,17
114,9
115,10
116,10
117,11
118,12
119,15
120,7
121,10
122,11
123,23
124,11
125,6
126,8
127,12
128,8
129,14
130,13
131,10
132,9
133,23
134,16
135,7
136,6
137,8
138,8
139,13
140,9
141,13
142,4
143,8
144,14
145,19
146,15
147,13
148,10
149,7
150,8
151,11
152,12
153,8
154,5
155,13
156,13
157,11
158,10
159,7
160,18
161,15
162,8
163,7
164,10
165,9
166,12
167,6
168,12
169,4
170,6
171,13
172,9
173,12
174,13
175,15
176,8
177,6
178,10
179,10
180,10
181,13
182,13
183,10
184,8
185,11
186,8
187,22
188,11
189,15
190,17
191,17
192,14
193,13
194,9
195,13
196,14
197,8
198,26
199,10
200,12
201,8
202,8
203,8
204,14
205,10
206,10
207,12
208,14
209,16
210,15
211,9
212,12
213,12
214,6
215,11
216,11
217,10
218,11
219,15
220,11
221,10
222,1
223,11
224,13
225,4
226,10
227,6
228,14
229,9
230,21
231,13
232,13
233,17
234,12
235,13
236,9
237,9
238,24
239,10
240,11
241,7
242,9
243,16
244,9
245,11
246,9
247,10
248,12
249,10
250,8
251,13
252,11
253,15
254,17
255,19
256,10
257,13
258,18
259,11
260,16
261,13
262,13
263,11
264,12
265,6
266,11
267,12
268,12
269,19
270,11
271,9
272,9
273,9
274,9
275,6
276,11
277,15
278,8
279,13
280,10
281,9
282,18
283,9
284,6
285,18
286,7
287,12
288,10
289,16
290,9
291,9
292,20
293,10
294,8
295,9
296,11
297,14
298,8
299,12
300,5
301,11
302,13
303,11
304,6
305,8
306,11
307,9
308,14
309,10
310,8
311,5
312,11
313,13
314,12
315,12
316,13
317,14
318,13
319,12
320,10
321,15
322,8
323,16
324,12
325,5
326,6
327,5
328,7
329,14
330,18
331,9
332,11
333,8
334,8
335,12
336,12
337,10
338,9
339,8
340,12
341,7
342,11
343,13
344,14
345,10
346,10
347,15
348,8
349,10
350,10
351,7
352,12
353,14
354,11
355,10
356,10
357,11
358,8
359,3
360,11
361,10
362,7
363,21
364,10
365,3
366,13
367,12
368,10
369,14
370,6
371,13
372,11
373,9
374,13
375,7
376,11
377,13
378,9
379,16
380,9
381,20
382,14
383,7
384,15
385,11
386,13
387,5
388,9
389,8
390,8
391,8
392,7
393,6
394,12
395,16
396,13
397,6
398,7
399,10
400,13
401,12
402,10
403,8
404,8
405,8
406,12
407,11
408,16
409,18
410,11
411,11
412,8
413,7
414,7
415,7
416,18
417,12
418,8
419,11
420,20
421,12
422,10
423,10
424,10
425,12
426,13
427,10
428,12
429,11
430,12
431,11
432,9
433,12
434,17
435,12
436,9
437,14
438,11
439,17
440,19
441,7
442,12
443,13
444,8
445,9
446,12
447,8
448,10
449,10
450,8
451,12
452,11
453,8
454,9
455,9
456,10
457,12
458,7
459,13
460,14
461,12
462,11
463,9
464,13
465,6
466,4
467,13
468,20
469,19
470,11
471,15
472,16
473,16
474,12
475,9
476,9
477,11
478,16
479,5
480,12
481,10
482,6
483,12
484,9
485,14
486,10
487,13
488,6
489,9
490,9
491,6
492,11
493,11
494,17
495,12
496,13
497,11
498,15
499,8
500,12
501,14
502,10
503,11
504,13
505,17
506,15
507,12
508,6
509,11
510,13
511,13
512,10
513,12
514,26
515,9
516,5
517,15
518,13
519,7
520,10
521,11
522,10
523,11
524,5
525,8
526,4
527,19
528,10
529,9
530,12
531,10
532,10
533,14
534,6
535,9
536,9
537,15
538,11
539,7
540,10
541,7
542,11
543,11
544,11
545,12
546,11
547,7
548,10
549,10
550,10
551,6
552,15
553,15
554,15
555,11
556,8
557,11
558,12
559,9
560,9
561,11
562,7
563,11
564,12
565,16
566,14
567,9
568,16
569,13
570,10
571,19
572,10
573,3
574,15
575,14
576,6
577,14
578,19
579,9
580,14
581,16
582,15
583,13
584,16
585,6
586,12
587,18
588,10
589,13
590,11
591,8
592,10
593,10
594,7
595,16
596,21
597,8
598,21
599,7
600,11
601,12
602,14
603,10
604,13
605,21
606,3
607,18
608,9
609,8
610,11
611,13
612,8
613,10
614,8
615,14
616,11
617,13
618,10
619,10
620,14
621,16
622,9
623,11
624,8
625,7
626,7
627,8
628,12
629,14
630,14
631,8
632,27
633,12
634,10
635,14
636,12
637,11
638,11
639,17
640,16
641,12
642,11
643,13
644,13
645,12
646,13
647,16
648,7
649,9
650,10
651,8
652,7
653,16
654,13
655,11
656,3
657,14
658,7
659,9
660,20
661,15
662,3
663,7
664,11
665,12
666,10
667,12
668,10
669,13
670,6
671,12
672,14
673,8
674,9
675,5
676,11
677,20
678,9
679,10
680,19
681,10
682,11
683,10
684,7
685,11
686,15
687,12
688,11
689,14
690,19
691,9
692,9
693,17
694,29
695,14
696,14
697,11
698,13
699,18
700,10
701,8
702,16
703,9
704,11
705,7
706,12
707,13
708,7
709,10
710,14
711,11
712,9
713,6
714,13
715,18
716,9
717,12
718,12
719,14
720,14
721,10
722,13
723,14
724,8
725,12
726,3
727,12
728,6
729,7
730,12
731,9
732,10
733,15
734,13
735,9
736,8
737,7
738,10
739,9
740,10
741,10
742,7
743,8
744,11
745,13
746,15
747,16
748,7
749,10
750,12
751,7
752,7
753,15
754,6
755,19
756,11
757,13
758,11
759,13
760,16
761,12
762,14
763,13
764,13
765,10
766,9
767,3
768,15
769,9
770,12
771,17
772,12
773,6
774,9
775,24
776,14
777,9
778,10
779,12
780,5
781,15
782,14
783,8
784,13
785,10
786,8
787,12
788,11
789,11
790,11
791,12
792,19
793,16
794,12
795,12
796,14
797,11
798,12
799,10
800,14
801,16
802,9
803,12
804,14
805,14
806,1
807,19
808,11
809,11
810,15
811,12
812,7
813,21
814,8
815,10
816,11
817,16
818,10
819,12
820,13
821,13
822,3
823,8
824,8
825,8
826,8
827,8
828,8
829,7
830,15
831,15
832,9
833,12
834,8
835,16
836,11
837,9
838,11
839,9
840,10
841,6
842,7
843,17
844,10
845,12
846,11
847,11
848,8
849,9
850,17
851,12
852,15
853,13
854,11
855,8
856,15
857,7
858,11
859,12
860,13
861,13
862,10
863,9
864,10
865,7
866,12
867,7
868,16
869,13
870,9
871,23
872,7
873,12
874,11
875,14
876,11
877,12
878,17
879,11
880,11
881,15
882,14
883,12
884,4
885,16
886,9
887,2
888,8
889,13
890,9
891,12
892,14
893,10
894,11
895,8
896,4
897,9
898,11
899,11
900,9
901,6
902,15
903,9
904,14
905,11
906,7
907,15
908,15
909,13
910,10
911,14
912,9
913,16
914,13
915,11
916,10
917,8
918,10
919,10
920,8
921,15
922,15
923,16
924,15
925,11
926,12
927,10
928,10
929,9
930,9
931,11
932,8
933,8
934,15
935,9
936,3
937,7
938,7
939,7
940,6
941,7
942,11
943,12
944,8
945,12
946,13
947,13
948,8
949,11
950,10
951,7
952,10
953,3
954,8
955,14
956,20
957,9
958,8
959,23
960,6
961,10
962,7
963,7
964,28
965,11
966,13
967,18
968,11
969,9
970,12
971,7
972,6
973,6
974,10
975,11
976,6
977,7
978,19
979,15
980,7
981,17
