,hamming_distance
0,13
1,8
2,11
3,11
4,11
5,10
6,19
7,18
8,13
9,8
10,12
11,8
12,9
13,7
14,10
15,16
16,9
17,12
18,8
19,18
20,17
21,15
22,15
23,13
24,10
25,16
26,12
27,10
28,9
29,6
30,12
31,12
32,12
33,7
34,10
35,9
36,11
37,11
38,12
39,14
40,14
41,12
42,15
43,14
44,12
45,19
46,9
47,14
48,11
49,13
50,11
51,6
52,12
53,11
54,10
55,15
56,13
57,13
58,13
59,11
60,15
61,16
62,11
63,12
64,11
65,13
66,12
67,11
68,10
69,8
70,15
71,10
72,19
73,10
74,11
75,11
76,14
77,16
78,10
79,9
80,15
81,6
82,10
83,9
84,11
85,22
86,12
87,9
88,16
89,18
90,12
91,5
92,5
93,13
94,10
95,9
96,14
97,10
98,10
99,21
100,12
101,6
102,15
103,13
104,8
105,12
106,15
107,11
108,17
109,8
110,8
111,12
112,17
113,11
114,15
115,12
116,7
117,7
118,12
119,17
120,13
121,12
122,13
123,14
124,11
125,12
126,16
127,15
128,8
129,18
130,8
131,16
132,14
133,12
134,13
135,11
136,4
137,9
138,8
139,10
140,10
141,11
142,11
143,12
144,15
145,10
146,14
147,1
148,13
149,4
150,10
151,13
152,18
153,11
154,23
155,12
156,7
157,14
158,10
159,19
160,11
161,11
162,6
163,12
164,15
165,15
166,10
167,18
168,15
169,5
170,8
171,15
172,10
173,3
174,17
175,14
176,10
177,17
178,11
179,12
180,10
181,8
182,10
183,11
184,13
185,11
186,11
187,9
188,10
189,12
190,11
191,1
192,3
193,13
194,19
195,10
196,18
197,9
198,7
199,14
200,13
201,16
202,11
203,9
204,5
205,12
206,18
207,10
208,4
209,10
210,6
211,11
212,8
213,15
214,12
215,15
216,12
217,12
218,11
219,12
220,12
221,10
222,12
223,12
224,14
225,10
226,12
227,8
228,9
229,15
230,5
231,18
232,16
233,12
234,11
235,16
236,14
237,13
238,15
239,13
240,14
241,12
242,9
243,6
244,6
245,8
246,12
247,14
248,17
249,19
250,15
251,12
252,13
253,17
254,16
255,12
256,15
257,8
258,8
259,10
260,15
261,14
262,7
263,8
264,13
265,3
266,11
267,7
268,7
269,11
270,11
271,10
272,13
273,19
274,9
275,6
276,17
277,8
278,9
279,8
280,6
281,13
282,10
283,9
284,10
285,21
286,14
287,10
288,10
289,13
290,9
291,18
292,12
293,7
294,11
295,8
296,12
297,9
298,11
299,10
300,16
301,10
302,15
303,10
304,14
305,8
306,10
307,11
308,10
309,15
310,12
311,13
312,12
313,10
314,9
315,10
316,6
317,12
318,7
319,14
320,29
321,9
322,20
323,22
324,12
325,28
326,14
327,5
328,13
329,9
330,11
331,12
332,14
333,8
334,15
335,13
336,10
337,8
338,16
339,12
340,13
341,13
342,11
343,7
344,7
345,21
346,9
347,10
348,11
349,7
350,8
351,9
352,10
353,13
354,13
355,17
356,18
357,10
358,11
359,9
360,18
361,20
362,17
363,24
364,11
365,9
366,11
367,11
368,15
369,11
370,11
371,7
372,6
373,17
374,7
375,16
376,16
377,12
378,11
379,12
380,11
381,16
382,8
383,8
384,5
385,12
386,10
387,14
388,14
389,11
390,11
391,18
392,12
393,10
394,17
395,13
396,10
397,11
398,18
399,11
400,10
401,13
402,25
403,24
404,5
405,16
406,13
407,13
408,9
409,11
410,14
411,10
412,15
413,11
414,3
415,10
416,11
417,13
418,11
419,11
420,11
421,10
422,14
423,19
424,21
425,8
426,10
427,15
428,9
429,11
430,16
431,22
432,12
433,12
434,17
435,12
436,13
437,11
438,11
439,17
440,9
441,8
442,10
443,13
444,9
445,6
446,13
447,11
448,10
449,6
450,9
451,12
452,14
453,7
454,5
455,11
456,6
457,11
458,11
459,12
460,11
461,15
462,8
463,16
464,10
465,10
466,12
467,18
468,4
469,15
470,16
471,11
472,10
473,11
474,16
475,16
476,15
477,9
478,19
479,7
480,19
481,8
482,10
483,11
484,13
485,13
486,6
487,10
488,3
489,18
490,10
491,11
492,18
493,19
494,13
495,10
496,14
497,16
498,13
499,10
500,9
501,17
502,17
503,9
504,11
505,12
506,13
507,11
508,12
509,9
510,13
511,10
512,14
513,11
514,6
515,13
516,6
517,10
518,11
519,7
520,19
521,9
522,11
523,14
524,10
525,12
526,21
527,9
528,22
529,13
530,11
531,10
532,18
533,11
534,10
535,19
536,10
537,19
538,10
539,14
540,10
541,11
542,16
543,9
544,15
545,25
546,10
547,7
548,14
549,13
550,12
551,11
552,9
553,10
554,15
555,9
556,11
557,14
558,13
559,15
560,11
561,13
562,23
563,18
564,5
565,7
566,13
567,6
568,14
569,7
570,11
571,11
572,7
573,14
574,10
575,7
576,11
577,10
578,23
579,14
580,16
581,23
582,11
583,15
584,13
585,14
586,14
587,11
588,7
589,7
590,9
591,12
592,7
593,8
594,13
595,10
596,10
597,14
598,19
599,11
600,10
601,11
602,17
603,15
604,22
605,12
606,12
607,1
608,13
609,10
610,12
611,11
612,12
613,13
614,12
615,14
616,6
617,16
618,10
619,10
620,8
621,11
622,12
623,9
624,14
625,11
626,15
627,15
628,16
629,21
630,15
631,12
632,16
633,9
634,15
635,11
636,16
637,9
638,8
639,19
640,11
641,7
642,8
643,6
644,13
645,15
646,9
647,10
648,14
649,9
650,3
651,14
652,11
653,11
654,13
655,15
656,14
657,12
658,13
659,11
660,12
661,10
662,12
663,12
664,12
665,9
666,13
667,13
668,12
669,10
670,14
671,16
672,11
673,6
674,5
675,13
676,10
677,8
678,12
679,17
680,11
681,13
682,1
683,14
684,11
685,7
686,13
687,11
688,10
689,15
690,9
691,8
692,12
693,16
694,11
695,7
696,14
697,12
698,24
699,21
700,11
701,10
702,10
703,16
704,14
705,11
706,11
707,15
708,17
709,8
