,hamming_distance
0,9
1,8
2,9
3,8
4,9
5,8
6,8
7,9
8,8
9,7
10,7
11,9
12,9
13,8
14,8
15,9
16,8
17,9
18,8
19,8
20,8
21,9
22,7
23,9
24,9
25,8
26,9
27,9
28,8
29,8
30,9
31,9
32,9
33,9
34,8
35,8
36,8
37,9
38,7
39,8
40,9
41,9
42,8
43,8
44,9
45,9
46,10
47,9
48,8
49,8
50,8
51,10
52,8
53,8
54,8
55,8
56,8
57,9
58,8
59,7
60,9
61,8
62,7
63,7
64,8
65,9
66,9
67,9
68,10
69,8
70,8
71,9
72,9
73,9
74,8
75,10
76,8
77,9
78,8
79,8
80,10
81,8
82,8
83,8
84,9
85,9
86,8
87,7
88,8
89,8
90,9
91,9
92,9
93,8
94,7
95,8
96,8
97,8
98,8
99,8
100,8
101,9
102,9
103,9
104,9
105,9
106,10
107,8
108,8
109,9
110,7
111,7
112,9
113,9
114,9
115,9
116,8
117,8
118,8
119,8
120,8
121,8
122,9
123,10
124,8
125,8
126,8
127,8
128,8
129,10
130,8
131,8
132,9
133,8
134,8
135,9
136,9
137,9
138,9
139,9
140,8
141,9
142,9
143,8
144,8
145,7
146,9
147,9
148,8
149,8
150,9
151,8
152,9
153,9
154,8
155,7
156,9
157,8
158,7
159,8
160,9
161,9
162,8
163,8
164,8
165,8
166,8
167,8
168,9
169,8
170,9
171,9
172,7
173,9
174,9
175,7
176,9
177,9
178,9
179,8
180,9
181,9
182,9
183,7
184,9
185,7
186,8
187,9
188,8
189,8
190,8
191,8
192,8
193,9
194,8
195,8
196,8
197,9
198,9
199,10
200,7
201,9
202,8
203,8
204,9
205,8
206,9
207,8
208,8
209,7
210,8
211,9
212,9
213,9
214,9
215,9
216,8
217,8
218,9
219,7
220,9
221,8
222,8
223,7
224,10
225,7
226,7
227,8
228,8
229,8
230,8
231,8
232,9
233,9
234,8
235,9
236,8
237,9
238,9
239,8
240,8
241,9
242,9
243,7
244,10
245,10
246,7
247,8
248,8
249,8
250,10
251,8
252,9
253,9
254,8
255,9
256,7
257,8
258,8
259,9
260,8
261,9
262,9
263,8
264,9
265,9
266,9
267,8
268,9
269,9
270,9
271,8
272,8
273,8
274,10
275,9
276,7
277,8
278,9
279,9
280,9
281,8
282,9
283,8
284,9
285,9
286,8
287,8
288,8
289,8
290,8
291,8
292,9
293,8
294,8
295,9
296,8
297,8
298,10
299,9
300,8
301,9
302,8
303,9
304,8
305,7
306,7
307,7
308,9
309,9
310,9
311,7
312,8
313,10
314,8
315,8
316,9
317,9
318,8
319,8
320,9
321,8
322,9
323,8
324,9
325,8
326,8
327,9
328,8
329,8
330,9
331,9
332,8
333,9
334,8
335,9
336,8
337,8
338,7
339,8
340,9
341,7
342,9
343,8
344,8
345,8
346,9
347,9
348,8
349,8
350,9
351,8
352,8
353,8
354,9
355,9
356,9
357,8
358,9
359,10
360,9
361,8
362,9
363,9
364,8
365,9
366,8
367,8
368,8
369,8
370,8
371,8
372,9
373,9
374,8
375,9
376,9
377,10
378,8
379,7
380,8
381,9
382,9
383,8
384,10
385,8
386,8
387,9
388,9
389,8
390,9
391,9
392,7
393,9
394,9
395,8
396,8
397,8
398,8
399,9
400,8
401,8
402,8
403,8
404,9
405,8
406,9
407,9
408,10
409,7
410,9
411,9
412,8
413,9
414,8
415,10
416,9
417,9
418,9
419,8
420,8
421,9
422,8
423,8
424,8
425,9
426,9
427,8
428,8
429,8
430,8
431,9
432,8
433,8
434,8
435,9
436,8
437,9
438,9
439,9
440,9
441,8
442,8
443,8
444,8
445,9
446,8
447,9
448,8
449,9
450,8
451,8
452,8
453,8
454,8
455,9
456,8
457,8
458,8
459,8
460,8
461,8
462,9
463,9
464,8
465,8
466,8
467,9
468,8
469,8
470,9
471,8
472,9
473,8
474,8
475,8
476,8
477,8
478,8
479,8
480,8
481,8
482,8
483,9
484,10
485,9
486,9
487,8
488,8
489,9
490,7
491,9
492,8
493,8
494,9
495,9
496,8
497,10
498,8
499,8
500,8
501,8
502,8
503,9
504,8
505,9
506,9
507,8
508,9
509,8
510,8
511,8
512,8
513,8
514,8
515,8
516,8
517,9
518,8
519,8
520,8
521,8
522,8
523,7
524,8
525,8
526,10
527,9
528,9
529,8
530,7
531,9
532,9
533,10
534,9
535,8
536,8
537,8
538,8
539,9
540,8
541,8
542,10
543,8
544,9
545,8
546,8
547,8
548,9
549,8
550,8
551,8
552,9
553,9
554,9
555,9
556,8
557,8
558,8
559,9
560,9
561,9
562,9
563,8
564,9
565,8
566,9
567,7
568,8
569,8
570,9
571,9
572,9
573,7
574,8
575,9
576,9
577,7
578,8
579,8
580,10
581,9
582,9
583,9
584,8
585,9
586,8
587,8
588,9
589,8
590,8
591,8
592,8
593,7
594,9
595,9
596,8
597,8
598,8
599,8
600,9
601,9
602,7
603,9
604,10
605,8
606,8
607,9
608,9
609,8
610,8
611,7
612,7
613,9
614,9
615,8
616,9
617,9
618,9
619,9
620,9
621,8
622,8
623,8
624,9
625,7
626,7
627,10
628,9
629,8
630,8
631,8
632,8
633,10
634,8
635,9
636,7
637,8
638,8
639,9
640,8
641,8
642,9
643,8
644,8
645,8
646,9
647,7
648,8
649,9
650,8
651,9
652,8
653,8
654,7
655,8
656,8
657,8
658,9
659,9
660,9
661,7
662,9
663,8
664,9
665,9
666,8
667,7
668,9
669,7
670,8
671,8
672,8
673,8
674,8
675,8
676,8
677,10
678,9
679,8
680,8
681,8
682,9
683,8
684,8
685,8
686,8
687,7
688,8
689,9
690,9
691,8
692,9
693,8
694,9
695,7
696,7
697,7
698,8
699,9
700,8
701,9
702,9
703,9
704,9
705,9
706,9
707,8
708,8
709,9
710,8
711,8
712,8
713,9
714,9
715,10
716,9
717,8
718,9
719,9
720,9
721,8
722,8
723,8
724,8
725,9
726,9
727,8
728,8
729,7
730,8
731,9
732,9
733,8
734,8
735,8
736,7
737,9
738,7
739,8
740,8
741,9
742,9
743,8
744,8
745,9
746,8
747,8
748,7
749,9
750,8
751,8
752,9
753,9
754,10
755,8
756,8
757,9
758,8
759,8
760,9
761,8
762,8
763,8
764,9
765,9
766,9
767,8
768,9
769,8
770,7
771,8
772,9
773,8
774,9
775,9
776,8
777,8
778,9
779,9
780,8
781,8
782,8
783,8
784,8
785,9
786,10
787,9
788,9
789,9
790,9
791,8
792,7
793,7
794,9
795,8
796,8
797,9
798,8
799,9
800,8
801,7
802,10
803,9
804,8
805,9
806,8
807,10
808,9
809,9
810,8
811,7
812,9
813,8
814,9
815,10
816,8
817,9
818,8
819,9
820,8
821,8
822,9
823,8
824,7
825,8
826,9
827,8
828,8
829,9
830,7
831,8
832,9
833,10
834,9
835,8
836,8
837,8
838,9
839,9
840,8
841,8
842,8
843,8
844,9
845,10
846,8
847,8
848,7
849,9
850,8
851,8
852,8
853,9
854,8
855,8
856,9
857,8
858,10
859,8
860,8
861,8
862,7
863,8
864,9
865,9
866,9
867,9
868,8
869,10
870,9
871,8
872,7
873,9
874,8
875,7
876,8
877,9
878,9
879,8
880,8
881,8
882,9
883,9
884,9
885,8
886,8
887,9
888,8
889,8
890,8
891,7
892,8
893,8
894,9
895,9
896,7
897,8
898,8
899,10
900,9
901,9
902,9
903,8
904,9
905,8
906,8
907,8
908,8
909,8
910,9
911,8
912,8
913,8
914,9
915,8
916,9
917,9
918,9
919,8
920,8
921,7
922,8
923,8
924,9
925,9
926,9
927,7
928,10
929,8
930,8
931,9
932,9
933,7
934,8
935,9
936,9
937,8
938,9
939,7
940,8
941,8
942,9
943,8
944,9
945,9
946,9
947,8
948,9
949,8
950,9
951,9
952,9
953,9
954,8
955,8
956,9
957,7
958,9
959,9
960,8
961,9
962,10
963,10
964,8
965,8
966,7
967,8
968,9
969,10
970,8
971,8
972,8
973,8
974,10
975,7
976,9
977,9
978,8
979,9
980,8
981,8
982,8
983,8
984,8
985,10
986,10
987,8
988,10
989,8
990,8
991,10
992,9
993,8
994,8
995,8
996,7
997,9
998,8
999,8
1000,8
1001,8
1002,8
1003,8
1004,8
1005,9
1006,9
1007,9
1008,9
1009,9
1010,8
1011,9
1012,9
1013,9
1014,10
1015,8
1016,8
1017,9
1018,7
1019,8
1020,8
1021,8
1022,8
1023,10
1024,8
1025,8
1026,8
1027,9
1028,8
1029,8
1030,8
1031,7
1032,8
1033,9
1034,9
1035,9
1036,9
1037,8
1038,9
1039,8
1040,9
1041,10
1042,8
1043,8
1044,8
1045,8
1046,7
1047,7
1048,8
1049,8
1050,8
1051,7
1052,8
1053,8
1054,8
1055,8
1056,9
1057,9
1058,10
1059,9
1060,10
1061,9
1062,8
1063,8
1064,9
1065,8
1066,8
1067,8
1068,8
1069,7
1070,8
1071,9
1072,8
1073,8
1074,8
1075,8
1076,10
1077,9
1078,9
1079,7
1080,8
1081,9
1082,9
1083,8
1084,9
1085,8
1086,8
1087,8
1088,8
1089,9
1090,7
1091,8
1092,8
1093,9
1094,9
1095,8
1096,8
1097,8
1098,9
1099,8
1100,8
1101,8
1102,9
1103,7
1104,8
1105,10
1106,8
1107,8
1108,9
1109,8
1110,8
1111,8
1112,10
1113,8
1114,7
1115,8
1116,8
1117,8
1118,8
1119,8
1120,9
1121,8
1122,9
1123,7
1124,9
1125,9
1126,7
1127,8
1128,8
1129,8
1130,9
1131,9
1132,8
1133,9
1134,7
1135,8
1136,8
1137,9
1138,9
1139,9
1140,9
1141,9
1142,8
1143,8
1144,9
1145,10
1146,8
1147,8
1148,8
1149,9
1150,9
1151,8
1152,7
1153,8
1154,9
1155,8
1156,8
1157,8
1158,8
1159,8
1160,10
1161,8
1162,8
1163,9
1164,9
1165,8
1166,8
1167,7
1168,9
1169,8
1170,8
1171,8
1172,9
1173,9
1174,9
1175,8
1176,7
1177,8
1178,8
1179,8
1180,10
1181,9
1182,8
1183,9
1184,7
1185,9
1186,9
1187,8
1188,10
1189,8
1190,9
1191,7
1192,8
1193,8
1194,8
1195,10
1196,8
1197,8
1198,9
1199,8
1200,8
1201,10
1202,9
1203,8
1204,8
1205,8
1206,7
1207,8
1208,9
1209,8
1210,9
1211,9
1212,8
1213,9
1214,8
1215,8
1216,8
1217,8
1218,8
1219,9
1220,9
1221,9
1222,8
1223,8
1224,9
1225,9
1226,7
1227,8
1228,8
1229,9
1230,7
1231,8
1232,8
1233,8
1234,9
1235,10
1236,8
1237,9
1238,8
1239,10
1240,8
1241,7
1242,9
1243,9
1244,7
1245,8
1246,9
1247,9
1248,8
1249,9
1250,9
1251,8
1252,9
1253,8
1254,9
1255,8
1256,8
1257,9
1258,8
1259,9
1260,8
1261,8
1262,8
1263,10
1264,8
1265,9
1266,8
1267,7
1268,9
1269,8
1270,9
1271,8
1272,9
1273,9
1274,8
1275,8
1276,9
1277,9
1278,8
1279,8
1280,10
1281,9
1282,8
1283,7
1284,9
1285,9
1286,9
1287,9
1288,8
1289,8
1290,8
1291,9
1292,8
1293,10
1294,9
1295,8
1296,9
1297,7
1298,9
1299,10
1300,8
1301,8
1302,8
1303,8
1304,9
1305,9
1306,9
1307,8
1308,7
1309,8
1310,8
1311,8
1312,9
1313,9
1314,9
1315,9
1316,8
1317,9
1318,8
1319,9
1320,8
1321,8
1322,8
1323,8
1324,7
1325,9
1326,7
1327,9
1328,8
1329,7
1330,8
1331,8
1332,8
1333,8
1334,7
1335,9
1336,10
1337,10
1338,8
1339,9
1340,10
1341,7
1342,8
1343,9
1344,9
1345,8
1346,8
1347,9
1348,9
1349,9
1350,8
1351,8
1352,9
1353,9
1354,9
1355,8
1356,9
1357,8
1358,7
1359,8
1360,8
1361,8
1362,8
1363,9
1364,8
1365,8
1366,8
1367,7
1368,8
1369,8
1370,9
1371,9
1372,8
1373,9
1374,8
1375,9
1376,9
1377,9
1378,8
1379,7
1380,10
1381,8
1382,8
1383,8
1384,7
1385,8
1386,9
1387,8
1388,8
1389,9
1390,9
1391,8
1392,10
1393,8
1394,9
1395,8
1396,8
1397,8
1398,9
1399,8
1400,9
1401,9
1402,8
1403,9
1404,8
1405,8
1406,9
1407,10
1408,8
1409,8
1410,8
1411,9
1412,8
1413,8
1414,7
1415,8
1416,8
1417,9
1418,9
1419,8
1420,9
1421,8
1422,10
1423,9
1424,9
1425,9
1426,9
1427,10
1428,9
1429,8
1430,8
1431,8
1432,7
1433,8
1434,7
1435,9
1436,7
1437,8
1438,9
1439,8
1440,9
1441,8
1442,9
1443,8
1444,8
1445,8
1446,7
1447,8
1448,9
1449,10
1450,8
1451,8
1452,7
1453,10
1454,7
1455,8
1456,10
1457,8
1458,9
1459,8
1460,10
1461,9
1462,7
1463,9
1464,10
1465,8
1466,8
1467,9
1468,9
1469,8
1470,10
1471,10
1472,9
1473,8
1474,8
1475,9
1476,8
1477,10
1478,9
1479,8
1480,9
1481,8
1482,8
1483,7
1484,8
1485,8
1486,7
1487,8
1488,8
1489,7
1490,9
1491,8
1492,9
1493,8
1494,8
1495,9
1496,8
1497,9
1498,7
1499,8
1500,9
1501,9
1502,7
1503,9
1504,8
1505,9
1506,8
1507,7
1508,7
1509,8
1510,9
1511,7
1512,9
1513,9
1514,8
1515,8
1516,9
1517,9
1518,8
1519,8
1520,9
1521,9
1522,8
1523,8
1524,8
1525,8
1526,8
1527,8
1528,9
1529,7
1530,8
1531,9
1532,8
1533,8
1534,8
1535,9
1536,9
1537,8
1538,8
1539,8
1540,9
1541,8
1542,9
1543,8
1544,9
1545,9
1546,9
1547,8
1548,8
1549,9
1550,8
1551,10
1552,8
1553,9
1554,9
1555,7
1556,8
1557,8
1558,9
1559,9
1560,9
1561,9
1562,8
1563,8
1564,9
1565,8
1566,9
1567,8
1568,8
1569,10
1570,8
1571,8
1572,8
1573,8
1574,8
1575,9
1576,9
1577,9
1578,9
1579,9
1580,8
1581,9
1582,9
1583,8
1584,8
1585,9
1586,9
1587,7
1588,9
1589,7
1590,8
1591,8
1592,9
1593,9
1594,8
1595,9
1596,9
1597,8
1598,9
1599,8
1600,9
1601,8
1602,8
1603,8
1604,7
1605,9
1606,9
1607,8
1608,8
1609,8
1610,8
1611,8
1612,10
1613,8
1614,7
1615,9
1616,9
1617,9
1618,9
1619,8
1620,8
1621,9
1622,9
1623,8
1624,8
1625,8
1626,8
1627,8
1628,8
1629,9
1630,9
1631,8
1632,9
1633,8
