,hamming_distance
0,88
1,68
2,92
3,80
4,91
5,103
6,67
7,99
8,63
9,92
10,81
11,98
12,123
13,74
14,102
15,98
16,88
17,98
18,65
19,79
20,106
21,131
22,113
23,126
24,106
25,81
26,117
27,105
28,75
29,64
30,110
31,109
32,119
33,98
34,71
35,87
36,104
37,63
38,109
39,67
40,79
41,134
42,86
43,57
44,83
45,86
46,86
47,88
48,91
49,111
50,109
51,106
52,52
53,74
54,79
55,82
56,83
57,69
58,97
59,69
60,102
61,94
62,111
63,87
64,103
65,97
66,99
67,90
68,68
69,110
70,92
71,100
72,80
73,86
74,62
75,87
76,74
77,97
78,101
79,89
80,68
81,94
82,116
83,112
84,111
85,111
86,106
87,119
88,92
89,91
90,84
91,99
92,96
93,76
94,139
95,102
96,90
97,133
98,107
99,111
100,110
101,76
102,89
103,103
104,99
105,94
106,97
107,103
108,76
109,100
110,85
111,81
112,69
113,101
114,105
115,92
116,121
117,115
118,79
119,93
120,138
121,87
122,94
123,76
124,125
125,96
126,86
127,101
128,60
129,82
130,79
131,115
132,71
133,96
134,105
135,108
136,73
137,122
138,78
139,99
140,102
141,110
142,86
143,115
144,102
145,87
146,103
147,72
148,50
149,101
150,120
151,120
152,138
153,78
154,118
155,71
156,127
157,72
158,132
159,87
160,91
161,86
162,94
163,82
164,119
165,93
166,120
167,111
168,70
169,102
170,119
171,80
172,70
173,96
174,103
175,107
176,85
177,48
178,47
179,86
180,85
181,115
182,71
183,77
184,98
185,66
186,72
187,93
188,90
189,80
190,86
191,113
192,102
193,113
194,85
195,81
196,149
197,104
198,79
199,107
200,69
201,75
202,93
203,95
204,104
205,89
206,84
207,100
208,94
209,105
210,82
211,103
212,90
213,88
214,63
215,46
216,99
217,82
218,63
219,86
220,83
221,90
222,82
223,86
224,144
225,90
226,76
227,98
228,82
229,110
230,110
231,94
232,125
233,111
234,108
235,80
236,85
237,91
238,50
239,104
240,73
241,96
242,132
243,82
244,73
245,80
246,84
247,82
248,91
249,65
250,76
251,65
252,88
253,98
254,98
255,102
256,66
257,100
258,86
259,82
260,87
261,74
262,81
263,97
264,118
265,104
266,73
267,56
268,102
269,57
270,79
271,61
272,101
273,83
274,70
275,94
276,63
277,67
278,89
279,95
280,79
281,102
282,60
283,101
284,39
285,104
286,77
287,106
288,81
289,73
290,74
291,88
292,68
293,81
294,64
295,91
296,68
297,61
298,67
299,94
300,92
301,131
302,58
303,129
304,68
305,80
306,91
307,96
308,118
309,60
310,75
311,42
312,102
313,89
314,100
315,77
316,75
317,96
318,121
319,119
320,118
321,93
322,94
323,55
324,88
325,94
326,78
327,113
328,86
329,114
330,60
331,98
332,87
333,59
334,90
335,95
336,83
337,68
338,106
339,97
340,82
341,61
342,102
343,54
344,94
345,105
346,118
347,123
348,61
349,78
350,114
351,65
352,72
353,104
354,100
355,98
356,100
357,94
358,105
359,64
360,72
361,71
362,90
363,74
364,114
365,88
366,87
367,112
368,61
369,85
370,86
371,91
372,86
373,121
374,107
375,72
376,120
377,77
378,99
379,87
380,79
381,102
382,132
383,70
384,115
385,103
386,112
387,97
388,76
389,78
390,106
391,100
392,129
393,88
394,92
395,76
396,89
397,72
398,89
399,114
400,103
401,108
402,103
403,95
404,107
405,101
406,87
407,72
408,138
409,115
410,81
411,96
412,91
413,111
414,84
415,76
416,105
417,76
418,70
419,92
420,82
421,131
422,91
423,95
424,84
425,111
426,74
427,114
428,135
429,108
430,96
431,128
432,101
433,104
434,117
435,100
436,174
437,76
438,92
439,103
440,83
441,96
442,96
443,121
444,115
445,109
446,64
447,113
448,82
449,83
450,101
451,75
452,93
453,74
454,81
455,83
456,71
457,94
458,116
459,106
460,73
461,66
462,76
463,93
464,90
465,102
466,71
467,92
468,84
469,77
470,76
471,70
472,103
473,181
474,85
475,122
476,68
477,84
478,105
479,90
480,135
481,114
482,114
483,140
484,82
485,94
486,92
487,99
488,88
489,103
490,122
491,91
492,96
493,95
494,110
495,72
496,72
497,95
498,117
499,85
500,85
501,99
502,121
503,103
504,108
505,77
506,104
507,113
508,109
509,71
510,77
511,56
512,92
513,83
514,60
515,89
516,66
517,86
518,89
519,64
520,92
521,92
522,96
523,86
524,105
525,100
526,44
527,81
528,87
529,48
530,113
531,108
532,104
533,104
534,91
535,68
536,89
537,125
538,88
539,109
540,96
541,72
542,73
543,81
544,95
545,77
546,48
547,82
548,107
549,107
550,90
551,113
552,134
553,82
554,107
555,100
556,80
557,95
558,97
559,87
560,102
561,84
562,97
563,82
564,82
565,88
566,89
567,104
568,94
569,89
570,93
571,91
572,117
573,99
574,90
575,107
576,123
577,69
578,104
579,81
580,102
581,98
582,47
583,79
584,84
585,104
586,113
587,89
588,122
589,92
590,117
591,135
592,84
593,84
594,96
595,146
596,123
597,48
598,72
599,106
600,132
601,121
602,76
603,82
604,99
605,93
606,101
607,99
608,87
609,101
610,70
611,104
612,131
613,94
614,75
615,107
616,93
617,64
618,84
619,145
620,92
621,96
622,112
623,107
624,107
625,90
626,102
627,82
628,89
629,83
630,134
631,110
632,100
633,114
634,78
635,89
636,74
637,77
638,62
639,103
640,86
641,141
642,94
643,82
644,105
645,75
646,120
647,103
648,67
649,86
650,80
651,94
652,87
653,91
654,91
655,60
656,104
657,90
658,81
659,100
660,82
661,115
662,85
663,101
664,69
665,79
666,98
667,85
668,95
669,94
670,71
671,40
672,72
673,110
674,113
675,87
676,112
677,84
678,80
679,88
680,134
681,86
682,72
683,80
684,112
685,113
686,99
687,61
688,119
689,91
690,88
691,66
692,82
693,89
694,105
695,81
696,73
697,89
698,39
699,95
700,108
701,95
702,97
703,70
704,98
705,135
706,87
707,66
708,107
709,75
710,78
711,91
712,74
713,69
714,67
715,136
716,107
717,96
718,54
719,97
720,108
721,123
722,83
723,113
724,86
725,67
726,83
727,102
728,66
729,83
730,76
731,103
732,132
733,109
734,80
735,100
736,121
737,77
738,72
739,87
740,77
741,106
742,114
743,92
744,109
745,125
746,87
747,79
748,70
749,99
750,88
751,108
752,90
753,73
754,87
755,108
756,95
757,108
758,89
759,80
760,84
761,77
762,97
763,83
764,96
765,92
766,102
767,109
768,80
769,110
770,113
771,94
772,105
773,107
774,108
775,105
776,77
777,111
778,84
779,82
780,107
781,89
782,84
783,104
784,102
785,87
786,87
787,109
788,68
789,71
790,122
791,143
792,82
793,107
794,131
795,38
796,112
797,81
798,60
799,99
800,72
801,88
802,83
803,98
804,115
805,121
806,80
807,95
808,87
809,75
810,85
811,81
812,109
813,112
814,91
815,65
816,84
817,75
818,105
819,88
820,78
821,132
822,136
823,98
824,91
825,138
826,68
827,96
828,115
829,92
830,65
831,120
832,79
833,149
834,102
835,116
836,116
837,93
838,113
839,89
840,69
841,124
842,88
843,87
844,92
845,100
846,99
847,69
848,99
849,61
850,83
851,111
852,76
853,101
854,86
855,70
856,101
857,99
858,97
859,62
860,74
861,84
862,119
863,49
864,88
865,86
866,99
867,78
868,103
869,90
870,74
871,78
872,107
873,97
874,131
875,96
876,77
877,123
878,73
879,88
880,104
881,69
882,98
883,88
884,23
885,111
886,72
887,93
888,81
889,76
890,88
891,78
892,82
893,68
894,83
895,98
896,111
897,106
898,88
899,75
900,96
901,62
902,123
903,128
904,76
905,92
906,105
907,74
908,93
909,75
910,118
911,101
912,114
913,74
914,54
915,97
916,117
917,79
918,110
919,84
920,100
921,95
922,81
923,103
924,77
925,85
926,85
927,109
928,93
929,76
930,104
931,77
932,137
933,74
934,130
935,89
936,45
937,54
938,90
939,127
940,118
941,100
942,84
943,78
944,113
945,100
946,89
947,76
948,97
949,108
950,104
951,110
952,114
953,72
954,87
955,79
956,86
957,95
958,97
959,90
960,95
961,89
962,68
963,89
964,79
965,123
966,60
967,78
968,62
969,74
970,102
971,76
972,89
973,98
974,78
975,116
976,139
977,135
978,75
979,103
980,76
981,107
982,73
983,98
984,120
985,76
986,122
987,102
988,90
989,108
990,83
991,102
992,90
993,70
994,88
995,124
996,80
997,121
998,102
999,104
1000,90
1001,92
1002,92
1003,111
1004,129
1005,91
1006,102
1007,73
1008,91
1009,74
1010,79
1011,78
1012,72
1013,98
1014,67
1015,106
