,hamming_distance
0,99
1,189
2,72
3,79
4,94
5,71
6,89
7,79
8,87
9,86
10,97
11,110
12,109
13,87
14,98
15,88
16,132
17,90
18,100
19,105
20,82
21,108
22,98
23,123
24,78
25,103
26,92
27,96
28,107
29,99
30,152
31,91
32,85
33,114
34,105
35,67
36,129
37,114
38,129
39,105
40,81
41,72
42,103
43,93
44,82
45,80
46,102
47,73
48,98
49,106
50,115
51,108
52,94
53,100
54,98
55,135
56,81
57,100
58,82
59,86
60,96
61,104
62,158
63,122
64,89
65,76
66,97
67,78
68,135
69,141
70,131
71,80
72,128
73,82
74,104
75,66
76,91
77,112
78,83
79,118
80,78
81,110
82,100
83,108
84,112
85,81
86,88
87,129
88,80
89,110
90,92
91,88
92,106
93,111
94,72
95,98
96,83
97,75
98,89
99,114
100,68
101,83
102,93
103,88
104,107
105,118
106,100
107,109
108,86
109,105
110,87
111,122
112,113
113,102
114,89
115,108
116,115
117,102
118,91
119,98
120,120
121,120
122,120
123,113
124,80
125,102
126,158
127,110
128,94
129,71
130,97
131,77
132,117
133,84
134,119
135,120
136,100
137,81
138,126
139,123
140,94
141,113
142,109
143,88
144,78
145,113
146,78
147,78
148,113
149,112
150,81
151,103
152,87
153,75
154,118
155,130
156,74
157,109
158,104
159,83
160,139
161,123
162,115
163,112
164,72
165,109
166,79
167,95
168,94
169,110
170,62
171,107
172,127
173,76
174,143
175,88
176,75
177,86
178,106
179,85
180,95
181,117
182,103
183,80
184,108
185,120
186,99
187,120
188,109
189,75
190,76
191,99
192,91
193,108
194,94
195,124
196,95
197,87
198,70
199,85
200,88
201,79
202,112
203,114
204,90
205,108
206,84
207,96
208,113
209,88
210,104
211,77
212,93
213,94
214,73
215,92
216,85
217,93
218,84
219,117
220,125
221,125
222,114
223,96
224,111
225,95
226,55
227,114
228,103
229,81
230,118
231,101
232,116
233,120
234,119
235,90
236,131
237,78
238,119
239,110
240,116
241,130
242,92
243,88
244,110
245,110
246,86
247,123
248,123
249,141
250,108
251,89
252,75
253,121
254,115
255,105
256,141
257,106
258,119
259,120
260,102
261,96
262,87
263,135
264,83
265,103
266,80
267,106
268,98
269,83
270,97
271,129
272,81
273,93
274,87
275,104
276,145
277,79
278,106
279,103
280,119
281,82
282,94
283,102
284,72
285,88
286,95
287,122
288,94
289,100
290,99
291,122
292,109
293,73
294,112
295,115
296,77
297,118
298,105
299,159
300,98
301,90
302,100
303,82
304,88
305,83
306,94
307,123
308,106
309,95
310,79
311,86
312,92
313,103
314,105
315,120
316,80
317,72
318,98
319,127
320,114
321,117
322,87
323,115
324,98
325,115
326,105
327,80
328,116
329,93
330,103
331,127
332,96
333,135
334,87
335,88
336,141
337,110
338,116
339,84
340,108
341,89
342,85
343,91
344,78
345,79
346,106
347,112
348,111
349,104
350,77
351,110
352,86
353,85
354,85
355,74
356,102
357,113
358,89
359,117
360,84
361,116
362,110
363,124
364,104
365,105
366,102
367,143
368,110
369,84
370,91
371,86
372,87
373,127
374,94
375,107
376,63
377,116
378,99
379,108
380,116
381,106
382,96
383,108
384,110
385,103
386,90
387,92
388,118
389,107
390,120
391,94
392,99
393,99
394,89
395,87
396,120
397,117
398,80
399,120
400,89
401,104
402,94
403,79
404,90
405,89
406,92
407,101
408,105
409,81
410,78
411,110
412,108
413,84
414,103
415,129
416,145
417,72
418,96
419,127
420,106
421,88
422,91
423,83
424,155
425,81
426,122
427,131
428,81
429,149
430,88
431,91
432,92
433,103
434,100
435,81
436,73
437,93
438,79
439,79
440,72
441,106
442,150
443,105
444,83
445,73
446,81
447,75
448,83
449,112
450,95
451,99
452,74
453,79
454,95
455,117
456,84
457,101
458,78
459,97
460,98
461,124
462,118
463,93
464,82
465,77
466,92
467,125
468,89
469,124
470,126
471,110
472,88
473,99
474,89
475,100
476,108
477,106
478,78
479,121
480,103
481,93
482,76
483,123
484,99
485,100
486,93
487,80
488,74
489,95
490,106
491,92
492,138
493,105
494,116
495,113
496,78
497,123
498,94
499,91
500,103
501,96
502,103
503,79
504,77
505,157
506,87
507,122
508,110
509,104
510,80
511,98
512,78
513,75
514,109
515,106
516,123
517,83
518,118
519,101
520,97
521,156
522,94
523,125
524,91
525,111
526,97
527,88
528,158
529,94
530,118
531,93
532,119
533,132
534,143
535,109
536,108
537,105
538,109
539,81
540,86
541,102
542,124
543,86
544,99
545,77
546,88
547,79
548,107
549,130
550,82
551,71
552,101
553,81
554,83
555,91
556,99
557,105
558,103
559,86
560,92
561,86
562,87
563,115
564,103
565,93
566,79
567,125
568,124
569,72
570,89
571,94
572,69
573,93
574,117
575,82
576,101
577,103
578,79
579,116
580,110
581,64
582,120
583,124
584,79
585,111
586,75
587,88
588,128
589,99
590,93
591,83
592,84
593,118
594,84
595,89
596,102
597,99
598,94
599,84
600,108
601,109
602,128
603,88
604,96
605,97
606,95
607,81
608,103
609,102
610,78
611,126
612,111
613,123
614,138
615,89
616,93
617,126
618,79
619,104
620,118
621,114
622,92
623,83
624,87
625,71
626,93
627,99
628,88
629,129
630,96
631,165
632,126
633,83
634,93
635,100
636,69
637,75
638,118
639,113
640,123
641,104
642,142
643,97
644,107
645,79
646,89
647,132
648,114
649,115
650,103
651,93
652,97
653,97
654,80
655,87
656,82
657,77
658,110
659,91
660,71
661,100
662,85
663,62
664,89
665,96
666,71
667,109
668,109
669,123
670,120
671,80
672,114
673,106
674,96
675,102
676,100
677,68
678,114
679,136
680,126
681,92
682,159
683,111
684,85
685,91
686,88
687,119
688,104
689,110
690,81
691,84
692,114
693,97
694,114
695,96
696,115
697,99
698,94
699,99
700,139
701,72
702,147
703,115
704,114
705,85
706,99
707,96
708,123
709,93
710,78
711,88
712,112
713,100
714,93
715,113
716,102
717,88
718,97
719,78
720,85
721,97
722,117
723,90
724,111
725,99
726,106
727,101
728,72
729,117
730,106
731,93
732,82
733,96
734,98
735,115
736,98
737,129
738,90
739,93
740,138
741,125
742,73
743,61
744,142
745,88
746,121
747,62
748,151
749,107
750,110
751,67
752,127
753,99
754,97
755,74
756,121
757,112
758,99
759,92
760,91
761,84
762,82
763,122
764,113
765,93
766,80
767,99
768,98
769,130
770,98
771,93
772,115
773,111
774,79
775,115
776,101
777,82
778,131
779,112
780,102
781,124
782,70
783,91
784,108
785,100
786,102
787,76
788,101
789,68
790,83
791,83
792,82
793,86
794,112
795,76
796,70
797,163
798,101
799,104
800,98
801,84
802,101
803,84
804,146
805,109
806,88
807,113
808,81
809,79
810,100
811,86
812,125
813,142
814,115
815,106
816,73
817,122
818,137
819,102
820,98
821,89
822,80
823,111
824,88
825,76
826,72
827,86
828,101
829,119
830,91
831,116
832,155
833,89
834,120
835,84
836,122
837,83
838,70
839,104
840,161
841,111
842,123
843,74
844,82
845,105
846,103
847,105
848,115
849,99
850,91
851,87
852,111
853,137
854,77
855,114
856,127
857,92
858,90
859,88
860,101
861,79
862,104
863,72
864,100
865,114
866,102
867,77
