,hamming_distance
0,100
1,115
2,113
3,121
4,102
5,129
6,96
7,139
8,93
9,131
10,100
11,146
12,121
13,104
14,117
15,105
16,117
17,99
18,132
19,116
20,108
21,118
22,127
23,113
24,111
25,136
26,118
27,114
28,117
29,120
30,118
31,128
32,107
33,130
34,96
35,118
36,121
37,128
38,115
39,115
40,113
41,120
42,104
43,119
44,112
45,106
46,122
47,115
48,103
49,98
50,116
51,98
52,100
53,103
54,153
55,109
56,111
57,128
58,133
59,118
60,114
61,127
62,112
63,103
64,105
65,101
66,122
67,113
68,106
69,117
70,104
71,126
72,99
73,121
74,124
75,108
76,97
77,128
78,125
79,90
80,123
81,116
82,129
83,116
84,106
85,114
86,102
87,115
88,133
89,104
90,94
91,126
92,105
93,100
94,111
95,128
96,119
97,110
98,107
99,111
100,126
101,108
102,95
103,103
104,112
105,126
106,109
107,111
108,121
109,121
110,112
111,123
112,116
113,122
114,114
115,109
116,108
117,109
118,110
119,107
120,85
121,110
122,114
123,123
124,118
125,109
126,118
127,92
128,124
129,108
130,119
131,117
132,89
133,94
134,107
135,128
136,101
137,110
138,139
139,115
140,113
141,114
142,107
143,121
144,106
145,128
146,115
147,131
148,106
149,135
150,118
151,124
152,106
153,99
154,126
155,112
156,133
157,115
158,103
159,123
160,111
161,107
162,102
163,109
164,137
165,103
166,114
167,123
168,127
169,110
170,109
171,76
172,96
173,121
174,100
175,119
176,120
177,109
178,127
179,112
180,132
181,110
182,108
183,118
184,117
185,110
186,114
187,89
188,115
189,129
190,116
191,119
192,121
193,117
194,122
195,109
196,126
197,101
198,104
199,116
200,106
201,141
202,113
203,125
204,116
205,103
206,112
207,123
208,141
209,103
210,104
211,98
212,122
213,99
214,118
215,119
216,94
217,117
218,120
219,99
220,107
221,111
222,104
223,101
224,102
225,101
226,99
227,108
228,118
229,115
230,116
231,93
232,113
233,103
234,116
235,125
236,105
237,137
238,117
239,121
240,96
241,123
242,130
243,108
244,97
245,125
246,125
247,145
248,114
249,120
250,115
251,126
252,131
253,98
254,126
255,116
256,116
257,97
258,123
259,137
260,115
261,108
262,119
263,119
264,119
265,113
266,125
267,120
268,125
269,113
270,104
271,124
272,124
273,116
274,131
275,113
276,117
277,114
278,96
279,109
280,121
281,114
282,119
283,100
284,133
285,105
286,105
287,113
288,123
289,110
290,121
291,109
292,118
293,126
294,109
295,121
296,131
297,132
298,127
299,108
300,119
301,91
302,123
303,114
304,108
305,130
306,114
307,113
308,108
309,96
310,106
311,121
312,117
313,109
314,115
315,118
316,117
317,111
318,91
319,102
320,122
321,107
322,133
323,106
324,109
325,128
326,133
327,109
328,119
329,121
330,124
331,96
332,122
333,91
334,90
335,94
336,122
337,114
338,124
339,122
340,113
341,115
342,124
343,125
344,109
345,126
346,125
347,103
348,116
349,113
350,122
351,104
352,117
353,127
354,109
355,117
356,99
357,117
358,126
359,108
360,117
361,133
362,111
363,114
364,90
365,110
366,125
367,107
368,107
369,95
370,108
371,122
372,94
373,121
374,120
375,107
376,114
377,127
378,119
379,108
380,100
381,114
382,106
383,106
384,118
385,125
386,114
387,118
388,116
389,125
390,119
391,97
392,133
393,125
394,120
395,107
396,109
397,97
398,117
399,119
400,96
401,108
402,108
403,112
404,120
405,113
406,103
407,109
408,117
409,123
410,122
411,116
412,98
413,103
414,128
415,114
416,117
417,130
418,117
419,120
420,111
421,97
422,118
423,112
424,107
425,98
426,110
427,125
428,111
429,115
430,119
431,107
432,117
433,107
434,130
435,112
436,107
437,90
438,119
439,117
440,106
441,112
442,100
443,109
444,112
445,133
446,110
447,109
448,117
449,102
450,97
451,103
452,115
453,103
454,126
455,118
456,106
457,111
458,122
459,95
460,109
461,135
462,119
463,129
464,111
465,103
466,115
467,123
468,94
469,113
470,114
471,123
472,128
473,126
474,110
475,111
476,111
477,100
478,107
479,112
480,114
481,127
482,125
483,113
484,115
485,99
486,116
487,146
488,124
489,117
490,122
491,105
492,119
493,107
494,96
495,114
496,122
497,112
498,109
499,113
500,120
501,125
502,115
503,104
504,124
505,116
506,121
507,122
508,105
509,93
510,89
511,127
512,112
513,125
514,137
515,104
516,134
517,128
518,107
519,106
520,105
521,119
522,111
523,105
524,113
525,112
526,97
527,129
528,107
529,120
530,113
531,101
532,104
533,100
534,117
535,108
536,95
537,118
538,96
539,136
540,98
541,105
542,111
543,107
544,102
545,94
546,117
547,105
548,106
549,99
550,118
551,113
552,113
553,120
554,104
555,104
556,120
557,107
558,112
559,133
560,111
561,119
562,111
563,105
564,112
565,124
566,108
567,107
568,118
569,121
570,96
571,137
572,110
573,118
574,105
575,117
576,104
577,115
578,99
579,120
580,112
581,135
582,102
583,99
584,123
585,121
586,93
587,133
588,97
589,107
590,108
591,117
592,113
593,118
594,113
595,118
596,104
597,111
598,128
599,122
600,122
601,119
602,156
603,110
604,96
605,118
606,127
607,135
608,97
609,93
610,121
611,115
612,130
613,96
614,114
615,106
616,132
617,107
618,94
619,105
620,93
621,115
622,103
623,112
624,111
625,112
626,117
627,107
628,125
629,112
630,114
631,111
632,103
633,117
634,119
635,125
636,112
637,110
638,93
639,116
640,119
641,108
642,128
643,116
644,114
645,99
646,136
647,123
648,112
649,116
650,112
651,108
652,123
653,111
654,112
655,89
656,105
657,118
658,131
659,107
660,109
661,114
662,136
663,124
664,110
665,156
666,122
667,110
668,114
669,104
670,122
671,126
672,119
673,109
674,112
675,128
676,100
677,112
678,134
679,119
680,134
681,119
682,116
683,96
684,100
685,102
686,104
687,103
688,113
689,112
690,111
691,122
692,116
693,115
694,102
695,121
696,127
697,113
698,99
699,99
700,117
701,119
702,115
703,117
704,114
705,126
706,138
707,113
708,104
709,98
710,86
711,95
712,123
713,93
714,113
715,114
716,128
717,119
718,105
719,108
720,101
721,111
722,108
723,106
724,120
725,121
726,114
727,109
728,100
729,103
730,106
731,101
732,130
733,127
734,108
735,123
736,114
737,120
738,108
739,111
740,131
741,99
742,110
743,121
744,125
745,117
746,126
747,121
748,124
749,131
750,94
751,101
752,106
753,110
754,118
755,126
756,114
757,101
758,114
759,129
760,111
761,103
762,117
763,117
764,112
765,106
766,89
767,121
768,119
769,122
770,107
771,114
772,128
773,125
774,106
775,123
776,119
777,118
778,101
779,114
780,121
781,109
782,108
783,127
784,110
785,109
786,117
787,109
788,119
789,110
790,123
791,96
792,90
793,124
794,109
795,110
796,93
797,111
798,121
799,123
800,113
801,104
802,116
803,101
804,120
805,115
806,118
807,117
808,116
809,125
810,118
811,120
812,117
813,126
814,124
815,109
816,109
817,133
818,109
819,102
820,129
821,109
822,105
823,126
824,118
825,127
826,126
827,120
828,97
829,132
830,103
831,128
832,121
833,110
834,114
835,116
836,109
837,105
838,128
839,106
840,121
841,106
842,105
843,109
844,104
845,105
846,118
847,116
848,118
849,103
850,108
851,111
852,120
853,114
854,97
855,122
856,114
857,107
858,109
859,114
860,142
861,115
862,124
863,109
864,86
865,107
866,104
867,125
868,103
869,79
870,109
871,123
872,111
873,118
874,121
875,110
876,125
877,129
878,116
879,103
880,109
881,118
882,109
883,96
884,106
885,115
886,127
887,115
888,112
889,124
890,108
891,112
892,117
893,117
894,118
895,96
896,132
897,123
898,102
899,114
900,120
901,111
902,113
903,113
904,116
905,111
906,112
907,111
908,121
909,118
910,112
911,109
912,116
913,125
914,103
915,106
916,124
917,121
918,124
919,127
920,121
921,99
922,108
923,103
924,121
925,106
926,130
927,107
928,108
929,121
930,118
931,109
932,98
933,107
934,113
935,108
936,105
937,149
938,96
939,97
940,114
941,111
942,125
943,126
944,117
945,110
946,120
947,112
948,115
949,111
950,96
951,116
952,132
953,111
954,128
955,100
956,123
957,109
958,111
959,105
960,113
961,105
962,124
963,123
964,107
965,101
966,125
967,120
968,111
969,106
970,108
971,105
972,105
973,147
974,123
975,108
976,125
977,109
978,98
979,111
980,110
981,123
982,108
983,101
984,132
985,116
986,113
987,103
988,124
989,109
990,103
991,111
992,119
993,106
994,120
995,129
996,127
997,114
998,95
999,118
1000,130
1001,108
1002,104
1003,98
1004,122
1005,133
1006,118
1007,116
1008,112
1009,109
1010,108
1011,114
1012,118
1013,119
1014,112
1015,107
1016,126
1017,118
1018,114
1019,120
1020,99
1021,95
1022,102
1023,115
1024,102
1025,122
1026,114
1027,131
1028,111
1029,113
1030,133
1031,132
1032,111
1033,105
1034,105
1035,128
1036,104
1037,119
1038,130
1039,113
1040,118
1041,116
1042,99
1043,114
1044,126
1045,103
1046,107
1047,126
1048,136
1049,127
1050,105
1051,106
1052,107
1053,129
1054,130
1055,101
1056,100
1057,106
1058,128
1059,116
1060,100
1061,113
1062,113
1063,138
1064,120
1065,115
1066,115
1067,111
1068,104
1069,95
1070,101
1071,118
1072,108
1073,103
1074,123
1075,137
1076,115
1077,124
1078,101
1079,122
1080,116
1081,129
1082,97
1083,114
1084,116
1085,117
1086,111
1087,109
1088,135
1089,100
1090,128
1091,114
1092,96
1093,123
1094,118
1095,94
1096,118
1097,122
1098,100
1099,130
1100,103
1101,107
1102,93
1103,131
1104,103
1105,131
1106,148
1107,124
1108,112
1109,107
1110,113
1111,113
1112,139
1113,90
1114,94
1115,102
1116,134
1117,111
1118,107
1119,88
1120,110
1121,125
1122,105
1123,144
1124,121
1125,136
1126,114
1127,115
1128,108
1129,112
1130,131
1131,106
1132,111
1133,116
1134,102
1135,115
1136,122
1137,118
1138,112
1139,118
1140,103
1141,111
1142,111
1143,95
1144,120
1145,115
1146,93
1147,110
1148,117
1149,107
1150,132
1151,112
1152,110
1153,96
1154,115
1155,101
1156,118
1157,110
1158,108
1159,123
1160,123
1161,138
1162,138
1163,103
1164,126
1165,135
1166,105
1167,113
1168,108
1169,97
1170,117
1171,107
1172,99
1173,109
1174,114
1175,114
1176,117
1177,107
1178,109
1179,127
1180,114
1181,114
1182,90
1183,115
1184,106
1185,113
1186,115
1187,111
1188,100
1189,125
1190,93
1191,113
1192,112
1193,119
1194,96
1195,115
1196,112
1197,133
1198,116
1199,133
1200,105
1201,129
1202,123
1203,127
1204,95
1205,96
1206,109
1207,113
1208,127
1209,111
1210,124
1211,103
1212,107
1213,126
1214,113
1215,109
1216,115
1217,109
1218,104
1219,104
1220,88
1221,92
1222,106
1223,130
1224,133
1225,110
1226,111
1227,136
1228,122
1229,114
1230,112
1231,117
1232,114
1233,113
1234,119
1235,103
1236,119
1237,114
1238,119
1239,109
1240,120
1241,108
1242,118
1243,92
1244,104
1245,102
1246,99
1247,110
1248,126
1249,116
1250,116
1251,123
1252,114
1253,119
1254,127
1255,125
1256,114
1257,111
1258,106
1259,116
1260,121
1261,118
1262,94
1263,113
1264,120
1265,103
1266,126
1267,123
1268,116
1269,116
1270,132
1271,123
1272,108
1273,127
1274,93
1275,120
1276,90
1277,115
1278,102
1279,114
1280,116
1281,115
1282,108
1283,96
1284,107
1285,98
1286,98
1287,124
1288,106
1289,111
1290,105
1291,105
1292,119
1293,128
1294,106
1295,119
1296,100
1297,109
1298,99
1299,103
1300,118
1301,119
1302,120
1303,119
1304,121
1305,113
1306,106
1307,118
1308,117
1309,115
1310,102
1311,117
1312,113
1313,102
1314,123
1315,110
1316,119
1317,125
1318,121
1319,139
1320,96
1321,105
1322,121
1323,102
1324,118
1325,127
1326,107
1327,124
1328,121
1329,119
1330,106
1331,113
1332,148
1333,122
1334,114
1335,135
1336,121
1337,113
1338,127
1339,100
1340,112
1341,140
1342,101
1343,111
1344,116
1345,128
1346,102
1347,132
1348,133
1349,122
1350,122
1351,105
1352,98
1353,105
1354,112
1355,117
1356,93
1357,106
1358,120
1359,107
1360,121
1361,112
1362,136
1363,103
1364,103
1365,116
1366,100
1367,99
1368,129
1369,105
1370,114
1371,116
1372,119
1373,130
1374,119
1375,108
1376,105
1377,102
1378,88
1379,106
1380,125
1381,106
1382,111
1383,98
1384,101
1385,127
1386,103
1387,130
1388,106
1389,109
1390,122
1391,102
1392,114
1393,93
1394,104
1395,116
1396,129
1397,119
1398,108
1399,110
1400,106
1401,111
1402,127
1403,100
1404,107
1405,112
1406,101
1407,122
1408,120
1409,96
1410,103
1411,104
1412,107
1413,95
1414,124
1415,118
1416,116
1417,120
1418,123
1419,107
1420,126
1421,108
1422,120
1423,128
1424,124
1425,108
1426,114
1427,114
1428,125
1429,118
1430,123
1431,103
1432,109
1433,101
1434,124
1435,124
1436,98
1437,117
1438,122
1439,112
1440,116
1441,121
1442,104
1443,117
1444,99
1445,108
1446,117
1447,111
1448,125
1449,131
1450,130
1451,97
1452,141
1453,130
1454,110
1455,131
1456,128
1457,123
1458,106
1459,105
1460,110
1461,113
1462,105
1463,99
1464,110
1465,133
1466,96
1467,109
1468,121
1469,112
1470,104
1471,108
1472,83
1473,102
1474,114
1475,109
1476,113
1477,102
1478,118
1479,96
1480,100
1481,130
1482,108
1483,130
1484,122
1485,98
1486,110
1487,107
1488,105
1489,106
1490,107
1491,133
1492,118
1493,109
1494,126
1495,104
1496,121
1497,105
1498,108
1499,104
1500,106
1501,132
1502,123
1503,96
1504,106
1505,112
1506,118
1507,119
1508,123
1509,102
1510,107
1511,98
1512,126
1513,95
1514,101
1515,130
1516,111
1517,102
1518,135
1519,110
1520,104
1521,109
1522,112
1523,108
1524,111
1525,113
1526,111
1527,123
1528,117
1529,112
1530,101
1531,104
1532,112
1533,113
1534,124
1535,118
1536,132
1537,116
1538,116
1539,100
1540,121
1541,108
1542,107
1543,92
1544,112
1545,133
1546,105
1547,117
1548,126
1549,128
1550,105
1551,109
1552,113
1553,122
1554,122
1555,131
1556,111
1557,112
1558,116
1559,114
1560,104
1561,100
1562,119
1563,110
1564,115
1565,128
1566,110
1567,127
1568,100
1569,134
1570,125
1571,117
1572,111
1573,116
1574,114
1575,121
1576,116
1577,129
1578,122
1579,105
1580,113
1581,111
1582,116
1583,115
1584,104
1585,108
1586,107
1587,109
