,hamming_distance
0,111
1,112
2,110
3,103
4,107
5,112
6,98
7,114
8,102
9,101
10,99
11,112
12,103
13,103
14,113
15,101
16,107
17,103
18,102
19,102
20,106
21,107
22,110
23,101
24,96
25,104
26,106
27,110
28,108
29,101
30,108
31,106
32,101
33,107
34,108
35,101
36,106
37,112
38,97
39,109
40,108
41,101
42,98
43,119
44,105
45,110
46,101
47,107
48,105
49,112
50,113
51,108
52,107
53,117
54,108
55,103
56,103
57,103
58,109
59,98
60,100
61,117
62,103
63,110
64,101
65,109
66,104
67,100
68,108
69,103
70,102
71,108
72,105
73,110
74,106
75,101
76,108
77,100
78,118
79,99
80,107
81,96
82,100
83,110
84,100
85,109
86,109
87,105
88,110
89,109
90,102
91,103
92,106
93,113
94,113
95,104
96,101
97,99
98,101
99,105
100,103
101,111
102,109
103,101
104,107
105,101
106,105
107,102
108,100
109,103
110,97
111,105
112,98
113,100
114,105
115,107
116,115
117,107
118,104
119,109
120,106
121,111
122,101
123,101
124,98
125,102
126,104
127,98
128,103
129,104
130,110
131,103
132,105
133,102
134,104
135,109
136,101
137,108
138,106
139,101
140,101
141,102
142,112
143,111
144,102
145,103
146,100
147,98
148,105
149,109
150,106
151,109
152,108
153,105
154,107
155,101
156,101
157,109
158,106
159,97
160,102
161,105
162,105
163,107
164,104
165,106
166,103
167,108
168,109
169,104
170,103
171,101
172,104
173,109
174,110
175,108
176,109
177,113
178,102
179,112
180,103
181,101
182,107
183,103
184,107
185,108
186,114
187,103
188,105
189,112
190,107
191,100
192,108
193,106
194,110
195,104
196,107
197,104
198,107
199,109
200,107
201,99
202,104
203,108
204,100
205,98
206,99
207,107
208,116
209,105
210,113
211,98
212,102
213,102
214,104
215,107
216,112
217,108
218,106
219,116
220,103
221,105
222,109
223,110
224,108
225,107
226,102
227,105
228,105
229,108
230,118
231,112
232,102
233,111
234,103
235,103
236,110
237,98
238,107
239,103
240,99
241,104
242,102
243,102
244,108
245,111
246,102
247,102
248,104
249,111
250,107
251,106
252,110
253,106
254,101
255,104
256,105
257,112
258,96
259,102
260,104
261,109
262,105
263,105
264,105
265,113
266,114
267,105
268,103
269,99
270,111
271,101
272,101
273,107
274,101
275,104
276,111
277,102
278,101
279,100
280,108
281,98
282,117
283,97
284,105
285,97
286,103
287,107
288,103
289,107
290,105
291,107
292,102
293,102
294,100
295,110
296,116
297,106
298,104
299,117
300,101
301,108
302,109
303,105
304,104
305,99
306,113
307,102
308,104
309,105
310,100
311,106
312,114
313,99
314,102
315,103
316,103
