,hamming_distance
0,103
1,114
2,120
3,105
4,91
5,98
6,83
7,116
8,87
9,119
10,122
11,106
12,90
13,121
14,115
15,129
16,89
17,92
18,115
19,106
20,118
21,139
22,118
23,133
24,91
25,96
26,114
27,107
28,126
29,93
30,105
31,85
32,87
33,107
34,85
35,111
36,145
37,115
38,112
39,102
40,111
41,108
42,102
43,109
44,101
45,122
46,114
47,95
48,102
49,109
50,106
51,77
52,79
53,106
54,98
55,119
56,101
57,123
58,97
59,112
60,119
61,137
62,103
63,92
64,122
65,91
66,121
67,107
68,117
69,116
70,113
71,104
72,103
73,83
74,93
75,91
76,100
77,97
78,129
79,120
80,102
81,154
82,91
83,132
84,102
85,113
86,82
87,107
88,101
89,90
90,81
91,102
92,106
93,131
94,103
95,100
96,109
97,132
98,144
99,109
100,109
101,114
102,110
103,91
104,113
105,91
106,113
107,98
108,146
109,97
110,107
111,119
112,102
113,135
114,122
115,151
116,88
117,126
118,91
119,97
120,118
121,111
122,80
123,119
124,105
125,74
126,135
127,94
128,104
129,106
130,114
131,101
132,134
133,91
134,131
135,108
136,130
137,122
138,95
139,90
140,128
141,95
142,96
143,113
144,121
145,146
146,88
147,91
148,92
149,100
150,98
151,109
152,94
153,83
154,92
155,109
156,115
157,96
158,127
159,148
160,93
161,83
162,108
163,85
164,117
165,112
166,96
167,115
168,85
169,82
170,98
171,99
172,118
173,108
174,90
175,95
176,89
177,100
178,96
179,120
180,100
181,116
182,103
183,108
184,106
185,92
186,146
187,102
188,125
189,95
190,93
191,119
192,104
193,130
194,93
195,133
196,100
197,127
198,94
199,76
200,130
201,94
202,106
203,95
204,99
205,90
206,138
207,104
208,104
209,127
210,120
211,115
212,104
213,90
214,101
215,104
216,124
217,100
218,89
219,100
220,150
221,94
222,118
223,104
224,120
225,120
226,79
227,79
228,129
229,113
230,86
231,118
232,133
233,88
234,108
235,124
236,106
237,124
238,119
239,103
240,116
241,91
242,109
243,123
244,110
245,83
246,110
247,138
248,115
249,94
250,117
251,101
252,100
253,117
254,96
255,127
256,100
257,122
258,120
259,87
260,113
261,88
262,102
263,100
264,116
265,132
266,89
267,94
268,121
269,119
270,96
271,97
272,123
273,105
274,102
275,87
276,93
277,139
278,74
279,119
280,119
281,112
282,138
283,104
284,84
285,133
286,102
287,134
288,90
289,109
290,125
291,98
292,123
293,143
294,99
295,119
296,85
297,92
298,92
299,112
300,86
301,132
302,92
303,89
304,92
305,122
306,124
307,92
308,105
309,90
310,87
311,134
312,112
313,95
314,125
315,105
316,114
317,86
318,116
319,82
320,96
321,108
322,95
323,93
324,119
325,122
326,61
327,134
328,119
329,69
330,89
331,86
332,147
333,109
334,137
335,107
336,107
337,99
338,88
339,96
340,105
341,116
342,150
343,96
344,101
345,85
346,117
347,146
348,89
349,92
350,83
351,93
352,82
353,129
354,149
355,120
356,119
357,127
358,106
359,68
360,96
361,94
362,68
363,76
364,87
365,151
366,128
367,85
368,102
369,144
370,89
371,137
372,105
373,114
374,98
375,147
376,120
377,99
378,111
379,104
380,100
381,107
382,111
383,110
384,154
385,85
386,85
387,92
388,90
389,93
390,89
391,94
392,115
393,101
394,99
395,98
396,107
397,108
398,112
399,91
400,97
401,84
402,84
403,129
404,100
405,145
406,83
407,114
408,123
409,101
410,77
411,108
412,84
413,109
414,100
415,107
416,92
417,118
418,90
419,102
420,153
421,99
422,123
423,69
424,150
425,112
426,93
427,98
428,76
429,122
430,115
431,75
432,97
433,98
434,115
435,129
436,120
437,117
438,121
439,115
440,116
441,121
442,113
443,99
444,78
445,94
446,115
447,83
448,80
449,117
450,107
451,111
452,91
453,107
454,120
455,114
456,108
457,105
458,102
459,98
460,127
461,93
462,127
463,129
464,96
465,86
466,124
467,87
468,131
469,133
470,107
471,132
472,151
473,116
474,87
475,83
476,115
477,124
478,112
479,117
480,90
481,97
482,99
483,122
484,99
485,118
486,130
487,104
488,149
489,113
490,159
491,107
492,91
493,86
494,84
495,105
496,85
497,98
498,85
499,120
500,141
501,127
502,89
503,114
504,100
505,92
506,118
507,121
508,107
509,114
510,86
511,121
512,88
513,119
514,99
515,82
516,95
517,89
518,96
519,73
520,157
521,104
522,115
523,112
524,102
525,77
526,99
527,121
528,144
529,99
530,116
531,102
532,114
533,106
534,86
535,94
536,109
537,81
538,108
539,90
540,94
541,125
542,78
543,82
544,111
545,86
546,99
547,90
548,82
549,88
550,108
551,101
552,93
553,103
554,115
555,104
556,97
557,101
558,99
559,89
560,106
561,88
562,116
563,107
564,110
565,98
566,87
567,115
568,116
569,131
570,121
571,138
572,93
573,109
574,76
575,103
576,132
577,86
578,97
579,111
580,115
581,125
582,147
583,101
584,109
585,94
586,85
587,189
588,87
589,110
590,79
591,113
592,108
593,101
594,147
595,124
596,112
597,132
598,109
599,126
600,120
601,137
602,118
603,85
604,84
605,103
606,119
607,103
608,109
609,77
610,110
611,103
612,149
613,116
614,109
615,103
616,143
617,110
618,128
