,hamming_distance
0,140
1,38
2,114
3,58
4,87
5,84
6,55
7,71
8,88
9,87
10,90
11,54
12,88
13,106
14,46
15,87
16,94
17,72
18,42
19,79
20,43
21,97
22,72
23,92
24,61
25,90
26,117
27,36
28,113
29,70
30,86
31,77
32,66
33,58
34,59
35,74
36,48
37,43
38,49
39,62
40,87
41,99
42,92
43,68
44,42
45,51
46,73
47,57
48,66
49,120
50,52
51,84
52,101
53,61
54,64
55,79
56,60
57,110
58,90
59,67
60,86
61,62
62,71
63,85
64,42
65,78
66,69
67,74
68,46
69,41
70,48
71,56
72,70
73,122
74,75
75,61
76,71
77,66
78,42
79,73
80,69
81,18
82,41
83,132
84,53
85,66
86,55
87,58
88,82
89,64
90,105
91,35
92,41
93,45
94,56
95,81
96,85
97,74
98,78
99,75
100,71
101,95
102,59
103,84
104,120
105,36
106,47
107,54
108,86
109,60
110,49
111,77
112,132
113,70
114,63
115,47
116,88
117,134
118,80
119,80
120,60
121,49
122,75
123,54
124,69
125,46
126,46
127,79
128,65
129,89
130,74
131,33
132,91
133,82
134,69
135,92
136,80
137,111
138,97
139,83
140,43
141,76
142,52
143,88
144,65
145,68
146,85
147,107
148,75
149,80
150,82
151,63
152,114
153,72
154,87
155,100
156,85
157,66
158,79
159,63
160,65
161,51
162,62
163,114
164,61
165,129
166,70
167,77
168,124
169,81
170,68
171,65
172,87
173,51
174,72
175,184
176,75
177,81
178,115
179,107
180,107
181,43
182,54
183,96
184,68
185,169
186,46
187,119
188,130
189,105
190,76
191,53
192,63
193,93
194,44
195,73
196,78
197,111
198,81
199,77
200,139
201,68
202,80
203,99
204,89
205,92
206,81
207,124
208,26
209,101
210,33
211,85
212,56
213,57
214,63
215,62
216,123
217,112
218,68
219,88
220,106
221,82
222,42
223,98
224,48
225,90
226,56
227,80
228,66
229,85
230,75
231,61
232,125
233,89
234,101
235,73
236,54
237,113
238,65
239,66
240,132
241,113
242,82
243,26
244,48
245,89
246,129
247,81
248,61
249,60
250,100
251,101
252,106
253,70
254,94
255,86
256,78
257,74
258,137
259,54
260,81
261,120
262,87
263,47
264,71
265,72
266,82
267,81
268,46
269,89
270,98
271,145
272,71
273,118
274,120
275,96
276,137
277,100
278,116
279,79
280,107
281,104
282,52
283,96
284,125
285,87
286,41
287,142
288,85
289,67
290,88
291,103
292,93
293,76
294,124
295,63
296,107
297,100
298,98
299,147
300,92
301,113
302,90
303,100
304,97
305,100
306,131
307,108
308,71
309,52
310,55
311,69
312,138
313,140
314,67
315,68
316,102
317,44
318,68
319,86
320,77
321,91
322,51
323,85
324,97
325,72
326,91
327,107
328,66
329,54
330,97
331,112
332,77
333,114
334,130
335,116
336,135
337,65
338,68
339,54
340,103
341,69
342,93
343,96
344,47
345,75
346,52
347,102
348,101
349,124
350,98
351,103
352,84
353,96
354,56
355,63
356,94
357,70
358,65
359,74
360,103
361,71
362,83
363,55
364,75
365,64
366,101
367,111
368,86
369,130
370,55
371,96
372,138
373,77
374,61
375,103
376,61
377,74
378,92
379,94
380,91
381,97
382,102
383,74
384,46
385,90
386,67
387,117
388,71
389,84
390,91
391,82
392,57
393,55
394,60
395,98
396,100
397,69
398,84
399,69
400,123
401,84
402,34
403,51
404,63
405,57
406,34
407,99
408,110
409,121
410,87
411,77
412,78
413,82
414,103
415,40
416,72
417,65
418,68
419,121
420,81
421,31
422,47
423,70
424,102
425,71
426,67
427,77
428,78
429,75
430,87
431,48
432,37
433,76
434,118
435,60
436,71
437,75
438,37
439,66
440,80
441,46
442,90
443,44
444,76
445,56
446,82
447,63
448,93
449,34
450,53
451,102
452,69
453,50
454,44
455,117
456,59
457,55
458,90
459,65
460,61
461,104
462,87
463,104
464,66
465,93
466,71
467,62
468,33
469,106
470,57
471,36
472,88
473,56
474,126
475,57
476,63
477,83
478,61
479,95
480,86
481,82
482,90
483,120
484,71
485,74
486,95
487,123
488,78
489,95
490,82
491,63
492,74
493,53
494,53
495,30
496,62
497,75
498,68
499,100
500,64
501,80
502,50
503,142
504,45
505,106
506,77
507,75
508,47
509,92
510,48
511,76
512,86
513,79
514,61
515,100
516,64
517,74
518,79
519,74
520,74
521,80
522,77
523,115
524,103
525,56
526,107
527,112
528,49
529,49
530,113
531,108
532,62
533,83
534,112
535,121
536,63
537,82
538,97
539,49
540,72
541,76
542,91
543,74
544,64
545,84
546,47
547,135
548,56
549,119
550,51
551,108
552,115
553,76
554,85
555,103
556,59
557,79
558,101
559,54
560,90
561,122
562,103
563,49
564,162
565,78
566,108
567,71
568,105
569,97
570,122
571,127
572,100
573,74
574,91
575,43
576,89
577,116
578,71
579,54
580,104
581,67
582,87
583,68
584,86
585,70
586,78
587,117
588,118
589,49
590,88
591,48
592,51
593,190
594,98
595,57
596,80
597,38
598,67
599,119
600,101
601,91
602,95
603,104
604,78
605,66
606,85
607,53
608,69
609,126
610,87
611,64
612,80
613,66
614,41
615,107
616,77
617,79
618,108
619,84
620,69
621,101
622,85
623,107
624,89
625,94
626,89
627,54
628,67
629,105
630,113
631,85
632,122
633,106
634,66
635,112
636,87
637,96
638,67
639,98
640,64
641,82
642,51
643,108
644,79
