,hamming_distance
0,51
1,41
2,46
3,34
4,52
5,36
6,39
7,46
8,38
9,36
10,32
11,39
12,45
13,51
14,45
15,40
16,37
17,46
18,38
19,35
20,38
21,28
22,26
23,40
24,37
25,58
26,39
27,36
28,42
29,40
30,45
31,34
32,40
33,31
34,36
35,53
36,34
37,34
38,46
39,44
40,40
41,39
42,36
43,40
44,30
45,42
46,37
47,46
48,27
49,29
50,38
51,40
52,47
53,42
54,33
55,32
56,41
57,36
58,35
59,41
60,38
61,44
62,64
63,47
64,38
65,53
66,30
67,55
68,65
69,43
70,23
71,45
72,30
73,33
74,33
75,38
76,43
77,43
78,34
79,25
80,27
81,54
82,38
83,34
84,28
85,30
86,54
87,39
88,35
89,49
90,31
91,59
92,34
93,43
94,30
95,52
96,55
97,37
98,39
99,45
100,34
101,35
102,45
103,50
104,34
105,32
106,38
107,51
108,34
109,38
110,33
111,27
112,34
113,38
114,42
115,37
116,33
117,46
118,45
119,40
120,29
121,31
122,38
123,45
124,30
125,55
126,46
127,36
128,33
129,34
130,38
131,36
132,55
133,49
134,46
135,32
136,49
137,46
138,42
139,39
140,31
141,40
142,29
143,53
144,50
145,37
146,32
147,30
148,42
149,30
150,28
151,51
152,49
153,40
154,25
155,45
156,37
157,40
158,34
159,46
160,26
161,33
162,38
163,34
164,44
165,43
166,31
167,28
168,49
169,47
170,35
171,37
172,31
173,50
174,43
175,38
176,41
177,31
178,40
179,30
180,26
181,36
182,48
183,33
184,25
185,33
186,44
187,40
188,42
189,25
190,36
191,41
192,29
193,40
194,46
195,35
196,34
197,23
198,48
199,43
200,34
201,31
202,35
203,49
204,53
205,42
206,36
207,33
208,42
209,36
210,34
211,32
212,39
213,31
214,40
215,36
216,28
217,36
218,26
219,43
220,65
221,42
222,35
223,31
224,44
225,43
226,27
227,36
228,32
229,48
230,48
231,50
232,39
233,63
234,36
235,33
236,34
237,49
238,45
239,50
240,52
241,45
242,34
243,39
244,32
245,42
246,34
247,32
248,49
249,50
250,46
251,42
252,53
253,39
254,39
255,30
256,44
257,39
258,37
259,50
260,39
261,57
262,31
263,37
264,23
265,37
266,32
267,51
268,36
269,26
270,37
271,40
272,39
273,48
274,33
275,38
276,31
277,42
278,44
279,49
280,39
281,53
282,34
283,36
284,35
285,34
286,46
287,36
288,34
289,40
290,46
291,31
292,30
293,40
294,40
295,26
296,43
297,43
298,38
299,69
300,37
301,43
302,39
303,49
304,31
305,37
306,52
307,33
308,46
309,20
310,32
311,41
312,24
313,31
314,42
315,38
316,30
317,35
318,43
319,37
320,39
321,36
322,26
323,39
324,38
325,36
326,35
327,43
328,49
329,53
330,40
331,39
332,48
333,40
334,41
335,59
336,49
337,33
338,30
339,39
340,45
341,42
342,29
343,42
344,37
345,44
346,36
347,34
348,37
349,39
350,44
351,44
352,40
353,29
354,42
355,42
356,31
357,38
358,58
359,49
360,35
361,60
362,38
363,44
364,38
365,36
366,39
367,38
368,44
369,61
370,42
371,45
372,34
373,30
374,33
375,40
376,47
377,41
378,32
379,50
380,59
381,29
382,36
383,36
384,48
385,32
386,40
387,29
388,37
389,44
390,37
391,30
392,34
393,29
394,43
395,50
396,45
397,50
398,37
399,39
400,37
401,44
402,36
403,37
404,35
405,49
406,40
407,34
408,39
409,35
410,43
411,34
412,40
413,41
414,39
415,37
416,25
417,53
418,54
419,42
420,60
421,46
422,32
423,29
424,23
425,40
426,56
427,47
428,31
429,41
430,42
431,32
432,42
433,48
434,53
435,44
436,38
437,38
438,53
439,35
440,44
441,34
442,34
443,31
444,35
445,44
446,33
447,26
448,32
449,29
450,35
451,58
452,35
453,23
454,37
455,49
456,41
457,37
458,49
459,36
460,46
461,50
462,39
463,40
464,35
465,37
466,39
467,47
468,53
469,40
470,49
471,40
472,47
473,26
474,51
475,44
476,36
477,27
478,40
479,42
480,34
481,54
482,22
483,45
484,44
485,35
486,39
487,42
488,42
489,36
490,48
491,38
492,46
493,36
494,35
495,38
496,42
497,40
498,37
499,33
500,35
501,41
502,38
503,49
504,35
505,33
506,49
507,34
508,43
509,39
510,43
511,51
512,34
513,35
514,40
515,23
516,38
517,34
518,39
519,33
520,44
521,48
522,33
523,36
524,24
525,31
526,29
527,33
528,52
529,42
530,31
531,40
532,45
533,40
534,48
535,59
536,40
537,36
538,27
539,35
540,43
541,36
542,39
543,31
544,46
545,54
546,26
547,39
548,44
549,41
550,43
551,37
552,34
553,36
554,42
555,31
556,48
557,31
558,38
559,34
560,39
561,47
562,36
563,30
564,30
565,46
566,38
567,37
568,37
569,57
570,28
571,41
572,37
573,38
574,45
575,62
576,32
577,26
578,33
579,43
580,39
581,36
582,37
583,35
584,40
585,41
586,40
587,45
588,35
589,42
590,29
591,58
592,33
593,32
594,50
595,37
596,33
597,49
598,36
599,30
600,41
601,31
602,42
603,23
604,47
605,42
606,28
607,47
608,42
609,57
610,43
611,28
612,43
613,40
614,45
615,37
616,41
617,39
618,46
619,33
620,32
621,38
622,44
623,43
624,46
625,40
626,36
627,41
628,33
629,52
630,39
631,41
632,39
633,34
634,26
635,32
636,39
637,39
638,19
639,49
640,40
641,55
642,39
643,46
644,39
645,42
646,37
647,30
648,33
649,47
650,46
651,43
652,37
653,42
654,58
655,37
656,31
657,44
658,27
659,39
660,33
661,35
662,43
663,43
664,38
665,44
666,49
667,39
668,38
669,39
670,34
671,46
672,36
673,45
674,46
675,43
676,70
677,47
678,40
679,40
680,45
681,42
682,44
683,45
684,32
685,35
686,45
687,40
688,36
689,45
690,29
691,37
692,28
693,42
694,36
695,44
696,34
697,26
698,39
699,44
700,32
701,33
702,34
703,37
704,31
705,36
706,39
707,37
708,42
709,37
710,42
711,39
712,32
713,44
714,36
715,36
716,34
717,40
718,54
719,36
720,36
721,35
722,42
723,35
724,24
725,58
726,41
727,47
728,46
729,40
730,47
731,30
732,40
733,39
734,37
735,24
736,39
737,43
738,49
739,38
740,49
741,50
742,33
743,45
744,37
745,37
746,36
747,38
748,29
749,40
750,36
751,31
752,28
753,36
754,32
755,29
756,52
757,21
758,29
759,45
760,43
761,30
762,48
763,25
764,46
765,37
766,32
767,44
768,38
769,33
770,40
771,38
772,51
773,42
774,25
775,41
776,42
777,37
778,37
779,52
780,42
781,50
782,47
783,57
784,36
785,42
786,45
787,25
788,40
789,35
790,43
791,37
792,37
793,40
794,38
795,47
796,37
797,42
798,47
799,33
800,33
801,44
802,43
803,39
804,50
805,45
806,44
807,34
808,37
809,35
810,35
811,37
812,33
813,31
814,45
815,51
816,51
817,42
818,42
819,67
820,36
821,34
822,32
823,36
824,31
825,44
826,40
827,47
828,36
829,32
830,34
831,38
832,30
833,39
834,34
835,42
836,27
837,41
838,31
839,36
840,41
841,35
842,34
843,36
844,55
845,40
846,47
847,32
848,36
849,37
850,41
851,39
852,41
853,47
854,36
855,41
856,37
857,24
858,44
859,37
860,27
861,54
862,35
863,46
864,35
865,24
866,42
867,33
868,37
869,50
870,28
871,45
872,39
873,34
874,52
875,42
876,49
877,35
878,37
879,44
880,31
881,54
882,29
883,45
884,47
885,23
886,45
887,54
888,45
889,53
890,53
891,44
892,48
893,38
894,34
895,42
896,46
897,47
898,35
899,44
900,34
901,26
902,37
903,43
904,35
905,41
906,36
907,43
908,35
909,40
910,41
911,53
912,36
913,39
914,33
915,46
916,33
917,23
918,34
919,41
920,42
921,34
922,35
923,34
924,40
925,44
926,41
927,32
928,31
929,23
930,47
931,28
932,49
933,41
934,40
935,37
936,34
937,39
938,36
939,32
940,40
941,37
942,44
943,41
944,29
945,46
946,27
947,33
948,68
949,45
950,40
951,35
952,37
953,33
954,44
955,34
956,43
957,26
958,46
959,34
960,41
961,45
962,45
963,47
964,43
965,36
966,39
967,34
968,47
969,42
970,37
971,32
972,53
973,52
974,35
975,48
976,50
977,28
978,48
979,35
980,36
981,36
982,44
983,54
984,35
985,37
986,40
987,39
988,46
989,31
990,41
991,39
992,33
993,41
994,73
995,33
996,52
997,44
998,59
999,32
1000,33
1001,37
1002,50
1003,33
1004,26
1005,52
1006,52
1007,45
1008,48
1009,44
1010,28
1011,31
1012,46
1013,38
1014,38
1015,29
1016,39
1017,51
1018,22
1019,42
1020,44
1021,29
