,hamming_distance
0,38
1,34
2,20
3,21
4,31
5,26
6,33
7,26
8,38
9,58
10,30
11,38
12,47
13,30
14,27
15,21
16,33
17,34
18,34
19,26
20,34
21,34
22,31
23,29
24,23
25,33
26,28
27,26
28,39
29,23
30,33
31,37
32,27
33,22
34,36
35,35
36,49
37,47
38,32
39,40
40,22
41,22
42,23
43,34
44,27
45,28
46,28
47,24
48,47
49,23
50,21
51,32
52,34
53,30
54,31
55,31
56,36
57,25
58,31
59,37
60,51
61,29
62,35
63,35
64,20
65,29
66,25
67,21
68,38
69,36
70,40
71,42
72,25
73,31
74,25
75,31
76,23
77,31
78,36
79,34
80,23
81,36
82,40
83,34
84,33
85,28
86,20
87,31
88,25
89,30
90,28
91,29
92,22
93,34
94,17
95,39
96,34
97,25
98,19
99,30
100,35
101,31
102,40
103,26
104,34
105,36
106,40
107,33
108,38
109,34
110,42
111,36
112,28
113,31
114,45
115,52
116,34
117,29
118,52
119,40
120,34
121,32
122,34
123,38
124,25
125,25
126,34
127,40
128,29
129,32
130,29
131,26
132,37
133,23
134,30
135,28
136,28
137,24
138,30
139,35
140,20
141,32
142,33
143,25
144,24
145,38
146,27
147,26
148,36
149,24
150,37
151,26
152,18
153,27
154,40
155,31
156,26
157,40
158,36
159,29
160,38
161,35
162,20
163,32
164,32
165,38
166,53
167,33
168,32
169,24
170,33
171,41
172,26
173,26
174,38
175,24
176,30
177,28
178,40
179,23
180,34
181,45
182,22
183,34
184,51
185,46
186,34
187,30
188,33
189,37
190,25
191,40
192,25
193,34
194,30
195,33
196,29
197,24
198,28
199,21
200,21
201,36
202,24
203,36
204,45
205,32
206,28
207,37
208,44
209,39
210,27
211,26
212,27
213,34
214,19
215,34
216,17
217,34
218,54
219,35
220,38
221,33
222,31
223,29
224,33
225,43
226,36
227,31
228,37
229,28
230,50
231,30
232,40
233,41
234,42
235,31
236,28
237,20
238,29
239,28
240,44
241,24
242,32
243,34
244,37
245,33
246,33
247,25
248,37
249,31
250,34
251,49
252,31
253,37
254,34
