,hamming_distance
0,30
1,35
2,29
3,39
4,34
5,27
6,31
7,40
8,36
9,38
10,39
11,40
12,34
13,34
14,29
15,39
16,42
17,27
18,34
19,27
20,29
21,38
22,38
23,35
24,25
25,40
26,41
27,38
28,37
29,28
30,23
31,28
32,31
33,32
34,32
35,30
36,45
37,26
38,29
39,29
40,27
41,41
42,35
43,28
44,34
45,40
46,30
47,36
48,34
49,32
50,39
51,36
52,37
53,39
54,41
55,58
56,37
57,29
58,37
59,47
60,49
61,40
62,36
63,31
64,31
65,30
66,38
67,37
68,31
69,31
70,49
71,58
72,37
73,35
74,27
75,26
76,38
77,49
78,34
79,34
80,29
81,39
82,26
83,28
84,38
85,37
86,47
87,26
88,37
89,45
90,34
91,37
92,28
93,29
94,27
95,27
96,30
97,28
98,41
99,37
100,40
101,38
102,33
103,22
104,55
105,39
106,31
107,47
108,32
109,28
110,36
111,31
112,27
113,37
114,23
115,31
116,30
117,50
118,38
119,43
120,32
121,27
122,28
123,35
124,36
125,49
126,31
127,35
128,32
129,33
130,31
131,34
132,30
133,43
134,33
135,28
136,31
137,46
138,34
139,32
140,47
141,34
142,37
143,28
144,26
145,27
146,38
147,36
148,35
149,30
150,34
151,43
152,43
153,39
154,26
155,32
156,36
157,32
158,37
159,29
160,34
161,44
162,34
163,33
164,39
165,32
166,33
167,31
168,26
169,26
170,27
171,27
172,29
173,43
174,30
175,31
176,28
177,37
178,26
179,37
180,25
181,38
182,28
183,37
184,34
185,33
186,33
187,35
188,38
189,30
190,48
191,29
192,53
193,34
194,42
195,36
196,31
197,36
198,44
199,21
200,35
201,30
202,29
203,25
204,26
205,31
206,34
207,40
208,28
209,28
210,30
211,37
212,37
213,28
214,35
215,48
216,26
217,44
218,35
219,32
220,52
221,34
222,37
223,52
224,30
225,40
226,37
227,30
228,28
229,27
230,25
231,40
232,36
233,30
234,30
235,40
236,30
237,26
238,35
239,25
240,36
241,31
242,26
243,25
244,31
245,37
246,44
247,32
248,36
249,31
250,34
251,33
252,50
253,41
254,28
255,25
256,30
257,34
258,37
259,31
260,36
261,33
262,32
263,29
264,29
265,26
266,30
267,26
268,39
269,25
270,35
271,42
272,26
273,32
274,30
275,31
276,25
277,31
278,36
279,27
280,32
281,34
282,23
283,31
284,39
285,32
286,33
287,34
288,26
289,31
290,34
291,34
292,35
293,29
294,35
295,25
296,40
297,30
298,32
299,38
300,32
301,22
302,26
303,34
304,37
305,33
306,33
307,25
308,33
309,35
310,41
311,43
312,50
313,35
314,23
315,37
316,35
317,35
318,40
319,38
320,40
321,26
322,32
323,29
324,34
325,29
326,29
327,55
328,41
329,28
330,24
331,32
332,27
333,33
334,36
335,39
336,31
337,49
338,47
339,40
340,32
341,40
342,26
343,39
344,34
345,25
346,52
347,32
348,25
349,32
350,27
351,31
352,29
353,36
354,32
355,36
356,44
357,26
358,35
359,48
360,30
361,36
362,57
363,32
364,35
365,50
366,32
367,41
368,44
369,33
370,26
371,30
372,32
373,41
374,45
375,40
376,28
377,26
378,24
379,25
380,27
381,29
382,28
383,31
384,28
385,23
386,38
387,48
388,30
389,36
390,35
391,37
392,36
393,27
394,31
395,32
396,28
397,37
398,33
399,27
400,34
401,39
402,29
403,30
404,31
405,33
406,37
407,40
408,40
409,24
410,31
411,32
412,55
413,35
414,28
415,25
416,25
417,29
418,30
419,25
420,31
421,35
422,36
423,43
424,35
425,28
426,33
427,25
428,25
429,39
430,27
431,42
432,30
433,31
434,33
435,32
436,46
437,29
438,50
439,33
440,38
441,51
442,27
443,33
444,34
445,37
446,44
447,42
448,36
449,32
450,46
451,32
452,31
453,29
454,37
455,28
456,32
457,40
458,36
459,37
460,25
461,41
462,35
463,37
464,43
465,34
466,40
467,21
468,31
469,30
470,31
471,33
472,32
473,26
474,37
475,34
476,28
477,28
478,28
479,36
480,27
481,43
482,48
483,30
484,30
485,37
486,34
487,31
488,38
489,26
490,32
491,31
492,31
493,39
494,29
495,33
496,44
497,31
498,48
499,37
500,46
501,36
502,32
503,34
504,26
505,34
506,29
507,25
508,38
509,39
510,27
511,28
512,34
513,36
514,38
515,28
516,29
517,31
518,37
519,23
520,27
521,32
522,24
523,26
524,43
525,37
526,31
527,35
528,33
529,24
530,48
531,38
532,28
533,22
534,36
535,29
536,29
537,26
538,37
539,35
540,34
541,34
542,39
543,35
544,23
545,26
546,34
547,31
548,24
549,30
550,28
551,38
552,46
553,32
554,27
555,30
556,35
557,40
558,40
559,28
560,36
561,34
562,43
563,35
564,33
565,27
566,33
567,32
568,40
569,26
570,34
571,42
572,58
573,37
574,41
575,28
576,27
577,22
578,27
579,24
580,33
581,29
582,32
583,28
584,28
585,27
586,29
587,43
588,32
589,32
590,35
591,34
592,55
593,35
594,39
595,35
596,30
597,25
598,35
599,35
600,38
601,33
602,28
603,31
604,32
605,26
606,40
607,38
608,39
609,36
610,24
611,34
612,26
613,32
614,22
615,42
616,34
617,25
618,28
619,33
620,36
621,32
622,32
623,36
624,35
625,32
626,32
627,39
628,27
629,36
630,40
631,31
632,33
633,31
634,37
635,26
636,31
637,33
638,31
639,44
640,30
641,39
642,35
643,38
644,36
645,32
646,31
647,27
648,28
649,27
650,43
651,30
652,28
653,44
654,37
655,26
656,39
657,38
658,44
659,48
660,24
661,47
662,50
663,28
664,38
665,32
666,41
667,32
668,30
669,26
670,31
671,40
672,27
673,28
674,28
675,25
676,33
677,37
678,40
679,33
680,34
681,38
682,28
683,29
684,44
685,36
686,29
687,39
688,38
689,29
690,30
691,33
692,39
693,27
694,35
695,26
696,23
697,36
698,22
699,23
700,30
701,42
702,29
703,41
704,36
705,44
706,39
707,35
708,26
709,40
710,34
711,32
712,36
713,46
714,43
715,28
716,33
717,34
718,39
719,36
720,44
721,34
722,37
723,30
724,43
725,26
726,33
727,35
728,38
729,39
730,51
731,38
732,32
733,28
734,31
735,26
736,32
737,36
738,39
739,35
740,30
741,33
742,55
743,37
744,33
745,46
746,42
747,26
748,48
749,32
750,38
751,28
752,30
753,31
754,29
755,26
756,31
757,35
758,40
759,33
760,30
761,29
762,38
763,34
764,34
765,32
766,37
767,29
768,27
769,36
770,31
771,50
772,26
773,41
774,30
775,25
776,33
777,29
778,36
779,31
780,34
781,35
782,40
783,26
784,31
785,32
786,39
787,44
788,33
789,22
790,27
791,28
792,28
793,39
794,54
795,27
796,27
797,31
798,29
799,32
800,44
801,36
802,33
803,27
804,29
805,38
806,45
807,31
808,43
809,27
810,31
811,29
812,40
813,33
814,35
815,39
816,34
817,33
818,35
819,27
820,35
821,40
822,33
823,28
824,27
825,49
826,23
827,31
828,37
829,31
830,37
831,24
832,24
833,45
834,40
835,26
836,27
837,34
838,23
839,39
840,47
841,28
842,46
843,26
844,28
845,39
846,58
847,31
848,31
849,38
850,28
851,54
852,30
853,32
854,35
855,26
856,33
857,35
858,28
859,41
860,42
861,42
862,32
863,31
864,40
865,31
866,34
867,38
868,40
869,34
870,37
871,41
872,29
873,29
874,31
875,32
876,37
877,41
878,41
879,35
880,29
881,34
882,32
883,32
884,34
885,28
886,37
887,34
888,23
889,28
890,33
891,31
892,37
893,43
894,34
895,42
896,32
897,33
898,42
899,43
900,26
901,33
902,33
903,36
904,36
905,29
906,30
907,26
908,36
909,26
910,25
911,30
912,33
913,41
914,40
915,41
916,35
917,28
918,27
919,29
920,26
921,29
922,34
923,26
924,27
925,29
926,32
927,39
928,39
929,24
930,32
