,hamming_distance
0,38
1,38
2,25
3,33
4,28
5,25
6,32
7,24
8,29
9,32
10,28
11,30
12,35
13,37
14,25
15,30
16,28
17,28
18,24
19,32
20,27
21,34
22,25
23,38
24,28
25,26
26,28
27,22
28,28
29,36
30,34
31,28
32,29
33,30
34,28
35,29
36,28
37,29
38,25
39,27
40,39
41,28
42,24
43,28
44,29
45,29
46,28
47,39
48,29
49,26
50,26
51,27
52,28
53,36
54,31
55,25
56,30
57,27
58,29
59,32
60,53
61,28
62,28
63,29
64,34
65,26
66,30
67,32
68,36
69,30
70,31
71,29
72,32
73,27
74,27
75,30
76,35
77,36
78,34
79,59
80,40
81,27
82,37
83,27
84,31
85,30
86,30
87,25
88,28
89,29
90,39
91,34
92,32
93,31
94,72
95,33
96,28
97,27
98,26
99,29
100,44
101,28
102,26
103,62
104,23
105,23
106,31
107,31
108,32
109,25
110,33
111,27
112,28
113,26
114,57
115,39
116,30
117,31
118,32
119,32
120,32
121,26
122,29
123,29
124,30
125,27
126,35
127,26
128,26
129,28
130,38
131,27
132,28
133,25
134,27
135,22
136,34
137,47
138,28
139,28
140,32
141,39
142,23
143,31
144,28
145,33
146,51
147,27
148,38
149,29
150,28
151,24
152,26
153,29
154,24
155,29
156,24
157,35
158,31
159,30
160,31
161,29
162,29
163,28
164,64
165,34
166,33
167,28
168,39
169,29
170,33
171,30
172,33
173,37
174,33
175,42
176,42
177,32
178,28
179,29
180,28
181,26
182,66
183,37
184,23
185,30
186,32
187,32
188,30
189,25
190,34
191,29
192,31
193,31
194,32
195,28
196,29
197,32
198,27
199,34
200,33
201,36
202,24
203,28
204,26
205,21
206,29
207,35
208,29
209,28
210,43
211,26
212,28
213,31
214,30
215,25
216,30
217,32
218,27
219,31
220,29
221,34
222,45
223,22
224,28
225,32
226,30
227,40
228,35
229,33
230,24
231,29
232,31
233,33
234,32
235,32
236,35
237,28
238,34
239,36
240,53
241,33
242,30
243,33
244,53
245,26
246,29
247,25
248,30
249,36
250,33
251,44
252,32
253,28
254,41
255,30
256,28
257,34
258,32
259,32
260,59
261,35
262,26
263,55
264,38
265,28
266,25
267,65
268,23
269,34
270,25
271,29
272,33
273,27
274,33
275,45
276,36
277,31
278,33
279,26
280,29
281,26
282,32
283,28
284,29
285,31
286,27
287,28
288,35
289,42
290,31
291,35
292,31
293,33
294,35
295,25
296,34
297,31
298,28
299,49
300,33
301,32
302,30
303,34
304,29
305,30
306,23
307,33
308,29
309,30
310,30
311,31
312,29
313,36
314,23
315,31
316,35
317,34
318,30
319,29
320,33
321,30
322,29
323,29
324,28
