,hamming_distance
0,38
1,36
2,22
3,39
4,37
5,34
6,29
7,27
8,28
9,28
10,35
11,32
12,19
13,30
14,37
15,31
16,38
17,28
18,33
19,26
20,12
21,23
22,12
23,27
24,23
25,26
26,33
27,32
28,34
29,35
30,22
31,20
32,45
33,31
34,32
35,29
36,24
37,41
38,30
39,25
40,39
41,34
42,25
43,25
44,31
45,43
46,32
47,29
48,30
49,41
50,32
51,32
52,39
53,29
54,30
55,33
56,32
57,28
58,28
59,36
60,28
61,34
62,28
63,37
64,26
65,30
66,21
67,43
68,28
69,36
70,38
71,30
72,33
73,20
74,24
75,19
76,26
77,26
78,39
79,23
80,19
81,36
82,38
83,26
84,16
85,31
86,27
87,36
88,31
89,22
90,36
91,23
92,39
93,28
94,19
95,38
96,26
97,34
98,30
99,29
100,34
101,18
102,38
103,44
104,30
105,23
106,28
107,41
108,32
109,36
110,29
111,33
112,28
113,19
114,31
115,38
116,37
117,37
118,36
119,34
120,27
121,32
122,28
123,34
124,23
125,33
126,23
127,35
128,30
129,25
130,23
131,23
132,33
133,35
134,27
135,21
136,23
137,20
138,23
139,21
140,31
141,28
142,35
143,29
144,37
145,32
146,35
147,26
148,14
149,35
150,27
151,35
152,39
153,29
154,42
155,28
156,33
157,28
158,29
159,30
160,29
161,17
162,32
163,41
164,34
165,34
166,28
167,32
168,25
169,35
170,31
171,34
172,20
173,34
174,33
175,25
176,21
177,40
178,33
179,40
180,37
181,35
182,17
183,26
184,34
185,20
186,35
187,33
188,28
189,21
190,32
191,12
192,35
193,33
194,32
195,31
196,38
197,30
198,29
199,18
200,25
201,20
202,21
203,19
204,40
205,35
206,44
207,25
208,21
209,37
210,32
211,37
212,31
213,38
214,34
215,33
216,31
217,23
218,23
219,28
220,24
221,37
222,35
223,27
224,37
225,34
226,25
227,38
228,34
229,19
230,34
231,34
232,39
233,32
234,22
235,22
236,32
237,28
238,25
239,35
240,14
241,29
242,39
243,33
244,31
245,17
246,22
247,35
248,40
249,21
250,38
251,32
252,29
253,30
254,28
255,21
256,22
257,29
258,34
259,22
260,42
261,32
262,35
263,32
264,29
265,34
266,33
267,31
268,38
269,17
270,27
271,36
272,31
273,45
274,23
275,39
276,33
277,32
278,35
279,17
280,17
281,25
282,33
283,33
284,25
285,24
286,35
287,36
288,41
289,24
290,34
291,22
292,31
293,34
294,25
295,40
296,26
297,27
298,30
299,34
300,31
301,34
302,39
303,37
304,29
305,34
306,31
307,26
308,36
309,19
310,39
311,36
312,27
313,32
314,31
315,34
316,39
317,26
318,43
319,37
320,30
321,36
322,37
323,39
324,17
325,33
326,22
327,33
328,17
329,30
330,33
331,39
332,30
333,26
334,42
335,31
336,30
337,37
338,22
339,31
340,38
341,29
342,32
343,28
344,36
345,35
346,29
347,26
348,39
349,19
350,31
351,38
352,36
353,32
354,27
355,33
356,27
357,26
358,36
359,33
360,25
361,31
362,35
363,42
364,36
365,35
366,22
367,27
368,37
369,32
370,29
371,31
372,37
373,27
374,23
375,33
376,31
377,33
378,26
379,32
380,31
381,35
382,34
383,43
384,24
385,38
386,39
387,36
388,33
389,36
390,35
391,30
392,32
393,37
394,33
395,28
396,35
397,23
398,15
399,26
400,30
401,31
402,34
403,24
404,33
405,27
406,36
407,31
408,29
409,26
410,22
411,33
412,40
413,37
414,21
415,23
416,30
417,37
418,33
419,36
420,33
421,38
422,36
423,37
424,30
425,27
426,17
427,17
428,37
429,23
430,37
431,24
432,32
433,23
434,34
435,29
436,33
437,32
438,27
439,35
440,26
441,26
442,40
443,45
444,23
445,47
446,30
447,21
448,49
449,32
450,23
451,31
452,35
453,42
454,32
455,35
456,35
457,30
458,22
459,31
460,30
461,20
462,30
463,31
464,40
465,29
466,23
467,21
468,36
469,27
470,27
471,32
472,22
473,35
474,42
475,33
476,43
477,36
478,24
479,29
480,33
481,25
482,24
483,28
484,26
485,28
486,32
487,28
488,30
489,33
490,34
491,43
492,32
493,24
494,37
495,24
496,30
497,29
498,36
499,37
500,32
501,25
502,33
503,34
504,27
505,39
506,13
507,25
508,27
509,28
510,30
511,27
512,37
513,32
514,33
515,36
516,44
517,30
518,33
519,27
520,27
521,49
522,14
523,28
524,32
525,37
526,29
527,32
528,32
529,33
530,31
531,25
532,28
533,35
534,33
535,37
536,27
537,34
538,36
539,37
540,22
541,27
542,26
543,31
544,25
545,41
546,27
547,32
548,26
549,42
550,33
551,26
552,33
553,29
554,31
555,31
556,35
557,30
558,29
559,29
560,27
561,27
562,35
563,29
564,34
565,36
566,31
567,14
568,28
569,28
570,30
571,27
572,33
573,31
574,31
575,25
576,29
577,37
578,31
579,41
580,14
581,18
582,32
583,35
