,hamming_distance
0,36
1,31
2,22
3,26
4,25
5,45
6,29
7,23
8,20
9,13
10,19
11,22
12,22
13,16
14,23
15,13
16,31
17,28
18,12
19,27
20,16
21,19
22,29
23,26
24,30
25,30
26,19
27,17
28,34
29,24
30,22
31,36
32,22
33,50
34,20
35,15
36,19
37,18
38,34
39,28
40,24
41,22
42,15
43,29
44,32
45,25
46,31
47,33
48,28
49,28
50,30
51,28
52,22
53,8
54,24
55,22
56,25
57,28
58,29
59,20
60,11
61,23
62,26
63,29
64,43
65,31
66,15
67,21
68,17
69,31
70,26
71,22
72,37
73,27
74,33
75,21
76,33
77,27
78,24
79,31
80,23
81,21
82,28
83,18
84,34
85,31
86,18
87,21
88,33
89,27
90,35
91,28
92,36
93,35
94,28
95,33
96,20
97,31
98,27
99,39
100,26
101,16
102,24
103,48
104,16
105,30
106,24
107,27
108,27
109,13
110,34
111,25
112,20
113,26
114,37
115,21
116,31
117,41
118,23
119,26
120,22
121,29
122,30
123,34
124,20
125,31
126,20
127,26
128,25
129,39
130,18
131,23
132,15
133,25
134,25
135,27
136,13
137,23
138,22
139,15
140,26
141,30
142,40
143,32
144,30
145,18
146,27
147,42
148,40
149,28
150,35
151,27
152,34
153,19
154,8
155,28
156,25
157,33
158,28
159,23
160,23
161,24
162,24
163,20
164,27
165,19
166,30
167,50
168,21
169,21
170,31
171,23
172,26
173,24
174,37
175,29
176,23
177,29
178,26
179,24
180,24
181,30
182,18
183,32
184,16
185,22
186,17
187,34
188,34
189,28
190,31
191,25
192,31
193,25
194,19
195,19
196,28
197,28
198,36
199,36
200,34
201,23
202,13
203,23
204,39
205,34
206,26
207,27
208,34
209,26
210,10
211,20
212,19
213,35
214,17
215,25
216,36
217,26
218,30
219,28
220,30
221,27
222,7
223,34
224,23
225,17
226,27
227,21
228,26
229,30
230,39
231,25
232,35
233,22
234,28
235,27
236,8
237,39
238,24
239,30
240,20
241,26
242,19
243,30
244,25
245,29
246,30
247,28
248,21
249,28
250,27
251,25
252,29
253,18
254,15
255,19
256,33
257,22
258,29
259,14
260,42
261,25
262,29
263,29
264,30
265,35
266,37
267,23
268,25
269,15
270,25
271,30
272,36
273,10
274,18
275,25
276,30
277,24
278,19
279,12
280,29
281,20
282,35
283,15
284,28
285,22
286,15
287,30
288,35
289,38
290,28
291,29
292,28
293,34
294,37
295,20
296,29
297,27
298,35
299,26
300,28
301,19
302,27
303,23
304,18
305,26
306,22
307,37
308,27
309,19
310,18
311,24
312,28
313,21
314,25
315,34
316,33
317,21
318,21
319,12
320,36
321,23
322,22
323,25
324,30
325,23
326,33
327,25
328,20
329,28
330,26
331,26
332,22
333,31
334,19
335,32
336,32
337,25
338,14
339,36
340,27
341,22
342,33
343,26
344,34
345,29
346,37
347,25
348,22
349,23
350,14
351,30
352,32
353,27
354,24
355,32
356,23
357,25
358,34
359,11
360,24
361,29
362,13
363,27
364,35
365,32
366,22
367,21
368,39
369,26
370,20
371,24
372,28
373,17
374,26
375,25
376,16
377,21
378,36
379,34
380,30
381,19
382,23
383,16
384,33
385,32
386,26
387,30
388,18
389,27
390,15
391,25
392,18
393,24
394,22
395,29
396,36
397,23
398,29
399,27
400,30
401,14
402,22
403,25
404,36
405,26
406,17
407,35
408,33
409,25
410,26
411,33
412,17
413,18
414,14
415,16
416,26
417,21
418,20
419,24
420,46
421,25
422,20
423,32
424,21
425,33
426,25
427,26
428,37
429,28
430,12
431,31
432,24
433,23
434,27
435,26
436,32
437,34
438,31
439,24
440,31
441,24
442,27
443,28
444,27
445,23
446,35
447,28
448,28
449,29
450,29
451,20
452,36
453,24
454,17
455,17
456,12
457,18
458,22
459,36
460,25
461,46
462,17
463,22
464,34
465,33
466,14
467,22
468,29
469,36
470,26
471,21
472,27
473,32
474,15
475,27
476,20
477,25
478,26
479,18
480,12
481,22
482,27
483,22
484,24
485,23
486,27
487,25
488,23
489,20
490,23
491,27
492,28
493,30
494,33
495,18
496,31
497,26
498,27
499,25
500,30
501,31
502,29
503,31
504,26
505,25
506,20
507,22
508,30
509,26
510,18
511,32
512,21
513,23
514,38
515,26
516,19
517,25
518,24
519,18
520,22
521,27
522,29
523,34
524,25
525,21
526,11
527,23
528,28
529,31
530,29
531,21
532,24
533,39
534,25
535,22
536,26
537,37
538,22
539,14
540,35
541,22
542,31
543,22
544,23
545,33
546,32
547,18
548,23
549,24
550,31
551,23
552,29
553,30
554,35
555,23
556,37
557,26
558,24
559,31
560,21
561,20
562,20
563,23
564,12
565,33
566,21
567,16
568,24
569,18
570,31
571,34
572,18
573,17
574,24
575,28
576,43
577,20
578,34
579,25
580,21
581,32
582,20
583,19
584,32
585,19
586,33
587,29
588,26
589,24
590,18
591,24
592,34
593,29
594,36
595,24
596,20
597,18
598,21
599,23
600,32
601,19
602,18
603,31
604,35
605,16
606,23
607,30
608,30
609,25
610,26
611,23
612,14
613,24
614,13
615,21
616,15
617,28
618,32
619,16
620,32
621,31
622,26
623,36
624,41
625,45
626,35
627,29
628,21
629,41
630,22
631,32
632,35
633,24
634,30
635,33
636,33
637,32
638,19
639,31
640,30
641,25
642,26
643,39
644,20
645,20
646,33
647,24
648,31
649,31
650,29
651,23
652,15
653,27
654,21
655,47
656,31
657,25
658,29
659,29
660,31
661,24
662,13
663,32
664,22
665,19
666,27
667,22
668,25
669,16
670,23
671,28
672,29
673,29
674,25
675,29
676,32
677,39
678,41
679,24
680,26
681,38
682,25
683,26
684,24
685,24
686,26
687,29
688,22
689,32
690,28
691,31
692,34
693,29
694,26
695,22
696,26
697,31
698,25
699,38
700,24
701,22
702,18
703,26
704,18
705,26
706,29
707,29
708,31
709,35
710,24
711,25
712,11
713,27
714,26
715,39
716,19
717,25
718,27
719,30
720,29
721,37
722,31
723,36
724,14
725,29
726,17
727,26
728,12
729,8
730,28
731,22
732,16
733,28
734,21
735,25
736,8
737,15
738,31
739,24
740,33
741,9
742,32
743,18
744,18
745,25
746,24
747,31
748,24
749,24
750,13
751,24
752,14
753,23
754,16
755,23
756,18
757,17
758,29
759,32
760,21
761,24
762,33
763,25
764,32
765,18
766,34
767,19
768,34
769,19
770,24
771,23
772,29
773,20
774,27
775,14
776,30
777,47
778,27
779,22
780,21
781,26
782,27
783,15
784,36
785,25
786,29
787,24
788,27
789,19
790,23
791,28
792,33
793,26
794,25
795,43
796,36
797,33
798,39
799,24
800,25
801,24
802,19
803,31
804,23
805,17
806,5
807,21
808,12
809,37
810,23
811,35
812,19
813,26
814,20
815,23
816,26
817,31
818,39
819,36
820,28
821,35
822,15
823,38
824,20
825,10
826,24
827,19
828,32
829,15
830,40
831,22
832,10
833,21
834,33
835,31
836,22
837,17
838,13
839,13
840,25
841,22
842,25
843,16
844,20
845,24
846,34
847,17
848,22
849,18
850,30
851,39
852,46
853,18
854,32
855,25
856,28
857,26
858,28
859,29
860,30
861,27
862,24
863,21
864,29
865,22
866,30
867,10
868,26
869,27
870,31
871,24
872,43
873,27
874,31
875,34
876,23
877,21
878,21
879,15
880,28
881,18
882,21
883,27
884,7
885,21
886,19
887,18
888,33
889,37
890,15
891,45
892,28
893,28
894,15
895,35
896,30
897,31
898,26
899,27
900,18
901,43
902,22
903,19
904,27
905,13
906,15
907,23
908,29
909,18
910,16
911,15
912,24
913,33
914,18
915,23
916,21
917,24
918,25
919,22
920,33
921,33
922,28
923,33
924,31
925,32
926,30
927,27
928,38
929,33
930,29
931,19
932,20
933,21
934,25
935,16
936,14
937,15
938,34
939,23
940,22
941,34
942,8
943,16
944,25
945,35
946,28
947,18
948,18
949,25
950,34
951,21
952,14
953,18
954,43
955,19
956,14
957,24
958,18
959,24
960,22
961,37
962,14
963,34
964,27
965,13
966,22
967,19
968,25
969,29
970,19
971,28
972,24
973,27
974,20
975,26
976,24
977,20
978,28
979,20
980,24
981,25
982,10
983,29
984,26
985,15
986,23
987,27
988,37
989,30
990,21
991,29
992,26
993,25
994,23
995,32
996,36
997,36
998,34
999,19
1000,17
1001,33
1002,39
1003,30
1004,25
1005,18
1006,22
1007,37
1008,18
1009,26
1010,30
1011,27
1012,27
1013,43
1014,27
1015,31
1016,27
1017,24
1018,35
1019,21
1020,16
1021,11
1022,27
1023,33
1024,33
1025,30
1026,24
1027,36
1028,29
1029,28
1030,27
1031,19
1032,40
1033,22
1034,22
1035,15
1036,24
1037,10
1038,21
1039,25
1040,27
1041,38
1042,24
1043,21
1044,33
1045,22
1046,25
1047,20
1048,26
1049,28
1050,32
1051,24
1052,31
1053,23
1054,21
1055,23
1056,26
1057,34
1058,27
1059,30
1060,28
1061,18
1062,23
1063,15
1064,27
1065,13
1066,36
1067,28
1068,34
1069,17
1070,26
1071,30
1072,29
1073,28
1074,37
1075,24
1076,25
1077,29
1078,42
1079,21
1080,17
1081,34
1082,24
1083,31
1084,31
1085,32
1086,28
1087,20
1088,33
1089,31
1090,26
1091,21
1092,28
1093,30
1094,28
1095,23
1096,29
1097,27
1098,12
1099,17
1100,34
1101,28
1102,30
1103,21
1104,23
1105,26
1106,27
1107,29
1108,21
1109,25
1110,22
1111,20
1112,30
1113,29
1114,31
1115,33
1116,31
1117,22
1118,21
1119,28
1120,28
1121,28
1122,28
1123,24
1124,33
1125,35
1126,22
1127,26
1128,32
1129,31
1130,25
1131,27
1132,23
1133,24
1134,24
1135,21
1136,20
1137,20
1138,27
1139,27
1140,31
1141,19
1142,17
1143,20
1144,23
1145,25
1146,37
1147,32
1148,24
1149,23
1150,15
1151,25
1152,24
1153,17
1154,18
1155,28
1156,22
1157,34
1158,14
1159,12
1160,17
1161,18
1162,24
1163,22
1164,31
1165,40
1166,24
1167,21
1168,29
1169,35
1170,19
1171,23
1172,22
1173,31
1174,18
1175,14
1176,18
1177,26
1178,26
1179,26
1180,25
1181,26
1182,39
1183,35
1184,24
1185,30
1186,24
1187,26
1188,21
1189,25
1190,43
1191,26
1192,25
1193,23
1194,28
1195,31
1196,27
1197,23
1198,28
1199,23
1200,23
1201,17
1202,35
1203,17
1204,26
1205,7
1206,14
1207,32
1208,24
1209,26
1210,21
1211,13
1212,34
1213,23
1214,32
1215,27
1216,34
1217,35
1218,31
1219,18
1220,41
1221,24
1222,38
1223,28
1224,21
1225,19
1226,29
1227,22
1228,26
1229,33
1230,28
1231,26
1232,40
1233,23
1234,33
1235,23
1236,25
1237,26
1238,28
1239,19
1240,35
1241,25
1242,19
1243,24
1244,19
1245,25
1246,19
1247,28
1248,17
1249,39
1250,27
1251,19
1252,21
1253,14
1254,34
1255,33
1256,21
1257,17
1258,16
1259,25
1260,26
1261,17
1262,26
1263,11
1264,18
1265,18
1266,26
1267,37
1268,23
1269,32
1270,28
1271,17
1272,20
