,hamming_distance
0,32
1,29
2,33
3,29
4,27
5,28
6,28
7,22
8,30
9,23
10,28
11,56
12,28
13,35
14,32
15,29
16,31
17,26
18,27
19,29
20,29
21,25
22,26
23,28
24,31
25,22
26,30
27,23
28,31
29,29
30,31
31,27
32,26
33,29
34,30
35,26
36,30
37,24
38,32
39,30
40,30
41,33
42,31
43,29
44,30
45,29
46,27
47,33
48,26
49,28
50,29
51,27
52,29
53,34
54,27
55,29
56,25
57,29
58,25
59,27
60,30
61,27
62,29
63,29
64,26
65,36
66,23
67,31
68,30
69,38
70,31
71,27
72,28
73,46
74,29
75,31
76,19
77,27
78,36
79,30
80,31
81,28
82,31
83,29
84,25
85,39
86,23
87,30
88,30
89,25
90,29
91,34
92,31
93,27
94,25
95,29
96,31
97,31
98,26
99,29
100,34
101,25
102,30
103,28
104,26
105,24
106,32
107,27
108,27
109,30
110,26
111,35
112,27
113,26
114,30
115,28
116,29
117,33
118,25
119,28
120,32
121,28
122,38
123,30
124,27
125,30
126,24
127,28
128,28
129,26
130,23
131,39
132,32
133,26
134,26
135,29
136,46
137,24
138,26
139,30
140,26
141,33
142,23
143,29
144,32
145,26
146,29
147,27
148,24
149,27
150,28
151,30
152,25
153,27
154,28
155,21
156,28
157,31
158,22
159,22
160,32
161,31
162,27
163,25
164,27
165,27
166,29
167,30
168,32
169,29
170,31
171,25
172,26
173,28
174,32
175,35
176,28
177,30
178,27
179,29
180,29
181,31
182,32
183,30
184,25
185,22
186,25
187,32
188,31
189,26
190,30
191,35
192,31
193,29
194,30
195,29
196,43
197,31
198,39
199,24
200,30
201,23
202,23
203,30
204,25
205,27
206,25
207,28
208,30
209,26
210,28
211,29
212,32
213,31
214,33
215,30
216,27
217,29
218,30
219,30
220,30
221,27
222,27
223,31
224,26
225,32
226,28
227,29
228,26
229,36
230,31
231,31
232,26
233,32
234,29
235,24
236,30
237,34
238,31
239,29
240,26
241,32
242,23
243,29
244,24
245,25
246,32
247,23
248,30
249,32
250,22
251,30
252,29
253,34
254,33
255,27
256,32
257,25
258,31
259,26
260,29
261,30
262,32
263,28
264,29
265,28
266,24
267,30
268,21
269,24
270,28
271,27
272,29
273,30
274,33
275,32
276,26
277,46
278,28
279,29
280,32
281,26
282,28
283,28
284,30
285,24
286,35
287,35
288,24
289,31
290,30
291,31
292,32
293,20
294,30
295,29
296,25
297,25
298,24
299,28
300,31
301,28
302,28
303,28
304,24
305,32
306,27
307,31
308,21
309,31
310,28
311,27
312,26
313,32
314,32
315,34
316,28
317,24
318,31
319,32
320,27
321,21
322,30
323,27
324,24
325,28
326,29
327,33
328,36
329,28
330,31
331,23
332,23
333,36
334,28
335,34
336,36
337,37
338,24
339,33
340,26
341,29
342,26
343,30
344,30
345,29
346,28
347,25
348,24
349,32
350,27
351,33
352,27
353,32
354,30
355,25
356,25
357,35
358,31
359,25
360,32
361,31
362,28
363,26
364,29
365,26
366,32
367,25
368,25
369,30
370,30
371,26
372,24
373,27
374,32
375,33
376,29
377,26
378,32
379,24
380,29
381,29
382,30
383,30
384,27
385,32
386,27
387,23
388,22
389,26
390,27
391,22
392,25
393,31
394,29
395,30
396,29
397,28
398,27
399,31
400,29
401,27
402,30
403,25
404,21
405,29
406,27
407,28
408,24
409,28
410,28
411,29
412,26
413,28
414,24
415,27
416,26
417,26
418,35
419,30
420,27
421,20
422,38
423,23
424,30
425,45
426,33
427,29
428,32
429,26
430,25
431,26
432,28
433,28
434,29
435,30
436,22
437,27
438,28
439,28
440,29
441,34
442,31
443,28
444,24
445,27
446,27
447,62
448,27
449,34
450,32
451,37
452,31
453,26
454,31
455,30
456,33
457,55
458,30
459,29
460,24
461,31
462,33
463,27
464,32
465,31
466,32
467,33
468,30
469,20
470,28
471,33
472,20
473,30
474,28
475,23
476,28
477,22
478,27
479,30
480,25
481,68
482,29
483,33
484,31
485,18
486,34
487,31
488,30
489,28
490,30
491,34
492,23
493,30
494,27
495,30
496,30
497,29
498,29
499,42
500,23
501,33
502,28
503,35
504,31
505,25
506,27
507,23
508,27
509,28
510,30
511,28
512,27
513,28
514,33
515,28
516,29
517,26
518,29
519,28
520,29
521,29
522,26
523,28
524,32
525,36
526,23
527,25
528,34
529,25
530,34
531,31
532,27
533,28
534,28
535,18
536,24
537,28
538,26
539,31
540,29
541,30
542,29
543,23
544,26
545,32
546,30
547,25
548,27
549,28
550,32
551,26
552,32
553,32
554,25
555,27
556,33
557,25
558,24
559,30
560,23
561,33
562,26
563,26
564,19
565,38
566,26
567,28
568,27
569,30
570,40
571,30
572,29
573,33
574,24
575,23
576,25
577,31
578,29
579,25
580,30
581,22
582,26
583,30
584,37
585,25
586,28
587,36
588,32
589,50
590,31
591,29
592,27
593,29
594,28
595,29
596,23
597,29
598,34
599,30
600,30
601,27
602,29
603,29
604,34
605,32
606,32
607,28
608,33
609,57
610,37
611,27
612,29
613,36
614,30
615,27
616,29
617,26
618,34
619,30
620,34
621,29
622,31
623,24
624,27
625,34
626,26
627,33
628,30
629,32
630,25
631,29
632,27
633,31
634,26
635,59
636,32
637,29
638,27
639,25
640,31
641,28
642,25
643,54
644,29
645,32
646,28
647,26
648,28
649,24
650,24
651,27
652,56
653,30
654,29
655,30
656,24
657,24
658,24
659,54
660,30
661,33
662,29
663,30
664,30
665,45
666,25
667,29
668,34
669,25
670,29
671,26
672,25
673,32
674,27
675,34
676,24
677,22
678,32
679,31
680,24
681,31
682,36
683,35
684,24
685,31
686,28
687,24
688,29
689,34
690,28
691,27
692,43
693,27
694,24
695,31
696,28
697,29
698,29
699,33
700,25
701,29
702,27
703,24
704,30
705,28
706,35
707,26
708,26
709,26
710,24
711,32
712,27
713,31
714,32
715,27
716,27
717,33
718,34
719,28
720,33
721,31
722,28
723,31
724,21
725,33
726,25
727,28
728,19
729,31
730,27
731,29
732,28
733,26
734,33
735,25
736,26
737,30
738,26
739,29
740,39
741,33
742,29
743,25
744,29
745,25
746,22
747,26
748,24
749,26
750,30
751,31
752,23
753,21
754,30
755,33
756,23
757,32
758,28
759,31
760,25
761,29
762,26
763,29
764,40
765,32
766,28
767,36
768,32
769,30
770,26
771,34
772,38
773,31
774,33
775,32
776,28
777,28
778,22
779,27
780,34
781,28
782,27
783,29
784,39
785,28
786,28
787,25
788,27
789,25
790,29
791,28
792,26
793,24
794,26
795,29
796,33
797,29
798,27
799,29
800,26
801,32
802,31
803,31
804,26
805,28
806,18
807,31
808,29
809,25
810,27
811,30
812,31
813,29
814,35
815,24
816,51
817,18
818,31
819,25
820,22
821,24
822,23
823,27
824,32
825,24
826,35
827,28
828,27
829,28
830,27
831,26
832,33
833,26
834,30
835,33
836,28
837,29
838,32
839,29
840,31
841,31
842,38
843,28
844,26
845,29
846,28
847,39
848,38
849,28
850,26
851,29
852,31
853,35
854,29
855,32
856,39
857,25
858,29
859,33
860,26
861,30
862,27
863,30
864,31
865,31
866,22
867,27
868,29
