,ds,dv,dt,method,acc
0,FashionMNIST,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,91.37
1,FashionMNIST,UniformNoise,MNIST,NeuronActivationPatterns/Resnet,89.645
2,FashionMNIST,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,87.3905
3,FashionMNIST,UniformNoise,CIFAR10,NeuronActivationPatterns/Resnet,89.515
4,FashionMNIST,UniformNoise,CIFAR100,NeuronActivationPatterns/Resnet,89.19
5,FashionMNIST,UniformNoise,STL10,NeuronActivationPatterns/Resnet,88.65
6,FashionMNIST,UniformNoise,TinyImagenet,NeuronActivationPatterns/Resnet,89.035
7,FashionMNIST,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,89.335
8,FashionMNIST,NormalNoise,MNIST,NeuronActivationPatterns/Resnet,90.635
9,FashionMNIST,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,87.9246
10,FashionMNIST,NormalNoise,CIFAR10,NeuronActivationPatterns/Resnet,90.085
11,FashionMNIST,NormalNoise,CIFAR100,NeuronActivationPatterns/Resnet,89.55
12,FashionMNIST,NormalNoise,STL10,NeuronActivationPatterns/Resnet,89.0188
13,FashionMNIST,NormalNoise,TinyImagenet,NeuronActivationPatterns/Resnet,89.345
14,FashionMNIST,MNIST,UniformNoise,NeuronActivationPatterns/Resnet,79.3
15,FashionMNIST,MNIST,NormalNoise,NeuronActivationPatterns/Resnet,86.98
16,FashionMNIST,MNIST,NotMNIST,NeuronActivationPatterns/Resnet,87.7003
17,FashionMNIST,MNIST,CIFAR10,NeuronActivationPatterns/Resnet,89.545
18,FashionMNIST,MNIST,CIFAR100,NeuronActivationPatterns/Resnet,89.275
19,FashionMNIST,MNIST,STL10,NeuronActivationPatterns/Resnet,88.1188
20,FashionMNIST,MNIST,TinyImagenet,NeuronActivationPatterns/Resnet,88.405
21,FashionMNIST,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,88.65
22,FashionMNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,91.635
23,FashionMNIST,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,91
24,FashionMNIST,NotMNIST,CIFAR10,NeuronActivationPatterns/Resnet,90.215
25,FashionMNIST,NotMNIST,CIFAR100,NeuronActivationPatterns/Resnet,89.765
26,FashionMNIST,NotMNIST,STL10,NeuronActivationPatterns/Resnet,89.2
27,FashionMNIST,NotMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,89.5
28,FashionMNIST,CIFAR10,UniformNoise,NeuronActivationPatterns/Resnet,85.865
29,FashionMNIST,CIFAR10,NormalNoise,NeuronActivationPatterns/Resnet,90.495
30,FashionMNIST,CIFAR10,MNIST,NeuronActivationPatterns/Resnet,91.625
31,FashionMNIST,CIFAR10,NotMNIST,NeuronActivationPatterns/Resnet,88.1596
32,FashionMNIST,CIFAR10,CIFAR100,NeuronActivationPatterns/Resnet,89.8
33,FashionMNIST,CIFAR10,STL10,NeuronActivationPatterns/Resnet,89.0688
34,FashionMNIST,CIFAR10,TinyImagenet,NeuronActivationPatterns/Resnet,89.39
35,FashionMNIST,CIFAR100,UniformNoise,NeuronActivationPatterns/Resnet,87.845
36,FashionMNIST,CIFAR100,NormalNoise,NeuronActivationPatterns/Resnet,91.44
37,FashionMNIST,CIFAR100,MNIST,NeuronActivationPatterns/Resnet,91.305
38,FashionMNIST,CIFAR100,NotMNIST,NeuronActivationPatterns/Resnet,88.1596
39,FashionMNIST,CIFAR100,CIFAR10,NeuronActivationPatterns/Resnet,90.335
40,FashionMNIST,CIFAR100,STL10,NeuronActivationPatterns/Resnet,89.2188
41,FashionMNIST,CIFAR100,TinyImagenet,NeuronActivationPatterns/Resnet,89.625
42,FashionMNIST,STL10,UniformNoise,NeuronActivationPatterns/Resnet,89.345
43,FashionMNIST,STL10,NormalNoise,NeuronActivationPatterns/Resnet,91.66
44,FashionMNIST,STL10,MNIST,NeuronActivationPatterns/Resnet,90.635
45,FashionMNIST,STL10,NotMNIST,NeuronActivationPatterns/Resnet,87.9246
46,FashionMNIST,STL10,CIFAR10,NeuronActivationPatterns/Resnet,90.085
47,FashionMNIST,STL10,CIFAR100,NeuronActivationPatterns/Resnet,89.55
48,FashionMNIST,STL10,TinyImagenet,NeuronActivationPatterns/Resnet,89.345
49,FashionMNIST,TinyImagenet,UniformNoise,NeuronActivationPatterns/Resnet,87.01
50,FashionMNIST,TinyImagenet,NormalNoise,NeuronActivationPatterns/Resnet,90.935
51,FashionMNIST,TinyImagenet,MNIST,NeuronActivationPatterns/Resnet,91.425
52,FashionMNIST,TinyImagenet,NotMNIST,NeuronActivationPatterns/Resnet,88.1062
53,FashionMNIST,TinyImagenet,CIFAR10,NeuronActivationPatterns/Resnet,90.295
54,FashionMNIST,TinyImagenet,CIFAR100,NeuronActivationPatterns/Resnet,89.8
55,FashionMNIST,TinyImagenet,STL10,NeuronActivationPatterns/Resnet,89.125
