,ds,dv,dt,method,acc
0,MNIST,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,99.995
1,MNIST,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,87.455
2,MNIST,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,93.3828
3,MNIST,UniformNoise,CIFAR10,NeuronActivationPatterns/Resnet,99.855
4,MNIST,UniformNoise,CIFAR100,NeuronActivationPatterns/Resnet,99.86
5,MNIST,UniformNoise,STL10,NeuronActivationPatterns/Resnet,99.8438
6,MNIST,UniformNoise,TinyImagenet,NeuronActivationPatterns/Resnet,99.84
7,MNIST,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,99.995
8,MNIST,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,87.18
9,MNIST,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,93.2493
10,MNIST,NormalNoise,CIFAR10,NeuronActivationPatterns/Resnet,99.855
11,MNIST,NormalNoise,CIFAR100,NeuronActivationPatterns/Resnet,99.86
12,MNIST,NormalNoise,STL10,NeuronActivationPatterns/Resnet,99.825
13,MNIST,NormalNoise,TinyImagenet,NeuronActivationPatterns/Resnet,99.84
14,MNIST,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,99.265
15,MNIST,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,99.265
16,MNIST,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,99.1668
17,MNIST,FashionMNIST,CIFAR10,NeuronActivationPatterns/Resnet,99.185
18,MNIST,FashionMNIST,CIFAR100,NeuronActivationPatterns/Resnet,99.185
19,MNIST,FashionMNIST,STL10,NeuronActivationPatterns/Resnet,98.8438
20,MNIST,FashionMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,99.185
21,MNIST,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,99.64
22,MNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,99.64
23,MNIST,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,99.14
24,MNIST,NotMNIST,CIFAR10,NeuronActivationPatterns/Resnet,99.56
25,MNIST,NotMNIST,CIFAR100,NeuronActivationPatterns/Resnet,99.56
26,MNIST,NotMNIST,STL10,NeuronActivationPatterns/Resnet,99.2312
27,MNIST,NotMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,99.56
28,MNIST,CIFAR10,UniformNoise,NeuronActivationPatterns/Resnet,99.985
29,MNIST,CIFAR10,NormalNoise,NeuronActivationPatterns/Resnet,99.985
30,MNIST,CIFAR10,FashionMNIST,NeuronActivationPatterns/Resnet,93.255
31,MNIST,CIFAR10,NotMNIST,NeuronActivationPatterns/Resnet,97.5059
32,MNIST,CIFAR10,CIFAR100,NeuronActivationPatterns/Resnet,99.905
33,MNIST,CIFAR10,STL10,NeuronActivationPatterns/Resnet,99.8063
34,MNIST,CIFAR10,TinyImagenet,NeuronActivationPatterns/Resnet,99.895
35,MNIST,CIFAR100,UniformNoise,NeuronActivationPatterns/Resnet,99.985
36,MNIST,CIFAR100,NormalNoise,NeuronActivationPatterns/Resnet,99.985
37,MNIST,CIFAR100,FashionMNIST,NeuronActivationPatterns/Resnet,92.725
38,MNIST,CIFAR100,NotMNIST,NeuronActivationPatterns/Resnet,96.8276
39,MNIST,CIFAR100,CIFAR10,NeuronActivationPatterns/Resnet,99.895
40,MNIST,CIFAR100,STL10,NeuronActivationPatterns/Resnet,99.8063
41,MNIST,CIFAR100,TinyImagenet,NeuronActivationPatterns/Resnet,99.89
42,MNIST,STL10,UniformNoise,NeuronActivationPatterns/Resnet,99.985
43,MNIST,STL10,NormalNoise,NeuronActivationPatterns/Resnet,99.985
44,MNIST,STL10,FashionMNIST,NeuronActivationPatterns/Resnet,92.37
45,MNIST,STL10,NotMNIST,NeuronActivationPatterns/Resnet,96.4591
46,MNIST,STL10,CIFAR10,NeuronActivationPatterns/Resnet,99.895
47,MNIST,STL10,CIFAR100,NeuronActivationPatterns/Resnet,99.905
48,MNIST,STL10,TinyImagenet,NeuronActivationPatterns/Resnet,99.885
49,MNIST,TinyImagenet,UniformNoise,NeuronActivationPatterns/Resnet,99.985
50,MNIST,TinyImagenet,NormalNoise,NeuronActivationPatterns/Resnet,99.985
51,MNIST,TinyImagenet,FashionMNIST,NeuronActivationPatterns/Resnet,93.575
52,MNIST,TinyImagenet,NotMNIST,NeuronActivationPatterns/Resnet,97.6714
53,MNIST,TinyImagenet,CIFAR10,NeuronActivationPatterns/Resnet,99.895
54,MNIST,TinyImagenet,CIFAR100,NeuronActivationPatterns/Resnet,99.905
55,MNIST,TinyImagenet,STL10,NeuronActivationPatterns/Resnet,99.8125
