class,comfort_level,correct
1,930,False
1,775,False
1,573,False
1,910,False
1,810,False
1,709,False
1,885,False
1,810,False
1,893,False
1,878,False
1,873,False
1,1050,False
1,1024,True
1,819,False
1,933,False
1,958,False
1,1053,False
1,875,False
1,780,False
1,938,False
1,812,False
1,805,False
1,1002,False
1,895,False
1,838,False
1,904,False
1,842,False
1,965,False
1,876,False
1,914,False
1,858,False
1,873,False
1,894,False
1,881,False
1,905,False
1,751,False
1,905,False
1,769,False
1,959,False
1,735,False
1,846,False
1,855,False
1,784,False
1,879,False
1,869,False
1,916,False
1,939,False
1,874,False
1,902,False
1,799,False
1,884,False
1,853,False
1,938,False
1,859,False
1,902,False
1,778,False
1,917,False
1,832,False
1,881,False
1,776,False
1,855,False
1,907,False
1,775,False
1,801,False
1,819,False
1,886,False
1,868,False
1,790,False
1,952,False
1,902,False
1,845,False
1,833,False
1,996,False
1,857,False
1,560,False
1,698,False
1,936,False
1,907,False
1,740,False
1,782,False
1,923,False
1,890,False
1,929,False
1,871,False
1,852,False
1,856,False
1,948,False
1,907,False
1,930,False
1,864,False
1,850,False
1,863,False
1,662,False
1,751,False
1,754,False
1,908,False
1,736,False
1,893,False
1,821,False
1,862,False
1,851,False
1,872,False
1,847,False
1,706,False
1,785,False
1,864,False
1,768,False
1,856,False
1,878,False
1,893,False
1,765,False
1,855,False
1,933,False
1,915,False
1,836,False
1,918,False
1,811,False
1,743,False
1,937,False
1,777,False
1,898,False
1,837,False
1,830,False
1,877,False
1,758,False
1,823,False
1,874,False
1,932,False
1,857,False
1,825,False
1,809,False
1,860,False
1,834,False
1,852,False
1,870,False
1,869,False
1,754,False
1,835,False
1,828,False
1,897,False
1,975,False
1,849,False
1,880,False
1,783,False
1,811,False
1,891,False
1,768,False
1,797,False
1,909,False
1,876,False
1,838,False
1,813,False
1,827,False
1,1007,False
1,586,False
1,783,False
1,889,False
1,824,False
1,892,False
1,880,False
1,917,False
1,885,False
1,841,False
1,993,False
1,843,False
1,902,False
1,832,False
1,938,False
1,770,False
1,822,False
1,938,False
1,743,False
1,792,False
1,955,False
1,869,False
1,817,False
1,798,False
1,806,False
1,894,False
1,939,False
1,902,False
1,898,False
1,919,False
1,829,False
1,789,False
1,950,False
1,802,False
1,981,False
1,872,False
1,919,False
1,805,False
1,906,False
1,915,False
1,840,False
1,891,False
1,864,False
1,848,False
1,801,False
1,936,False
1,840,False
1,917,False
1,879,False
1,1020,False
1,1012,False
1,801,False
1,831,False
1,892,False
1,700,False
1,784,False
1,932,True
1,845,False
1,998,False
1,735,False
1,802,False
1,758,False
1,907,False
1,840,False
1,795,False
1,911,False
1,745,False
1,820,False
1,751,False
1,797,False
1,787,False
1,910,False
1,944,False
1,814,False
1,856,False
1,938,False
1,821,False
1,832,False
1,957,False
1,849,False
1,880,False
1,765,False
1,851,False
1,866,False
1,721,False
1,785,False
1,770,False
1,758,False
1,829,False
1,813,False
1,831,False
1,864,False
1,891,False
1,871,False
1,844,False
1,829,False
1,834,False
1,851,False
1,785,False
1,846,False
1,892,False
1,966,False
1,887,False
1,771,False
1,931,False
1,773,False
1,851,False
1,726,False
1,802,False
1,910,False
1,803,False
1,833,False
1,825,False
1,886,False
1,694,False
1,870,False
1,837,False
1,761,False
1,956,False
1,896,False
1,810,False
1,656,False
1,893,False
1,1024,False
1,873,False
1,940,False
1,673,False
1,888,False
1,807,False
1,907,False
1,871,False
1,864,False
1,851,False
1,885,False
1,926,False
1,956,False
1,844,False
1,1024,False
1,750,False
1,846,False
1,912,False
1,901,False
1,1047,False
1,955,False
1,960,False
1,857,False
1,900,False
1,879,False
1,954,False
1,1032,False
1,995,False
1,888,False
1,788,False
1,850,False
1,883,False
1,1019,False
1,785,False
