class,comfort_level,correct
1,2479,False
1,2448,False
1,2499,False
1,2399,False
1,2288,False
1,2198,False
1,2640,False
1,2207,False
1,2518,False
1,2459,False
1,2449,False
1,2366,False
1,2470,False
1,2527,False
1,2409,False
1,2324,False
1,2225,False
1,2388,False
1,2285,False
1,2257,False
1,2463,False
1,2428,False
1,2231,False
1,2684,False
1,2583,False
1,2518,False
1,2373,False
1,2216,False
1,1990,False
1,2568,False
1,2643,False
1,2427,False
1,2162,False
1,2524,False
1,2278,False
1,2499,False
1,2573,False
1,2333,False
1,2843,False
1,2679,False
1,2334,False
1,2145,False
1,2527,False
1,1909,False
1,2505,False
1,2222,False
1,2398,False
1,2439,False
1,2345,False
1,2355,False
1,2752,False
1,2393,False
1,2509,False
1,2224,False
1,2707,False
1,2572,False
1,2491,False
1,2111,False
1,2317,False
1,2195,False
1,2666,False
1,2279,False
1,2293,False
1,2307,False
1,2493,False
1,2449,False
1,2575,False
1,2492,False
1,2164,False
1,2407,False
1,2357,False
1,2355,False
1,2310,False
1,2694,False
1,2422,False
1,1999,False
1,2115,False
1,1950,False
1,2541,False
1,1978,False
1,2324,False
1,2135,False
1,2674,False
1,2138,False
1,2932,False
1,2450,False
1,2609,False
1,1855,False
1,2153,False
1,2104,False
1,2088,False
1,2385,False
1,2188,False
1,2519,False
1,2425,False
1,1939,False
1,2387,False
1,2415,False
1,2509,False
1,2245,False
1,2406,False
1,2682,False
1,2482,False
1,2664,False
1,2595,False
1,2551,False
1,1879,False
1,2456,False
1,2431,False
1,2205,False
1,2105,False
1,2183,False
1,2275,False
1,2205,False
1,2543,False
1,2555,False
1,2457,False
1,2470,False
1,2340,False
1,2299,False
1,1888,False
1,2197,False
1,2202,False
1,2264,False
1,2424,False
1,2567,False
1,2515,False
1,2570,False
1,2453,False
1,2326,False
1,2377,False
1,2687,False
1,2328,False
1,2149,False
1,2555,False
1,1933,False
1,2265,False
1,2456,False
1,2013,False
1,2266,False
1,2449,False
1,2371,False
1,2363,False
1,2376,False
1,2494,False
1,2238,False
1,2271,False
1,2443,False
1,2432,False
1,2462,False
1,2332,False
1,2165,False
1,1919,False
1,2544,False
1,1958,False
1,2522,False
1,2349,False
1,2318,False
1,2501,False
1,2469,False
1,2361,False
1,2277,False
1,2017,False
1,2483,False
1,2491,False
1,2317,False
1,2521,False
1,2735,False
1,2521,False
1,2213,False
1,2332,False
1,2604,False
1,2376,False
1,1984,False
1,2070,False
1,2239,False
1,2581,False
1,2360,False
1,2400,False
1,2637,False
1,2262,False
1,2105,False
1,2367,False
1,2312,False
1,2404,False
1,2687,False
1,2267,False
1,1753,False
1,2707,False
1,2296,False
1,2549,False
1,2647,False
1,2419,False
1,2609,False
1,2573,False
1,2397,False
1,2697,False
1,2513,False
1,2625,False
1,2365,False
1,2353,False
1,2402,False
1,2568,False
1,2404,False
1,2464,False
1,2619,False
1,2680,False
1,2234,False
1,2394,False
1,2444,False
1,2279,False
1,2270,False
1,2628,False
1,2393,False
1,2561,False
1,2591,False
1,2412,False
1,1827,False
1,2262,False
1,2213,False
1,2005,False
1,2583,False
1,2128,False
1,2413,False
1,1730,False
1,2206,False
1,2567,False
1,2363,False
1,2570,False
1,2506,False
1,2557,False
1,2467,False
1,1816,False
1,2611,False
1,2714,False
1,2227,False
1,2070,False
1,2402,False
1,2290,False
1,2627,False
1,2331,False
1,2509,False
1,2261,False
1,2379,False
1,2865,False
1,2567,False
1,2426,False
1,2731,False
1,2570,False
1,2515,False
1,2669,False
1,2288,False
1,2650,False
1,2442,False
1,2545,False
1,2585,False
1,2679,False
1,2403,False
1,2156,False
1,2344,False
1,2615,False
1,2779,False
1,2168,False
1,2747,False
1,2084,False
1,2072,False
1,2545,False
1,2660,False
1,2665,False
1,2515,False
1,2301,False
1,2388,False
1,2443,False
1,2497,False
1,2379,False
1,1908,False
1,2790,False
1,2079,False
1,2468,False
1,2068,False
1,2308,False
1,2301,False
1,2622,False
1,2386,False
1,2680,False
1,2570,False
1,2561,False
1,2460,False
1,2480,False
1,2437,False
1,2658,False
1,2615,False
1,1854,False
1,2047,False
1,2729,False
1,2500,False
