class,comfort_level,correct
1,41,False
1,44,False
1,32,False
1,34,False
1,42,True
1,39,True
1,37,True
1,46,True
1,41,True
1,35,True
1,53,False
1,51,False
1,37,True
1,38,True
1,30,True
1,39,False
1,35,True
1,43,False
1,46,False
1,37,False
1,41,False
1,39,False
1,49,False
1,39,True
1,45,False
1,45,False
1,41,True
1,49,False
1,37,False
1,28,False
1,48,True
1,30,False
1,46,True
1,37,True
1,35,True
1,48,False
1,37,False
1,41,False
1,42,False
1,38,True
1,37,False
1,43,False
1,43,False
1,45,True
1,50,False
1,44,False
1,31,False
1,34,False
1,40,False
1,44,False
1,39,False
1,37,False
1,45,False
1,36,False
1,36,False
1,40,False
1,41,False
1,53,False
1,47,True
1,49,False
1,35,True
1,40,False
1,37,True
1,41,False
1,41,False
1,40,False
1,47,False
1,39,False
1,40,False
1,40,True
1,37,True
1,36,False
1,36,False
1,45,False
1,39,False
1,41,False
1,39,False
1,41,False
1,41,False
1,33,False
1,43,False
1,49,False
1,48,False
1,41,True
1,47,False
1,39,False
1,46,False
1,40,True
1,42,False
1,35,True
1,41,False
1,38,True
1,46,False
1,39,False
1,40,True
1,37,True
1,35,False
1,53,False
1,45,False
1,36,True
1,30,False
1,44,False
1,26,True
1,35,False
1,48,False
1,39,False
1,34,False
1,45,False
1,38,False
1,35,True
1,40,False
1,53,False
1,43,False
1,41,False
1,47,False
1,32,False
1,47,False
1,31,True
1,39,True
1,41,True
1,36,False
1,31,False
1,40,False
1,34,False
1,46,False
1,35,False
1,33,False
1,53,False
1,36,True
1,47,True
1,48,False
1,42,False
1,37,False
1,35,False
1,45,False
1,37,False
1,39,False
1,31,True
1,40,False
1,45,True
1,43,True
1,45,False
1,35,True
1,38,True
1,36,True
1,44,False
1,43,False
1,42,False
1,32,False
1,42,False
1,49,False
1,49,False
1,46,True
1,52,False
1,42,False
1,38,True
1,35,False
1,38,False
1,33,False
1,38,True
1,46,False
1,36,True
1,45,False
1,33,True
1,39,False
1,37,True
1,39,False
1,43,True
1,36,False
1,45,False
1,44,False
1,30,True
1,43,True
1,46,False
1,37,True
1,41,False
1,43,False
1,33,False
1,43,True
1,43,False
1,42,True
1,41,False
1,35,False
1,40,False
1,46,False
1,37,False
1,48,False
1,39,False
1,39,False
1,32,True
1,45,False
1,48,True
1,32,True
1,30,True
1,43,False
1,32,False
1,49,False
1,45,True
1,35,False
1,47,False
1,41,False
1,42,True
1,33,True
1,43,False
1,47,False
1,38,False
1,37,True
1,41,False
1,38,True
1,43,False
1,36,True
1,36,True
1,47,False
1,47,False
1,42,False
1,39,True
1,50,False
1,46,False
1,32,False
1,48,False
1,29,True
1,41,False
1,46,False
1,37,True
1,39,True
1,44,False
1,39,True
1,36,False
1,33,True
1,44,False
1,36,True
1,46,False
1,38,False
1,27,True
1,42,False
1,47,False
1,34,False
1,40,False
1,29,True
1,49,False
1,31,False
1,22,True
1,36,True
1,34,False
1,42,False
1,33,True
1,48,False
1,41,False
1,49,False
1,40,False
1,38,False
1,42,False
1,39,True
1,42,True
1,40,False
1,45,False
1,44,False
1,49,False
1,45,True
1,38,True
1,49,False
1,43,False
1,40,False
1,31,False
1,30,False
1,45,False
1,45,False
1,49,True
1,39,False
1,43,False
1,47,False
1,37,True
1,44,False
1,43,True
1,47,False
1,48,False
1,40,False
1,37,True
1,51,False
1,34,False
1,51,True
1,46,False
1,40,False
1,41,False
1,43,False
1,32,False
1,45,True
1,30,True
1,37,False
1,47,False
1,36,False
1,42,False
1,41,False
1,40,False
1,37,False
1,45,False
1,45,True
1,50,True
1,44,False
1,34,True
1,43,True
1,41,False
1,32,False
1,43,False
1,44,False
1,34,False
1,40,False
1,41,False
1,36,True
1,45,False
1,44,False
1,34,True
1,36,True
1,39,False
1,38,True
1,37,True
1,41,False
1,49,False
1,46,False
1,41,True
1,28,True
1,46,False
1,42,False
1,46,False
1,40,False
1,40,False
1,43,True
1,38,False
1,46,False
1,55,False
1,34,False
1,43,True
1,44,True
1,39,False
1,39,False
1,39,False
1,33,False
1,42,True
1,40,False
1,40,False
1,34,False
1,43,False
1,36,False
1,38,False
1,41,False
1,43,True
1,40,False
1,36,False
1,46,False
1,41,False
1,42,False
1,39,False
1,40,False
1,37,False
1,45,False
1,36,True
1,37,True
1,37,True
1,44,False
1,36,False
1,43,False
1,42,False
1,42,False
1,36,False
1,35,False
1,43,False
1,41,False
1,36,False
1,42,False
1,47,False
1,37,False
1,51,False
1,39,False
1,34,False
1,41,False
1,34,False
1,50,False
1,45,True
1,41,False
1,46,False
1,42,False
1,36,True
1,38,False
1,43,False
1,39,False
1,36,False
1,39,False
1,36,False
1,38,False
1,37,True
1,32,False
1,38,False
1,49,False
1,36,True
1,47,False
1,44,False
1,44,False
1,43,False
1,44,False
1,40,False
1,39,False
1,54,False
1,39,False
1,38,True
1,44,False
1,37,True
1,37,True
1,35,False
1,29,False
1,45,False
1,46,False
1,44,False
1,38,False
1,32,True
1,39,False
1,38,False
1,48,False
1,38,False
1,38,False
1,38,True
1,28,False
1,49,False
1,27,False
1,43,False
1,43,False
1,51,False
1,38,False
1,39,False
1,43,False
1,47,False
1,55,False
1,46,False
1,38,False
1,50,False
1,40,False
1,40,True
1,45,False
1,40,False
1,37,True
1,48,False
1,40,True
1,42,False
1,39,False
1,42,False
1,40,False
1,46,False
1,42,False
1,39,False
1,40,False
1,51,False
1,37,False
1,40,True
1,50,False
1,40,True
1,43,True
1,47,False
1,41,False
1,50,False
1,35,True
