,ds,dv,dt,method,acc
0,MNIST,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,1
1,MNIST,UniformNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.796700000762939
2,MNIST,UniformNoise,NotMNIST,NeuronActivationPatterns/VGG,0.926778495311737
3,MNIST,UniformNoise,CIFAR10,NeuronActivationPatterns/VGG,0.963349997997284
4,MNIST,UniformNoise,CIFAR100,NeuronActivationPatterns/VGG,0.966849982738495
5,MNIST,UniformNoise,STL10,NeuronActivationPatterns/VGG,0.945124983787537
6,MNIST,UniformNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.952849984169006
7,MNIST,NormalNoise,UniformNoise,NeuronActivationPatterns/VGG,0.998950004577637
8,MNIST,NormalNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.768549978733063
9,MNIST,NormalNoise,NotMNIST,NeuronActivationPatterns/VGG,0.908993780612946
10,MNIST,NormalNoise,CIFAR10,NeuronActivationPatterns/VGG,0.954200029373169
11,MNIST,NormalNoise,CIFAR100,NeuronActivationPatterns/VGG,0.959450006484985
12,MNIST,NormalNoise,STL10,NeuronActivationPatterns/VGG,0.933812499046326
13,MNIST,NormalNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.942550003528595
14,MNIST,FashionMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.995800018310547
15,MNIST,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.995800018310547
16,MNIST,FashionMNIST,NotMNIST,NeuronActivationPatterns/VGG,0.995139956474304
17,MNIST,FashionMNIST,CIFAR10,NeuronActivationPatterns/VGG,0.992999970912933
18,MNIST,FashionMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.993550002574921
19,MNIST,FashionMNIST,STL10,NeuronActivationPatterns/VGG,0.989250004291534
20,MNIST,FashionMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.992299973964691
21,MNIST,NotMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.998449981212616
22,MNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.998449981212616
23,MNIST,NotMNIST,FashionMNIST,NeuronActivationPatterns/VGG,0.985949993133545
24,MNIST,NotMNIST,CIFAR10,NeuronActivationPatterns/VGG,0.994499981403351
25,MNIST,NotMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.995199978351593
26,MNIST,NotMNIST,STL10,NeuronActivationPatterns/VGG,0.990249991416931
27,MNIST,NotMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.993600010871887
28,MNIST,CIFAR10,UniformNoise,NeuronActivationPatterns/VGG,0.998099982738495
29,MNIST,CIFAR10,NormalNoise,NeuronActivationPatterns/VGG,0.998099982738495
30,MNIST,CIFAR10,FashionMNIST,NeuronActivationPatterns/VGG,0.989350020885468
31,MNIST,CIFAR10,NotMNIST,NeuronActivationPatterns/VGG,0.996848940849304
32,MNIST,CIFAR10,CIFAR100,NeuronActivationPatterns/VGG,0.99524998664856
33,MNIST,CIFAR10,STL10,NeuronActivationPatterns/VGG,0.990625023841858
34,MNIST,CIFAR10,TinyImagenet,NeuronActivationPatterns/VGG,0.993650019168854
35,MNIST,CIFAR100,UniformNoise,NeuronActivationPatterns/VGG,0.998099982738495
36,MNIST,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0.998099982738495
37,MNIST,CIFAR100,FashionMNIST,NeuronActivationPatterns/VGG,0.989350020885468
38,MNIST,CIFAR100,NotMNIST,NeuronActivationPatterns/VGG,0.996848940849304
39,MNIST,CIFAR100,CIFAR10,NeuronActivationPatterns/VGG,0.994449973106384
40,MNIST,CIFAR100,STL10,NeuronActivationPatterns/VGG,0.990625023841858
41,MNIST,CIFAR100,TinyImagenet,NeuronActivationPatterns/VGG,0.993650019168854
42,MNIST,STL10,UniformNoise,NeuronActivationPatterns/VGG,0.997699975967407
43,MNIST,STL10,NormalNoise,NeuronActivationPatterns/VGG,0.997699975967407
44,MNIST,STL10,FashionMNIST,NeuronActivationPatterns/VGG,0.990350008010864
45,MNIST,STL10,NotMNIST,NeuronActivationPatterns/VGG,0.996475100517273
46,MNIST,STL10,CIFAR10,NeuronActivationPatterns/VGG,0.994350016117096
47,MNIST,STL10,CIFAR100,NeuronActivationPatterns/VGG,0.994849979877472
48,MNIST,STL10,TinyImagenet,NeuronActivationPatterns/VGG,0.993449985980988
49,MNIST,TinyImagenet,UniformNoise,NeuronActivationPatterns/VGG,0.996399998664856
50,MNIST,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0.996399998664856
51,MNIST,TinyImagenet,FashionMNIST,NeuronActivationPatterns/VGG,0.991800010204315
52,MNIST,TinyImagenet,NotMNIST,NeuronActivationPatterns/VGG,0.995567202568054
53,MNIST,TinyImagenet,CIFAR10,NeuronActivationPatterns/VGG,0.993499994277954
54,MNIST,TinyImagenet,CIFAR100,NeuronActivationPatterns/VGG,0.993900001049041
55,MNIST,TinyImagenet,STL10,NeuronActivationPatterns/VGG,0.989499986171722
56,FashionMNIST,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0.792699992656708
57,FashionMNIST,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0.917550027370453
