,ds,dv,dt,method,acc
0,MNIST,UniformNoise,NormalNoise,ProbThresh/VGG,0.9878499507904053
1,MNIST,NormalNoise,UniformNoise,ProbThresh/VGG,0.9533999562263489
2,MNIST,UniformNoise,FashionMNIST,ProbThresh/VGG,0.9194999933242798
3,MNIST,UniformNoise,NotMNIST,ProbThresh/VGG,0.7683187127113342
4,MNIST,UniformNoise,CIFAR10,ProbThresh/VGG,0.9388999938964844
5,MNIST,UniformNoise,CIFAR100,ProbThresh/VGG,0.9033499956130981
6,MNIST,UniformNoise,STL10,ProbThresh/VGG,0.9541875720024109
7,MNIST,UniformNoise,TinyImagenet,ProbThresh/VGG,0.9446499943733215
8,MNIST,NormalNoise,FashionMNIST,ProbThresh/VGG,0.9044999480247498
9,MNIST,NormalNoise,NotMNIST,ProbThresh/VGG,0.753738522529602
10,MNIST,NormalNoise,CIFAR10,ProbThresh/VGG,0.9313499927520752
11,MNIST,NormalNoise,CIFAR100,ProbThresh/VGG,0.8906499743461609
12,MNIST,NormalNoise,STL10,ProbThresh/VGG,0.9504375457763672
13,MNIST,NormalNoise,TinyImagenet,ProbThresh/VGG,0.9376999735832214
14,MNIST,FashionMNIST,UniformNoise,ProbThresh/VGG,0.984749972820282
15,MNIST,FashionMNIST,NormalNoise,ProbThresh/VGG,0.9856999516487122
16,MNIST,FashionMNIST,NotMNIST,ProbThresh/VGG,0.7847682237625122
17,MNIST,FashionMNIST,CIFAR10,ProbThresh/VGG,0.9442499876022339
18,MNIST,FashionMNIST,CIFAR100,ProbThresh/VGG,0.9121999740600586
19,MNIST,FashionMNIST,STL10,ProbThresh/VGG,0.956125020980835
20,MNIST,FashionMNIST,TinyImagenet,ProbThresh/VGG,0.9487999677658081
21,MNIST,NotMNIST,UniformNoise,ProbThresh/VGG,0.9825999736785889
22,MNIST,NotMNIST,NormalNoise,ProbThresh/VGG,0.986799955368042
23,MNIST,NotMNIST,FashionMNIST,ProbThresh/VGG,0.9249500036239624
24,MNIST,NotMNIST,CIFAR10,ProbThresh/VGG,0.9428499937057495
25,MNIST,NotMNIST,CIFAR100,ProbThresh/VGG,0.91034996509552
26,MNIST,NotMNIST,STL10,ProbThresh/VGG,0.9564375281333923
27,MNIST,NotMNIST,TinyImagenet,ProbThresh/VGG,0.9478499889373779
28,MNIST,CIFAR10,UniformNoise,ProbThresh/VGG,0.981249988079071
29,MNIST,CIFAR10,NormalNoise,ProbThresh/VGG,0.9872499704360962
30,MNIST,CIFAR10,FashionMNIST,ProbThresh/VGG,0.9217000007629395
31,MNIST,CIFAR10,NotMNIST,ProbThresh/VGG,0.7721640467643738
32,MNIST,CIFAR10,CIFAR100,ProbThresh/VGG,0.9063499569892883
33,MNIST,CIFAR10,STL10,ProbThresh/VGG,0.9548750519752502
34,MNIST,CIFAR10,TinyImagenet,ProbThresh/VGG,0.9455499649047852
35,MNIST,CIFAR100,UniformNoise,ProbThresh/VGG,0.9837499856948853
36,MNIST,CIFAR100,NormalNoise,ProbThresh/VGG,0.9858499765396118
37,MNIST,CIFAR100,FashionMNIST,ProbThresh/VGG,0.9307499527931213
38,MNIST,CIFAR100,NotMNIST,ProbThresh/VGG,0.7847682237625122
39,MNIST,CIFAR100,CIFAR10,ProbThresh/VGG,0.9442499876022339
40,MNIST,CIFAR100,STL10,ProbThresh/VGG,0.956125020980835
41,MNIST,CIFAR100,TinyImagenet,ProbThresh/VGG,0.9487999677658081
42,MNIST,STL10,UniformNoise,ProbThresh/VGG,0.7166999578475952
43,MNIST,STL10,NormalNoise,ProbThresh/VGG,0.8534999489784241
44,MNIST,STL10,FashionMNIST,ProbThresh/VGG,0.8605999946594238
45,MNIST,STL10,NotMNIST,ProbThresh/VGG,0.7067934274673462
46,MNIST,STL10,CIFAR10,ProbThresh/VGG,0.9063499569892883
47,MNIST,STL10,CIFAR100,ProbThresh/VGG,0.8557499647140503
48,MNIST,STL10,TinyImagenet,ProbThresh/VGG,0.918999969959259
49,MNIST,TinyImagenet,UniformNoise,ProbThresh/VGG,0.9830499887466431
50,MNIST,TinyImagenet,NormalNoise,ProbThresh/VGG,0.986549973487854
51,MNIST,TinyImagenet,FashionMNIST,ProbThresh/VGG,0.9249500036239624
52,MNIST,TinyImagenet,NotMNIST,ProbThresh/VGG,0.7756889462471008
53,MNIST,TinyImagenet,CIFAR10,ProbThresh/VGG,0.9428499937057495
54,MNIST,TinyImagenet,CIFAR100,ProbThresh/VGG,0.91034996509552
55,MNIST,TinyImagenet,STL10,ProbThresh/VGG,0.9564375281333923
56,MNIST,UniformNoise,NormalNoise,ProbThresh/Resnet,0.8667500019073486
57,MNIST,UniformNoise,FashionMNIST,ProbThresh/Resnet,0.9094499945640564
