,ds,dv,dt,method,acc
0,STL10,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,86.2125
1,STL10,UniformNoise,MNIST,NeuronActivationPatterns/Resnet,80.35
2,STL10,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,69.975
3,STL10,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,77.1625
4,STL10,UniformNoise,CIFAR100,NeuronActivationPatterns/Resnet,63.925
5,STL10,UniformNoise,TinyImagenet,NeuronActivationPatterns/Resnet,61.3625
6,STL10,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,84.3125
7,STL10,NormalNoise,MNIST,NeuronActivationPatterns/Resnet,78.125
8,STL10,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,66.45
9,STL10,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,76.2625
10,STL10,NormalNoise,CIFAR100,NeuronActivationPatterns/Resnet,62.8125
11,STL10,NormalNoise,TinyImagenet,NeuronActivationPatterns/Resnet,60.1875
12,STL10,MNIST,UniformNoise,NeuronActivationPatterns/Resnet,84.2
13,STL10,MNIST,NormalNoise,NeuronActivationPatterns/Resnet,84.825
14,STL10,MNIST,NotMNIST,NeuronActivationPatterns/Resnet,70.7375
15,STL10,MNIST,FashionMNIST,NeuronActivationPatterns/Resnet,76.7625
16,STL10,MNIST,CIFAR100,NeuronActivationPatterns/Resnet,64.125
17,STL10,MNIST,TinyImagenet,NeuronActivationPatterns/Resnet,61.6375
18,STL10,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,82.2375
19,STL10,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,82.3375
20,STL10,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,79.7
21,STL10,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,75.85
22,STL10,NotMNIST,CIFAR100,NeuronActivationPatterns/Resnet,64.975
23,STL10,NotMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,62
24,STL10,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,85.225
25,STL10,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,86.4375
26,STL10,FashionMNIST,MNIST,NeuronActivationPatterns/Resnet,80.275
27,STL10,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,69.8125
28,STL10,FashionMNIST,CIFAR100,NeuronActivationPatterns/Resnet,63.8625
29,STL10,FashionMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,61.3375
30,STL10,CIFAR100,UniformNoise,NeuronActivationPatterns/Resnet,84.4125
31,STL10,CIFAR100,NormalNoise,NeuronActivationPatterns/Resnet,84.6625
32,STL10,CIFAR100,MNIST,NeuronActivationPatterns/Resnet,80.3625
33,STL10,CIFAR100,NotMNIST,NeuronActivationPatterns/Resnet,70.75
34,STL10,CIFAR100,FashionMNIST,NeuronActivationPatterns/Resnet,76.725
35,STL10,CIFAR100,TinyImagenet,NeuronActivationPatterns/Resnet,61.6875
36,STL10,TinyImagenet,UniformNoise,NeuronActivationPatterns/Resnet,83.4
37,STL10,TinyImagenet,NormalNoise,NeuronActivationPatterns/Resnet,83.3875
38,STL10,TinyImagenet,MNIST,NeuronActivationPatterns/Resnet,79.9
39,STL10,TinyImagenet,NotMNIST,NeuronActivationPatterns/Resnet,71.0875
40,STL10,TinyImagenet,FashionMNIST,NeuronActivationPatterns/Resnet,76.2375
41,STL10,TinyImagenet,CIFAR100,NeuronActivationPatterns/Resnet,64.4625
