,ds,dv,dt,method,acc
0,TinyImagenet,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,86.265
1,TinyImagenet,UniformNoise,MNIST,NeuronActivationPatterns/Resnet,89.79
2,TinyImagenet,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,87.77
3,TinyImagenet,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,87.7804
4,TinyImagenet,UniformNoise,CIFAR10,NeuronActivationPatterns/Resnet,81.96
5,TinyImagenet,UniformNoise,CIFAR100,NeuronActivationPatterns/Resnet,82.5055
6,TinyImagenet,UniformNoise,STL10,NeuronActivationPatterns/Resnet,60.7375
7,TinyImagenet,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,88.025
8,TinyImagenet,NormalNoise,MNIST,NeuronActivationPatterns/Resnet,89.79
9,TinyImagenet,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,87.77
10,TinyImagenet,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,87.7804
11,TinyImagenet,NormalNoise,CIFAR10,NeuronActivationPatterns/Resnet,81.96
12,TinyImagenet,NormalNoise,CIFAR100,NeuronActivationPatterns/Resnet,82.5055
13,TinyImagenet,NormalNoise,STL10,NeuronActivationPatterns/Resnet,60.7375
14,TinyImagenet,MNIST,UniformNoise,NeuronActivationPatterns/Resnet,69.765
15,TinyImagenet,MNIST,NormalNoise,NeuronActivationPatterns/Resnet,85.64
16,TinyImagenet,MNIST,FashionMNIST,NeuronActivationPatterns/Resnet,87.97
17,TinyImagenet,MNIST,NotMNIST,NeuronActivationPatterns/Resnet,88.8218
18,TinyImagenet,MNIST,CIFAR10,NeuronActivationPatterns/Resnet,80.075
19,TinyImagenet,MNIST,CIFAR100,NeuronActivationPatterns/Resnet,80.0055
20,TinyImagenet,MNIST,STL10,NeuronActivationPatterns/Resnet,57.0562
21,TinyImagenet,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,84.515
22,TinyImagenet,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,86.445
23,TinyImagenet,FashionMNIST,MNIST,NeuronActivationPatterns/Resnet,92.34
24,TinyImagenet,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,89.0728
25,TinyImagenet,FashionMNIST,CIFAR10,NeuronActivationPatterns/Resnet,81.13
26,TinyImagenet,FashionMNIST,CIFAR100,NeuronActivationPatterns/Resnet,81.2582
27,TinyImagenet,FashionMNIST,STL10,NeuronActivationPatterns/Resnet,58.0875
28,TinyImagenet,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,84.28
29,TinyImagenet,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,86.17
30,TinyImagenet,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,92.34
31,TinyImagenet,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,88.65
32,TinyImagenet,NotMNIST,CIFAR10,NeuronActivationPatterns/Resnet,81.13
33,TinyImagenet,NotMNIST,CIFAR100,NeuronActivationPatterns/Resnet,81.2582
34,TinyImagenet,NotMNIST,STL10,NeuronActivationPatterns/Resnet,58.0875
35,TinyImagenet,CIFAR10,UniformNoise,NeuronActivationPatterns/Resnet,87.86
36,TinyImagenet,CIFAR10,NormalNoise,NeuronActivationPatterns/Resnet,86.505
37,TinyImagenet,CIFAR10,MNIST,NeuronActivationPatterns/Resnet,89.79
38,TinyImagenet,CIFAR10,FashionMNIST,NeuronActivationPatterns/Resnet,87.77
39,TinyImagenet,CIFAR10,NotMNIST,NeuronActivationPatterns/Resnet,87.7804
40,TinyImagenet,CIFAR10,CIFAR100,NeuronActivationPatterns/Resnet,82.5055
41,TinyImagenet,CIFAR10,STL10,NeuronActivationPatterns/Resnet,60.7375
42,TinyImagenet,CIFAR100,UniformNoise,NeuronActivationPatterns/Resnet,87.985
43,TinyImagenet,CIFAR100,NormalNoise,NeuronActivationPatterns/Resnet,86.295
44,TinyImagenet,CIFAR100,MNIST,NeuronActivationPatterns/Resnet,89.79
45,TinyImagenet,CIFAR100,FashionMNIST,NeuronActivationPatterns/Resnet,87.77
46,TinyImagenet,CIFAR100,NotMNIST,NeuronActivationPatterns/Resnet,87.7804
47,TinyImagenet,CIFAR100,CIFAR10,NeuronActivationPatterns/Resnet,81.96
48,TinyImagenet,CIFAR100,STL10,NeuronActivationPatterns/Resnet,60.7375
49,TinyImagenet,STL10,UniformNoise,NeuronActivationPatterns/Resnet,82.315
50,TinyImagenet,STL10,NormalNoise,NeuronActivationPatterns/Resnet,82.435
51,TinyImagenet,STL10,MNIST,NeuronActivationPatterns/Resnet,82.53
52,TinyImagenet,STL10,FashionMNIST,NeuronActivationPatterns/Resnet,81.845
53,TinyImagenet,STL10,NotMNIST,NeuronActivationPatterns/Resnet,81.3715
54,TinyImagenet,STL10,CIFAR10,NeuronActivationPatterns/Resnet,79.18
55,TinyImagenet,STL10,CIFAR100,NeuronActivationPatterns/Resnet,79.4066
