,ds,dv,dt,method,acc
0,CIFAR10,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0.9779999852180481
1,CIFAR10,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0.9474999904632568
2,CIFAR10,UniformNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.9449999928474426
3,CIFAR10,UniformNoise,NotMNIST,NeuronActivationPatterns/VGG,0.9777825474739075
4,CIFAR10,UniformNoise,CIFAR100,NeuronActivationPatterns/VGG,0.9330000281333923
5,CIFAR10,UniformNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.9337499737739563
6,CIFAR10,NormalNoise,UniformNoise,NeuronActivationPatterns/VGG,0.9807000160217285
7,CIFAR10,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0.9474999904632568
8,CIFAR10,NormalNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.9449999928474426
9,CIFAR10,NormalNoise,NotMNIST,NeuronActivationPatterns/VGG,0.9777825474739075
10,CIFAR10,NormalNoise,CIFAR100,NeuronActivationPatterns/VGG,0.9330000281333923
11,CIFAR10,NormalNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.9337499737739563
12,CIFAR10,MNIST,UniformNoise,NeuronActivationPatterns/VGG,0.9710000157356262
13,CIFAR10,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0.9704999923706055
14,CIFAR10,MNIST,FashionMNIST,NeuronActivationPatterns/VGG,0.9567000269889832
15,CIFAR10,MNIST,NotMNIST,NeuronActivationPatterns/VGG,0.9692907333374023
16,CIFAR10,MNIST,CIFAR100,NeuronActivationPatterns/VGG,0.9485499858856201
17,CIFAR10,MNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.9480000138282776
18,CIFAR10,FashionMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.964900016784668
19,CIFAR10,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.964900016784668
20,CIFAR10,FashionMNIST,MNIST,NeuronActivationPatterns/VGG,0.9585999846458435
21,CIFAR10,FashionMNIST,NotMNIST,NeuronActivationPatterns/VGG,0.964323878288269
22,CIFAR10,FashionMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.9535999894142151
23,CIFAR10,FashionMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.9541500210762024
24,CIFAR10,NotMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.9815999865531921
25,CIFAR10,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.9739000201225281
26,CIFAR10,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0.9419500231742859
27,CIFAR10,NotMNIST,FashionMNIST,NeuronActivationPatterns/VGG,0.9424999952316284
28,CIFAR10,NotMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.9283999800682068
29,CIFAR10,NotMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.9294000267982483
30,CIFAR10,CIFAR100,UniformNoise,NeuronActivationPatterns/VGG,0.9551500082015991
31,CIFAR10,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0.9551500082015991
32,CIFAR10,CIFAR100,MNIST,NeuronActivationPatterns/VGG,0.9536499977111816
33,CIFAR10,CIFAR100,FashionMNIST,NeuronActivationPatterns/VGG,0.954800009727478
34,CIFAR10,CIFAR100,NotMNIST,NeuronActivationPatterns/VGG,0.9550309777259827
35,CIFAR10,CIFAR100,TinyImagenet,NeuronActivationPatterns/VGG,0.9541500210762024
36,CIFAR10,TinyImagenet,UniformNoise,NeuronActivationPatterns/VGG,0.9608500003814697
37,CIFAR10,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0.9608500003814697
38,CIFAR10,TinyImagenet,MNIST,NeuronActivationPatterns/VGG,0.956849992275238
39,CIFAR10,TinyImagenet,FashionMNIST,NeuronActivationPatterns/VGG,0.9588000178337097
40,CIFAR10,TinyImagenet,NotMNIST,NeuronActivationPatterns/VGG,0.9606921672821045
41,CIFAR10,TinyImagenet,CIFAR100,NeuronActivationPatterns/VGG,0.9561499953269958
