,ds,dv,dt,method,acc
0,FashionMNIST,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0.792699992656708
1,FashionMNIST,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0.917550027370453
2,FashionMNIST,UniformNoise,NotMNIST,NeuronActivationPatterns/VGG,0.929662466049194
3,FashionMNIST,UniformNoise,CIFAR10,NeuronActivationPatterns/VGG,0.934549987316132
4,FashionMNIST,UniformNoise,CIFAR100,NeuronActivationPatterns/VGG,0.934849977493286
5,FashionMNIST,UniformNoise,STL10,NeuronActivationPatterns/VGG,0.929750025272369
6,FashionMNIST,UniformNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.935549974441528
7,FashionMNIST,NormalNoise,UniformNoise,NeuronActivationPatterns/VGG,0.772300004959106
8,FashionMNIST,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0.917550027370453
9,FashionMNIST,NormalNoise,NotMNIST,NeuronActivationPatterns/VGG,0.929662466049194
10,FashionMNIST,NormalNoise,CIFAR10,NeuronActivationPatterns/VGG,0.934549987316132
11,FashionMNIST,NormalNoise,CIFAR100,NeuronActivationPatterns/VGG,0.934849977493286
12,FashionMNIST,NormalNoise,STL10,NeuronActivationPatterns/VGG,0.929750025272369
13,FashionMNIST,NormalNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.935549974441528
14,FashionMNIST,MNIST,UniformNoise,NeuronActivationPatterns/VGG,0.669399976730347
15,FashionMNIST,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0.680350005626678
16,FashionMNIST,MNIST,NotMNIST,NeuronActivationPatterns/VGG,0.959570586681366
17,FashionMNIST,MNIST,CIFAR10,NeuronActivationPatterns/VGG,0.96764999628067
18,FashionMNIST,MNIST,CIFAR100,NeuronActivationPatterns/VGG,0.967199981212616
19,FashionMNIST,MNIST,STL10,NeuronActivationPatterns/VGG,0.965312480926514
20,FashionMNIST,MNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.969950020313263
21,FashionMNIST,NotMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.666499972343445
22,FashionMNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.677100002765656
23,FashionMNIST,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0.941799998283386
24,FashionMNIST,NotMNIST,CIFAR10,NeuronActivationPatterns/VGG,0.96764999628067
25,FashionMNIST,NotMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.967199981212616
26,FashionMNIST,NotMNIST,STL10,NeuronActivationPatterns/VGG,0.965312480926514
27,FashionMNIST,NotMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.969950020313263
28,FashionMNIST,CIFAR10,UniformNoise,NeuronActivationPatterns/VGG,0.575299978256226
29,FashionMNIST,CIFAR10,NormalNoise,NeuronActivationPatterns/VGG,0.587000012397766
30,FashionMNIST,CIFAR10,MNIST,NeuronActivationPatterns/VGG,0.887650012969971
31,FashionMNIST,CIFAR10,NotMNIST,NeuronActivationPatterns/VGG,0.913640260696411
32,FashionMNIST,CIFAR10,CIFAR100,NeuronActivationPatterns/VGG,0.974300026893616
33,FashionMNIST,CIFAR10,STL10,NeuronActivationPatterns/VGG,0.97531247138977
34,FashionMNIST,CIFAR10,TinyImagenet,NeuronActivationPatterns/VGG,0.981100022792816
35,FashionMNIST,CIFAR100,UniformNoise,NeuronActivationPatterns/VGG,0.581250011920929
36,FashionMNIST,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0.581499993801117
37,FashionMNIST,CIFAR100,MNIST,NeuronActivationPatterns/VGG,0.887650012969971
38,FashionMNIST,CIFAR100,NotMNIST,NeuronActivationPatterns/VGG,0.913640260696411
39,FashionMNIST,CIFAR100,CIFAR10,NeuronActivationPatterns/VGG,0.975600004196167
40,FashionMNIST,CIFAR100,STL10,NeuronActivationPatterns/VGG,0.97531247138977
41,FashionMNIST,CIFAR100,TinyImagenet,NeuronActivationPatterns/VGG,0.981100022792816
42,FashionMNIST,STL10,UniformNoise,NeuronActivationPatterns/VGG,0.574750006198883
43,FashionMNIST,STL10,NormalNoise,NeuronActivationPatterns/VGG,0.5869500041008
44,FashionMNIST,STL10,MNIST,NeuronActivationPatterns/VGG,0.887650012969971
45,FashionMNIST,STL10,NotMNIST,NeuronActivationPatterns/VGG,0.913640260696411
46,FashionMNIST,STL10,CIFAR10,NeuronActivationPatterns/VGG,0.975600004196167
47,FashionMNIST,STL10,CIFAR100,NeuronActivationPatterns/VGG,0.974300026893616
48,FashionMNIST,STL10,TinyImagenet,NeuronActivationPatterns/VGG,0.981100022792816
49,FashionMNIST,TinyImagenet,UniformNoise,NeuronActivationPatterns/VGG,0.57779997587204
50,FashionMNIST,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0.585349977016449
51,FashionMNIST,TinyImagenet,MNIST,NeuronActivationPatterns/VGG,0.887650012969971
52,FashionMNIST,TinyImagenet,NotMNIST,NeuronActivationPatterns/VGG,0.913640260696411
53,FashionMNIST,TinyImagenet,CIFAR10,NeuronActivationPatterns/VGG,0.975600004196167
54,FashionMNIST,TinyImagenet,CIFAR100,NeuronActivationPatterns/VGG,0.974300026893616
55,FashionMNIST,TinyImagenet,STL10,NeuronActivationPatterns/VGG,0.97531247138977
