,ds,dv,dt,method,acc
0,MNIST,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0.9965000152587891
1,MNIST,UniformNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.9722499847412109
2,MNIST,UniformNoise,NotMNIST,NeuronActivationPatterns/VGG,0.7886669635772705
3,MNIST,UniformNoise,CIFAR10,NeuronActivationPatterns/VGG,0.9965000152587891
4,MNIST,UniformNoise,CIFAR100,NeuronActivationPatterns/VGG,0.9965000152587891
5,MNIST,UniformNoise,STL10,NeuronActivationPatterns/VGG,0.9925000071525574
6,MNIST,UniformNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.9965000152587891
7,MNIST,NormalNoise,UniformNoise,NeuronActivationPatterns/VGG,0.9899500012397766
8,MNIST,NormalNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.9243500232696533
9,MNIST,NormalNoise,NotMNIST,NeuronActivationPatterns/VGG,0.7433775067329407
10,MNIST,NormalNoise,CIFAR10,NeuronActivationPatterns/VGG,0.9871000051498413
11,MNIST,NormalNoise,CIFAR100,NeuronActivationPatterns/VGG,0.9851499795913696
12,MNIST,NormalNoise,STL10,NeuronActivationPatterns/VGG,0.984624981880188
13,MNIST,NormalNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.9900000095367432
14,MNIST,FashionMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.994700014591217
15,MNIST,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.994700014591217
16,MNIST,FashionMNIST,NotMNIST,NeuronActivationPatterns/VGG,0.8270134329795837
17,MNIST,FashionMNIST,CIFAR10,NeuronActivationPatterns/VGG,0.994700014591217
18,MNIST,FashionMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.994700014591217
19,MNIST,FashionMNIST,STL10,NeuronActivationPatterns/VGG,0.9910625219345093
20,MNIST,FashionMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.994700014591217
21,MNIST,NotMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.9876499772071838
22,MNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.9876499772071838
23,MNIST,NotMNIST,FashionMNIST,NeuronActivationPatterns/VGG,0.9872999787330627
24,MNIST,NotMNIST,CIFAR10,NeuronActivationPatterns/VGG,0.9876499772071838
25,MNIST,NotMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.9876499772071838
26,MNIST,NotMNIST,STL10,NeuronActivationPatterns/VGG,0.9832500219345093
27,MNIST,NotMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.9876499772071838
28,MNIST,CIFAR10,UniformNoise,NeuronActivationPatterns/VGG,0.996399998664856
29,MNIST,CIFAR10,NormalNoise,NeuronActivationPatterns/VGG,0.9965000152587891
30,MNIST,CIFAR10,FashionMNIST,NeuronActivationPatterns/VGG,0.9722499847412109
31,MNIST,CIFAR10,NotMNIST,NeuronActivationPatterns/VGG,0.7886669635772705
32,MNIST,CIFAR10,CIFAR100,NeuronActivationPatterns/VGG,0.9965000152587891
33,MNIST,CIFAR10,STL10,NeuronActivationPatterns/VGG,0.9925000071525574
34,MNIST,CIFAR10,TinyImagenet,NeuronActivationPatterns/VGG,0.9965000152587891
35,MNIST,CIFAR100,UniformNoise,NeuronActivationPatterns/VGG,0.9964500069618225
36,MNIST,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0.9965000152587891
37,MNIST,CIFAR100,FashionMNIST,NeuronActivationPatterns/VGG,0.9722499847412109
38,MNIST,CIFAR100,NotMNIST,NeuronActivationPatterns/VGG,0.7886669635772705
39,MNIST,CIFAR100,CIFAR10,NeuronActivationPatterns/VGG,0.9965000152587891
40,MNIST,CIFAR100,STL10,NeuronActivationPatterns/VGG,0.9925000071525574
41,MNIST,CIFAR100,TinyImagenet,NeuronActivationPatterns/VGG,0.9965000152587891
42,MNIST,STL10,UniformNoise,NeuronActivationPatterns/VGG,0.9965000152587891
43,MNIST,STL10,NormalNoise,NeuronActivationPatterns/VGG,0.9965000152587891
44,MNIST,STL10,FashionMNIST,NeuronActivationPatterns/VGG,0.9722499847412109
45,MNIST,STL10,NotMNIST,NeuronActivationPatterns/VGG,0.7886669635772705
46,MNIST,STL10,CIFAR10,NeuronActivationPatterns/VGG,0.9965000152587891
47,MNIST,STL10,CIFAR100,NeuronActivationPatterns/VGG,0.9965000152587891
48,MNIST,STL10,TinyImagenet,NeuronActivationPatterns/VGG,0.9965000152587891
49,MNIST,TinyImagenet,UniformNoise,NeuronActivationPatterns/VGG,0.996399998664856
50,MNIST,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0.9965000152587891
51,MNIST,TinyImagenet,FashionMNIST,NeuronActivationPatterns/VGG,0.9722499847412109
52,MNIST,TinyImagenet,NotMNIST,NeuronActivationPatterns/VGG,0.7886669635772705
53,MNIST,TinyImagenet,CIFAR10,NeuronActivationPatterns/VGG,0.9965000152587891
54,MNIST,TinyImagenet,CIFAR100,NeuronActivationPatterns/VGG,0.9965000152587891
55,MNIST,TinyImagenet,STL10,NeuronActivationPatterns/VGG,0.9925000071525574
