,ds,dv,dt,method,acc
0,STL10,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0.9506250023841858
1,STL10,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0.9388750195503235
2,STL10,UniformNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.7597500085830688
3,STL10,UniformNoise,NotMNIST,NeuronActivationPatterns/VGG,0.8256250023841858
4,STL10,UniformNoise,CIFAR100,NeuronActivationPatterns/VGG,0.6921250224113464
5,STL10,UniformNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.6004999876022339
6,STL10,NormalNoise,UniformNoise,NeuronActivationPatterns/VGG,0.9491249918937683
7,STL10,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0.9388750195503235
8,STL10,NormalNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.7597500085830688
9,STL10,NormalNoise,NotMNIST,NeuronActivationPatterns/VGG,0.8256250023841858
10,STL10,NormalNoise,CIFAR100,NeuronActivationPatterns/VGG,0.6921250224113464
11,STL10,NormalNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.6004999876022339
12,STL10,MNIST,UniformNoise,NeuronActivationPatterns/VGG,0.9487500190734863
13,STL10,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0.9492499828338623
14,STL10,MNIST,FashionMNIST,NeuronActivationPatterns/VGG,0.7673749923706055
15,STL10,MNIST,NotMNIST,NeuronActivationPatterns/VGG,0.8322499990463257
16,STL10,MNIST,CIFAR100,NeuronActivationPatterns/VGG,0.6984999775886536
17,STL10,MNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.6051250100135803
18,STL10,FashionMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.8893749713897705
19,STL10,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.890250027179718
20,STL10,FashionMNIST,MNIST,NeuronActivationPatterns/VGG,0.9008749723434448
21,STL10,FashionMNIST,NotMNIST,NeuronActivationPatterns/VGG,0.8836249709129333
22,STL10,FashionMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.8077499866485596
23,STL10,FashionMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.6779999732971191
24,STL10,NotMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.9150000214576721
25,STL10,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.9150000214576721
26,STL10,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0.9246249794960022
27,STL10,NotMNIST,FashionMNIST,NeuronActivationPatterns/VGG,0.8397499918937683
28,STL10,NotMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.7863749861717224
29,STL10,NotMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.6549999713897705
30,STL10,CIFAR100,UniformNoise,NeuronActivationPatterns/VGG,0.8638749718666077
31,STL10,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0.8647500276565552
32,STL10,CIFAR100,MNIST,NeuronActivationPatterns/VGG,0.8682500123977661
33,STL10,CIFAR100,FashionMNIST,NeuronActivationPatterns/VGG,0.8516250252723694
34,STL10,CIFAR100,NotMNIST,NeuronActivationPatterns/VGG,0.8621249794960022
35,STL10,CIFAR100,TinyImagenet,NeuronActivationPatterns/VGG,0.6928750276565552
36,STL10,TinyImagenet,UniformNoise,NeuronActivationPatterns/VGG,0.8245000243186951
37,STL10,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0.8246250152587891
38,STL10,TinyImagenet,MNIST,NeuronActivationPatterns/VGG,0.824999988079071
39,STL10,TinyImagenet,FashionMNIST,NeuronActivationPatterns/VGG,0.8186249732971191
40,STL10,TinyImagenet,NotMNIST,NeuronActivationPatterns/VGG,0.8224999904632568
41,STL10,TinyImagenet,CIFAR100,NeuronActivationPatterns/VGG,0.7942500114440918
