,ds,dv,dt,method,acc
0,TinyImagenet,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0.8058500289916992
1,TinyImagenet,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0.8166499733924866
2,TinyImagenet,UniformNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.746649980545044
3,TinyImagenet,UniformNoise,NotMNIST,NeuronActivationPatterns/VGG,0.7397992014884949
4,TinyImagenet,UniformNoise,CIFAR10,NeuronActivationPatterns/VGG,0.8185499906539917
5,TinyImagenet,UniformNoise,CIFAR100,NeuronActivationPatterns/VGG,0.8114285469055176
6,TinyImagenet,UniformNoise,STL10,NeuronActivationPatterns/VGG,0.601187527179718
7,TinyImagenet,NormalNoise,UniformNoise,NeuronActivationPatterns/VGG,0.7572500109672546
8,TinyImagenet,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0.8280500173568726
9,TinyImagenet,NormalNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.7526500225067139
10,TinyImagenet,NormalNoise,NotMNIST,NeuronActivationPatterns/VGG,0.7420957088470459
11,TinyImagenet,NormalNoise,CIFAR10,NeuronActivationPatterns/VGG,0.8396499752998352
12,TinyImagenet,NormalNoise,CIFAR100,NeuronActivationPatterns/VGG,0.830439567565918
13,TinyImagenet,NormalNoise,STL10,NeuronActivationPatterns/VGG,0.593625009059906
14,TinyImagenet,MNIST,UniformNoise,NeuronActivationPatterns/VGG,0.7355499863624573
15,TinyImagenet,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0.8101999759674072
16,TinyImagenet,MNIST,FashionMNIST,NeuronActivationPatterns/VGG,0.7544999718666077
17,TinyImagenet,MNIST,NotMNIST,NeuronActivationPatterns/VGG,0.7412412166595459
18,TinyImagenet,MNIST,CIFAR10,NeuronActivationPatterns/VGG,0.855650007724762
19,TinyImagenet,MNIST,CIFAR100,NeuronActivationPatterns/VGG,0.8454395532608032
20,TinyImagenet,MNIST,STL10,NeuronActivationPatterns/VGG,0.5871250033378601
21,TinyImagenet,FashionMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.7355999946594238
22,TinyImagenet,FashionMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.8098499774932861
23,TinyImagenet,FashionMNIST,MNIST,NeuronActivationPatterns/VGG,0.8321499824523926
24,TinyImagenet,FashionMNIST,NotMNIST,NeuronActivationPatterns/VGG,0.7412412166595459
25,TinyImagenet,FashionMNIST,CIFAR10,NeuronActivationPatterns/VGG,0.855650007724762
26,TinyImagenet,FashionMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.8454395532608032
27,TinyImagenet,FashionMNIST,STL10,NeuronActivationPatterns/VGG,0.5871250033378601
28,TinyImagenet,NotMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.7602499723434448
29,TinyImagenet,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.8167999982833862
30,TinyImagenet,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0.8280500173568726
31,TinyImagenet,NotMNIST,FashionMNIST,NeuronActivationPatterns/VGG,0.7526500225067139
32,TinyImagenet,NotMNIST,CIFAR10,NeuronActivationPatterns/VGG,0.8396499752998352
33,TinyImagenet,NotMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.830439567565918
34,TinyImagenet,NotMNIST,STL10,NeuronActivationPatterns/VGG,0.593625009059906
35,TinyImagenet,CIFAR10,UniformNoise,NeuronActivationPatterns/VGG,0.578249990940094
36,TinyImagenet,CIFAR10,NormalNoise,NeuronActivationPatterns/VGG,0.6967499852180481
37,TinyImagenet,CIFAR10,MNIST,NeuronActivationPatterns/VGG,0.7960500121116638
38,TinyImagenet,CIFAR10,FashionMNIST,NeuronActivationPatterns/VGG,0.7221999764442444
39,TinyImagenet,CIFAR10,NotMNIST,NeuronActivationPatterns/VGG,0.6987289190292358
40,TinyImagenet,CIFAR10,CIFAR100,NeuronActivationPatterns/VGG,0.8603296875953674
41,TinyImagenet,CIFAR10,STL10,NeuronActivationPatterns/VGG,0.5529375076293945
42,TinyImagenet,CIFAR100,UniformNoise,NeuronActivationPatterns/VGG,0.6143500208854675
43,TinyImagenet,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0.7331500053405762
44,TinyImagenet,CIFAR100,MNIST,NeuronActivationPatterns/VGG,0.8116499781608582
45,TinyImagenet,CIFAR100,FashionMNIST,NeuronActivationPatterns/VGG,0.7346500158309937
46,TinyImagenet,CIFAR100,NotMNIST,NeuronActivationPatterns/VGG,0.712454617023468
47,TinyImagenet,CIFAR100,CIFAR10,NeuronActivationPatterns/VGG,0.8790500164031982
48,TinyImagenet,CIFAR100,STL10,NeuronActivationPatterns/VGG,0.5596874952316284
49,TinyImagenet,STL10,UniformNoise,NeuronActivationPatterns/VGG,0.7704499959945679
50,TinyImagenet,STL10,NormalNoise,NeuronActivationPatterns/VGG,0.7907999753952026
51,TinyImagenet,STL10,MNIST,NeuronActivationPatterns/VGG,0.7978000044822693
52,TinyImagenet,STL10,FashionMNIST,NeuronActivationPatterns/VGG,0.7396000027656555
53,TinyImagenet,STL10,NotMNIST,NeuronActivationPatterns/VGG,0.732482373714447
54,TinyImagenet,STL10,CIFAR10,NeuronActivationPatterns/VGG,0.7961000204086304
55,TinyImagenet,STL10,CIFAR100,NeuronActivationPatterns/VGG,0.7915384769439697
